Timestamp,FlexL,AbducL,FlexR,AbducR
2294.441000,18.008110,18.008110,19.934280,19.934280
2294.477000,17.837550,17.837550,21.099510,21.099510
2294.508000,17.689060,17.689060,21.124930,21.124930
2294.543000,17.862710,17.862710,20.801210,20.801210
2294.576000,17.421730,17.421730,21.042470,21.042470
2294.610000,17.416830,17.416830,21.314590,21.314590
2294.641000,17.276950,17.276950,20.363860,20.363860
2294.675000,17.192820,17.192820,20.026910,20.026910
2294.708000,17.451120,17.451120,20.811580,20.811580
2294.742000,17.867270,17.867270,20.924580,20.924580
2294.776000,17.540960,17.540960,20.742680,20.742680
2294.834000,18.144150,18.144150,20.989330,20.989330
2294.875000,17.853630,17.853630,21.078590,21.078590
2294.909000,17.921960,17.921960,20.932480,20.932480
2294.941000,17.826410,17.826410,20.922610,20.922610
2294.975000,18.024220,18.024220,21.020280,21.020280
2295.008000,17.791510,17.791510,20.991540,20.991540
2295.041000,17.766090,17.766090,21.123110,21.123110
2295.075000,18.022340,18.022340,21.472370,21.472370
2295.109000,17.883310,17.883310,21.033110,21.033110
2295.143000,17.887810,17.887810,20.791890,20.791890
2295.177000,17.414830,17.414830,21.288550,21.288550
2295.208000,17.643940,17.643940,21.087200,21.087200
2295.244000,17.234510,17.234510,20.854210,20.854210
2295.275000,17.286120,17.286120,21.311330,21.311330
2295.309000,16.769110,16.769110,21.265910,21.265910
2295.341000,16.762010,16.762010,21.269140,21.269140
2295.374000,16.837360,16.837360,21.003280,21.003280
2295.408000,16.766820,16.766820,20.990760,20.990760
2295.441000,16.981710,16.981710,20.879160,20.879160
2295.474000,17.451310,17.451310,21.540350,21.540350
2295.509000,17.423070,17.423070,21.780300,21.780300
2295.542000,17.611540,17.611540,21.381400,21.381400
2295.575000,17.548660,17.548660,21.357060,21.357060
2295.609000,17.303560,17.303560,21.172900,21.172900
2295.643000,17.418900,17.418900,21.050510,21.050510
2295.676000,17.437000,17.437000,21.040910,21.040910
2295.709000,17.523450,17.523450,20.999150,20.999150
2295.742000,17.755790,17.755790,20.999880,20.999880
2295.774000,17.778570,17.778570,20.964830,20.964830
2295.808000,17.734110,17.734110,20.974700,20.974700
2295.841000,17.733210,17.733210,20.974150,20.974150
2295.875000,17.744020,17.744020,20.728940,20.728940
2295.908000,17.926340,17.926340,21.003030,21.003030
2295.941000,17.933880,17.933880,21.010920,21.010920
2295.974000,17.618430,17.618430,20.715920,20.715920
2296.008000,17.720710,17.720710,20.694190,20.694190
2296.042000,18.091420,18.091420,20.761380,20.761380
2296.075000,17.564110,17.564110,20.651560,20.651560
2296.110000,18.096780,18.096780,20.296670,20.296670
2296.141000,18.013220,18.013220,20.397810,20.397810
2296.175000,18.194100,18.194100,20.715260,20.715260
2296.209000,17.952370,17.952370,20.810210,20.810210
2296.242000,17.912470,17.912470,20.945250,20.945250
2296.276000,18.055900,18.055900,21.041100,21.041100
2296.310000,17.956450,17.956450,21.129950,21.129950
2296.343000,17.699770,17.699770,21.112380,21.112380
2296.375000,17.737590,17.737590,21.092650,21.092650
2296.408000,17.697620,17.697620,21.060140,21.060140
2296.443000,17.610290,17.610290,20.924740,20.924740
2296.475000,18.122210,18.122210,20.807490,20.807490
2296.510000,17.880660,17.880660,21.051230,21.051230
2296.543000,17.679390,17.679390,21.010700,21.010700
2296.574000,17.881050,17.881050,20.949090,20.949090
2296.611000,17.871360,17.871360,20.943010,20.943010
2296.641000,17.770570,17.770570,20.976490,20.976490
2296.675000,17.756250,17.756250,20.839130,20.839130
2296.709000,17.973360,17.973360,21.087400,21.087400
2296.743000,17.822160,17.822160,21.089330,21.089330
2296.777000,17.567620,17.567620,20.838060,20.838060
2296.808000,17.680510,17.680510,20.655430,20.655430
2296.844000,17.691420,17.691420,21.062520,21.062520
2296.876000,17.930810,17.930810,20.903200,20.903200
2296.911000,17.923930,17.923930,20.899030,20.899030
2296.942000,17.770590,17.770590,21.137940,21.137940
2296.977000,17.769310,17.769310,21.137700,21.137700
2297.010000,17.769310,17.769310,21.137700,21.137700
2297.042000,17.769310,17.769310,21.137700,21.137700
2297.075000,17.769310,17.769310,21.137700,21.137700
2297.109000,17.769310,17.769310,21.137700,21.137700
2297.142000,17.769310,17.769310,21.137700,21.137700
2297.176000,17.769310,17.769310,21.137700,21.137700
2297.208000,17.769310,17.769310,21.137700,21.137700
2297.242000,17.769310,17.769310,21.137700,21.137700
2297.276000,17.769070,17.769070,21.137890,21.137890
2297.310000,17.950330,17.950330,21.134000,21.134000
2297.343000,17.950390,17.950390,21.134070,21.134070
2297.377000,17.993420,17.993420,20.671790,20.671790
2297.410000,17.879710,17.879710,21.224440,21.224440
2297.444000,17.828400,17.828400,21.105040,21.105040
2297.476000,18.070840,18.070840,20.872580,20.872580
2297.509000,18.076140,18.076140,20.851270,20.851270
2297.543000,18.076140,18.076140,20.851270,20.851270
2297.578000,18.244420,18.244420,20.973330,20.973330
2297.608000,18.237360,18.237360,20.969290,20.969290
2297.643000,18.216420,18.216420,20.965550,20.965550
2297.675000,18.152770,18.152770,20.807000,20.807000
2297.711000,17.962740,17.962740,20.731260,20.731260
2297.742000,17.731690,17.731690,21.065640,21.065640
2297.776000,17.727960,17.727960,20.997650,20.997650
2297.809000,17.963070,17.963070,20.874490,20.874490
2297.842000,17.942830,17.942830,20.838630,20.838630
2297.875000,17.837560,17.837560,20.839950,20.839950
2297.911000,17.721000,17.721000,20.965550,20.965550
2297.942000,17.075460,17.075460,20.867280,20.867280
2297.977000,17.065660,17.065660,20.841670,20.841670
2298.010000,16.843720,16.843720,20.818490,20.818490
2298.044000,16.544350,16.544350,20.411860,20.411860
2298.075000,16.639930,16.639930,20.516350,20.516350
2298.108000,16.596540,16.596540,20.927140,20.927140
2298.143000,16.587310,16.587310,20.904450,20.904450
2298.175000,16.594500,16.594500,20.830910,20.830910
2298.209000,16.612260,16.612260,20.767550,20.767550
2298.242000,16.611100,16.611100,20.769360,20.769360
2298.276000,16.521360,16.521360,20.595210,20.595210
2298.309000,16.676950,16.676950,20.397750,20.397750
2298.343000,16.676840,16.676840,20.398030,20.398030
2298.377000,16.612270,16.612270,20.139820,20.139820
2298.411000,16.609180,16.609180,20.161710,20.161710
2298.442000,16.609540,16.609540,20.160940,20.160940
2298.476000,16.609540,16.609540,20.160940,20.160940
2298.511000,17.188190,17.188190,20.279790,20.279790
2298.543000,17.156490,17.156490,20.472400,20.472400
2298.575000,17.088130,17.088130,20.111860,20.111860
2298.609000,17.024320,17.024320,20.183890,20.183890
2298.642000,17.214780,17.214780,20.184160,20.184160
2298.677000,17.288660,17.288660,20.114120,20.114120
2298.709000,17.308380,17.308380,20.779100,20.779100
2298.744000,17.457650,17.457650,20.723920,20.723920
2298.777000,17.329300,17.329300,20.649520,20.649520
2298.810000,17.651240,17.651240,20.777650,20.777650
2298.842000,17.699670,17.699670,20.744450,20.744450
2298.878000,17.808780,17.808780,20.908980,20.908980
2298.911000,17.953220,17.953220,20.877750,20.877750
2298.942000,17.921340,17.921340,20.879180,20.879180
2298.977000,17.775800,17.775800,20.790050,20.790050
2299.010000,17.770200,17.770200,20.788000,20.788000
2299.044000,17.442080,17.442080,20.689700,20.689700
2299.078000,17.403360,17.403360,20.157090,20.157090
2299.109000,16.992080,16.992080,20.235010,20.235010
2299.145000,17.719400,17.719400,20.219550,20.219550
2299.178000,17.719170,17.719170,20.219490,20.219490
2299.211000,17.511310,17.511310,20.067750,20.067750
2299.244000,17.922700,17.922700,20.668830,20.668830
2299.278000,17.416160,17.416160,20.039640,20.039640
2299.311000,17.556290,17.556290,20.642560,20.642560
2299.344000,17.433580,17.433580,20.561320,20.561320
2299.377000,17.349450,17.349450,20.210420,20.210420
2299.408000,17.134100,17.134100,20.367760,20.367760
2299.443000,17.322690,17.322690,20.249750,20.249750
2299.478000,17.011330,17.011330,19.833710,19.833710
2299.509000,16.993770,16.993770,19.808440,19.808440
2299.543000,16.871080,16.871080,19.878390,19.878390
2299.576000,16.872440,16.872440,19.859050,19.859050
2299.609000,16.872440,16.872440,19.858870,19.858870
2299.643000,16.783290,16.783290,20.619560,20.619560
2299.678000,17.844030,17.844030,19.852230,19.852230
2299.710000,17.468230,17.468230,20.283110,20.283110
2299.743000,17.609250,17.609250,20.831250,20.831250
2299.776000,17.082240,17.082240,20.456090,20.456090
2299.810000,17.151570,17.151570,19.801110,19.801110
2299.844000,17.650680,17.650680,20.378000,20.378000
2299.875000,17.269520,17.269520,20.451820,20.451820
2299.909000,17.460770,17.460770,20.300290,20.300290
2299.943000,17.855880,17.855880,20.358800,20.358800
2299.978000,18.006370,18.006370,20.240810,20.240810
2300.011000,18.313680,18.313680,20.155050,20.155050
2300.043000,17.882710,17.882710,20.485110,20.485110
2300.076000,18.139060,18.139060,20.527350,20.527350
2300.111000,17.524630,17.524630,20.424350,20.424350
2300.145000,17.639050,17.639050,20.363690,20.363690
2300.177000,18.220550,18.220550,20.229460,20.229460
2300.209000,17.300200,17.300200,20.152320,20.152320
2300.242000,17.691790,17.691790,20.636480,20.636480
2300.276000,18.181810,18.181810,20.012400,20.012400
2300.310000,17.718810,17.718810,19.961510,19.961510
2300.343000,17.857330,17.857330,20.478630,20.478630
2300.377000,17.950160,17.950160,20.448110,20.448110
2300.412000,16.979190,16.979190,20.204300,20.204300
2300.442000,17.046320,17.046320,20.184680,20.184680
2300.477000,17.027760,17.027760,20.147460,20.147460
2300.511000,17.104090,17.104090,19.918960,19.918960
2300.544000,17.882780,17.882780,20.541320,20.541320
2300.578000,17.894260,17.894260,20.527530,20.527530
2300.610000,17.530410,17.530410,20.958040,20.958040
2300.644000,17.770180,17.770180,21.180490,21.180490
2300.676000,17.453180,17.453180,21.142180,21.142180
2300.711000,17.212600,17.212600,21.210220,21.210220
2300.744000,17.587300,17.587300,21.689780,21.689780
2300.776000,17.473060,17.473060,21.751260,21.751260
2300.812000,17.600010,17.600010,21.973580,21.973580
2300.843000,17.813630,17.813630,22.060000,22.060000
2300.876000,17.811690,17.811690,22.051190,22.051190
2300.909000,17.448870,17.448870,22.001560,22.001560
2300.943000,17.953870,17.953870,21.897140,21.897140
2300.977000,17.778120,17.778120,21.947810,21.947810
2301.010000,17.161770,17.161770,21.791520,21.791520
2301.044000,17.136380,17.136380,21.873440,21.873440
2301.078000,17.148250,17.148250,21.799600,21.799600
2301.109000,17.148990,17.148990,21.793560,21.793560
2301.143000,17.097270,17.097270,21.786900,21.786900
2301.177000,17.623190,17.623190,-21.766820,21.766820
2301.210000,17.623190,17.623190,-21.766820,21.766820
2301.245000,17.722520,17.722520,22.076790,22.076790
2301.279000,18.249630,18.249630,-23.476370,23.476370
2301.312000,17.698550,17.698550,24.600570,24.600570
2301.344000,17.255650,17.255650,24.387000,24.387000
2301.377000,17.316140,17.316140,24.410880,24.410880
2301.411000,16.676030,16.676030,25.574250,25.574250
2301.444000,17.027320,17.027320,27.562760,27.562760
2301.478000,17.271110,17.271110,28.278970,28.278970
2301.511000,16.893760,16.893760,28.552760,28.552760
2301.545000,16.956550,16.956550,31.175250,31.175250
2301.577000,17.053970,17.053970,33.162400,33.162400
2301.610000,16.414380,16.414380,35.118820,35.118820
2301.644000,17.104400,17.104400,36.948640,36.948640
2301.677000,17.023060,17.023060,40.518660,40.518660
2301.711000,16.360220,16.360220,41.509550,41.509550
2301.745000,17.833100,17.833100,43.782950,43.782950
2301.776000,18.637510,18.637510,45.459890,45.459890
2301.809000,21.193470,21.193470,50.115460,50.115460
2301.843000,19.985200,19.985200,56.407600,56.407600
2301.876000,16.546490,16.546490,58.993940,58.993940
2301.911000,16.589730,16.589730,60.969940,60.969940
2301.945000,19.744570,19.744570,63.299510,63.299510
2301.976000,21.123850,21.123850,65.912770,65.912770
2302.009000,23.409550,23.409550,67.778000,67.778000
2302.043000,26.412990,26.412990,70.711370,70.711370
2302.077000,26.989720,26.989720,73.454750,73.454750
2302.112000,28.108790,28.108790,73.960110,73.960110
2302.145000,29.250170,29.250170,77.674010,77.674010
2302.179000,29.634820,29.634820,80.468820,80.468820
2302.210000,33.701680,33.701680,80.974190,80.974190
2302.243000,36.349250,36.349250,84.353620,84.353620
2302.277000,35.573620,35.573620,85.758010,85.758010
2302.312000,31.982840,31.982840,86.180950,86.180950
2302.345000,34.155610,34.155610,86.576390,86.576390
2302.376000,35.200830,35.200830,86.398920,86.398920
2302.411000,34.947510,34.947510,87.410580,87.410580
2302.444000,39.337060,39.337060,88.794640,88.794640
2302.478000,39.328420,39.328420,88.796620,88.796620
2302.512000,39.094870,39.094870,90.453950,90.453950
2302.543000,40.321900,40.321900,91.058450,91.058450
2302.577000,40.706840,40.706840,91.551400,91.551400
2302.612000,39.379190,39.379190,91.869330,91.869330
2302.644000,38.822140,38.822140,92.206540,92.206540
2302.678000,38.056300,38.056300,92.097690,92.097690
2302.711000,37.592270,37.592270,91.686680,91.686680
2302.745000,35.886470,35.886470,91.017230,91.017230
2302.776000,34.342410,34.342410,91.097600,91.097600
2302.811000,34.578440,34.578440,91.302020,91.302020
2302.844000,32.544590,32.544590,90.992930,90.992930
2302.877000,32.715810,32.715810,90.909420,90.909420
2302.911000,29.180720,29.180720,91.299010,91.299010
2302.944000,29.413890,29.413890,91.509770,91.509770
2302.976000,28.146250,28.146250,91.999120,91.999120
2303.011000,27.825230,27.825230,92.801420,92.801420
2303.043000,27.820890,27.820890,92.580350,92.580350
2303.077000,27.566750,27.566750,92.157620,92.157620
2303.110000,28.881390,28.881390,93.086140,93.086140
2303.143000,33.533240,33.533240,92.767200,92.767200
2303.177000,33.225740,33.225740,94.226890,94.226890
2303.212000,36.635440,36.635440,94.095080,94.095080
2303.243000,37.724880,37.724880,93.200160,93.200160
2303.276000,33.702620,33.702620,92.207110,92.207110
2303.310000,35.697080,35.697080,93.353760,93.353760
2303.344000,33.300640,33.300640,94.974490,94.974490
2303.378000,39.153340,39.153340,93.560690,93.560690
2303.412000,36.175980,36.175980,93.664120,93.664120
2303.446000,33.789530,33.789530,93.682600,93.682600
2303.477000,32.724200,32.724200,93.114220,93.114220
2303.510000,33.481160,33.481160,93.010740,93.010740
2303.544000,35.978440,35.978440,92.263110,92.263110
2303.577000,34.332560,34.332560,92.228160,92.228160
2303.612000,35.142700,35.142700,93.509630,93.509630
2303.643000,35.816940,35.816940,93.597400,93.597400
2303.679000,32.069070,32.069070,93.413900,93.413900
2303.712000,26.484340,26.484340,92.847030,92.847030
2303.743000,23.121990,23.121990,92.071550,92.071550
2303.779000,24.424240,24.424240,92.020120,92.020120
2303.810000,24.214860,24.214860,91.154620,91.154620
2303.844000,23.968550,23.968550,90.845800,90.845800
2303.878000,23.412870,23.412870,90.381580,90.381580
2303.911000,22.991500,22.991500,89.949230,89.949230
2303.944000,22.091260,22.091260,89.911930,89.911930
2303.979000,21.729870,21.729870,90.352200,90.352200
2304.011000,22.906900,22.906900,90.252020,90.252020
2304.045000,21.998650,21.998650,89.684130,89.684130
2304.078000,21.906170,21.906170,88.972720,88.972720
2304.111000,22.133330,22.133330,89.150050,89.150050
2304.145000,22.209140,22.209140,89.128720,89.128720
2304.177000,21.188840,21.188840,88.081000,88.081000
2304.211000,19.163670,19.163670,84.878200,84.878200
2304.246000,19.407880,19.407880,86.617310,86.617310
2304.279000,19.881120,19.881120,86.512840,86.512840
2304.310000,19.899130,19.899130,85.682880,85.682880
2304.345000,20.468380,20.468380,84.579870,84.579870
2304.379000,21.401920,21.401920,82.781360,82.781360
2304.411000,21.393720,21.393720,82.771320,82.771320
2304.445000,20.676820,20.676820,82.007080,82.007080
2304.479000,20.966040,20.966040,81.719920,81.719920
2304.510000,21.112940,21.112940,81.040690,81.040690
2304.544000,21.025190,21.025190,81.448940,81.448940
2304.579000,21.372950,21.372950,81.674570,81.674570
2304.610000,21.143750,21.143750,81.590570,81.590570
2304.645000,21.123190,21.123190,81.696490,81.696490
2304.678000,20.099640,20.099640,80.643110,80.643110
2304.711000,20.182430,20.182430,81.699710,81.699710
2304.745000,19.820610,19.820610,81.611820,81.611820
2304.779000,21.131370,21.131370,85.052510,85.052510
2304.810000,20.787680,20.787680,84.460840,84.460840
2304.844000,20.832010,20.832010,84.560840,84.560840
2304.877000,20.842310,20.842310,84.882720,84.882720
2304.910000,21.036660,21.036660,83.783250,83.783250
2304.945000,21.008230,21.008230,84.170920,84.170920
2304.979000,21.609980,21.609980,83.335420,83.335420
2305.027000,21.035700,21.035700,83.131070,83.131070
2305.079000,21.492620,21.492620,83.959400,83.959400
2305.112000,21.657720,21.657720,84.104480,84.104480
2305.143000,20.721440,20.721440,80.940320,80.940320
2305.177000,20.982900,20.982900,82.770420,82.770420
2305.210000,21.233030,21.233030,82.727570,82.727570
2305.245000,21.398820,21.398820,82.625340,82.625340
2305.279000,21.538970,21.538970,82.413120,82.413120
2305.311000,21.557840,21.557840,83.400270,83.400270
2305.344000,21.906610,21.906610,83.004430,83.004430
2305.378000,21.549550,21.549550,82.832220,82.832220
2305.411000,21.559710,21.559710,83.389050,83.389050
2305.445000,21.966950,21.966950,83.816610,83.816610
2305.478000,21.659290,21.659290,83.924260,83.924260
2305.512000,21.692760,21.692760,84.675630,84.675630
2305.545000,22.041540,22.041540,84.432170,84.432170
2305.577000,21.835100,21.835100,83.475510,83.475510
2305.612000,21.572560,21.572560,83.087970,83.087970
2305.646000,21.927420,21.927420,84.474310,84.474310
2305.678000,21.374860,21.374860,83.829480,83.829480
2305.711000,21.429290,21.429290,82.998050,82.998050
2305.745000,21.824280,21.824280,82.351360,82.351360
2305.778000,22.116690,22.116690,83.726520,83.726520
2305.812000,21.699090,21.699090,81.890780,81.890780
2305.845000,22.439140,22.439140,83.778100,83.778100
2305.879000,21.474020,21.474020,82.555870,82.555870
2305.910000,21.502040,21.502040,82.392000,82.392000
2305.944000,21.403000,21.403000,80.855410,80.855410
2305.978000,21.337000,21.337000,80.539120,80.539120
2306.011000,21.405810,21.405810,79.813930,79.813930
2306.046000,21.614780,21.614780,81.532430,81.532430
2306.079000,22.131930,22.131930,81.177080,81.177080
2306.111000,20.983490,20.983490,82.129950,82.129950
2306.145000,21.230390,21.230390,81.524510,81.524510
