NO_OF_FRAMES	14725
NO_OF_CAMERAS	4
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2021-07-16, 16:46:09.818	26046.75604180
DATA_INCLUDED	3D
MARKER_NAMES	T8	C7	ACR	LEL	MUA
TRAJECTORY_TYPES	Mixed	Mixed	Mixed	Mixed	Mixed
Frame	Time	T8 X	T8 Y	T8 Z	C7 X	C7 Y	C7 Z	ACR X	ACR Y	ACR Z	LEL X	LEL Y	LEL Z	MUA X	MUA Y	MUA Z	
860	8.59000	209.791	240.536	54.310	296.980	284.232	297.892	488.795	157.427	272.216	714.916	162.364	124.836	804.300	224.399	114.420
861	8.60000	211.532	240.726	54.830	299.865	285.578	297.718	492.436	160.681	272.070	719.448	166.617	126.749	808.822	228.474	116.506
862	8.61000	213.321	240.956	55.345	302.883	287.081	297.472	496.031	163.858	271.907	723.846	170.794	128.567	813.373	232.548	118.346
863	8.62000	215.098	241.155	55.902	305.810	288.385	297.245	499.692	167.084	271.592	728.194	174.894	130.110	817.754	236.503	120.097
864	8.63000	216.985	241.430	56.423	308.883	289.817	296.996	503.262	170.166	271.298	732.411	178.914	131.598	822.105	240.414	121.716
865	8.64000	218.878	241.717	56.927	311.944	291.288	296.779	506.888	173.315	270.914	736.599	182.906	132.926	826.347	244.277	123.218
866	8.65000	220.732	241.994	57.453	314.998	292.650	296.476	510.463	176.341	270.511	740.596	186.786	134.173	830.548	248.050	124.595
867	8.66000	222.621	242.299	57.987	318.117	294.130	296.176	513.994	179.395	270.106	744.621	190.665	135.246	834.627	251.820	125.934
868	8.67000	224.485	242.594	58.527	321.109	295.434	295.999	517.559	182.410	269.604	748.466	194.393	136.350	838.633	255.512	127.136
869	8.68000	226.387	242.916	59.018	324.160	296.776	295.624	520.955	185.314	269.145	752.295	198.119	137.258	842.521	259.184	128.309
870	8.69000	228.322	243.236	59.549	327.143	298.094	295.493	524.397	188.192	268.605	756.080	201.822	138.158	846.345	262.785	129.313
871	8.70000	230.232	243.562	60.050	330.238	299.461	295.107	527.803	191.052	268.052	759.741	205.411	139.007	850.095	266.249	130.261
872	8.71000	232.166	243.907	60.531	333.186	300.723	294.879	531.098	193.830	267.517	763.409	209.014	139.730	853.861	269.693	131.155
