NO_OF_FRAMES	25372
NO_OF_CAMERAS	4
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2021-07-19, 15:02:39.786	279037.18511400
DATA_INCLUDED	3D
MARKER_NAMES	T8	C7	ACR	LEL	MUA
TRAJECTORY_TYPES	Mixed	Mixed	Measured	Mixed	Mixed
Frame	Time	T8 X	T8 Y	T8 Z	C7 X	C7 Y	C7 Z	ACR X	ACR Y	ACR Z	LEL X	LEL Y	LEL Z	MUA X	MUA Y	MUA Z	
1496	14.95000	311.601	47.390	41.164	219.596	43.507	342.704	109.610	250.564	296.505	101.155	315.198	-61.396	-9.232	255.720	-127.963
1497	14.96000	311.579	47.400	41.184	219.519	43.500	342.710	109.554	250.589	296.473	101.154	315.205	-61.410	-9.229	255.760	-127.962
1498	14.97000	311.551	47.434	41.194	219.472	43.535	342.714	109.489	250.605	296.455	101.160	315.225	-61.434	-9.222	255.787	-127.978
1499	14.98000	311.541	47.460	41.205	219.399	43.574	342.707	109.439	250.611	296.435	101.208	315.232	-61.460	-9.205	255.821	-128.013
1500	14.99000	311.524	47.469	41.212	219.325	43.571	342.701	109.382	250.639	296.416	101.233	315.255	-61.473	-9.164	255.860	-128.022
1501	15.00000	311.506	47.487	41.234	219.290	43.631	342.726	109.332	250.631	296.430	101.271	315.271	-61.494	-9.140	255.861	-128.021
1502	15.01000	311.509	47.515	41.251	219.201	43.638	342.727	109.277	250.659	296.400	101.314	315.274	-61.510	-9.119	255.874	-128.023
1503	15.02000	311.499	47.508	41.275	219.153	43.680	342.732	109.227	250.672	296.400	101.335	315.281	-61.509	-9.092	255.905	-128.031
1504	15.03000	311.513	47.534	41.278	219.111	43.702	342.730	109.202	250.681	296.407	101.355	315.281	-61.518	-9.065	255.896	-128.030
1505	15.04000	311.504	47.535	41.292	219.059	43.702	342.728	109.170	250.706	296.389	101.366	315.269	-61.520	-9.035	255.909	-128.046
1506	15.05000	311.526	47.564	41.315	219.002	43.717	342.720	109.153	250.771	296.370	101.386	315.276	-61.548	-9.025	255.906	-128.064
1507	15.06000	311.520	47.564	41.327	218.956	43.743	342.731	109.133	250.788	296.354	101.378	315.277	-61.581	-9.020	255.903	-128.106
1508	15.07000	311.532	47.592	41.343	218.900	43.786	342.750	109.138	250.837	296.325	101.362	315.255	-61.590	-9.013	255.882	-128.140
1509	15.08000	311.530	47.611	41.371	218.846	43.827	342.748	109.143	250.884	296.344	101.370	315.251	-61.594	-8.992	255.882	-128.163
1510	15.09000	311.510	47.621	41.391	218.803	43.830	342.765	109.164	250.983	296.332	101.370	315.228	-61.628	-8.995	255.881	-128.172
1511	15.10000	311.489	47.595	41.401	218.768	43.843	342.781	109.210	251.039	296.345	101.371	315.199	-61.631	-8.982	255.874	-128.178
