       TimeStamp,     Flexion_Left,    Flexion_Right,   Abduction_Left,  Abduction_Right
      4070.84300,       -014.29775,       -017.60422,        014.29775,        017.60422
      4070.91100,       -014.92258,       -017.77861,        014.92258,        017.77861
      4070.96700,       -015.34916,       -017.48250,        015.34916,        017.48250
      4071.02500,       -014.66652,       -017.12399,        014.66652,        017.12399
      4071.08100,       -014.95470,       -017.59783,        014.95470,        017.59783
      4071.14200,       -014.80426,       -017.69281,        014.80426,        017.69281
      4071.19800,       -014.80787,       -017.70148,        014.80787,        017.70148
      4071.25300,       -016.81441,       -018.70554,        016.81441,        018.70554
      4071.30900,       -015.13597,       -018.35743,        015.13597,        018.35743
      4071.36600,       -015.14414,       -018.34976,        015.14414,        018.34976
      4071.42000,       -015.56881,       -018.80923,        015.56881,        018.80923
      4071.47600,       -016.08815,       -019.20618,        016.08815,        019.20618
      4071.54200,       -015.54923,       -018.21988,        015.54923,        018.21988
      4071.60000,       -015.32938,       -018.37708,        015.32938,        018.37708
      4071.65400,       -015.87593,       -025.10994,        015.87593,        025.10994
      4071.70900,       -016.75109,       -032.40095,        016.75109,        032.40095
      4071.76700,       -016.21857,       -037.18756,        016.21857,        037.18756
      4071.82400,       -016.93699,       -040.15936,        016.93699,        040.15936
      4071.87800,       -016.82892,       -040.32821,        016.82892,        040.32821
      4071.94500,       -016.69026,       -039.63125,        016.69026,        039.63125
      4072.00600,       -016.05393,       -033.66147,        016.05393,        033.66147
      4072.06300,       -016.02334,       -031.71245,        016.02334,        031.71245
      4072.12900,       -016.58846,       -030.30375,        016.58846,        030.30375
      4072.18600,       -015.73556,       -019.56834,        015.73556,        019.56834
      4072.25000,       -015.77507,       -018.73816,        015.77507,        018.73816
      4072.30700,       -016.53444,       -018.73307,        016.53444,        018.73307
      4072.36400,       -015.96242,       -020.01625,        015.96242,        020.01625
      4072.42200,       -015.70135,       -020.14763,        015.70135,        020.14763
      4072.48000,       -015.08350,       -021.25721,        015.08350,        021.25721
      4072.53600,       -015.48113,       -020.47923,        015.48113,        020.47923
      4072.59200,       -015.75941,       -020.72435,        015.75941,        020.72435
      4072.65300,       -016.26376,       -019.46053,        016.26376,        019.46053
      4072.70700,       -016.96851,       -019.02264,        016.96851,        019.02264
      4072.76500,       -015.95298,       -018.62443,        015.95298,        018.62443
      4072.82300,       -016.01973,       -019.98465,        016.01973,        019.98465
      4072.88000,       -016.32733,       -023.70468,        016.32733,        023.70468
      4072.93700,       -017.62349,       -026.08931,        017.62349,        026.08931
      4072.99500,       -017.80385,       -029.92297,        017.80385,        029.92297
      4073.05500,       -018.74764,       -033.67425,        018.74764,        033.67425
      4073.11600,       -018.41090,       -038.80896,        018.41090,        038.80896
      4073.17300,       -019.26313,       -047.72618,        019.26313,        047.72618
      4073.22900,       -019.62024,       -050.41532,        019.62024,        050.41532
      4073.28600,       -021.18577,       -055.97069,        021.18577,        055.97069
      4073.34200,       -020.10937,       -062.19647,        020.10937,        062.19647
      4073.40600,       -020.09048,       -061.45239,        020.09048,        061.45239
      4073.46300,       -020.45294,       -063.99525,        020.45294,        063.99525
      4073.52500,       -020.57718,       -066.59452,        020.57718,        066.59452
      4073.58000,       -019.61889,       -080.79829,        019.61889,        080.79829
      4073.63600,       -020.95260,       -080.18671,        020.95260,        080.18671
      4073.69500,       -019.84281,       -078.25946,        019.84281,        078.25946
      4073.75800,       -019.40879,       -083.53156,        019.40879,        083.53156
      4073.81800,       -019.81332,       -089.80393,        019.81332,        089.80393
      4073.87300,       -019.64618,       -090.13835,        019.64618,        090.13835
      4073.93400,       -019.04033,       -090.10551,        019.04033,        090.10551
      4073.99000,       -019.13214,       -091.22972,        019.13214,        091.22972
      4074.04700,       -018.67409,        091.23183,        018.67409,        091.23183
      4074.10700,       -018.59675,        090.81445,        018.59675,        090.81445
      4074.16500,       -018.75725,        087.63545,        018.75725,        087.63545
      4074.22700,       -018.42457,        082.96426,        018.42457,        082.96426
      4074.28300,       -019.32670,        081.87971,        019.32670,        081.87971
      4074.33600,       -020.03900,        080.86480,        020.03900,        080.86480
      4074.39200,       -019.50753,        077.06589,        019.50753,        077.06589
      4074.45600,       -019.10256,        072.33113,        019.10256,        072.33113
      4074.51400,       -019.00479,       -072.63935,        019.00479,        072.63935
      4074.56900,       -020.00708,       -071.00295,        020.00708,        071.00295
      4074.62600,       -021.04424,        069.56939,        021.04424,        069.56939
      4074.68200,       -021.16919,        069.26951,        021.16919,        069.26951
      4074.74000,       -020.20926,       -069.82243,        020.20926,        069.82243
      4074.79600,       -021.53388,       -065.34286,        021.53388,        065.34286
      4074.85800,       -021.17155,       -067.85181,        021.17155,        067.85181
      4074.91300,       -020.47963,       -072.96399,        020.47963,        072.96399
      4074.96900,       -021.04845,       -079.82080,        021.04845,        079.82080
      4075.02500,       -017.68838,       -080.78780,        017.68838,        080.78780
      4075.08400,       -017.98110,       -080.99362,        017.98110,        080.99362
      4075.14700,       -017.44402,       -084.60155,        017.44402,        084.60155
      4075.21400,       -016.05299,       -092.62215,        016.05299,        092.62215
      4075.27200,       -018.62056,       -100.44070,        018.62056,        100.44070
      4075.33900,       -017.02442,       -099.63916,        017.02442,        099.63916
      4075.39800,       -019.47121,       -100.24230,        019.47121,        100.24230
      4075.45300,       -017.60555,       -107.99670,        017.60555,        107.99670
      4075.51400,       -017.61345,       -108.13870,        017.61345,        108.13870
      4075.57100,       -017.26852,       -109.27380,        017.26852,        109.27380
      4075.62800,       -017.27235,       -109.26550,        017.27235,        109.26550
      4075.68300,       -017.91404,        101.82540,        017.91404,        101.82540
      4075.74000,       -018.10261,        103.00100,        018.10261,        103.00100
      4075.80400,       -018.10558,        103.64530,        018.10558,        103.64530
      4075.86100,       -018.29252,        093.25326,        018.29252,        093.25326
      4075.91800,       -019.81171,        083.96415,        019.81171,        083.96415
      4075.97400,       -020.04559,        081.39629,        020.04559,        081.39629
