       TimeStamp,         PELVIS.X,         PELVIS.Y,         PELVIS.Z,    SPINE_NAVAL.X,    SPINE_NAVAL.Y,    SPINE_NAVAL.Z,    SPINE_CHEST.X,    SPINE_CHEST.Y,    SPINE_CHEST.Z,           NECK.X,           NECK.Y,           NECK.Z,  CLAVICLE_LEFT.X,  CLAVICLE_LEFT.Y,  CLAVICLE_LEFT.Z,  SHOULDER_LEFT.X,  SHOULDER_LEFT.Y,  SHOULDER_LEFT.Z,     ELBOW_LEFT.X,     ELBOW_LEFT.Y,     ELBOW_LEFT.Z,     WRIST_LEFT.X,     WRIST_LEFT.Y,     WRIST_LEFT.Z,      HAND_LEFT.X,      HAND_LEFT.Y,      HAND_LEFT.Z,   HANDTIP_LEFT.X,   HANDTIP_LEFT.Y,   HANDTIP_LEFT.Z,     THUMB_LEFT.X,     THUMB_LEFT.Y,     THUMB_LEFT.Z, CLAVICLE_RIGHT.X, CLAVICLE_RIGHT.Y, CLAVICLE_RIGHT.Z, SHOULDER_RIGHT.X, SHOULDER_RIGHT.Y, SHOULDER_RIGHT.Z,    ELBOW_RIGHT.X,    ELBOW_RIGHT.Y,    ELBOW_RIGHT.Z,    WRIST_RIGHT.X,    WRIST_RIGHT.Y,    WRIST_RIGHT.Z,     HAND_RIGHT.X,     HAND_RIGHT.Y,     HAND_RIGHT.Z,  HANDTIP_RIGHT.X,  HANDTIP_RIGHT.Y,  HANDTIP_RIGHT.Z,    THUMB_RIGHT.X,    THUMB_RIGHT.Y,    THUMB_RIGHT.Z,       HIP_LEFT.X,       HIP_LEFT.Y,       HIP_LEFT.Z,      KNEE_LEFT.X,      KNEE_LEFT.Y,      KNEE_LEFT.Z,     ANKLE_LEFT.X,     ANKLE_LEFT.Y,     ANKLE_LEFT.Z,      FOOT_LEFT.X,      FOOT_LEFT.Y,      FOOT_LEFT.Z,      HIP_RIGHT.X,      HIP_RIGHT.Y,      HIP_RIGHT.Z,     KNEE_RIGHT.X,     KNEE_RIGHT.Y,     KNEE_RIGHT.Z,    ANKLE_RIGHT.X,    ANKLE_RIGHT.Y,    ANKLE_RIGHT.Z,     FOOT_RIGHT.X,     FOOT_RIGHT.Y,     FOOT_RIGHT.Z,           HEAD.X,           HEAD.Y,           HEAD.Z,           NOSE.X,           NOSE.Y,           NOSE.Z,       EYE_LEFT.X,       EYE_LEFT.Y,       EYE_LEFT.Z,       EAR_LEFT.X,       EAR_LEFT.Y,       EAR_LEFT.Z,      EYE_RIGHT.X,      EYE_RIGHT.Y,      EYE_RIGHT.Z,      EAR-RIGHT.X,      EAR-RIGHT.Y,      EAR-RIGHT.Z
    4144.6860000,       00.0833224,      -00.0247265,       02.9269500,       00.0879177,       00.1571492,       02.8975600,       00.0915891,       00.3037420,       02.8832770,       00.0963046,       00.5276049,       02.8959100,       00.1302731,       00.4900593,       02.8961850,       00.2651962,       00.4302904,       02.8907410,       00.3147507,       00.1592392,       02.9653280,       00.3206387,      -00.0757740,       02.9190990,       00.3225777,      -00.1733740,       02.9381990,       00.2714839,      -00.2669437,       02.9051370,       00.2505757,      -00.1922838,       02.8743110,       00.0608102,       00.4910491,       02.8936280,      -00.0656487,       00.4458458,       02.8731340,      -00.1349735,       00.1715822,       02.9407630,      -00.1407546,      -00.0607499,       02.8710920,      -00.1327588,      -00.1568360,       02.9177220,      -00.0852464,      -00.2415920,       02.8667670,      -00.0974331,      -00.1835839,       02.8769010,       00.1774836,      -00.0270530,       02.9272750,       00.1909526,      -00.4285227,       03.0255590,       00.1992901,      -00.8051820,       03.1449640,       00.2131929,      -00.8835108,       02.9685510,      -00.0015869,      -00.0226286,       02.9266570,      -00.0101111,      -00.4253410,       03.0183140,      -00.0125624,      -00.8065657,       03.1373290,      -00.0309683,      -00.8869660,       02.9795370,       00.0985748,       00.6114609,       02.8867790,       00.0734705,       00.6671405,       02.7324340,       00.1093378,       00.6976755,       02.7659620,       00.1871948,       00.6706216,       02.8677240,       00.0556364,       00.6988306,       02.7716000,       00.0198129,       00.6855128,       02.9014360
    4144.7400000,       00.0835311,      -00.0272381,       02.9277820,       00.0883744,       00.1549630,       02.8973280,       00.0921738,       00.3020072,       02.8836010,       00.0967295,       00.5265626,       02.8947260,       00.1308197,       00.4889445,       02.8952520,       00.2675291,       00.4321390,       02.8923650,       00.3138997,       00.1598824,       02.9675730,       00.3210457,      -00.0755886,       02.9204860,       00.3215846,      -00.1739836,       02.9368010,       00.2706177,      -00.2658040,       02.8980970,       00.2523621,      -00.1913689,       02.8706420,       00.0611670,       00.4898651,       02.8926970,      -00.0662557,       00.4456140,       02.8737050,      -00.1330566,       00.1699821,       02.9417080,      -00.1421112,      -00.0641531,       02.8762560,      -00.1352536,      -00.1613934,       02.9213150,      -00.0850935,      -00.2431785,       02.8674830,      -00.0961332,      -00.1869560,       02.8774020,       00.1779430,      -00.0295887,       02.9287340,       00.1929507,      -00.4317887,       03.0285230,       00.2017122,      -00.8087106,       03.1505920,       00.2200518,      -00.8866174,       02.9738220,      -00.0016043,      -00.0251184,       02.9269240,      -00.0095169,      -00.4282233,       03.0219070,      -00.0124534,      -00.8098869,       03.1431250,      -00.0247421,      -00.8823313,       02.9804160,       00.0989382,       00.6105829,       02.8849920,       00.0777089,       00.6655168,       02.7293180,       00.1114976,       00.6972287,       02.7641590,       00.1866068,       00.6725398,       02.8689990,       00.0574709,       00.6967685,       02.7678620,       00.0172856,       00.6824340,       02.8966920
    4144.7990000,       00.0875414,      -00.0245180,       02.9283870,       00.0905118,       00.1571951,       02.8983360,       00.0930045,       00.3035480,       02.8821800,       00.0983587,       00.5273562,       02.8935880,       00.1322014,       00.4897317,       02.8941000,       00.2676586,       00.4311376,       02.8921880,       00.3133817,       00.1592831,       02.9657750,       00.3221735,      -00.0758323,       02.9211410,       00.3237912,      -00.1732984,       02.9407040,       00.2711233,      -00.2637247,       02.9020210,       00.2538090,      -00.1922811,       02.8738580,       00.0627767,       00.4909091,       02.8914740,      -00.0637959,       00.4461516,       02.8711310,      -00.1347802,       00.1734883,       02.9427970,      -00.1417028,      -00.0582073,       02.8715300,      -00.1453365,      -00.1570497,       02.9124800,      -00.0854548,      -00.2417215,       02.8768320,      -00.0964295,      -00.1832686,       02.8731940,       00.1816641,      -00.0262506,       02.9272140,       00.1939728,      -00.4273690,       03.0262580,       00.2003536,      -00.8031862,       03.1478000,       00.2204967,      -00.8885677,       02.9754080,       00.0026668,      -00.0229556,       02.9294450,      -00.0088186,      -00.4255275,       03.0205150,      -00.0133740,      -00.8067577,       03.1388160,      -00.0315554,      -00.8847234,       02.9798740,       00.1008805,       00.6111144,       02.8840060,       00.0804088,       00.6653053,       02.7285340,       00.1143431,       00.6967716,       02.7631490,       00.1888606,       00.6719790,       02.8678650,       00.0604819,       00.6968326,       02.7667780,       00.0201447,       00.6835485,       02.8952190
    4144.8670000,       00.0859728,      -00.0232482,       02.9269390,       00.0905262,       00.1581232,       02.8969430,       00.0942833,       00.3042692,       02.8814560,       00.0976053,       00.5277064,       02.8934040,       00.1316954,       00.4904290,       02.8942640,       00.2666307,       00.4312423,       02.8951980,       00.3119242,       00.1579926,       02.9616560,       00.3211553,      -00.0778660,       02.9237200,       00.3218979,      -00.1767073,       02.9327290,       00.2706253,      -00.2679363,       02.8946080,       00.2550057,      -00.1973425,       02.8806400,       00.0624208,       00.4910303,       02.8907590,      -00.0638286,       00.4461349,       02.8702530,      -00.1339573,       00.1735963,       02.9412270,      -00.1415036,      -00.0599518,       02.8779170,      -00.1386232,      -00.1591799,       02.9174950,      -00.0846645,      -00.2414419,       02.8694690,      -00.0971595,      -00.1830818,       02.8769170,       00.1799199,      -00.0257642,       02.9259870,       00.1930252,      -00.4264165,       03.0238750,       00.2004258,      -00.8018070,       03.1444910,       00.2201906,      -00.8873673,       02.9725130,       00.0012565,      -00.0209794,       02.9277970,      -00.0094707,      -00.4228990,       03.0186560,      -00.0136921,      -00.8037949,       03.1357480,      -00.0311776,      -00.8866695,       02.9795760,       00.0995425,       00.6113621,       02.8840550,       00.0854171,       00.6582814,       02.7258380,       00.1173247,       00.6916632,       02.7604230,       00.1872557,       00.6725977,       02.8691460,       00.0634502,       00.6911189,       02.7616590,       00.0176442,       00.6829420,       02.8884400
    4144.9220000,       00.0835288,      -00.0234204,       02.9286940,       00.0884687,       00.1578983,       02.8992080,       00.0925609,       00.3038583,       02.8830110,       00.0974013,       00.5270876,       02.8954790,       00.1312423,       00.4896222,       02.8958820,       00.2653559,       00.4289288,       02.8924290,       00.3125771,       00.1580697,       02.9661130,       00.3214299,      -00.0766985,       02.9227330,       00.3215342,      -00.1753751,       02.9327770,       00.2717052,      -00.2687097,       02.8982260,       00.2591262,      -00.1991189,       02.8781240,       00.0619864,       00.4906625,       02.8931170,      -00.0646378,       00.4468619,       02.8731690,      -00.1335690,       00.1735743,       02.9415860,      -00.1420782,      -00.0602577,       02.8800990,      -00.1399586,      -00.1602625,       02.9175160,      -00.0846094,      -00.2418204,       02.8700440,      -00.0970628,      -00.1832024,       02.8769810,       00.1773983,      -00.0262117,       02.9272560,       00.1931883,      -00.4263648,       03.0256100,       00.2030607,      -00.8017984,       03.1450360,       00.2168521,      -00.8861250,       02.9720170,      -00.0011175,      -00.0209033,       02.9299910,      -00.0097439,      -00.4230398,       03.0188250,      -00.0126920,      -00.8041021,       03.1344880,      -00.0289337,      -00.8841193,       02.9768350,       00.0997598,       00.6106969,       02.8863270,       00.0808550,       00.6628715,       02.7303890,       00.1139775,       00.6949458,       02.7650030,       00.1871829,       00.6720340,       02.8706800,       00.0602038,       00.6945567,       02.7679340,       00.0184336,       00.6823397,       02.8956830
    4144.9780000,       00.0835502,      -00.0236790,       02.9276600,       00.0884306,       00.1579337,       02.8988620,       00.0923845,       00.3042504,       02.8846710,       00.0970085,       00.5277938,       02.8953890,       00.1308969,       00.4903159,       02.8963870,       00.2657624,       00.4308569,       02.8957820,       00.3123818,       00.1585401,       02.9654410,       00.3210986,      -00.0760349,       02.9197630,       00.3224602,      -00.1749217,       02.9285230,       00.2711767,      -00.2696463,       02.9000710,       00.2569594,      -00.1997622,       02.8790440,       00.0615991,       00.4912948,       02.8930140,      -00.0646144,       00.4466604,       02.8714760,      -00.1344859,       00.1736257,       02.9411390,      -00.1411413,      -00.0589967,       02.8741510,      -00.1460297,      -00.1588695,       02.9119570,      -00.0843809,      -00.2414415,       02.8748960,      -00.1040838,      -00.1819912,       02.8875260,       00.1775287,      -00.0262407,       02.9274310,       00.1918408,      -00.4267242,       03.0263550,       00.2003488,      -00.8015298,       03.1490830,       00.2139654,      -00.8828098,       02.9743890,      -00.0011945,      -00.0213689,       02.9278660,      -00.0101832,      -00.4234707,       03.0186670,      -00.0124405,      -00.8039694,       03.1374970,      -00.0344439,      -00.8861623,       02.9814760,       00.0994056,       00.6114095,       02.8855740,       00.0809809,       00.6658639,       02.7301870,       00.1137774,       00.6976305,       02.7654820,       00.1866444,       00.6735212,       02.8712840,       00.0599401,       00.6968971,       02.7681320,       00.0175496,       00.6825193,       02.8955910
    4145.0350000,       00.0836022,      -00.0217395,       02.9275970,       00.0886161,       00.1605152,       02.8989510,       00.0928144,       00.3073849,       02.8854690,       00.0973664,       00.5316343,       02.8970590,       00.1314197,       00.4940666,       02.8974120,       00.2653107,       00.4314413,       02.8928400,       00.3138844,       00.1594851,       02.9663600,       00.3227401,      -00.0767674,       02.9254150,       00.3213773,      -00.1760915,       02.9328970,       00.2702320,      -00.2678623,       02.8947200,       00.2577844,      -00.1981875,       02.8841030,       00.0618477,       00.4949827,       02.8950480,      -00.0641209,       00.4472116,       02.8761090,      -00.1337516,       00.1722359,       02.9423370,      -00.1417416,      -00.0610369,       02.8748330,      -00.1340389,      -00.1604006,       02.9144760,      -00.0845766,      -00.2481488,       02.8705900,      -00.1007290,      -00.1860233,       02.8750970,       00.1778742,      -00.0245767,       02.9260460,       00.1898420,      -00.4261997,       03.0264070,       00.1961253,      -00.8022428,       03.1497200,       00.2197282,      -00.8854197,       02.9762730,      -00.0014070,      -00.0191811,       02.9289960,      -00.0104911,      -00.4226578,       03.0199440,      -00.0133597,      -00.8046315,       03.1384980,      -00.0340940,      -00.8838337,       02.9800970,       00.0995360,       00.6155706,       02.8875160,       00.0815594,       00.6582411,       02.7278630,       00.1133061,       00.6933934,       02.7611680,       00.1857450,       00.6787720,       02.8695090,       00.0592942,       00.6915508,       02.7633500,       00.0156544,       00.6854588,       02.8915290
    4145.0990000,       00.0814396,      -00.0241577,       02.9282530,       00.0868649,       00.1570938,       02.8978420,       00.0913209,       00.3027399,       02.8785100,       00.0955012,       00.5258881,       02.8943510,       00.1294899,       00.4885207,       02.8939170,       00.2651714,       00.4311822,       02.8910850,       00.3134081,       00.1596702,       02.9622510,       00.3229919,      -00.0760779,       02.9239350,       00.3217487,      -00.1741950,       02.9387660,       00.2722789,      -00.2682106,       02.9053740,       00.2575028,      -00.1973208,       02.8848080,       00.0601742,       00.4893591,       02.8917100,      -00.0669905,       00.4459648,       02.8739400,      -00.1335127,       00.1726247,       02.9451320,      -00.1412002,      -00.0589835,       02.8751940,      -00.1344446,      -00.1584456,       02.9136550,      -00.0848787,      -00.2471332,       02.8729200,      -00.0976160,      -00.1821818,       02.8736560,       00.1753435,      -00.0272664,       02.9264770,       00.1891376,      -00.4275697,       03.0254400,       00.1973761,      -00.8025908,       03.1469600,       00.2190147,      -00.8849615,       02.9736880,      -00.0032376,      -00.0213544,       02.9298540,      -00.0106174,      -00.4234296,       03.0200850,      -00.0118789,      -00.8043752,       03.1368890,      -00.0339581,      -00.8851057,       02.9802060,       00.0975034,       00.6096795,       02.8864520,       00.0811951,       00.6597197,       02.7294320,       00.1133678,       00.6925462,       02.7642870,       00.1847228,       00.6716300,       02.8717150,       00.0595237,       00.6917100,       02.7661750,       00.0153417,       00.6807385,       02.8932990
    4145.1530000,       00.0807689,      -00.0255374,       02.9282880,       00.0874050,       00.1554366,       02.8976420,       00.0928724,       00.3015969,       02.8846820,       00.0954225,       00.5249155,       02.8936200,       00.1296175,       00.4878241,       02.8947500,       00.2651810,       00.4305592,       02.8931490,       00.3135707,       00.1589104,       02.9624590,       00.3238661,      -00.0765971,       02.9244260,       00.3220374,      -00.1751076,       02.9353800,       00.2715627,      -00.2675114,       02.8994790,       00.2575383,      -00.1964636,       02.8832830,       00.0604028,       00.4881216,       02.8916990,      -00.0662049,       00.4446007,       02.8715190,      -00.1355570,       00.1733487,       02.9466370,      -00.1429231,      -00.0586293,       02.8788070,      -00.1429883,      -00.1599180,       02.9124820,      -00.0865386,      -00.2461158,       02.8758810,      -00.1038791,      -00.1836243,       02.8798730,       00.1745691,      -00.0291223,       02.9274300,       00.1887160,      -00.4286760,       03.0275480,       00.1968305,      -00.8028701,       03.1502670,       00.2189540,      -00.8848993,       02.9771210,      -00.0038150,      -00.0223048,       02.9290620,      -00.0116181,      -00.4237462,       03.0200850,      -00.0127041,      -00.8033909,       03.1396560,      -00.0434596,      -00.8877656,       02.9866110,       00.0969790,       00.6083450,       02.8831570,       00.0800923,       00.6590042,       02.7265820,       00.1115274,       00.6921775,       02.7616800,       00.1829518,       00.6719581,       02.8690270,       00.0577617,       00.6903133,       02.7634350,       00.0135607,       00.6777195,       02.8902510
    4145.2110000,       00.0806296,      -00.0236254,       02.9297840,       00.0864969,       00.1573957,       02.9004550,       00.0913494,       00.3032798,       02.8859920,       00.0963358,       00.5262795,       02.8958800,       00.1301055,       00.4888625,       02.8965950,       00.2646929,       00.4298353,       02.8926800,       00.3135549,       00.1588215,       02.9628990,       00.3214964,      -00.0758010,       02.9206570,       00.3177045,      -00.1718507,       02.9444650,       00.2713831,      -00.2585809,       02.8926870,       00.2591586,      -00.1971266,       02.8902640,       00.0609510,       00.4899068,       02.8940570,      -00.0647549,       00.4445868,       02.8731750,      -00.1411704,       00.1753893,       02.9476400,      -00.1493780,      -00.0575774,       02.8843630,      -00.1636546,      -00.1600669,       02.9100790,      -00.0975310,      -00.2438712,       02.8869420,      -00.0971817,      -00.1831814,       02.8704460,       00.1743379,      -00.0268681,       02.9285150,       00.1887331,      -00.4267455,       03.0254530,       00.1972866,      -00.8012875,       03.1457140,       00.2187170,      -00.8835612,       02.9728250,      -00.0038713,      -00.0207012,       02.9309270,      -00.0107640,      -00.4225425,       03.0182050,      -00.0112119,      -00.8030981,       03.1333980,      -00.0279843,      -00.8834112,       02.9762690,       00.0987012,       00.6096452,       02.8857830,       00.0737151,       00.6622331,       02.7311230,       00.1086794,       00.6937681,       02.7642360,       00.1860092,       00.6697733,       02.8664210,       00.0551699,       00.6940711,       02.7695090,       00.0189292,       00.6822060,       02.8987450
