       TimeStamp,     Flexion_Left,    Flexion_Right,   Abduction_Left,  Abduction_Right
      3742.94800,       -018.81614,       -020.44654,        018.81614,        020.44654
      3743.00700,       -019.14188,       -020.30599,        019.14188,        020.30599
      3743.07700,       -017.64923,       -018.93929,        017.64923,        018.93929
      3743.13600,       -019.20683,       -019.70152,        019.20683,        019.70152
      3743.19600,       -017.47963,       -019.83615,        017.47963,        019.83615
      3743.25200,       -017.32469,       -019.90695,        017.32469,        019.90695
      3743.30900,       -018.28130,       -019.45936,        018.28130,        019.45936
      3743.36700,       -019.12938,       -020.83166,        019.12938,        020.83166
      3743.42800,       -017.47640,       -018.68882,        017.47640,        018.68882
      3743.48600,       -017.18665,       -019.22776,        017.18665,        019.22776
      3743.54700,       -017.02044,       -018.96466,        017.02044,        018.96466
      3743.60600,       -016.56291,       -018.36035,        016.56291,        018.36035
      3743.66000,       -016.05439,       -018.68554,        016.05439,        018.68554
      3743.71700,       -015.46298,       -018.67965,        015.46298,        018.67965
      3743.77200,       -015.64573,       -018.79984,        015.64573,        018.79984
      3743.83100,       -015.76855,       -018.72682,        015.76855,        018.72682
      3743.88800,       -016.47454,       -021.16317,        016.47454,        021.16317
      3743.94300,       -016.31272,       -026.41248,        016.31272,        026.41248
      3743.99900,       -016.86742,       -028.30237,        016.86742,        028.30237
      3744.06300,       -017.76572,       -038.46586,        017.76572,        038.46586
      3744.11900,       -017.68999,       -043.63741,        017.68999,        043.63741
      3744.17600,       -016.56697,       -045.72216,        016.56697,        045.72216
      3744.23400,       -016.76326,       -046.78875,        016.76326,        046.78875
      3744.29100,       -017.02637,       -045.38762,        017.02637,        045.38762
      3744.34900,       -016.48866,       -039.21576,        016.48866,        039.21576
      3744.40700,       -016.58447,       -036.82461,        016.58447,        036.82461
      3744.46700,       -015.77271,       -030.07968,        015.77271,        030.07968
      3744.52300,       -017.64116,       -030.81740,        017.64116,        030.81740
      3744.58300,       -016.24374,       -024.32055,        016.24374,        024.32055
      3744.64100,       -016.89905,       -020.76586,        016.89905,        020.76586
      3744.70200,       -015.98373,       -019.85364,        015.98373,        019.85364
