       TimeStamp,     Flexion_Left,    Flexion_Right,   Abduction_Left,  Abduction_Right
      2734.11100,       -016.72437,       -018.96634,        016.72437,        018.96634
      2734.17000,       -015.85716,       -019.07685,        015.85716,        019.07685
      2734.23600,       -015.65606,       -018.35493,        015.65606,        018.35493
      2734.29500,       -015.73903,       -018.37853,        015.73903,        018.37853
      2734.36200,       -015.79675,       -018.32409,        015.79675,        018.32409
      2734.42000,       -016.44534,       -019.01250,        016.44534,        019.01250
      2734.47900,       -016.84723,       -018.07747,        016.84723,        018.07747
      2734.53500,       -016.71183,       -018.41437,        016.71183,        018.41437
      2734.59200,       -015.39472,       -018.15684,        015.39472,        018.15684
      2734.65500,       -015.45467,       -018.16282,        015.45467,        018.16282
      2734.71200,       -015.23870,       -018.93052,        015.23870,        018.93052
      2734.77100,       -015.78572,       -018.99357,        015.78572,        018.99357
      2734.82600,       -014.70062,       -018.68718,        014.70062,        018.68718
      2734.88400,       -015.75302,       -018.61264,        015.75302,        018.61264
      2734.94500,       -015.90219,       -017.88168,        015.90219,        017.88168
      2735.00100,       -016.16765,       -024.59781,        016.16765,        024.59781
      2735.06000,       -016.14375,       -024.87809,        016.14375,        024.87809
      2735.11600,       -016.71349,       -032.68612,        016.71349,        032.68612
      2735.17300,       -016.26863,       -038.48175,        016.26863,        038.48175
      2735.23700,       -015.62814,       -039.56380,        015.62814,        039.56380
      2735.29400,       -015.74454,       -040.32203,        015.74454,        040.32203
      2735.35000,       -015.43268,       -040.62957,        015.43268,        040.62957
      2735.40600,       -016.05660,       -039.75144,        016.05660,        039.75144
      2735.46300,       -016.12604,       -037.07148,        016.12604,        037.07148
      2735.52600,       -015.80898,       -028.49148,        015.80898,        028.49148
      2735.58800,       -016.30961,       -025.07279,        016.30961,        025.07279
      2735.64700,       -016.20605,       -024.00468,        016.20605,        024.00468
      2735.71100,       -015.71947,       -021.97751,        015.71947,        021.97751
      2735.76800,       -016.24093,       -022.26190,        016.24093,        022.26190
      2735.82300,       -016.43212,       -022.82420,        016.43212,        022.82420
      2735.87800,       -017.21831,       -022.94765,        017.21831,        022.94765
      2735.93700,       -017.09521,       -022.99207,        017.09521,        022.99207
      2735.99400,       -016.16921,       -022.63911,        016.16921,        022.63911
      2736.04800,       -016.49020,       -022.81296,        016.49020,        022.81296
      2736.10600,       -015.52332,       -023.01518,        015.52332,        023.01518
      2736.16200,       -015.87423,       -022.76759,        015.87423,        022.76759
      2736.21700,       -016.05483,       -022.53254,        016.05483,        022.53254
      2736.27200,       -016.56145,       -022.94645,        016.56145,        022.94645
      2736.32900,       -016.15951,       -021.77557,        016.15951,        021.77557
      2736.38800,       -017.18069,       -021.62498,        017.18069,        021.62498
      2736.44600,       -015.98260,       -021.70672,        015.98260,        021.70672
      2736.50600,       -015.78478,       -021.72336,        015.78478,        021.72336
      2736.56300,       -015.89653,       -021.70190,        015.89653,        021.70190
      2736.62100,       -016.25002,       -022.13910,        016.25002,        022.13910
      2736.67900,       -016.32407,       -020.58042,        016.32407,        020.58042
      2736.74100,       -017.49155,       -024.32652,        017.49155,        024.32652
      2736.79800,       -016.74810,       -022.02370,        016.74810,        022.02370
      2736.85400,       -017.96010,       -026.63982,        017.96010,        026.63982
      2736.91100,       -017.34661,       -030.79061,        017.34661,        030.79061
      2736.98100,       -017.52438,       -033.95313,        017.52438,        033.95313
      2737.03900,       -017.26361,       -037.56796,        017.26361,        037.56796
      2737.10900,       -017.45975,       -041.96968,        017.45975,        041.96968
      2737.16800,       -019.19842,       -046.40016,        019.19842,        046.40016
      2737.22400,       -019.56065,       -051.68185,        019.56065,        051.68185
      2737.28200,       -019.93061,       -059.56134,        019.93061,        059.56134
      2737.33900,       -019.83605,       -065.99329,        019.83605,        065.99329
      2737.39600,       -018.93112,       -068.52588,        018.93112,        068.52588
      2737.45800,       -020.48358,       -070.79402,        020.48358,        070.79402
      2737.51700,       -019.84904,       -075.57359,        019.84904,        075.57359
      2737.57400,       -020.21788,       -093.29286,        020.21788,        093.29286
      2737.63200,       -020.26296,       -095.32653,        020.26296,        095.32653
      2737.69800,       -017.46081,       -097.80532,        017.46081,        097.80532
      2737.75600,       -018.92672,       -099.36152,        018.92672,        099.36152
      2737.81600,       -018.28243,       -097.97354,        018.28243,        097.97354
      2737.88400,       -017.74554,       -100.72610,        017.74554,        100.72610
      2737.96000,       -016.83469,       -105.45100,        016.83469,        105.45100
      2738.01700,       -016.74838,       -105.05980,        016.74838,        105.05980
      2738.07900,       -017.29873,       -106.98560,        017.29873,        106.98560
      2738.13800,       -017.63250,       -109.61940,        017.63250,        109.61940
      2738.19300,       -017.61880,       -109.77720,        017.61880,        109.77720
      2738.25000,       -018.05150,       -110.97650,        018.05150,        110.97650
      2738.30800,       -019.72581,       -108.96570,        019.72581,        108.96570
      2738.36800,       -018.57924,       -107.11260,        018.57924,        107.11260
      2738.42300,       -017.69561,       -109.19810,        017.69561,        109.19810
      2738.48000,       -020.07652,       -107.80160,        020.07652,        107.80160
      2738.53600,       -019.74247,       -105.14020,        019.74247,        105.14020
      2738.59900,       -018.43207,       -107.65910,        018.43207,        107.65910
      2738.65600,       -017.69898,       -104.12750,        017.69898,        104.12750
