       TimeStamp,         PELVIS.X,         PELVIS.Y,         PELVIS.Z,    SPINE_NAVAL.X,    SPINE_NAVAL.Y,    SPINE_NAVAL.Z,    SPINE_CHEST.X,    SPINE_CHEST.Y,    SPINE_CHEST.Z,           NECK.X,           NECK.Y,           NECK.Z,  CLAVICLE_LEFT.X,  CLAVICLE_LEFT.Y,  CLAVICLE_LEFT.Z,  SHOULDER_LEFT.X,  SHOULDER_LEFT.Y,  SHOULDER_LEFT.Z,     ELBOW_LEFT.X,     ELBOW_LEFT.Y,     ELBOW_LEFT.Z,     WRIST_LEFT.X,     WRIST_LEFT.Y,     WRIST_LEFT.Z,      HAND_LEFT.X,      HAND_LEFT.Y,      HAND_LEFT.Z,   HANDTIP_LEFT.X,   HANDTIP_LEFT.Y,   HANDTIP_LEFT.Z,     THUMB_LEFT.X,     THUMB_LEFT.Y,     THUMB_LEFT.Z, CLAVICLE_RIGHT.X, CLAVICLE_RIGHT.Y, CLAVICLE_RIGHT.Z, SHOULDER_RIGHT.X, SHOULDER_RIGHT.Y, SHOULDER_RIGHT.Z,    ELBOW_RIGHT.X,    ELBOW_RIGHT.Y,    ELBOW_RIGHT.Z,    WRIST_RIGHT.X,    WRIST_RIGHT.Y,    WRIST_RIGHT.Z,     HAND_RIGHT.X,     HAND_RIGHT.Y,     HAND_RIGHT.Z,  HANDTIP_RIGHT.X,  HANDTIP_RIGHT.Y,  HANDTIP_RIGHT.Z,    THUMB_RIGHT.X,    THUMB_RIGHT.Y,    THUMB_RIGHT.Z,       HIP_LEFT.X,       HIP_LEFT.Y,       HIP_LEFT.Z,      KNEE_LEFT.X,      KNEE_LEFT.Y,      KNEE_LEFT.Z,     ANKLE_LEFT.X,     ANKLE_LEFT.Y,     ANKLE_LEFT.Z,      FOOT_LEFT.X,      FOOT_LEFT.Y,      FOOT_LEFT.Z,      HIP_RIGHT.X,      HIP_RIGHT.Y,      HIP_RIGHT.Z,     KNEE_RIGHT.X,     KNEE_RIGHT.Y,     KNEE_RIGHT.Z,    ANKLE_RIGHT.X,    ANKLE_RIGHT.Y,    ANKLE_RIGHT.Z,     FOOT_RIGHT.X,     FOOT_RIGHT.Y,     FOOT_RIGHT.Z,           HEAD.X,           HEAD.Y,           HEAD.Z,           NOSE.X,           NOSE.Y,           NOSE.Z,       EYE_LEFT.X,       EYE_LEFT.Y,       EYE_LEFT.Z,       EAR_LEFT.X,       EAR_LEFT.Y,       EAR_LEFT.Z,      EYE_RIGHT.X,      EYE_RIGHT.Y,      EYE_RIGHT.Z,      EAR-RIGHT.X,      EAR-RIGHT.Y,      EAR-RIGHT.Z
    2864.0530000,       00.1110092,      -00.0262088,       02.9250860,       00.1168503,       00.1559441,       02.8973980,       00.1215104,       00.3024746,       02.8824060,       00.1296798,       00.5266474,       02.8834950,       00.1630761,       00.4886377,       02.8856940,       00.2954494,       00.4231440,       02.8834910,       00.3307024,       00.1520682,       02.9659710,       00.3272966,      -00.0836297,       02.9227700,       00.3284061,      -00.1828777,       02.9296830,       00.2876011,      -00.2734920,       02.8788000,       00.2812322,      -00.2085355,       02.8654880,       00.0936167,       00.4905643,       02.8831080,      -00.0327249,       00.4455745,       02.8612450,      -00.1150344,       00.1767885,       02.9362190,      -00.1337857,      -00.0565786,       02.8723220,      -00.1033042,      -00.1569932,       02.8938670,      -00.0860483,      -00.2652147,       02.8880690,      -00.0791484,      -00.1666107,       02.8721520,       00.2051757,      -00.0291523,       02.9255880,       00.2229563,      -00.4313908,       03.0204110,       00.2349611,      -00.8083642,       03.1388320,       00.2432611,      -00.8879222,       02.9625640,       00.0260952,      -00.0235545,       02.9246350,       00.0058980,      -00.4272051,       03.0106210,      -00.0064584,      -00.8100358,       03.1240670,      -00.0365202,      -00.8873644,       02.9664790,       00.1332289,       00.6098977,       02.8700540,       00.1161330,       00.6433071,       02.7083190,       00.1497976,       00.6788073,       02.7391600,       00.2221973,       00.6674157,       02.8477240,       00.0958447,       00.6797914,       02.7417120,       00.0530278,       00.6838951,       02.8700740
    2864.1110000,       00.1100490,      -00.0288284,       02.9246430,       00.1158266,       00.1523852,       02.8972670,       00.1205326,       00.2979347,       02.8804960,       00.1291497,       00.5208961,       02.8822960,       00.1623001,       00.4830093,       02.8841420,       00.2947780,       00.4195400,       02.8813900,       00.3305081,       00.1505855,       02.9653700,       00.3258241,      -00.0837352,       02.9218250,       00.3269618,      -00.1824953,       02.9281260,       00.2866158,      -00.2743760,       02.8805490,       00.2791081,      -00.2081186,       02.8657110,       00.0931982,       00.4850832,       02.8820140,      -00.0329447,       00.4417028,       02.8602150,      -00.1143122,       00.1745811,       02.9361920,      -00.1344369,      -00.0587798,       02.8777990,      -00.1020927,      -00.1589411,       02.8944310,      -00.0843964,      -00.2661985,       02.8844990,      -00.0795105,      -00.1677109,       02.8714240,       00.2037026,      -00.0319922,       02.9234660,       00.2225371,      -00.4320134,       03.0179270,       00.2357161,      -00.8069391,       03.1357470,       00.2427412,      -00.8857248,       02.9602020,       00.0255974,      -00.0259756,       02.9257040,       00.0051775,      -00.4275662,       03.0107830,      -00.0077434,      -00.8085230,       03.1230320,      -00.0341326,      -00.8871422,       02.9664930,       00.1327753,       00.6037433,       02.8691890,       00.1172636,       00.6489813,       02.7111130,       00.1496674,       00.6824141,       02.7449000,       00.2204566,       00.6640736,       02.8527370,       00.0959627,       00.6822342,       02.7467230,       00.0516249,       00.6756888,       02.8737060
    2864.1780000,       00.1101369,      -00.0263126,       02.9276210,       00.1165373,       00.1557609,       02.9004860,       00.1216490,       00.3021472,       02.8853500,       00.1307578,       00.5261130,       02.8850160,       00.1639775,       00.4880062,       02.8873090,       00.2950341,       00.4201585,       02.8852620,       00.3311650,       00.1494298,       02.9677410,       00.3261553,      -00.0852467,       02.9203620,       00.3284173,      -00.1835210,       02.9352280,       00.2867724,      -00.2703020,       02.8788300,       00.2817292,      -00.2132185,       02.8714210,       00.0945700,       00.4902088,       02.8850030,      -00.0314391,       00.4449407,       02.8624570,      -00.1151313,       00.1778420,       02.9409760,      -00.1354492,      -00.0519829,       02.8663330,      -00.1028494,      -00.1508079,       02.8914250,      -00.0853687,      -00.2590609,       02.8907920,      -00.0783757,      -00.1611220,       02.8667510,       00.2042211,      -00.0295481,       02.9281040,       00.2229175,      -00.4317897,       03.0213340,       00.2356379,      -00.8091257,       03.1374870,       00.2427048,      -00.8845348,       02.9595140,       00.0252970,      -00.0233951,       02.9271860,       00.0051765,      -00.4273513,       03.0101720,      -00.0076341,      -00.8106732,       03.1207890,      -00.0364375,      -00.8861337,       02.9622190,       00.1345971,       00.6091989,       02.8710560,       00.1164926,       00.6431599,       02.7096770,       00.1489422,       00.6794922,       02.7407660,       00.2215789,       00.6697057,       02.8492070,       00.0950265,       00.6786947,       02.7432900,       00.0520836,       00.6804783,       02.8715540
    2864.2420000,       00.1102801,      -00.0281062,       02.9240340,       00.1164962,       00.1535681,       02.8975950,       00.1214847,       00.2996111,       02.8830140,       00.1295915,       00.5230036,       02.8826970,       00.1628880,       00.4851458,       02.8849570,       00.2949120,       00.4201137,       02.8826860,       00.3312489,       00.1508853,       02.9672700,       00.3266231,      -00.0826928,       02.9177680,       00.3285216,      -00.1810327,       02.9302480,       00.2858280,      -00.2721542,       02.8827900,       00.2813837,      -00.2109986,       02.8687070,       00.0936594,       00.4870399,       02.8827060,      -00.0330785,       00.4444649,       02.8612520,      -00.1157509,       00.1781691,       02.9406430,      -00.1341457,      -00.0528821,       02.8716470,      -00.1026434,      -00.1519260,       02.8960230,      -00.0836486,      -00.2595789,       02.8929820,      -00.0792201,      -00.1619206,       02.8760650,       00.2041100,      -00.0312991,       02.9241550,       00.2219102,      -00.4318126,       03.0199730,       00.2337900,      -00.8070933,       03.1391740,       00.2429504,      -00.8861547,       02.9634690,       00.0256695,      -00.0252271,       02.9239250,       00.0060129,      -00.4271864,       03.0110210,      -00.0059916,      -00.8083917,       03.1250660,      -00.0332251,      -00.8883731,       02.9689990,       00.1330485,       00.6058803,       02.8687810,       00.1225139,       00.6480817,       02.7091500,       00.1520955,       00.6834072,       02.7437670,       00.2189812,       00.6696488,       02.8550090,       00.0983169,       00.6810253,       02.7433110,       00.0487618,       00.6745856,       02.8686180
    2864.2980000,       00.1100699,      -00.0268250,       02.9239250,       00.1158894,       00.1555344,       02.8986230,       00.1204943,       00.3019025,       02.8831310,       00.1289445,       00.5258806,       02.8858880,       00.1622403,       00.4878382,       02.8881620,       00.2937555,       00.4208601,       02.8894490,       00.3296852,       00.1494987,       02.9699270,       00.3280096,      -00.0847073,       02.9200340,       00.3278475,      -00.1839633,       02.9257290,       00.2819335,      -00.2734068,       02.8773760,       00.2815103,      -00.2144491,       02.8777870,       00.0928665,       00.4898793,       02.8848730,      -00.0329622,       00.4445049,       02.8615360,      -00.1159081,       00.1778286,       02.9422670,      -00.1342691,      -00.0536253,       02.8722850,      -00.1028400,      -00.1536942,       02.8936730,      -00.0849322,      -00.2617347,       02.8880490,      -00.0800263,      -00.1635204,       02.8726220,       00.2041612,      -00.0296488,       02.9252150,       00.2231226,      -00.4315814,       03.0197420,       00.2356818,      -00.8080240,       03.1387940,       00.2492875,      -00.8882424,       02.9633180,       00.0252236,      -00.0242786,       02.9227630,       00.0059188,      -00.4281470,       03.0063980,      -00.0059986,      -00.8114176,       03.1173130,      -00.0326708,      -00.8876081,       02.9587170,       00.1327410,       00.6091558,       02.8730840,       00.1178420,       00.6437312,       02.7115060,       00.1498323,       00.6798329,       02.7433320,       00.2203543,       00.6693992,       02.8531020,       00.0958750,       00.6792359,       02.7448270,       00.0505040,       00.6807533,       02.8722580
    2864.3560000,       00.1096350,      -00.0287709,       02.9273300,       00.1149405,       00.1526334,       02.8994720,       00.1191551,       00.2984109,       02.8828280,       00.1270574,       00.5216999,       02.8845440,       00.1603751,       00.4838709,       02.8864150,       00.2916844,       00.4176049,       02.8830810,       00.3288910,       00.1471080,       02.9626450,       00.3268694,      -00.0880628,       02.9218050,       00.3341247,      -00.1855647,       02.9379810,       00.2858560,      -00.2688693,       02.8823290,       00.2787951,      -00.2132039,       02.8691660,       00.0911744,       00.4857219,       02.8842680,      -00.0355303,       00.4437124,       02.8619210,      -00.1148470,       00.1764450,       02.9409740,      -00.1357782,      -00.0538187,       02.8704800,      -00.1025844,      -00.1521831,       02.8951440,      -00.0858594,      -00.2602028,       02.8953480,      -00.0810028,      -00.1633781,       02.8709240,       00.2034355,      -00.0313915,       02.9281300,       00.2232449,      -00.4315746,       03.0241060,       00.2364156,      -00.8067806,       03.1427980,       00.2473850,      -00.8875108,       02.9680560,       00.0250510,      -00.0264078,       02.9266100,       00.0060257,      -00.4291977,       03.0089720,      -00.0060608,      -00.8116787,       03.1179770,      -00.0326193,      -00.8870534,       02.9596110,       00.1304210,       00.6046647,       02.8713880,       00.1210213,       00.6491746,       02.7123940,       00.1517615,       00.6830742,       02.7473810,       00.2183014,       00.6657751,       02.8582640,       00.0979586,       00.6824304,       02.7469950,       00.0484286,       00.6760103,       02.8722460
    2864.4140000,       00.1097846,      -00.0289783,       02.9229180,       00.1152351,       00.1523117,       02.8969190,       00.1196581,       00.2978995,       02.8813940,       00.1263127,       00.5207604,       02.8835910,       00.1597747,       00.4831910,       02.8852860,       00.2911309,       00.4177174,       02.8816390,       00.3316208,       00.1494602,       02.9649810,       00.3326187,      -00.0841165,       02.9182740,       00.3336017,      -00.1816918,       02.9343420,       00.2877743,      -00.2690132,       02.8834510,       00.2803989,      -00.2071946,       02.8664500,       00.0907033,       00.4846594,       02.8833280,      -00.0359520,       00.4427742,       02.8622040,      -00.1149646,       00.1769153,       02.9440560,      -00.1363450,      -00.0522488,       02.8718560,      -00.1023497,      -00.1513485,       02.8908810,      -00.0776524,      -00.2571309,       02.8809550,      -00.0803494,      -00.1596782,       02.8750270,       00.2033808,      -00.0319073,       02.9221160,       00.2243817,      -00.4308850,       03.0191770,       00.2374128,      -00.8039258,       03.1419270,       00.2479873,      -00.8902913,       02.9703250,       00.0253849,      -00.0263372,       02.9236400,       00.0061430,      -00.4275298,       03.0094060,      -00.0060110,      -00.8080063,       03.1223310,      -00.0300040,      -00.8868030,       02.9656440,       00.1291757,       00.6035993,       02.8706410,       00.1162236,       00.6439219,       02.7111380,       00.1479889,       00.6784124,       02.7443920,       00.2169602,       00.6635326,       02.8538120,       00.0943014,       00.6781793,       02.7453320,       00.0479116,       00.6754311,       02.8716130
    2864.4750000,       00.1093847,      -00.0263678,       02.9243880,       00.1160361,       00.1560371,       02.8992300,       00.1215243,       00.3024195,       02.8837560,       00.1295105,       00.5264904,       02.8854120,       00.1629646,       00.4885237,       02.8867700,       00.2954551,       00.4235322,       02.8824130,       00.3320563,       00.1519949,       02.9622850,       00.3317248,      -00.0831572,       02.9166650,       00.3330546,      -00.1821818,       02.9257370,       00.2871901,      -00.2730178,       02.8799250,       00.2801814,      -00.2082208,       02.8642860,       00.0934965,       00.4903909,       02.8856770,      -00.0330938,       00.4454250,       02.8656770,      -00.1232145,       00.1788627,       02.9390640,      -00.1542990,      -00.0528274,       02.8743100,      -00.1105921,      -00.1487410,       02.8931770,      -00.0838415,      -00.2549875,       02.8878760,      -00.0898710,      -00.1571453,       02.8678410,       00.2034282,      -00.0302106,       02.9213890,       00.2229791,      -00.4313861,       03.0194690,       00.2371963,      -00.8071357,       03.1408800,       00.2440308,      -00.8865035,       02.9645630,       00.0245816,      -00.0229025,       02.9270920,       00.0054624,      -00.4271673,       03.0094340,      -00.0055417,      -00.8106946,       03.1199710,      -00.0280274,      -00.8859473,       02.9602250,       00.1326952,       00.6097491,       02.8721800,       00.1159403,       00.6431995,       02.7104980,       00.1470282,       00.6803710,       02.7420160,       00.2184171,       00.6724765,       02.8514830,       00.0931047,       00.6781930,       02.7438000,       00.0483589,       00.6789128,       02.8715000
    2864.5380000,       00.1093595,      -00.0263663,       02.9246400,       00.1157518,       00.1562480,       02.8996610,       00.1210477,       00.3028113,       02.8845120,       00.1288831,       00.5270966,       02.8865030,       00.1624082,       00.4891180,       02.8875140,       00.2949478,       00.4239964,       02.8820190,       00.3320682,       00.1523159,       02.9621280,       00.3326100,      -00.0839931,       02.9215830,       00.3333082,      -00.1824160,       02.9364510,       00.2888793,      -00.2713009,       02.8854360,       00.2817202,      -00.2087226,       02.8696960,       00.0928664,       00.4909345,       02.8870060,      -00.0342483,       00.4461928,       02.8690640,      -00.1251068,       00.1808523,       02.9469210,      -00.1576078,      -00.0510028,       02.8825960,      -00.1136796,      -00.1481518,       02.8935390,      -00.0886460,      -00.2543866,       02.8816130,      -00.0928294,      -00.1543568,       02.8629020,       00.2034906,      -00.0300962,       02.9214610,       00.2227718,      -00.4317285,       03.0193700,       00.2366509,      -00.8079889,       03.1404530,       00.2442996,      -00.8866689,       02.9636600,       00.0244773,      -00.0230028,       02.9275070,       00.0053088,      -00.4276881,       03.0097290,      -00.0054742,      -00.8117017,       03.1199610,      -00.0317096,      -00.8861339,       02.9602150,       00.1318960,       00.6104598,       02.8733820,       00.1171684,       00.6451392,       02.7116010,       00.1487937,       00.6815194,       02.7436030,       00.2191600,       00.6715454,       02.8537080,       00.0947727,       00.6804600,       02.7449370,       00.0489529,       00.6814431,       02.8723900
    2864.5940000,       00.1122019,      -00.0253024,       02.9257750,       00.1166370,       00.1579226,       02.8987880,       00.1203014,       00.3050788,       02.8824820,       00.1283098,       00.5303112,       02.8879050,       00.1619330,       00.4921165,       02.8889570,       00.2943984,       00.4254125,       02.8827870,       00.3322064,       00.1527072,       02.9636780,       00.3339123,      -00.0845972,       02.9225930,       00.3347511,      -00.1831356,       02.9395460,       00.2896422,      -00.2711225,       02.8865090,       00.2873588,      -00.2142898,       02.8760090,       00.0920998,       00.4940204,       02.8872420,      -00.0357836,       00.4513682,       02.8654460,      -00.1500086,       00.1931735,       02.9414350,      -00.1766766,      -00.0400204,       02.8751670,      -00.1402497,      -00.1399517,       02.8585030,      -00.0910249,      -00.2304414,       02.8978970,      -00.1490617,      -00.1519264,       02.8641400,       00.2068326,      -00.0278588,       02.9239710,       00.2242242,      -00.4318904,       03.0202310,       00.2356252,      -00.8107120,       03.1393930,       00.2424450,      -00.8908960,       02.9622870,       00.0268692,      -00.0229972,       02.9274020,       00.0065028,      -00.4290623,       03.0118680,      -00.0072376,      -00.8142160,       03.1243030,      -00.0305568,      -00.8869481,       02.9624390,       00.1316329,       00.6142292,       02.8760020,       00.1229246,       00.6375273,       02.7110090,       00.1518840,       00.6773425,       02.7418980,       00.2178341,       00.6774865,       02.8558250,       00.0976877,       00.6742657,       02.7410020,       00.0459442,       00.6820191,       02.8665900
