       TimeStamp,     Flexion_Left,    Flexion_Right,   Abduction_Left,  Abduction_Right
      2453.47800,       -015.68420,       -016.44410,        015.68420,        016.44410
      2453.54000,       -015.97519,       -016.59925,        015.97519,        016.59925
      2453.61400,       -016.03845,       -016.94034,        016.03845,        016.94034
      2453.67100,       -015.63030,       -016.39038,        015.63030,        016.39038
      2453.72900,       -015.95778,       -016.47308,        015.95778,        016.47308
      2453.78600,       -015.24152,       -016.43834,        015.24152,        016.43834
      2453.84100,       -015.44870,       -016.62101,        015.44870,        016.62101
      2453.89900,       -016.14500,       -016.15405,        016.14500,        016.15405
      2453.95600,       -016.58054,       -016.93583,        016.58054,        016.93583
      2454.01500,       -016.30001,       -017.29004,        016.30001,        017.29004
      2454.07200,       -016.20377,       -019.48706,        016.20377,        019.48706
      2454.13000,       -016.16695,       -023.38458,        016.16695,        023.38458
      2454.18700,       -016.30239,       -029.82836,        016.30239,        029.82836
      2454.24900,       -016.12373,       -033.53865,        016.12373,        033.53865
      2454.30600,       -015.93078,       -037.41427,        015.93078,        037.41427
      2454.36200,       -014.88802,       -037.97522,        014.88802,        037.97522
      2454.42300,       -016.01885,       -037.48579,        016.01885,        037.48579
      2454.48500,       -016.84865,       -033.50825,        016.84865,        033.50825
      2454.54600,       -016.91095,       -030.16592,        016.91095,        030.16592
      2454.60600,       -016.33754,       -023.91161,        016.33754,        023.91161
      2454.66800,       -017.52488,       -020.13696,        017.52488,        020.13696
      2454.73500,       -016.86051,       -019.80297,        016.86051,        019.80297
      2454.79200,       -016.86921,       -020.30749,        016.86921,        020.30749
      2454.84800,       -016.77534,       -017.86407,        016.77534,        017.86407
      2454.90200,       -017.10752,       -019.01317,        017.10752,        019.01317
      2454.96500,       -017.90644,       -017.54964,        017.90644,        017.54964
      2455.03100,       -017.20341,       -018.16213,        017.20341,        018.16213
      2455.08900,       -017.25928,       -018.06254,        017.25928,        018.06254
      2455.14900,       -017.38467,       -018.15851,        017.38467,        018.15851
      2455.20400,       -018.21522,       -020.06279,        018.21522,        020.06279
      2455.25900,       -016.00527,       -018.78995,        016.00527,        018.78995
      2455.31700,       -015.90106,       -019.40511,        015.90106,        019.40511
      2455.37100,       -017.14025,       -024.20274,        017.14025,        024.20274
