       TimeStamp,         PELVIS.X,         PELVIS.Y,         PELVIS.Z,    SPINE_NAVAL.X,    SPINE_NAVAL.Y,    SPINE_NAVAL.Z,    SPINE_CHEST.X,    SPINE_CHEST.Y,    SPINE_CHEST.Z,           NECK.X,           NECK.Y,           NECK.Z,  CLAVICLE_LEFT.X,  CLAVICLE_LEFT.Y,  CLAVICLE_LEFT.Z,  SHOULDER_LEFT.X,  SHOULDER_LEFT.Y,  SHOULDER_LEFT.Z,     ELBOW_LEFT.X,     ELBOW_LEFT.Y,     ELBOW_LEFT.Z,     WRIST_LEFT.X,     WRIST_LEFT.Y,     WRIST_LEFT.Z,      HAND_LEFT.X,      HAND_LEFT.Y,      HAND_LEFT.Z,   HANDTIP_LEFT.X,   HANDTIP_LEFT.Y,   HANDTIP_LEFT.Z,     THUMB_LEFT.X,     THUMB_LEFT.Y,     THUMB_LEFT.Z, CLAVICLE_RIGHT.X, CLAVICLE_RIGHT.Y, CLAVICLE_RIGHT.Z, SHOULDER_RIGHT.X, SHOULDER_RIGHT.Y, SHOULDER_RIGHT.Z,    ELBOW_RIGHT.X,    ELBOW_RIGHT.Y,    ELBOW_RIGHT.Z,    WRIST_RIGHT.X,    WRIST_RIGHT.Y,    WRIST_RIGHT.Z,     HAND_RIGHT.X,     HAND_RIGHT.Y,     HAND_RIGHT.Z,  HANDTIP_RIGHT.X,  HANDTIP_RIGHT.Y,  HANDTIP_RIGHT.Z,    THUMB_RIGHT.X,    THUMB_RIGHT.Y,    THUMB_RIGHT.Z,       HIP_LEFT.X,       HIP_LEFT.Y,       HIP_LEFT.Z,      KNEE_LEFT.X,      KNEE_LEFT.Y,      KNEE_LEFT.Z,     ANKLE_LEFT.X,     ANKLE_LEFT.Y,     ANKLE_LEFT.Z,      FOOT_LEFT.X,      FOOT_LEFT.Y,      FOOT_LEFT.Z,      HIP_RIGHT.X,      HIP_RIGHT.Y,      HIP_RIGHT.Z,     KNEE_RIGHT.X,     KNEE_RIGHT.Y,     KNEE_RIGHT.Z,    ANKLE_RIGHT.X,    ANKLE_RIGHT.Y,    ANKLE_RIGHT.Z,     FOOT_RIGHT.X,     FOOT_RIGHT.Y,     FOOT_RIGHT.Z,           HEAD.X,           HEAD.Y,           HEAD.Z,           NOSE.X,           NOSE.Y,           NOSE.Z,       EYE_LEFT.X,       EYE_LEFT.Y,       EYE_LEFT.Z,       EAR_LEFT.X,       EAR_LEFT.Y,       EAR_LEFT.Z,      EYE_RIGHT.X,      EYE_RIGHT.Y,      EYE_RIGHT.Z,      EAR-RIGHT.X,      EAR-RIGHT.Y,      EAR-RIGHT.Z
    2453.4780000,       00.1040233,      -00.0221754,       02.9446560,       00.1107599,       00.1594778,       02.9150780,       00.1161374,       00.3057199,       02.8988860,       00.1197645,       00.5297687,       02.8946310,       00.1539175,       00.4925319,       02.8973100,       00.2908374,       00.4375332,       02.8950580,       00.3312022,       00.1681898,       02.9799310,       00.3310506,      -00.0655285,       02.9279510,       00.3352717,      -00.1638488,       02.9419630,       00.2833343,      -00.2496323,       02.8931170,       00.2706067,      -00.1846670,       02.8749130,       00.0844715,       00.4930059,       02.8955280,      -00.0439921,       00.4511819,       02.8821760,      -00.1179534,       00.1799495,       02.9559970,      -00.1313160,      -00.0492414,       02.8780240,      -00.1112795,      -00.1422564,       02.9270360,      -00.0787524,      -00.2381686,       02.8850350,      -00.0857618,      -00.1685205,       02.8848140,       00.1980877,      -00.0255717,       02.9452220,       00.2183132,      -00.4275509,       03.0389960,       00.2329498,      -00.8044899,       03.1560120,       00.2422715,      -00.8879198,       02.9817920,       00.0192013,      -00.0191127,       02.9441470,      -00.0008194,      -00.4235092,       03.0246770,      -00.0140193,      -00.8072153,       03.1336950,      -00.0361315,      -00.8865156,       02.9759570,       00.1214641,       00.6126564,       02.8792180,       00.0960389,       00.6622400,       02.7229770,       00.1320943,       00.6939338,       02.7551340,       00.2101526,       00.6706772,       02.8575650,       00.0784522,       00.6954923,       02.7608910,       00.0430467,       00.6874468,       02.8911810
    2453.5400000,       00.1039911,      -00.0218479,       02.9455830,       00.1096899,       00.1591555,       02.9134190,       00.1143969,       00.3052743,       02.8976640,       00.1210964,       00.5289688,       02.8940110,       00.1546990,       00.4913052,       02.8964180,       00.2915530,       00.4366171,       02.8960890,       00.3319981,       00.1682529,       02.9827500,       00.3311246,      -00.0656907,       02.9332970,       00.3348022,      -00.1643726,       02.9434710,       00.2837446,      -00.2494321,       02.8927990,       00.2723518,      -00.1860266,       02.8819470,       00.0853494,       00.4927430,       02.8949770,      -00.0441868,       00.4555518,       02.8801670,      -00.1183271,       00.1854576,       02.9564410,      -00.1378128,      -00.0490835,       02.8994900,      -00.1063000,      -00.1427911,       02.9401250,      -00.0844913,      -00.2371507,       02.8890330,      -00.0848882,      -00.1610820,       02.8834920,       00.1979378,      -00.0249801,       02.9446020,       00.2181501,      -00.4266927,       03.0371270,       00.2329970,      -00.8036947,       03.1521510,       00.2443656,      -00.8870123,       02.9782810,       00.0192753,      -00.0190235,       02.9464680,      -00.0003242,      -00.4229988,       03.0264410,      -00.0123984,      -00.8064611,       03.1345290,      -00.0367566,      -00.8885519,       02.9788250,       00.1238655,       00.6117593,       02.8788370,       00.1032324,       00.6577166,       02.7210200,       00.1381141,       00.6902097,       02.7535360,       00.2128906,       00.6695513,       02.8587160,       00.0843836,       00.6916870,       02.7575680,       00.0449797,       00.6863964,       02.8866610
    2453.6140000,       00.1041865,      -00.0227223,       02.9460910,       00.1106369,       00.1582309,       02.9139040,       00.1158288,       00.3039789,       02.8952810,       00.1207970,       00.5277095,       02.8927850,       00.1546836,       00.4902998,       02.8950480,       00.2910836,       00.4345319,       02.8948770,       00.3314382,       00.1666695,       02.9830150,       00.3311436,      -00.0669359,       02.9321070,       00.3353356,      -00.1657963,       02.9399820,       00.2826987,      -00.2504657,       02.8903100,       00.2758824,      -00.1901483,       02.8805040,       00.0853348,       00.4912072,       02.8935120,      -00.0431538,       00.4501525,       02.8799770,      -00.1182026,       00.1809132,       02.9582360,      -00.1357905,      -00.0476041,       02.8801970,      -00.1065238,      -00.1344498,       02.9351890,      -00.0856539,      -00.2333215,       02.8930480,      -00.0862781,      -00.1635959,       02.8857680,       00.1981206,      -00.0260627,       02.9461370,       00.2178136,      -00.4279055,       03.0380000,       00.2325048,      -00.8049208,       03.1528490,       00.2442138,      -00.8838236,       02.9769770,       00.0194820,      -00.0197101,       02.9460500,      -00.0008106,      -00.4236252,       03.0259180,      -00.0131840,      -00.8069130,       03.1344250,      -00.0425301,      -00.8865482,       02.9783290,       00.1229452,       00.6105865,       02.8780400,       00.0975004,       00.6626889,       02.7228760,       00.1333718,       00.6939039,       02.7555560,       00.2113235,       00.6691912,       02.8574880,       00.0797968,       00.6951773,       02.7612880,       00.0443741,       00.6847852,       02.8912070
    2453.6710000,       00.1033511,      -00.0220731,       02.9421940,       00.1097057,       00.1596760,       02.9129780,       00.1148167,       00.3059152,       02.8965080,       00.1198732,       00.5300047,       02.8961900,       00.1537846,       00.4925051,       02.8983410,       00.2893818,       00.4342448,       02.8996080,       00.3313648,       00.1639042,       02.9805550,       00.3282131,      -00.0694096,       02.9267470,       00.3336286,      -00.1665170,       02.9473470,       00.2827889,      -00.2496141,       02.8929820,       00.2653971,      -00.1860062,       02.8772880,       00.0843414,       00.4934529,       02.8963140,      -00.0436828,       00.4504445,       02.8823440,      -00.1173481,       00.1786987,       02.9547020,      -00.1301488,      -00.0523290,       02.8821490,      -00.1043526,      -00.1462619,       02.9265280,      -00.0844057,      -00.2513986,       02.9025980,      -00.0862689,      -00.1678403,       02.8861850,       00.1974330,      -00.0253580,       02.9422230,       00.2175777,      -00.4273254,       03.0362930,       00.2330339,      -00.8041008,       03.1538970,       00.2393416,      -00.8859324,       02.9787600,       00.0185133,      -00.0191109,       02.9421690,      -00.0042325,      -00.4239952,       03.0197370,      -00.0170938,      -00.8058798,       03.1351840,      -00.0408900,      -00.8879895,       02.9791110,       00.1221539,       00.6131471,       02.8822350,       00.0965352,       00.6628085,       02.7260280,       00.1320071,       00.6949452,       02.7584060,       00.2100552,       00.6725505,       02.8610580,       00.0783213,       00.6956891,       02.7639800,       00.0425810,       00.6867372,       02.8941360
    2453.7290000,       00.1050962,      -00.0220223,       02.9431430,       00.1110297,       00.1599976,       02.9136820,       00.1157750,       00.3062046,       02.8948890,       00.1202261,       00.5306624,       02.8953310,       00.1542980,       00.4931892,       02.8972900,       00.2896128,       00.4336869,       02.8982770,       00.3319452,       00.1639453,       02.9825680,       00.3275329,      -00.0697101,       02.9286380,       00.3340900,      -00.1677260,       02.9449110,       00.2816774,      -00.2514928,       02.8927480,       00.2654921,      -00.1870238,       02.8758610,       00.0847384,       00.4939551,       02.8954010,      -00.0437287,       00.4511898,       02.8827140,      -00.1164599,       00.1792610,       02.9571540,      -00.1314886,      -00.0528597,       02.8872800,      -00.1032484,      -00.1473294,       02.9293830,      -00.0844621,      -00.2494463,       02.8935830,      -00.0858288,      -00.1685805,       02.8855240,       00.1993360,      -00.0250294,       02.9435440,       00.2184564,      -00.4277822,       03.0373510,       00.2322554,      -00.8051504,       03.1553670,       00.2445764,      -00.8870356,       02.9802360,       00.0201161,      -00.0193106,       02.9427810,      -00.0027643,      -00.4247820,       03.0207300,      -00.0172580,      -00.8087043,       03.1313150,      -00.0422466,      -00.8888386,       02.9740850,       00.1222551,       00.6139900,       02.8816350,       00.0976767,       00.6621991,       02.7245290,       00.1336301,       00.6942326,       02.7566410,       00.2112419,       00.6718662,       02.8598940,       00.0798658,       00.6958706,       02.7620960,       00.0436741,       00.6890511,       02.8924800
    2453.7860000,       00.1052597,      -00.0227702,       02.9439100,       00.1113449,       00.1585778,       02.9139900,       00.1162993,       00.3048209,       02.8997380,       00.1228374,       00.5284345,       02.8936590,       00.1564557,       00.4908322,       02.8965920,       00.2922409,       00.4336265,       02.8984420,       00.3311049,       00.1638081,       02.9810800,       00.3271181,      -00.0688344,       02.9261190,       00.3343021,      -00.1662424,       02.9437920,       00.2824300,      -00.2505952,       02.8928020,       00.2655507,      -00.1870147,       02.8766680,       00.0871205,       00.4921978,       02.8949000,      -00.0414160,       00.4510545,       02.8821590,      -00.1161377,       00.1804973,       02.9560240,      -00.1314566,      -00.0514712,       02.8884120,      -00.1020348,      -00.1465091,       02.9274530,      -00.0848768,      -00.2501389,       02.8965880,      -00.0895796,      -00.1690270,       02.8808290,       00.1991934,      -00.0259962,       02.9434600,       00.2187044,      -00.4273709,       03.0373220,       00.2329717,      -00.8036985,       03.1544100,       00.2445087,      -00.8888237,       02.9814610,       00.0205556,      -00.0198611,       02.9443140,      -00.0021237,      -00.4238163,       03.0232550,      -00.0162191,      -00.8066216,       03.1331950,      -00.0407067,      -00.8884434,       02.9774000,       00.1255938,       00.6110440,       02.8775900,       00.1011120,       00.6625527,       02.7220800,       00.1351220,       00.6950365,       02.7555010,       00.2120146,       00.6730685,       02.8588510,       00.0814403,       00.6942266,       02.7602110,       00.0439825,       00.6821173,       02.8894030
    2453.8410000,       00.1051877,      -00.0212605,       02.9447300,       00.1110997,       00.1598770,       02.9131700,       00.1157496,       00.3058872,       02.8961850,       00.1207492,       00.5296972,       02.8958220,       00.1546091,       00.4922535,       02.8982520,       00.2896710,       00.4332373,       02.9000800,       00.3319622,       00.1634141,       02.9813340,       00.3275170,      -00.0694644,       02.9270660,       00.3342708,      -00.1663405,       02.9477600,       00.2832016,      -00.2497201,       02.8943360,       00.2660733,      -00.1862432,       02.8754450,       00.0852707,       00.4931826,       02.8956790,      -00.0427534,       00.4512688,       02.8801220,      -00.1173132,       00.1804981,       02.9537480,      -00.1321833,      -00.0521669,       02.8881710,      -00.1019290,      -00.1468384,       02.9275620,      -00.0853816,      -00.2496216,       02.8935630,      -00.0895710,      -00.1691997,       02.8876850,       00.1991574,      -00.0241038,       02.9460140,       00.2189814,      -00.4258092,       03.0389940,       00.2327334,      -00.8024391,       03.1556140,       00.2447909,      -00.8853822,       02.9815710,       00.0204512,      -00.0186966,       02.9435730,      -00.0016219,      -00.4227750,       03.0227710,      -00.0165785,      -00.8062118,       03.1308610,      -00.0424267,      -00.8859853,       02.9741580,       00.1231172,       00.6127307,       02.8818700,       00.0905956,       00.6642293,       02.7277780,       00.1285326,       00.6951281,       02.7583900,       00.2112038,       00.6699100,       02.8564570,       00.0753245,       00.6972291,       02.7668150,       00.0463683,       00.6881854,       02.8984660
    2453.8990000,       00.1046653,      -00.0229004,       02.9436200,       00.1103579,       00.1585156,       02.9132740,       00.1149706,       00.3046924,       02.8973040,       00.1203956,       00.5285397,       02.8936270,       00.1542284,       00.4910496,       02.8960800,       00.2898120,       00.4330842,       02.8962000,       00.3321790,       00.1646309,       02.9821600,       00.3277065,      -00.0686842,       02.9294280,       00.3279084,      -00.1674996,       02.9394820,       00.2763799,      -00.2493126,       02.8840360,       00.2659466,      -00.1868550,       02.8793790,       00.0848367,       00.4920903,       02.8945560,      -00.0442011,       00.4524418,       02.8811830,      -00.1172090,       00.1808842,       02.9538530,      -00.1325140,      -00.0510777,       02.8856310,      -00.0963059,      -00.1447426,       02.9224190,      -00.0854110,      -00.2506456,       02.8965690,      -00.0906485,      -00.1669045,       02.8906000,       00.1986708,      -00.0258980,       02.9433350,       00.2185565,      -00.4273100,       03.0381810,       00.2330918,      -00.8039463,       03.1551430,       00.2442442,      -00.8869081,       02.9809750,       00.0198964,      -00.0201974,       02.9438780,      -00.0018964,      -00.4245078,       03.0227080,      -00.0160020,      -00.8086218,       03.1289990,      -00.0475545,      -00.8891785,       02.9736780,       00.1227096,       00.6113865,       02.8784360,       00.0962078,       00.6617031,       02.7227480,       00.1319575,       00.6935785,       02.7549850,       00.2105583,       00.6705682,       02.8569260,       00.0783616,       00.6944534,       02.7609180,       00.0435044,       00.6850896,       02.8911570
    2453.9560000,       00.1045989,      -00.0235285,       02.9418810,       00.1106475,       00.1581311,       02.9133610,       00.1154279,       00.3042204,       02.8969440,       00.1196556,       00.5280671,       02.8951050,       00.1536765,       00.4907484,       02.8973310,       00.2891847,       00.4327321,       02.8950910,       00.3320772,       00.1647094,       02.9819210,       00.3290032,      -00.0685393,       02.9290340,       00.3299944,      -00.1674335,       02.9379910,       00.2774574,      -00.2485182,       02.8824710,       00.2721292,      -00.1899284,       02.8769170,       00.0842991,       00.4914293,       02.8956530,      -00.0428748,       00.4464390,       02.8816460,      -00.1171414,       00.1759524,       02.9567400,      -00.1305778,      -00.0527957,       02.8782370,      -00.0995498,      -00.1452399,       02.9220970,      -00.0845949,      -00.2502508,       02.8947810,      -00.0888217,      -00.1696864,       02.8855950,       00.1985782,      -00.0264677,       02.9430920,       00.2181199,      -00.4279659,       03.0372480,       00.2324475,      -00.8046435,       03.1538100,       00.2444179,      -00.8871191,       02.9795120,       00.0198535,      -00.0208781,       02.9407900,      -00.0027918,      -00.4244932,       03.0224200,      -00.0172167,      -00.8072851,       03.1330220,      -00.0454650,      -00.8904217,       02.9784710,       00.1215582,       00.6110283,       02.8805990,       00.0907001,       00.6649479,       02.7269710,       00.1279028,       00.6956630,       02.7586630,       00.2094399,       00.6694954,       02.8574500,       00.0745568,       00.6971062,       02.7663670,       00.0438379,       00.6854492,       02.8974290
    2454.0150000,       00.1046810,      -00.0227674,       02.9433540,       00.1112599,       00.1590641,       02.9135020,       00.1165791,       00.3054343,       02.8968950,       00.1215873,       00.5297448,       02.8945030,       00.1555852,       00.4922255,       02.8961140,       00.2906134,       00.4323138,       02.8937400,       00.3315679,       00.1634522,       02.9809410,       00.3278148,      -00.0693683,       02.9240190,       00.3349859,      -00.1673339,       02.9399990,       00.2776590,      -00.2501501,       02.8917670,       00.2691116,      -00.1936329,       02.8799460,       00.0860406,       00.4931583,       02.8958530,      -00.0408198,       00.4451207,       02.8873590,      -00.1219030,       00.1748122,       02.9583680,      -00.1413008,      -00.0526769,       02.8759300,      -00.1177073,      -00.1462705,       02.9224660,      -00.0853085,      -00.2472662,       02.8941930,      -00.0981474,      -00.1679371,       02.8970830,       00.1988540,      -00.0262230,       02.9430600,       00.2185485,      -00.4284171,       03.0381360,       00.2332792,      -00.8052686,       03.1569600,       00.2424433,      -00.8863451,       02.9813770,       00.0197610,      -00.0196513,       02.9436190,      -00.0026501,      -00.4244394,       03.0240150,      -00.0175108,      -00.8086700,       03.1326710,      -00.0401848,      -00.8877370,       02.9746620,       00.1234965,       00.6128491,       02.8797580,       00.1044047,       00.6626207,       02.7224740,       00.1382477,       00.6949732,       02.7564490,       00.2119428,       00.6729136,       02.8625070,       00.0843096,       00.6953616,       02.7596670,       00.0429156,       00.6859804,       02.8882540
