       TimeStamp,     Flexion_Left,    Flexion_Right,   Abduction_Left,  Abduction_Right
      1100.58000,       -016.19011,       -019.52962,        016.19011,        019.52962
      1100.64100,       -016.28767,       -019.62572,        016.28767,        019.62572
      1100.70700,       -014.84706,       -019.56327,        014.84706,        019.56327
      1100.77400,       -015.70758,       -019.68480,        015.70758,        019.68480
      1100.83200,       -016.20126,       -019.56630,        016.20126,        019.56630
      1100.89200,       -016.22056,       -019.50917,        016.22056,        019.50917
      1100.94800,       -016.67368,       -019.65096,        016.67368,        019.65096
      1101.01000,       -015.54181,       -019.76762,        015.54181,        019.76762
      1101.07400,       -016.32043,       -019.43342,        016.32043,        019.43342
      1101.13700,       -016.13860,       -019.00577,        016.13860,        019.00577
      1101.19600,       -016.69448,       -019.18591,        016.69448,        019.18591
      1101.25400,       -016.16984,       -018.21569,        016.16984,        018.21569
      1101.31000,       -017.10167,       -018.85727,        017.10167,        018.85727
      1101.36500,       -015.86037,       -017.15931,        015.86037,        017.15931
      1101.42200,       -016.06962,       -020.01109,        016.06962,        020.01109
      1101.48300,       -016.15765,       -024.20408,        016.15765,        024.20408
      1101.53800,       -016.98858,       -031.86123,        016.98858,        031.86123
      1101.59400,       -016.66352,       -038.31763,        016.66352,        038.31763
      1101.65600,       -017.43742,       -042.89489,        017.43742,        042.89489
      1101.71100,       -018.29885,       -048.72090,        018.29885,        048.72090
      1101.76700,       -017.49471,       -052.36636,        017.49471,        052.36636
      1101.82200,       -017.55979,       -052.37645,        017.55979,        052.37645
      1101.88000,       -017.11092,       -052.73401,        017.11092,        052.73401
      1101.93400,       -016.59883,       -050.46576,        016.59883,        050.46576
      1101.99200,       -016.22462,       -048.62305,        016.22462,        048.62305
      1102.04900,       -016.55198,       -039.13783,        016.55198,        039.13783
      1102.10400,       -016.52845,       -027.37522,        016.52845,        027.37522
      1102.16000,       -015.75218,       -016.67817,        015.75218,        016.67817
      1102.21700,       -014.73177,       -013.08950,        014.73177,        013.08950
      1102.27500,       -016.90307,       -015.90607,        016.90307,        015.90607
      1102.33500,       -016.29621,       -017.55537,        016.29621,        017.55537
      1102.39300,       -016.46279,       -016.84280,        016.46279,        016.84280
      1102.45000,       -016.35965,       -017.02119,        016.35965,        017.02119
      1102.50800,       -013.88315,       -015.34054,        013.88315,        015.34054
      1102.56500,       -017.32769,       -017.70636,        017.32769,        017.70636
      1102.62100,       -016.53606,       -017.34579,        016.53606,        017.34579
      1102.67900,       -017.12791,       -019.44254,        017.12791,        019.44254
      1102.74400,       -016.19761,       -018.54213,        016.19761,        018.54213
      1102.80100,       -016.67180,       -019.81620,        016.67180,        019.81620
      1102.85800,       -016.96926,       -025.12674,        016.96926,        025.12674
      1102.91500,       -016.70113,       -025.78201,        016.70113,        025.78201
      1102.97300,       -017.69269,       -026.37217,        017.69269,        026.37217
      1103.02800,       -018.36367,       -032.50056,        018.36367,        032.50056
      1103.08500,       -018.23121,       -038.35901,        018.23121,        038.35901
      1103.14200,       -018.74967,       -045.01371,        018.74967,        045.01371
      1103.20000,       -018.65585,       -050.44668,        018.65585,        050.44668
      1103.26600,       -018.58326,       -053.51921,        018.58326,        053.51921
      1103.32100,       -021.01102,       -059.05050,        021.01102,        059.05050
      1103.37800,       -022.47050,       -071.08069,        022.47050,        071.08069
      1103.44300,       -021.05613,       -067.29721,        021.05613,        067.29721
      1103.50000,       -020.84300,       -074.97254,        020.84300,        074.97254
      1103.55900,       -021.14222,       -083.56498,        021.14222,        083.56498
      1103.61600,       -021.36337,       -087.33126,        021.36337,        087.33126
      1103.67400,       -019.21622,       -087.85744,        019.21622,        087.85744
      1103.73600,       -019.91033,       -085.61495,        019.91033,        085.61495
      1103.80000,       -020.07355,        088.28751,        020.07355,        088.28751
      1103.86000,       -019.01669,       -090.90576,        019.01669,        090.90576
      1103.92200,       -018.70029,       -088.96018,        018.70029,        088.96018
      1103.97700,       -020.16476,       -090.41104,        020.16476,        090.41104
      1104.03600,       -019.72384,       -090.83541,        019.72384,        090.83541
      1104.09700,       -017.34661,       -087.26305,        017.34661,        087.26305
      1104.15900,       -016.92910,       -094.99638,        016.92910,        094.99638
      1104.21700,       -016.66125,       -095.64693,        016.66125,        095.64693
      1104.27500,       -018.09214,       -096.07906,        018.09214,        096.07906
      1104.33100,       -018.03791,       -096.15375,        018.03791,        096.15375
      1104.39500,       -016.28443,       -095.79553,        016.28443,        095.79553
      1104.45200,       -017.98632,       -095.73176,        017.98632,        095.73176
      1104.51000,       -017.09359,       -095.23094,        017.09359,        095.23094
      1104.56600,       -017.11156,       -095.07397,        017.11156,        095.07397
      1104.62100,       -017.04986,       -095.00883,        017.04986,        095.00883
