       TimeStamp,         PELVIS.X,         PELVIS.Y,         PELVIS.Z,    SPINE_NAVAL.X,    SPINE_NAVAL.Y,    SPINE_NAVAL.Z,    SPINE_CHEST.X,    SPINE_CHEST.Y,    SPINE_CHEST.Z,           NECK.X,           NECK.Y,           NECK.Z,  CLAVICLE_LEFT.X,  CLAVICLE_LEFT.Y,  CLAVICLE_LEFT.Z,  SHOULDER_LEFT.X,  SHOULDER_LEFT.Y,  SHOULDER_LEFT.Z,     ELBOW_LEFT.X,     ELBOW_LEFT.Y,     ELBOW_LEFT.Z,     WRIST_LEFT.X,     WRIST_LEFT.Y,     WRIST_LEFT.Z,      HAND_LEFT.X,      HAND_LEFT.Y,      HAND_LEFT.Z,   HANDTIP_LEFT.X,   HANDTIP_LEFT.Y,   HANDTIP_LEFT.Z,     THUMB_LEFT.X,     THUMB_LEFT.Y,     THUMB_LEFT.Z, CLAVICLE_RIGHT.X, CLAVICLE_RIGHT.Y, CLAVICLE_RIGHT.Z, SHOULDER_RIGHT.X, SHOULDER_RIGHT.Y, SHOULDER_RIGHT.Z,    ELBOW_RIGHT.X,    ELBOW_RIGHT.Y,    ELBOW_RIGHT.Z,    WRIST_RIGHT.X,    WRIST_RIGHT.Y,    WRIST_RIGHT.Z,     HAND_RIGHT.X,     HAND_RIGHT.Y,     HAND_RIGHT.Z,  HANDTIP_RIGHT.X,  HANDTIP_RIGHT.Y,  HANDTIP_RIGHT.Z,    THUMB_RIGHT.X,    THUMB_RIGHT.Y,    THUMB_RIGHT.Z,       HIP_LEFT.X,       HIP_LEFT.Y,       HIP_LEFT.Z,      KNEE_LEFT.X,      KNEE_LEFT.Y,      KNEE_LEFT.Z,     ANKLE_LEFT.X,     ANKLE_LEFT.Y,     ANKLE_LEFT.Z,      FOOT_LEFT.X,      FOOT_LEFT.Y,      FOOT_LEFT.Z,      HIP_RIGHT.X,      HIP_RIGHT.Y,      HIP_RIGHT.Z,     KNEE_RIGHT.X,     KNEE_RIGHT.Y,     KNEE_RIGHT.Z,    ANKLE_RIGHT.X,    ANKLE_RIGHT.Y,    ANKLE_RIGHT.Z,     FOOT_RIGHT.X,     FOOT_RIGHT.Y,     FOOT_RIGHT.Z,           HEAD.X,           HEAD.Y,           HEAD.Z,           NOSE.X,           NOSE.Y,           NOSE.Z,       EYE_LEFT.X,       EYE_LEFT.Y,       EYE_LEFT.Z,       EAR_LEFT.X,       EAR_LEFT.Y,       EAR_LEFT.Z,      EYE_RIGHT.X,      EYE_RIGHT.Y,      EYE_RIGHT.Z,      EAR-RIGHT.X,      EAR-RIGHT.Y,      EAR-RIGHT.Z
    1143.6230000,       00.0950807,      -00.0240831,       02.9243930,       00.1009822,       00.1574870,       02.8971840,       00.1060247,       00.3040050,       02.8886500,       00.1210741,       00.5270169,       02.8915930,       00.1532023,       00.4881174,       02.8928430,       00.2838037,       00.4203714,       02.8885830,       00.3272978,       00.1508854,       02.9688530,       00.3208938,      -00.0837959,       02.9251100,       00.3226695,      -00.1821926,       02.9371470,       00.2762494,      -00.2682007,       02.8839890,       00.2704811,      -00.2077210,       02.8715360,       00.0840435,       00.4921857,       02.8915340,      -00.0439158,       00.4561338,       02.8658080,      -00.1272940,       00.1885182,       02.9398340,      -00.1483984,      -00.0409644,       02.8665190,      -00.1146914,      -00.1309639,       02.9129950,      -00.0858799,      -00.2310653,       02.8796990,      -00.0912837,      -00.1508920,       02.8615660,       00.1888845,      -00.0274255,       02.9224330,       00.2046347,      -00.4269756,       03.0225260,       00.2134055,      -00.8011899,       03.1452880,       00.2257603,      -00.8905379,       02.9747860,       00.0104937,      -00.0210690,       02.9261590,       00.0019995,      -00.4237736,       03.0115890,       00.0003361,      -00.8059546,       03.1229480,      -00.0239850,      -00.8871688,       02.9670370,       00.1269310,       00.6099518,       02.8788820,       00.0966090,       00.6458945,       02.7202560,       00.1278098,       00.6839041,       02.7503070,       00.2071651,       00.6775619,       02.8537480,       00.0745218,       00.6787239,       02.7559230,       00.0394600,       00.6741480,       02.8861090
    1143.6830000,       00.0981608,      -00.0239868,       02.9269620,       00.1030530,       00.1570624,       02.9002090,       00.1067060,       00.3027670,       02.8868210,       00.1202898,       00.5250676,       02.8927480,       00.1525263,       00.4864769,       02.8940040,       00.2833324,       00.4204140,       02.8872330,       00.3250721,       00.1533313,       02.9729310,       00.3236574,      -00.0811008,       02.9318180,       00.3237546,      -00.1789474,       02.9456260,       00.2775990,      -00.2598875,       02.8855090,       00.2711633,      -00.2017347,       02.8768090,       00.0836022,       00.4901364,       02.8916900,      -00.0436829,       00.4547809,       02.8640900,      -00.1269988,       00.1879496,       02.9372390,      -00.1479597,      -00.0407242,       02.8640070,      -00.1173764,      -00.1287025,       02.9154350,      -00.0915934,      -00.2312358,       02.8889450,      -00.0913602,      -00.1487986,       02.8564740,       00.1916528,      -00.0260310,       02.9302240,       00.2060751,      -00.4254783,       03.0251520,       00.2123444,      -00.7999727,       03.1429100,       00.2262333,      -00.8912367,       02.9742770,       00.0138551,      -00.0221435,       02.9240200,       00.0031871,      -00.4229116,       03.0116870,      -00.0008913,      -00.8023214,       03.1276350,      -00.0216143,      -00.8876829,       02.9741100,       00.1258111,       00.6079121,       02.8812010,       00.1047474,       00.6456203,       02.7220590,       00.1334225,       00.6834778,       02.7543660,       00.2061829,       00.6767206,       02.8619980,       00.0801490,       00.6775221,       02.7566430,       00.0374505,       00.6706080,       02.8839500
    1143.7420000,       00.0962189,      -00.0244230,       02.9229420,       00.1020200,       00.1568366,       02.8973370,       00.1063491,       00.3029432,       02.8887900,       00.1205901,       00.5253321,       02.8927750,       00.1527430,       00.4866485,       02.8940910,       00.2839464,       00.4212720,       02.8871210,       00.3250498,       00.1537504,       02.9721170,       00.3234211,      -00.0813022,       02.9341440,       00.3251482,      -00.1799769,       02.9398430,       00.2758724,      -00.2609410,       02.8822070,       00.2715645,      -00.2004427,       02.8716720,       00.0837861,       00.4904822,       02.8922980,      -00.0442880,       00.4564894,       02.8664370,      -00.1271226,       00.1885562,       02.9364780,      -00.1482885,      -00.0411890,       02.8664220,      -00.1150648,      -00.1297024,       02.9153170,      -00.0906929,      -00.2317538,       02.8856480,      -00.0925382,      -00.1500192,       02.8614040,       00.1897511,      -00.0270374,       02.9256250,       00.2051827,      -00.4257438,       03.0241270,       00.2127247,      -00.7994087,       03.1449110,       00.2259320,      -00.8887097,       02.9750920,       00.0118768,      -00.0220655,       02.9205230,       00.0032652,      -00.4227924,       03.0093370,       00.0005079,      -00.8024705,       03.1249690,      -00.0242827,      -00.8866066,       02.9712920,       00.1262461,       00.6080949,       02.8804960,       00.1045976,       00.6450982,       02.7212000,       00.1334022,       00.6831146,       02.7532440,       00.2065809,       00.6768382,       02.8606820,       00.0801165,       00.6771699,       02.7557430,       00.0378640,       00.6708312,       02.8832820
    1143.7970000,       00.0957445,      -00.0245225,       02.9235610,       00.1014503,       00.1565039,       02.8959510,       00.1057095,       00.3026148,       02.8866830,       00.1208846,       00.5250282,       02.8896540,       00.1528837,       00.4862043,       02.8911810,       00.2845421,       00.4213002,       02.8891690,       00.3251269,       00.1532028,       02.9728880,       00.3223185,      -00.0810925,       02.9301350,       00.3247892,      -00.1793637,       02.9408570,       00.2763408,      -00.2614000,       02.8839740,       00.2688074,      -00.2016804,       02.8746360,       00.0839235,       00.4903201,       02.8893020,      -00.0445381,       00.4559082,       02.8658030,      -00.1271712,       00.1890876,       02.9405470,      -00.1491223,      -00.0403596,       02.8695010,      -00.1135532,      -00.1300206,       02.9145780,      -00.0914904,      -00.2315615,       02.8814290,      -00.0951100,      -00.1503518,       02.8668610,       00.1893129,      -00.0270923,       02.9260490,       00.2041035,      -00.4261696,       03.0236830,       00.2120447,      -00.8006023,       03.1424480,       00.2254544,      -00.8882207,       02.9717020,       00.0113698,      -00.0222052,       02.9213180,       00.0023552,      -00.4226925,       03.0117550,      -00.0002002,      -00.8019298,       03.1292520,      -00.0245666,      -00.8884112,       02.9767500,       00.1269017,       00.6077348,       02.8769930,       00.0967189,       00.6444694,       02.7189760,       00.1294965,       00.6812193,       02.7486220,       00.2092040,       00.6720571,       02.8511440,       00.0762399,       00.6780738,       02.7546720,       00.0422057,       00.6750246,       02.8848090
    1143.8620000,       00.0942741,      -00.0247666,       02.9258530,       00.1014477,       00.1563169,       02.8981240,       00.1072129,       00.3024767,       02.8888510,       00.1214270,       00.5251017,       02.8922000,       00.1535977,       00.4863853,       02.8939720,       00.2845817,       00.4199099,       02.8918860,       00.3253159,       00.1516485,       02.9756690,       00.3227082,      -00.0830381,       02.9341550,       00.3230651,      -00.1818233,       02.9399070,       00.2772166,      -00.2611155,       02.8771340,       00.2740757,      -00.2070273,       02.8830620,       00.0845928,       00.4902140,       02.8914800,      -00.0433207,       00.4546109,       02.8662930,      -00.1268275,       00.1863161,       02.9353410,      -00.1468371,      -00.0400141,       02.8539190,      -00.1159603,      -00.1273840,       02.9065020,      -00.0912608,      -00.2317004,       02.8859940,      -00.0951110,      -00.1514184,       02.8625720,       00.1879026,      -00.0284485,       02.9260300,       00.2021826,      -00.4278234,       03.0237120,       00.2099042,      -00.8021500,       03.1437130,       00.2257830,      -00.8895429,       02.9729140,       00.0098452,      -00.0214465,       02.9256930,       00.0013170,      -00.4227906,       03.0136260,       00.0001729,      -00.8029208,       03.1291650,      -00.0243863,      -00.8884217,       02.9760010,       00.1272098,       00.6079039,       02.8796740,       00.0959154,       00.6378685,       02.7203310,       00.1289938,       00.6758231,       02.7481450,       00.2094872,       00.6709283,       02.8504600,       00.0757410,       00.6730469,       02.7547140,       00.0426299,       00.6756856,       02.8851930
    1143.9280000,       00.0950987,      -00.0269076,       02.9250340,       00.1031510,       00.1532148,       02.8973850,       00.1094490,       00.2985854,       02.8877160,       00.1218020,       00.5202154,       02.8890360,       00.1541280,       00.4819721,       02.8910330,       00.2846925,       00.4163695,       02.8875390,       00.3252729,       00.1502967,       02.9735040,       00.3222063,      -00.0834678,       02.9337400,       00.3242666,      -00.1813094,       02.9445100,       00.2766213,      -00.2626799,       02.8869390,       00.2701465,      -00.2037463,       02.8773760,       00.0854347,       00.4852032,       02.8887520,      -00.0415117,       00.4497986,       02.8620830,      -00.1242844,       00.1843821,       02.9368050,      -00.1474488,      -00.0404603,       02.8556970,      -00.1211813,      -00.1294627,       02.9069430,      -00.0915245,      -00.2328632,       02.8920610,      -00.0949482,      -00.1512936,       02.8621460,       00.1882323,      -00.0308442,       02.9265120,       00.2024506,      -00.4271907,       03.0277570,       00.2097578,      -00.7984296,       03.1508550,       00.2243108,      -00.8877488,       02.9820380,       00.0111161,      -00.0233578,       02.9237020,       00.0020730,      -00.4227937,       03.0106040,       00.0000889,      -00.8012035,       03.1248990,      -00.0240733,      -00.8899034,       02.9745470,       00.1268449,       00.6025299,       02.8758240,       00.0959307,       00.6460136,       02.7204330,       00.1281047,       00.6816421,       02.7515860,       00.2078101,       00.6688784,       02.8530000,       00.0751437,       00.6774703,       02.7575360,       00.0415885,       00.6678702,       02.8868720
    1143.9860000,       00.0953882,      -00.0267456,       02.9264680,       00.1026952,       00.1531793,       02.8992930,       00.1086453,       00.2984929,       02.8925870,       00.1214213,       00.5197132,       02.8891380,       00.1536308,       00.4815154,       02.8917460,       00.2845431,       00.4171826,       02.8876750,       00.3260207,       00.1521124,       02.9747870,       00.3233978,      -00.0803136,       02.9297950,       00.3233047,      -00.1781812,       02.9389340,       00.2772366,      -00.2582801,       02.8787030,       00.2691231,      -00.1972128,       02.8710130,       00.0850436,       00.4848360,       02.8898140,      -00.0416936,       00.4488249,       02.8640850,      -00.1268562,       00.1846886,       02.9388490,      -00.1462358,      -00.0412307,       02.8609650,      -00.1194085,      -00.1334992,       02.9053250,      -00.0905381,      -00.2365931,       02.8882260,      -00.0954973,      -00.1525524,       02.8623230,       00.1883855,      -00.0305673,       02.9261710,       00.2028340,      -00.4269395,       03.0245430,       00.2103823,      -00.7981066,       03.1458020,       00.2257973,      -00.8865485,       02.9769540,       00.0115285,      -00.0232995,       02.9267360,       00.0022778,      -00.4223492,       03.0122420,       00.0001275,      -00.8008673,       03.1239160,      -00.0242638,      -00.8886012,       02.9733720,       00.1265374,       00.6015845,       02.8741770,       00.1019605,       00.6446594,       02.7178270,       00.1332353,       00.6800449,       02.7499850,       00.2088152,       00.6669490,       02.8542060,       00.0801364,       00.6764143,       02.7539440,       00.0417079,       00.6676803,       02.8817500
    1144.0420000,       00.0952591,      -00.0267821,       02.9296820,       00.1026844,       00.1532386,       02.8998720,       00.1086293,       00.2984782,       02.8862480,       00.1197052,       00.5204279,       02.8885260,       00.1522872,       00.4823201,       02.8904220,       00.2835045,       00.4175799,       02.8884960,       00.3250364,       00.1503211,       02.9713590,       00.3227327,      -00.0840759,       02.9336660,       00.3234035,      -00.1822960,       02.9419280,       00.2772971,      -00.2625077,       02.8813100,       00.2713903,      -00.2047718,       02.8784060,       00.0835002,       00.4851655,       02.8880290,      -00.0439192,       00.4486167,       02.8645580,      -00.1273037,       00.1820848,       02.9358490,      -00.1475148,      -00.0471833,       02.8663380,      -00.1211518,      -00.1381939,       02.9141500,      -00.0903246,      -00.2375142,       02.8824420,      -00.0956884,      -00.1616002,       02.8634290,       00.1885190,      -00.0305608,       02.9300930,       00.2023637,      -00.4286725,       03.0262720,       00.2097736,      -00.8021721,       03.1438560,       00.2257435,      -00.8898223,       02.9740410,       00.0111625,      -00.0233746,       02.9293120,       00.0024075,      -00.4237223,       03.0142760,      -00.0000737,      -00.8031223,       03.1268660,      -00.0217416,      -00.8897129,       02.9746740,       00.1242983,       00.6029216,       02.8756550,       00.0960352,       00.6399487,       02.7179010,       00.1298433,       00.6755508,       02.7474350,       00.2085796,       00.6640866,       02.8499490,       00.0766600,       00.6742618,       02.7532850,       00.0421990,       00.6728832,       02.8828930
    1144.0980000,       00.0961929,      -00.0267177,       02.9241080,       00.1035266,       00.1541262,       02.8984290,       00.1092623,       00.2997076,       02.8869750,       00.1196232,       00.5218791,       02.8915120,       00.1523495,       00.4838195,       02.8932070,       00.2841974,       00.4201086,       02.8896340,       00.3256083,       00.1530097,       02.9740220,       00.3231567,      -00.0803544,       02.9291260,       00.3249327,      -00.1783728,       02.9402840,       00.2768404,      -00.2601819,       02.8832480,       00.2644821,      -00.1943230,       02.8682990,       00.0834988,       00.4864738,       02.8904710,      -00.0435738,       00.4483497,       02.8668570,      -00.1266764,       00.1802149,       02.9334750,      -00.1491137,      -00.0519515,       02.8741900,      -00.1315857,      -00.1472952,       02.9176490,      -00.0864991,      -00.2363531,       02.8742930,      -00.0957035,      -00.1694849,       02.8673380,       00.1895406,      -00.0302616,       02.9258100,       00.2028675,      -00.4282677,       03.0242150,       00.2095820,      -00.8013780,       03.1443500,       00.2261210,      -00.8910325,       02.9754220,       00.0120172,      -00.0235221,       02.9225730,       00.0025666,      -00.4236317,       03.0105000,      -00.0003087,      -00.8026181,       03.1258280,      -00.0241238,      -00.8864427,       02.9722110,       00.1240241,       00.6045927,       02.8794700,       00.0987120,       00.6459849,       02.7221290,       00.1301934,       00.6819070,       02.7538750,       00.2064726,       00.6700475,       02.8583470,       00.0769117,       00.6782581,       02.7580960,       00.0388355,       00.6709427,       02.8866270
    1144.1540000,       00.0985931,      -00.0304434,       02.9272510,       00.1055786,       00.1508593,       02.8999080,       00.1106102,       00.2971290,       02.8900440,       00.1189508,       00.5202566,       02.8886610,       00.1521151,       00.4824229,       02.8918200,       00.2855306,       00.4207142,       02.8889630,       00.3251397,       00.1525703,       02.9744400,       00.3236453,      -00.0814707,       02.9283470,       00.3228587,      -00.1798796,       02.9394380,       00.2773267,      -00.2577602,       02.8745410,       00.2697605,      -00.1977131,       02.8659480,       00.0830284,       00.4843681,       02.8881200,      -00.0432122,       00.4420799,       02.8642660,      -00.1329926,       00.1780700,       02.9423670,      -00.1479324,      -00.0546289,       02.8792820,      -00.1498804,      -00.1585624,       02.9030440,      -00.0795848,      -00.2361172,       02.8718030,      -00.0924809,      -00.1784284,       02.8569980,       00.1922117,      -00.0333512,       02.9318880,       00.2058048,      -00.4332166,       03.0290930,       00.2129584,      -00.8081409,       03.1483260,       00.2260765,      -00.8871587,       02.9730900,       00.0141731,      -00.0278214,       02.9230700,       00.0035693,      -00.4292670,       03.0118970,      -00.0010476,      -00.8095069,       03.1281170,      -00.0215252,      -00.8864827,       02.9697500,       00.1227810,       00.6029578,       02.8743770,       00.1010709,       00.6447752,       02.7159710,       00.1332445,       00.6799616,       02.7482300,       00.2077908,       00.6660790,       02.8542940,       00.0796194,       00.6779187,       02.7516460,       00.0392150,       00.6721126,       02.8800670
