       TimeStamp,     Flexion_Left,    Flexion_Right,   Abduction_Left,  Abduction_Right
       293.56790,       -016.14705,       -015.79353,        016.14705,        015.79353
       293.62970,       -017.64837,       -014.99999,        017.64837,        014.99999
       293.69490,       -017.69501,       -015.66239,        017.69501,        015.66239
       293.75420,       -016.71969,       -015.61339,        016.71969,        015.61339
       293.81980,       -016.84366,       -015.81374,        016.84366,        015.81374
       293.88010,       -016.89060,       -016.25515,        016.89060,        016.25515
       293.93860,       -017.48636,       -015.21737,        017.48636,        015.21737
       294.00530,       -017.08696,       -015.12288,        017.08696,        015.12288
       294.07000,       -017.35275,       -015.47450,        017.35275,        015.47450
       294.13220,       -017.65703,       -017.42613,        017.65703,        017.42613
       294.19040,       -017.77424,       -019.09237,        017.77424,        019.09237
       294.24590,       -018.75891,       -029.18811,        018.75891,        029.18811
       294.30190,       -017.33729,       -036.90790,        017.33729,        036.90790
       294.36020,       -017.58404,       -041.04335,        017.58404,        041.04335
       294.41540,       -018.84616,       -044.71679,        018.84616,        044.71679
       294.47150,       -018.24409,       -047.16941,        018.24409,        047.16941
       294.53260,       -017.75178,       -048.55476,        017.75178,        048.55476
       294.58620,       -017.82209,       -047.28970,        017.82209,        047.28970
       294.64130,       -017.70281,       -041.90549,        017.70281,        041.90549
       294.70000,       -017.01754,       -040.42902,        017.01754,        040.42902
       294.76150,       -017.07567,       -032.42198,        017.07567,        032.42198
       294.81620,       -017.54169,       -028.47293,        017.54169,        028.47293
       294.87700,       -017.65710,       -020.25002,        017.65710,        020.25002
       294.93570,       -018.43907,       -019.83341,        018.43907,        019.83341
       294.99600,       -018.70961,       -018.49394,        018.70961,        018.49394
       295.05290,       -017.83485,       -019.44596,        017.83485,        019.44596
       295.10920,       -017.44169,       -019.34024,        017.44169,        019.34024
       295.16680,       -018.23425,       -018.94178,        018.23425,        018.94178
       295.22600,       -017.60792,       -018.76400,        017.60792,        018.76400
       295.28140,       -019.21645,       -020.27145,        019.21645,        020.27145
       295.33790,       -018.08996,       -019.77860,        018.08996,        019.77860
       295.39320,       -018.54846,       -020.61746,        018.54846,        020.61746
       295.45280,       -018.09337,       -022.45354,        018.09337,        022.45354
       295.51400,       -018.71876,       -030.23990,        018.71876,        030.23990
       295.57100,       -019.94582,       -037.85833,        019.94582,        037.85833
       295.63280,       -018.73882,       -042.03627,        018.73882,        042.03627
       295.68710,       -020.30118,       -047.28101,        020.30118,        047.28101
       295.74840,       -018.99563,       -057.98130,        018.99563,        057.98130
       295.80540,       -019.98830,       -064.85706,        019.98830,        064.85706
       295.87050,       -019.99216,        065.06803,        019.99216,        065.06803
       295.92540,       -020.22020,        073.26178,        020.22020,        073.26178
       295.98240,       -019.69959,        080.44922,        019.69959,        080.44922
       296.05290,       -019.57974,        087.52380,        019.57974,        087.52380
       296.11330,       -019.28264,       -090.91531,        019.28264,        090.91531
       296.17210,       -019.66872,       -094.62776,        019.66872,        094.62776
       296.23650,       -019.41825,       -094.11689,        019.41825,        094.11689
       296.29200,       -021.06670,       -096.06025,        021.06670,        096.06025
       296.34950,       -017.48417,       -098.29324,        017.48417,        098.29324
       296.40590,       -016.78334,       -101.52540,        016.78334,        101.52540
       296.46050,       -017.64504,       -102.04590,        017.64504,        102.04590
       296.51680,       -017.21078,       -101.41220,        017.21078,        101.41220
       296.57400,       -016.92406,       -101.77840,        016.92406,        101.77840
       296.62920,       -017.69235,       -102.84910,        017.69235,        102.84910
       296.68350,       -017.47170,       -102.82400,        017.47170,        102.82400
       296.74240,       -017.78341,       -103.30980,        017.78341,        103.30980
       296.79970,       -016.76697,       -103.41740,        016.76697,        103.41740
       296.85920,       -017.35306,       -101.19480,        017.35306,        101.19480
       296.91890,       -016.55211,       -103.24900,        016.55211,        103.24900
       296.98390,       -016.50523,       -099.99402,        016.50523,        099.99402
       297.04300,       -018.13861,       -100.40530,        018.13861,        100.40530
       297.10150,       -016.93007,       -102.36190,        016.93007,        102.36190
       297.16230,       -017.44656,       -100.09730,        017.44656,        100.09730
       297.22090,       -016.64120,       -100.88730,        016.64120,        100.88730
       297.28240,       -017.38299,       -103.38540,        017.38299,        103.38540
       297.33970,       -016.76704,       -101.35280,        016.76704,        101.35280
       297.39800,       -017.78700,       -104.17210,        017.78700,        104.17210
       297.46350,       -017.68357,       -104.68330,        017.68357,        104.68330
       297.52050,       -018.66371,       -104.49100,        018.66371,        104.49100
       297.58010,       -018.42393,       -105.30740,        018.42393,        105.30740
       297.63970,       -018.09102,       -104.77210,        018.09102,        104.77210
       297.70730,       -018.13255,       -105.29300,        018.13255,        105.29300
       297.76480,       -017.44273,       -104.59780,        017.44273,        104.59780
       297.81910,       -016.80057,       -105.15050,        016.80057,        105.15050
       297.87590,       -016.95905,       -107.04550,        016.95905,        107.04550
       297.93200,       -017.20857,       -104.43340,        017.20857,        104.43340
       297.98840,       -017.69059,       -104.55390,        017.69059,        104.55390
       298.04910,       -017.41890,       -103.75420,        017.41890,        103.75420
       298.10640,       -017.39988,       -105.03690,        017.39988,        105.03690
       298.17070,       -017.67726,       -107.92400,        017.67726,        107.92400
       298.22650,       -017.56019,       -106.01410,        017.56019,        106.01410
       298.29070,       -016.31605,       -100.14700,        016.31605,        100.14700
       298.34620,       -016.96307,       -107.29670,        016.96307,        107.29670
       298.40460,       -015.37381,       -102.43490,        015.37381,        102.43490
