       TimeStamp,         PELVIS.X,         PELVIS.Y,         PELVIS.Z,    SPINE_NAVAL.X,    SPINE_NAVAL.Y,    SPINE_NAVAL.Z,    SPINE_CHEST.X,    SPINE_CHEST.Y,    SPINE_CHEST.Z,           NECK.X,           NECK.Y,           NECK.Z,  CLAVICLE_LEFT.X,  CLAVICLE_LEFT.Y,  CLAVICLE_LEFT.Z,  SHOULDER_LEFT.X,  SHOULDER_LEFT.Y,  SHOULDER_LEFT.Z,     ELBOW_LEFT.X,     ELBOW_LEFT.Y,     ELBOW_LEFT.Z,     WRIST_LEFT.X,     WRIST_LEFT.Y,     WRIST_LEFT.Z,      HAND_LEFT.X,      HAND_LEFT.Y,      HAND_LEFT.Z,   HANDTIP_LEFT.X,   HANDTIP_LEFT.Y,   HANDTIP_LEFT.Z,     THUMB_LEFT.X,     THUMB_LEFT.Y,     THUMB_LEFT.Z, CLAVICLE_RIGHT.X, CLAVICLE_RIGHT.Y, CLAVICLE_RIGHT.Z, SHOULDER_RIGHT.X, SHOULDER_RIGHT.Y, SHOULDER_RIGHT.Z,    ELBOW_RIGHT.X,    ELBOW_RIGHT.Y,    ELBOW_RIGHT.Z,    WRIST_RIGHT.X,    WRIST_RIGHT.Y,    WRIST_RIGHT.Z,     HAND_RIGHT.X,     HAND_RIGHT.Y,     HAND_RIGHT.Z,  HANDTIP_RIGHT.X,  HANDTIP_RIGHT.Y,  HANDTIP_RIGHT.Z,    THUMB_RIGHT.X,    THUMB_RIGHT.Y,    THUMB_RIGHT.Z,       HIP_LEFT.X,       HIP_LEFT.Y,       HIP_LEFT.Z,      KNEE_LEFT.X,      KNEE_LEFT.Y,      KNEE_LEFT.Z,     ANKLE_LEFT.X,     ANKLE_LEFT.Y,     ANKLE_LEFT.Z,      FOOT_LEFT.X,      FOOT_LEFT.Y,      FOOT_LEFT.Z,      HIP_RIGHT.X,      HIP_RIGHT.Y,      HIP_RIGHT.Z,     KNEE_RIGHT.X,     KNEE_RIGHT.Y,     KNEE_RIGHT.Z,    ANKLE_RIGHT.X,    ANKLE_RIGHT.Y,    ANKLE_RIGHT.Z,     FOOT_RIGHT.X,     FOOT_RIGHT.Y,     FOOT_RIGHT.Z,           HEAD.X,           HEAD.Y,           HEAD.Z,           NOSE.X,           NOSE.Y,           NOSE.Z,       EYE_LEFT.X,       EYE_LEFT.Y,       EYE_LEFT.Z,       EAR_LEFT.X,       EAR_LEFT.Y,       EAR_LEFT.Z,      EYE_RIGHT.X,      EYE_RIGHT.Y,      EYE_RIGHT.Z,      EAR-RIGHT.X,      EAR-RIGHT.Y,      EAR-RIGHT.Z
     383.8854000,       00.1152180,      -00.0267804,       02.9146050,       00.1248628,       00.1547613,       02.8872700,       00.1333765,       00.3012336,       02.8786590,       00.1437979,       00.5245774,       02.8863750,       00.1767882,       00.4863348,       02.8858940,       00.3094378,       00.4230427,       02.8760070,       00.3578289,       00.1509722,       02.9447470,       00.3509345,      -00.0815228,       02.8897840,       00.3461269,      -00.1803916,       02.8828720,       00.2982658,      -00.2799706,       02.8690380,       00.2852657,      -00.2072199,       02.8463430,       00.1074923,       00.4889324,       02.8864670,      -00.0213685,       00.4502180,       02.8703110,      -00.0990104,       00.1766215,       02.9277840,      -00.1177431,      -00.0520470,       02.8507290,      -00.0988424,      -00.1213060,       02.9298530,      -00.0618412,      -00.2028097,       02.8668730,      -00.0611698,      -00.1727546,       02.8571600,       00.2088635,      -00.0325234,       02.9095050,       00.2348773,      -00.4290224,       03.0203860,       00.2558529,      -00.7996796,       03.1530850,       00.2689334,      -00.8858557,       02.9808360,       00.0307738,      -00.0216018,       02.9192030,       00.0092418,      -00.4235350,       03.0075350,      -00.0032726,      -00.8048193,       03.1223780,      -00.0335807,      -00.8904980,       02.9697780,       00.1475700,       00.6079532,       02.8754300,       00.1182612,       00.6517682,       02.7184600,       00.1552479,       00.6843690,       02.7483900,       00.2357643,       00.6645198,       02.8493290,       00.1018822,       00.6864438,       02.7554960,       00.0699945,       00.6834500,       02.8866550
     383.9518000,       00.1149159,      -00.0271880,       02.9149480,       00.1248561,       00.1554392,       02.8890520,       00.1337754,       00.3025886,       02.8803500,       00.1443059,       00.5269237,       02.8900480,       00.1774362,       00.4884832,       02.8895100,       00.3104663,       00.4248871,       02.8766070,       00.3580216,       00.1512493,       02.9453720,       00.3510878,      -00.0822569,       02.8897150,       00.3457968,      -00.1816788,       02.8844460,       00.2980050,      -00.2814825,       02.8679460,       00.2849712,      -00.2081184,       02.8489600,       00.1078074,       00.4911306,       02.8895530,      -00.0203580,       00.4504941,       02.8680220,      -00.0992389,       00.1754562,       02.9239400,      -00.1181457,      -00.0592942,       02.8633180,      -00.0980152,      -00.1303313,       02.9412460,      -00.0673973,      -00.2084598,       02.8701680,      -00.0607388,      -00.1783646,       02.8605870,       00.2088652,      -00.0332984,       02.9079180,       00.2374293,      -00.4326456,       03.0152630,       00.2605266,      -00.8063499,       03.1446450,       00.2759590,      -00.8837515,       02.9674570,       00.0301976,      -00.0216780,       02.9212880,       00.0088115,      -00.4255086,       03.0102300,      -00.0033988,      -00.8089197,       03.1246600,      -00.0329993,      -00.8895918,       02.9682470,       00.1482288,       00.6107849,       02.8797760,       00.1188895,       00.6504757,       02.7208890,       00.1545762,       00.6851318,       02.7506220,       00.2350748,       00.6701419,       02.8532100,       00.1008440,       00.6854813,       02.7572010,       00.0675710,       00.6840789,       02.8887100
     384.0145000,       00.1153956,      -00.0282457,       02.9154190,       00.1252094,       00.1539473,       02.8890350,       00.1335742,       00.3008247,       02.8801640,       00.1449047,       00.5247828,       02.8868700,       00.1778330,       00.4862984,       02.8866890,       00.3106366,       00.4229688,       02.8735160,       00.3581942,       00.1497852,       02.9417200,       00.3538362,      -00.0843874,       02.8908660,       00.3467104,      -00.1835357,       02.8864100,       00.3001013,      -00.2842372,       02.8739930,       00.2876321,      -00.2106771,       02.8498610,       00.1083530,       00.4891863,       02.8870030,      -00.0204526,       00.4504159,       02.8676740,      -00.0992279,       00.1775931,       02.9310750,      -00.1143669,      -00.0524451,       02.8551890,      -00.0985413,      -00.1249371,       02.9324730,      -00.0670725,      -00.2074670,       02.8673270,      -00.0600397,      -00.1718380,       02.8600850,       00.2093910,      -00.0338063,       02.9119830,       00.2378660,      -00.4324420,       03.0188190,       00.2599991,      -00.8055319,       03.1477350,       00.2744403,      -00.8879727,       02.9731770,       00.0306357,      -00.0232315,       02.9185170,       00.0093330,      -00.4259501,       03.0086880,      -00.0034274,      -00.8076485,       03.1259680,      -00.0312640,      -00.8874935,       02.9692110,       00.1490652,       00.6083221,       02.8755100,       00.1184435,       00.6524091,       02.7183780,       00.1552575,       00.6854591,       02.7483400,       00.2366817,       00.6662235,       02.8491420,       00.1017528,       00.6868533,       02.7557050,       00.0703922,       00.6830231,       02.8873570
     384.0852000,       00.1152385,      -00.0286497,       02.9140460,       00.1252175,       00.1524414,       02.8879320,       00.1339756,       00.2985349,       02.8816970,       00.1442091,       00.5212162,       02.8871770,       00.1771056,       00.4831103,       02.8874620,       00.3104658,       00.4225428,       02.8772820,       00.3588718,       00.1506950,       02.9429480,       00.3521894,      -00.0816856,       02.8909710,       00.3458509,      -00.1799714,       02.8819730,       00.2972572,      -00.2786815,       02.8674280,       00.2852630,      -00.2042379,       02.8391770,       00.1080349,       00.4856763,       02.8872360,      -00.0203335,       00.4489977,       02.8667300,      -00.1014095,       00.1783382,       02.9284010,      -00.1136050,      -00.0509555,       02.8544520,      -00.1030892,      -00.1230688,       02.9320970,      -00.0677445,      -00.2074465,       02.8726760,      -00.0620471,      -00.1715794,       02.8614010,       00.2086041,      -00.0344369,       02.9095920,       00.2374343,      -00.4303862,       03.0166330,       00.2602323,      -00.8006990,       03.1461060,       00.2679593,      -00.8822501,       02.9720030,       00.0310466,      -00.0234312,       02.9180620,       00.0093469,      -00.4230832,       03.0103030,      -00.0038434,      -00.8013765,       03.1303050,      -00.0307667,      -00.8884284,       02.9785290,       00.1480649,       00.6042008,       02.8754430,       00.1191923,       00.6579324,       02.7220890,       00.1555451,       00.6887434,       02.7542450,       00.2354830,       00.6631185,       02.8537760,       00.1022994,       00.6897725,       02.7611340,       00.0698713,       00.6777132,       02.8911790
     384.1423000,       00.1162197,      -00.0269264,       02.9157890,       00.1252860,       00.1542761,       02.8876500,       00.1335527,       00.3007036,       02.8817820,       00.1442328,       00.5238161,       02.8868030,       00.1771320,       00.4855801,       02.8868170,       00.3101533,       00.4234580,       02.8774100,       00.3559610,       00.1493530,       02.9377700,       00.3512442,      -00.0835915,       02.8859410,       00.3413342,      -00.1821188,       02.8896970,       00.2943807,      -00.2800944,       02.8660020,       00.2867400,      -00.2062794,       02.8425550,       00.1079303,       00.4882670,       02.8872890,      -00.0210881,       00.4508789,       02.8707710,      -00.0991322,       00.1771147,       02.9248690,      -00.1186284,      -00.0522618,       02.8511830,      -00.1033514,      -00.1205630,       02.9317200,      -00.0674914,      -00.2078114,       02.8765060,      -00.0628251,      -00.1705229,       02.8623100,       00.2097497,      -00.0324156,       02.9105770,       00.2348904,      -00.4292282,       03.0184720,       00.2542271,      -00.8005723,       03.1479140,       00.2679163,      -00.8836992,       02.9745030,       00.0318795,      -00.0219766,       02.9204900,       00.0096277,      -00.4230272,       03.0101090,      -00.0040624,      -00.8030665,       03.1271000,      -00.0309746,      -00.8901272,       02.9749190,       00.1481152,       00.6069391,       02.8748720,       00.1126076,       00.6531144,       02.7201040,       00.1515214,       00.6845836,       02.7486230,       00.2360334,       00.6619923,       02.8454090,       00.0986584,       00.6876193,       02.7581790,       00.0727724,       00.6837072,       02.8904480
     384.2070000,       00.1154889,      -00.0274885,       02.9131810,       00.1243000,       00.1533124,       02.8860170,       00.1322071,       00.2993845,       02.8822930,       00.1431646,       00.5218406,       02.8854090,       00.1759072,       00.4836744,       02.8858890,       00.3085160,       00.4217645,       02.8762230,       00.3572364,       00.1501158,       02.9411790,       00.3513743,      -00.0823521,       02.8906680,       00.3453752,      -00.1806796,       02.8831690,       00.2928653,      -00.2764684,       02.8642550,       00.2852459,      -00.2062658,       02.8483630,       00.1069179,       00.4864572,       02.8860520,      -00.0213900,       00.4488517,       02.8679260,      -00.0984971,       00.1770234,       02.9280940,      -00.1171979,      -00.0531418,       02.8592180,      -00.0980473,      -00.1229158,       02.9371960,      -00.0674283,      -00.2086745,       02.8773420,      -00.0627324,      -00.1722136,       02.8606380,       00.2088111,      -00.0326431,       02.9091430,       00.2347404,      -00.4284674,       03.0157150,       00.2550149,      -00.7988018,       03.1442800,       00.2708583,      -00.8858636,       02.9736550,       00.0313362,      -00.0228404,       02.9168220,       00.0088397,      -00.4225522,       03.0066450,      -00.0028904,      -00.7996075,       03.1292760,      -00.0356497,      -00.8888997,       02.9801910,       00.1472070,       00.6045994,       02.8728090,       00.1189476,       00.6503447,       02.7169590,       00.1547932,       00.6829902,       02.7477360,       00.2341892,       00.6630482,       02.8488100,       00.1015526,       00.6839057,       02.7542260,       00.0683935,       00.6780561,       02.8843670
     384.2753000,       00.1149585,      -00.0279736,       02.9132440,       00.1234871,       00.1530543,       02.8860370,       00.1316422,       00.2992650,       02.8815350,       00.1434363,       00.5219264,       02.8856740,       00.1760827,       00.4835967,       02.8857240,       00.3087196,       00.4215585,       02.8747160,       00.3570589,       00.1496654,       02.9404000,       00.3517556,      -00.0826824,       02.8879790,       00.3462133,      -00.1812638,       02.8820870,       00.2943798,      -00.2771476,       02.8611280,       00.2915942,      -00.2098403,       02.8488470,       00.1070251,       00.4866277,       02.8864110,      -00.0212670,       00.4489000,       02.8672630,      -00.0984800,       00.1768063,       02.9277420,      -00.1181126,      -00.0532290,       02.8577000,      -00.1072387,      -00.1273657,       02.9333840,      -00.0668198,      -00.2034056,       02.8663980,      -00.0627793,      -00.1735474,       02.8590320,       00.2082200,      -00.0333836,       02.9064820,       00.2343854,      -00.4291758,       03.0149780,       00.2553414,      -00.7992893,       03.1454800,       00.2728099,      -00.8833542,       02.9732600,       00.0308606,      -00.0230951,       02.9193420,       00.0085411,      -00.4230557,       03.0103200,      -00.0032575,      -00.8019834,       03.1286210,      -00.0343883,      -00.8920120,       02.9793800,       00.1476886,       00.6048301,       02.8734400,       00.1142848,       00.6523495,       02.7189370,       00.1529620,       00.6833195,       02.7481020,       00.2360719,       00.6595373,       02.8454910,       00.1001066,       00.6865602,       02.7570550,       00.0727209,       00.6817378,       02.8887370
     384.3323000,       00.1154820,      -00.0275638,       02.9124430,       00.1242832,       00.1532884,       02.8848910,       00.1323628,       00.2994266,       02.8807490,       00.1432817,       00.5219867,       02.8855440,       00.1760601,       00.4838094,       02.8853760,       00.3079014,       00.4206696,       02.8724120,       00.3578478,       00.1502967,       02.9423050,       00.3516759,      -00.0813299,       02.8874870,       00.3452079,      -00.1796370,       02.8793640,       00.2934387,      -00.2757724,       02.8597940,       00.2888112,      -00.2074624,       02.8518190,       00.1070344,       00.4865628,       02.8862800,      -00.0216448,       00.4491454,       02.8698850,      -00.0989915,       00.1768876,       02.9286070,      -00.1183164,      -00.0521813,       02.8558590,      -00.1051749,      -00.1225219,       02.9346530,      -00.0672531,      -00.2032813,       02.8719750,      -00.0629872,      -00.1719657,       02.8610470,       00.2088058,      -00.0328647,       02.9074590,       00.2351627,      -00.4283470,       03.0161130,       00.2555803,      -00.7979345,       03.1474830,       00.2687126,      -00.8850109,       02.9765070,       00.0313279,      -00.0227837,       02.9169380,       00.0092976,      -00.4225427,       03.0077700,      -00.0036034,      -00.8011312,       03.1262490,      -00.0335718,      -00.8907487,       02.9766480,       00.1471665,       00.6048949,       02.8735620,       00.1129495,       00.6529249,       02.7195010,       00.1513149,       00.6841318,       02.7487570,       00.2348279,       00.6607143,       02.8457860,       00.0984761,       00.6867291,       02.7578260,       00.0714235,       00.6808257,       02.8894510
     384.3880000,       00.1149959,      -00.0290001,       02.9138820,       00.1246093,       00.1516171,       02.8870280,       00.1331806,       00.2973866,       02.8801330,       00.1438256,       00.5195987,       02.8849950,       00.1765910,       00.4815169,       02.8850030,       00.3070479,       00.4157152,       02.8741120,       00.3570840,       00.1446600,       02.9392830,       00.3501674,      -00.0873309,       02.8878650,       00.3456763,      -00.1858743,       02.8847620,       00.2932360,      -00.2819639,       02.8679630,       00.2845220,      -00.2121338,       02.8466850,       00.1076699,       00.4841944,       02.8855300,      -00.0199661,       00.4444077,       02.8683680,      -00.1022067,       00.1751121,       02.9316320,      -00.1176910,      -00.0518263,       02.8528260,      -00.0965107,      -00.1198814,       02.9316450,      -00.0678610,      -00.2021469,       02.8663610,      -00.0589217,      -00.1663736,       02.8593990,       00.2081361,      -00.0347190,       02.9087600,       00.2347568,      -00.4294544,       03.0175610,       00.2559547,      -00.7986362,       03.1480550,       00.2681400,      -00.8848611,       02.9769260,       00.0310073,      -00.0238432,       02.9185000,       00.0087178,      -00.4234876,       03.0067480,      -00.0030414,      -00.8006983,       03.1275750,      -00.0333941,      -00.8891999,       02.9777240,       00.1476837,       00.6023781,       02.8730600,       00.1144113,       00.6528187,       02.7198490,       00.1529458,       00.6831784,       02.7495890,       00.2358288,       00.6576114,       02.8463340,       00.1001967,       00.6861726,       02.7585460,       00.0727807,       00.6787102,       02.8897940
     384.4489000,       00.1161893,      -00.0288567,       02.9132490,       00.1258727,       00.1521091,       02.8868750,       00.1343936,       00.2980017,       02.8780650,       00.1447948,       00.5204563,       02.8865390,       00.1776520,       00.4823559,       02.8860340,       00.3084511,       00.4169898,       02.8737160,       00.3572222,       00.1458384,       02.9412780,       00.3515308,      -00.0857811,       02.8864720,       00.3472584,      -00.1844139,       02.8816130,       00.2936313,      -00.2804942,       02.8676310,       00.2844219,      -00.2103380,       02.8425710,       00.1086218,       00.4849559,       02.8863970,      -00.0185766,       00.4439912,       02.8672580,      -00.1027504,       00.1755071,       02.9333690,      -00.1192325,      -00.0533630,       02.8593790,      -00.0964286,      -00.1221658,       02.9373090,      -00.0671307,      -00.2015427,       02.8685530,      -00.0566549,      -00.1650674,       02.8523630,       00.2094563,      -00.0346270,       02.9078990,       00.2350782,      -00.4299065,       03.0173200,       00.2553860,      -00.7997861,       03.1477740,       00.2705387,      -00.8851061,       02.9761010,       00.0320863,      -00.0236533,       02.9180720,       00.0094348,      -00.4233425,       03.0088880,      -00.0031170,      -00.8019442,       03.1272400,      -00.0358676,      -00.8902881,       02.9774840,       00.1486031,       00.6035471,       02.8759310,       00.1181011,       00.6516482,       02.7211280,       00.1549571,       00.6834427,       02.7516550,       00.2359529,       00.6611695,       02.8510430,       00.1018345,       00.6849797,       02.7591410,       00.0709689,       00.6779233,       02.8898540
