       TimeStamp,     Flexion_Left,    Flexion_Right,   Abduction_Left,  Abduction_Right
      6743.33400,       -017.20266,       -017.37234,        017.20266,        017.37234
      6743.40100,       -016.89071,       -016.60491,        016.89071,        016.60491
      6743.46900,       -016.90704,       -016.61658,        016.90704,        016.61658
      6743.52500,       -017.34502,       -017.15164,        017.34502,        017.15164
      6743.58100,       -017.67964,       -017.08494,        017.67964,        017.08494
      6743.64400,       -016.77892,       -016.84000,        016.77892,        016.84000
      6743.70100,       -018.27866,       -017.04389,        018.27866,        017.04389
      6743.75600,       -017.98183,       -018.45243,        017.98183,        018.45243
      6743.81900,       -018.18490,       -018.66936,        018.18490,        018.66936
      6743.88500,       -018.03000,       -021.39926,        018.03000,        021.39926
      6743.94000,       -017.59984,       -032.20898,        017.59984,        032.20898
      6743.99600,       -017.36890,       -033.10123,        017.36890,        033.10123
      6744.05300,       -017.18956,       -033.78965,        017.18956,        033.78965
      6744.11200,       -017.38805,       -033.86782,        017.38805,        033.86782
      6744.16700,       -017.03829,       -030.76581,        017.03829,        030.76581
      6744.22300,       -016.87149,       -027.76368,        016.87149,        027.76368
      6744.28400,       -017.10625,       -018.97676,        017.10625,        018.97676
      6744.34100,       -017.63428,       -019.38582,        017.63428,        019.38582
      6744.40000,       -017.32581,       -017.10858,        017.32581,        017.10858
      6744.45600,       -017.78559,       -017.31297,        017.78559,        017.31297
      6744.51200,       -018.12690,       -017.27915,        018.12690,        017.27915
      6744.56800,       -017.95207,       -018.33631,        017.95207,        018.33631
      6744.63700,       -017.20864,       -017.05202,        017.20864,        017.05202
      6744.69500,       -017.11520,       -019.53422,        017.11520,        019.53422
      6744.76300,       -017.92068,       -018.63840,        017.92068,        018.63840
      6744.82000,       -018.57464,       -018.82886,        018.57464,        018.82886
      6744.87500,       -018.46750,       -020.00009,        018.46750,        020.00009
      6744.93200,       -018.59876,       -019.65466,        018.59876,        019.65466
      6744.99300,       -018.62002,       -020.86502,        018.62002,        020.86502
      6745.06000,       -017.68103,       -027.70879,        017.68103,        027.70879
      6745.11600,       -019.00652,       -030.84334,        019.00652,        030.84334
      6745.17400,       -017.96714,       -037.64843,        017.96714,        037.64843
      6745.23800,       -018.88346,       -043.78759,        018.88346,        043.78759
      6745.29500,       -018.91530,        046.83749,        018.91530,        046.83749
      6745.35500,       -019.94923,        053.49015,        019.94923,        053.49015
      6745.41700,       -019.38118,        056.85220,        019.38118,        056.85220
      6745.47400,       -019.28646,        064.05322,        019.28646,        064.05322
      6745.53000,       -019.95981,        068.87132,        019.95981,        068.87132
      6745.59300,       -019.17596,        076.01451,        019.17596,        076.01451
      6745.65300,       -018.06774,        077.93845,        018.06774,        077.93845
      6745.71800,       -018.21694,        080.53091,        018.21694,        080.53091
      6745.78200,       -018.22604,        081.36029,        018.22604,        081.36029
      6745.84300,       -018.20543,        081.22069,        018.20543,        081.22069
      6745.90700,       -018.16051,        081.07129,        018.16051,        081.07129
      6745.97300,       -019.00617,        083.10123,        019.00617,        083.10123
      6746.03100,       -019.02688,        086.90332,        019.02688,        086.90332
      6746.08900,       -018.94116,        087.18771,        018.94116,        087.18771
      6746.14300,       -019.10483,        091.46360,        019.10483,        091.46360
      6746.20300,       -018.59064,        094.45650,        018.59064,        094.45650
      6746.26200,       -018.18456,        094.76285,        018.18456,        094.76285
      6746.31700,       -018.09142,        096.92084,        018.09142,        096.92084
      6746.37600,       -018.04901,        096.35072,        018.04901,        096.35072
      6746.43000,       -016.59590,        093.65952,        016.59590,        093.65952
      6746.48700,       -016.22836,        091.81222,        016.22836,        091.81222
      6746.54200,       -015.88040,        084.33273,        015.88040,        084.33273
      6746.59800,       -017.38570,        078.73489,        017.38570,        078.73489
      6746.65500,       -017.00982,        059.13087,        017.00982,        059.13087
      6746.71700,       -018.22276,        061.48916,        018.22276,        061.48916
      6746.77600,       -017.46074,        061.44801,        017.46074,        061.44801
      6746.83700,       -017.96855,        065.12036,        017.96855,        065.12036
      6746.89600,       -018.70278,        071.44022,        018.70278,        071.44022
      6746.95400,       -018.25349,        068.53893,        018.25349,        068.53893
      6747.01200,       -019.20537,        075.76075,        019.20537,        075.76075
      6747.06600,       -019.77877,        079.01804,        019.77877,        079.01804
      6747.12100,       -019.74046,        073.80482,        019.74046,        073.80482
      6747.17600,       -019.40080,        079.43106,        019.40080,        079.43106
      6747.23500,       -018.28125,        087.60732,        018.28125,        087.60732
      6747.29500,       -019.69096,        091.45499,        019.69096,        091.45499
      6747.35300,       -018.32282,        088.64209,        018.32282,        088.64209
      6747.41000,       -017.93189,        086.07061,        017.93189,        086.07061
      6747.46600,       -018.65885,        087.95687,        018.65885,        087.95687
      6747.52100,       -018.37739,        087.19405,        018.37739,        087.19405
      6747.58400,       -018.24793,        089.28754,        018.24793,        089.28754
      6747.64000,       -018.52997,        090.96545,        018.52997,        090.96545
      6747.69600,       -018.05018,        096.87796,        018.05018,        096.87796
      6747.75300,       -017.41106,        099.21294,        017.41106,        099.21294
      6747.81300,       -016.88254,        098.97054,        016.88254,        098.97054
      6747.86900,       -016.02006,        105.68950,        016.02006,        105.68950
      6747.92600,       -016.42275,        102.20880,        016.42275,        102.20880
      6747.98200,       -015.68421,        090.71221,        015.68421,        090.71221
      6748.03900,       -016.89232,        073.39840,        016.89232,        073.39840
      6748.09700,       -016.25238,        062.29309,        016.25238,        062.29309
      6748.15500,       -016.33964,        061.07833,        016.33964,        061.07833
      6748.21400,       -017.46348,        048.66270,        017.46348,        048.66270
      6748.27500,       -017.25907,        041.19787,        017.25907,        041.19787
      6748.33300,       -016.50828,        038.24285,        016.50828,        038.24285
      6748.38900,       -018.02795,        041.96434,        018.02795,        041.96434
      6748.44700,       -018.16151,        057.65159,        018.16151,        057.65159
      6748.50100,       -018.32260,        071.31374,        018.32260,        071.31374
      6748.55800,       -016.84122,        059.54974,        016.84122,        059.54974
      6748.62300,       -019.15800,        054.35603,        019.15800,        054.35603
      6748.67900,       -017.92084,        066.28315,        017.92084,        066.28315
      6748.73400,       -017.80901,        060.05328,        017.80901,        060.05328
      6748.79200,       -017.64456,        066.02315,        017.64456,        066.02315
      6748.85700,       -016.54099,        074.32868,        016.54099,        074.32868
      6748.91700,       -019.12360,        077.10478,        019.12360,        077.10478
      6748.98200,       -019.77247,        085.02420,        019.77247,        085.02420
      6749.04500,       -018.96998,        089.47871,        018.96998,        089.47871
      6749.10800,       -018.71280,        092.94595,        018.71280,        092.94595
      6749.16600,       -018.43986,        096.45413,        018.43986,        096.45413
      6749.22200,       -018.53169,        099.66441,        018.53169,        099.66441
      6749.27700,       -017.56031,        103.16200,        017.56031,        103.16200
      6749.34800,       -017.71633,        108.47890,        017.71633,        108.47890
      6749.40700,       -017.58501,        115.83800,        017.58501,        115.83800
      6749.46500,       -017.29560,        116.81610,        017.29560,        116.81610
      6749.53300,       -016.71851,        120.78130,        016.71851,        120.78130
      6749.59000,       -016.57043,        124.52500,        016.57043,        124.52500
      6749.64700,       -016.81436,        125.88870,        016.81436,        125.88870
      6749.70700,       -016.81446,        125.88950,        016.81446,        125.88950
      6749.76400,       -016.81448,        125.88990,        016.81448,        125.88990
