       TimeStamp,         PELVIS.X,         PELVIS.Y,         PELVIS.Z,    SPINE_NAVAL.X,    SPINE_NAVAL.Y,    SPINE_NAVAL.Z,    SPINE_CHEST.X,    SPINE_CHEST.Y,    SPINE_CHEST.Z,           NECK.X,           NECK.Y,           NECK.Z,  CLAVICLE_LEFT.X,  CLAVICLE_LEFT.Y,  CLAVICLE_LEFT.Z,  SHOULDER_LEFT.X,  SHOULDER_LEFT.Y,  SHOULDER_LEFT.Z,     ELBOW_LEFT.X,     ELBOW_LEFT.Y,     ELBOW_LEFT.Z,     WRIST_LEFT.X,     WRIST_LEFT.Y,     WRIST_LEFT.Z,      HAND_LEFT.X,      HAND_LEFT.Y,      HAND_LEFT.Z,   HANDTIP_LEFT.X,   HANDTIP_LEFT.Y,   HANDTIP_LEFT.Z,     THUMB_LEFT.X,     THUMB_LEFT.Y,     THUMB_LEFT.Z, CLAVICLE_RIGHT.X, CLAVICLE_RIGHT.Y, CLAVICLE_RIGHT.Z, SHOULDER_RIGHT.X, SHOULDER_RIGHT.Y, SHOULDER_RIGHT.Z,    ELBOW_RIGHT.X,    ELBOW_RIGHT.Y,    ELBOW_RIGHT.Z,    WRIST_RIGHT.X,    WRIST_RIGHT.Y,    WRIST_RIGHT.Z,     HAND_RIGHT.X,     HAND_RIGHT.Y,     HAND_RIGHT.Z,  HANDTIP_RIGHT.X,  HANDTIP_RIGHT.Y,  HANDTIP_RIGHT.Z,    THUMB_RIGHT.X,    THUMB_RIGHT.Y,    THUMB_RIGHT.Z,       HIP_LEFT.X,       HIP_LEFT.Y,       HIP_LEFT.Z,      KNEE_LEFT.X,      KNEE_LEFT.Y,      KNEE_LEFT.Z,     ANKLE_LEFT.X,     ANKLE_LEFT.Y,     ANKLE_LEFT.Z,      FOOT_LEFT.X,      FOOT_LEFT.Y,      FOOT_LEFT.Z,      HIP_RIGHT.X,      HIP_RIGHT.Y,      HIP_RIGHT.Z,     KNEE_RIGHT.X,     KNEE_RIGHT.Y,     KNEE_RIGHT.Z,    ANKLE_RIGHT.X,    ANKLE_RIGHT.Y,    ANKLE_RIGHT.Z,     FOOT_RIGHT.X,     FOOT_RIGHT.Y,     FOOT_RIGHT.Z,           HEAD.X,           HEAD.Y,           HEAD.Z,           NOSE.X,           NOSE.Y,           NOSE.Z,       EYE_LEFT.X,       EYE_LEFT.Y,       EYE_LEFT.Z,       EAR_LEFT.X,       EAR_LEFT.Y,       EAR_LEFT.Z,      EYE_RIGHT.X,      EYE_RIGHT.Y,      EYE_RIGHT.Z,      EAR-RIGHT.X,      EAR-RIGHT.Y,      EAR-RIGHT.Z
    6689.4470000,       00.1026778,      -00.0287214,       02.9096430,       00.1065100,       00.1534940,       02.8789630,       00.1096779,       00.2999000,       02.8593010,       00.1194160,       00.5233998,       02.8824930,       00.1526899,       00.4851290,       02.8799400,       00.2877086,       00.4251712,       02.8696330,       00.3273063,       00.1495651,       02.9361770,       00.3242181,      -00.0820898,       02.8724690,       00.3300682,      -00.1799075,       02.8911370,       00.2748068,      -00.2713772,       02.8578230,       00.2666937,      -00.2119224,       02.8407890,       00.0830181,       00.4875835,       02.8795440,      -00.0461905,       00.4499594,       02.8583190,      -00.1169329,       00.1741279,       02.9215450,      -00.1357084,      -00.0601696,       02.8586550,      -00.1204679,      -00.1356005,       02.9335840,      -00.0851100,      -00.2193381,       02.8715830,      -00.0794708,      -00.1785927,       02.8641260,       00.1970958,      -00.0309899,       02.9079640,       00.2162425,      -00.4312691,       03.0147780,       00.2297301,      -00.8057445,       03.1439340,       00.2371954,      -00.8878663,       02.9682490,       00.0175370,      -00.0266758,       02.9111570,       00.0033567,      -00.4282643,       03.0119300,      -00.0031787,      -00.8087227,       03.1369350,      -00.0351104,      -00.8830585,       02.9777570,       00.1231593,       00.6077801,       02.8772840,       00.1031494,       00.6593303,       02.7202710,       00.1383662,       00.6906176,       02.7540810,       00.2130966,       00.6658108,       02.8591870,       00.0843780,       00.6923758,       02.7580640,       00.0444361,       00.6830760,       02.8874520
    6689.5110000,       00.1029405,      -00.0302251,       02.9078900,       00.1063885,       00.1514420,       02.8783060,       00.1092451,       00.2976681,       02.8618850,       00.1195689,       00.5206037,       02.8813950,       00.1526085,       00.4823628,       02.8793750,       00.2874928,       00.4236852,       02.8683250,       00.3281543,       00.1500236,       02.9373680,       00.3257340,      -00.0822346,       02.8796720,       00.3290119,      -00.1799600,       02.8973310,       00.2753843,      -00.2685216,       02.8559440,       00.2677728,      -00.2088900,       02.8425220,       00.0832166,       00.4849791,       02.8791270,      -00.0462395,       00.4495790,       02.8590480,      -00.1156284,       00.1739356,       02.9192370,      -00.1358578,      -00.0605875,       02.8615510,      -00.1226308,      -00.1325498,       02.9396040,      -00.0846512,      -00.2149991,       02.8781970,      -00.0793243,      -00.1801957,       02.8596310,       00.1970029,      -00.0321790,       02.9068550,       00.2161405,      -00.4311582,       03.0122000,       00.2294009,      -00.8047320,       03.1391950,       00.2368822,      -00.8890268,       02.9653920,       00.0181203,      -00.0284633,       02.9088240,       00.0037557,      -00.4286852,       03.0083080,      -00.0032223,      -00.8075687,       03.1330320,      -00.0329450,      -00.8863295,       02.9763600,       00.1234955,       00.6045484,       02.8748530,       00.1023737,       00.6597248,       02.7199250,       00.1376246,       00.6901171,       02.7541230,       00.2128373,       00.6629719,       02.8576510,       00.0838746,       00.6916542,       02.7585050,       00.0450076,       00.6791053,       02.8873860
    6689.5760000,       00.1030133,      -00.0296622,       02.9086040,       00.1063055,       00.1518831,       02.8786010,       00.1090728,       00.2978357,       02.8602400,       00.1196804,       00.5204186,       02.8826380,       00.1526455,       00.4821413,       02.8804760,       00.2874314,       00.4232476,       02.8699780,       00.3299895,       00.1505413,       02.9412690,       00.3285584,      -00.0794872,       02.8754720,       00.3294483,      -00.1766577,       02.8960650,       00.2805000,      -00.2701722,       02.8602380,       00.2676742,      -00.2052524,       02.8506110,       00.0832862,       00.4849200,       02.8795540,      -00.0455822,       00.4499252,       02.8556290,      -00.1179298,       00.1766876,       02.9225110,      -00.1365221,      -00.0565483,       02.8595970,      -00.1104652,      -00.1252042,       02.9373560,      -00.0854057,      -00.2132067,       02.8770930,      -00.0778349,      -00.1715025,       02.8564730,       00.1970311,      -00.0316925,       02.9066360,       00.2162293,      -00.4311095,       03.0098040,       00.2290855,      -00.8049314,       03.1357390,       00.2365497,      -00.8877253,       02.9612800,       00.0182334,      -00.0278314,       02.9103790,       00.0027989,      -00.4280322,       03.0092750,      -00.0057443,      -00.8070823,       03.1330100,      -00.0303431,      -00.8838056,       02.9745100,       00.1238557,       00.6044042,       02.8771900,       00.1040865,       00.6596024,       02.7221440,       00.1386000,       00.6902803,       02.7568070,       00.2127858,       00.6637270,       02.8611770,       00.0848038,       00.6912732,       02.7605320,       00.0445021,       00.6781312,       02.8888690
    6689.6310000,       00.1019041,      -00.0302041,       02.9067130,       00.1056072,       00.1517943,       02.8774770,       00.1086401,       00.2984583,       02.8631450,       00.1187724,       00.5217041,       02.8830670,       00.1518789,       00.4834039,       02.8813920,       00.2867587,       00.4240059,       02.8712120,       00.3290773,       00.1497610,       02.9386960,       00.3281485,      -00.0803221,       02.8715270,       00.3296396,      -00.1765638,       02.8967830,       00.2801168,      -00.2704973,       02.8622390,       00.2670916,      -00.2064508,       02.8428600,       00.0823910,       00.4860334,       02.8803220,      -00.0461434,       00.4493008,       02.8558240,      -00.1172445,       00.1747141,       02.9207630,      -00.1357180,      -00.0602433,       02.8627270,      -00.1186838,      -00.1298016,       02.9424250,      -00.0857654,      -00.2151072,       02.8817070,      -00.0786939,      -00.1784052,       02.8592280,       00.1961112,      -00.0322010,       02.9062140,       00.2154442,      -00.4323191,       03.0096180,       00.2289152,      -00.8070718,       03.1349500,       00.2364308,      -00.8903652,       02.9603450,       00.0169535,      -00.0284035,       02.9071620,       00.0032392,      -00.4290427,       03.0076240,      -00.0026116,      -00.8080804,       03.1338450,      -00.0306757,      -00.8871824,       02.9767370,       00.1227921,       00.6057818,       02.8766610,       00.1079576,       00.6568127,       02.7193340,       00.1403662,       00.6892192,       02.7546230,       00.2110207,       00.6669917,       02.8626840,       00.0863581,       00.6889711,       02.7561850,       00.0411578,       00.6779141,       02.8833380
    6689.6910000,       00.1025176,      -00.0286567,       02.9078840,       00.1062703,       00.1531481,       02.8775500,       00.1094217,       00.2994075,       02.8596550,       00.1189444,       00.5224372,       02.8819810,       00.1521641,       00.4842740,       02.8796530,       00.2869777,       00.4247205,       02.8696540,       00.3291596,       00.1509778,       02.9391500,       00.3292764,      -00.0810968,       02.8792810,       00.3306946,      -00.1794540,       02.8942820,       00.2790403,      -00.2710495,       02.8567360,       00.2668500,      -00.2049397,       02.8411530,       00.0826667,       00.4866773,       02.8790900,      -00.0465819,       00.4497270,       02.8591540,      -00.1163405,       00.1748647,       02.9242940,      -00.1356540,      -00.0598459,       02.8656060,      -00.1153510,      -00.1368408,       02.9372880,      -00.0841988,      -00.2143722,       02.8661260,      -00.0791211,      -00.1786553,       02.8584720,       00.1966941,      -00.0309202,       02.9059680,       00.2155301,      -00.4312193,       03.0086490,       00.2282536,      -00.8058395,       03.1343700,       00.2366419,      -00.8924105,       02.9614210,       00.0175946,      -00.0266155,       02.9096120,       00.0027416,      -00.4276820,       03.0080720,      -00.0053004,      -00.8075770,       03.1314760,      -00.0352852,      -00.8849655,       02.9738840,       00.1226382,       00.6065883,       02.8764800,       00.1072302,       00.6603058,       02.7201180,       00.1421602,       00.6904206,       02.7550230,       00.2138114,       00.6629677,       02.8611990,       00.0882733,       00.6931531,       02.7578010,       00.0453280,       00.6830502,       02.8858020
    6689.7460000,       00.1031881,      -00.0293291,       02.9081260,       00.1065931,       00.1519273,       02.8782350,       00.1096399,       00.2977591,       02.8609180,       00.1188917,       00.5203015,       02.8804780,       00.1520540,       00.4823082,       02.8782570,       00.2870946,       00.4248697,       02.8664420,       00.3305402,       00.1550652,       02.9459050,       00.3283943,      -00.0736602,       02.8770790,       00.3287495,      -00.1725351,       02.8847130,       00.2799199,      -00.2697890,       02.8614500,       00.2658895,      -00.1993137,       02.8379690,       00.0827834,       00.4845588,       02.8783890,      -00.0460333,       00.4473644,       02.8592380,      -00.1159883,       00.1735198,       02.9240880,      -00.1353493,      -00.0586677,       02.8590890,      -00.1212525,      -00.1317587,       02.9356440,      -00.0850949,      -00.2141902,       02.8734960,      -00.0798740,      -00.1780042,       02.8607770,       00.1969642,      -00.0317965,       02.9038460,       00.2159707,      -00.4293054,       03.0116110,       00.2294098,      -00.8010795,       03.1414630,       00.2374109,      -00.8883955,       02.9696010,       00.0186261,      -00.0271041,       02.9119850,       00.0025999,      -00.4271124,       03.0087260,      -00.0053642,      -00.8061802,       03.1303230,      -00.0353610,      -00.8861853,       02.9747280,       00.1223387,       00.6041070,       02.8739810,       00.1024570,       00.6583165,       02.7188910,       00.1364425,       00.6894930,       02.7534730,       00.2104762,       00.6642978,       02.8580190,       00.0827148,       00.6898721,       02.7570170,       00.0422237,       00.6768308,       02.8850720
    6689.8070000,       00.1031355,      -00.0285249,       02.9081960,       00.1068536,       00.1532296,       02.8777050,       00.1100251,       00.2997905,       02.8626680,       00.1188810,       00.5231379,       02.8815260,       00.1522013,       00.4850313,       02.8799850,       00.2883472,       00.4286709,       02.8698190,       00.3301867,       00.1551883,       02.9403840,       00.3289686,      -00.0755698,       02.8757550,       00.3284649,      -00.1734402,       02.8936340,       00.2801323,      -00.2681995,       02.8597380,       00.2658807,      -00.1991718,       02.8400500,       00.0827116,       00.4872506,       02.8789980,      -00.0459865,       00.4499237,       02.8564910,      -00.1175360,       00.1750818,       02.9195700,      -00.1358343,      -00.0578273,       02.8539250,      -00.1207846,      -00.1277267,       02.9336940,      -00.0852117,      -00.2144451,       02.8766250,      -00.0799241,      -00.1763859,       02.8640870,       00.1973047,      -00.0307380,       02.9064870,       00.2166726,      -00.4307394,       03.0100060,       00.2297047,      -00.8052964,       03.1357200,       00.2440791,      -00.8896101,       02.9620800,       00.0182190,      -00.0265292,       02.9097370,       00.0025895,      -00.4275766,       03.0079260,      -00.0056350,      -00.8073348,       03.1315690,      -00.0327598,      -00.8859342,       02.9740850,       00.1224013,       00.6071897,       02.8747210,       00.1013330,       00.6573532,       02.7178620,       00.1344940,       00.6903475,       02.7518650,       00.2091938,       00.6695573,       02.8574320,       00.0805938,       00.6893506,       02.7553270,       00.0400581,       00.6781858,       02.8840060
    6689.8650000,       00.1027262,      -00.0285566,       02.9102610,       00.1067788,       00.1528946,       02.8784580,       00.1102152,       00.2992285,       02.8618960,       00.1191925,       00.5223726,       02.8820450,       00.1524909,       00.4842957,       02.8800090,       00.2886378,       00.4282220,       02.8691120,       00.3296218,       00.1549201,       02.9404350,       00.3289442,      -00.0757313,       02.8757550,       00.3288781,      -00.1738697,       02.8918760,       00.2809492,      -00.2709962,       02.8649670,       00.2665074,      -00.2016756,       02.8456310,       00.0830219,       00.4865097,       02.8795830,      -00.0462267,       00.4498214,       02.8596370,      -00.1161437,       00.1745662,       02.9222330,      -00.1359298,      -00.0593506,       02.8610980,      -00.1177248,      -00.1306225,       02.9389180,      -00.0846019,      -00.2144735,       02.8764260,      -00.0783541,      -00.1772759,       02.8593020,       00.1968542,      -00.0309641,       02.9085200,       00.2161967,      -00.4309732,       03.0113830,       00.2296543,      -00.8051602,       03.1376790,       00.2385751,      -00.8891996,       02.9636220,       00.0178469,      -00.0263857,       02.9118310,       00.0030289,      -00.4274449,       03.0094340,      -00.0041963,      -00.8072588,       03.1324760,      -00.0306195,      -00.8864479,       02.9752450,       00.1226490,       00.6064332,       02.8757300,       00.1016901,       00.6577578,       02.7193000,       00.1360405,       00.6896611,       02.7531260,       00.2109830,       00.6663755,       02.8579340,       00.0821853,       00.6901690,       02.7570420,       00.0424520,       00.6796558,       02.8859710
    6689.9250000,       00.1028478,      -00.0297311,       02.9060540,       00.1069924,       00.1522805,       02.8770280,       00.1104952,       00.2987814,       02.8612900,       00.1187257,       00.5219038,       02.8832240,       00.1521730,       00.4839454,       02.8807960,       00.2884299,       00.4281702,       02.8687560,       00.3292927,       00.1550367,       02.9413790,       00.3275802,      -00.0763921,       02.8790740,       00.3279198,      -00.1750545,       02.8919970,       00.2797042,      -00.2709652,       02.8612690,       00.2668143,      -00.2020046,       02.8410450,       00.0826592,       00.4859124,       02.8805630,      -00.0460135,       00.4472931,       02.8600630,      -00.1176139,       00.1734675,       02.9275430,      -00.1369748,      -00.0602030,       02.8648450,      -00.1264602,      -00.1388458,       02.9368430,      -00.0858066,      -00.2190862,       02.8739570,      -00.0797572,      -00.1786625,       02.8616710,       00.1970170,      -00.0322038,       02.9039960,       00.2162950,      -00.4317869,       03.0093660,       00.2297311,      -00.8053125,       03.1382430,       00.2385313,      -00.8873265,       02.9631050,       00.0179313,      -00.0275013,       02.9079110,       00.0028149,      -00.4279270,       03.0089260,      -00.0045100,      -00.8069394,       03.1350730,      -00.0302724,      -00.8854903,       02.9773070,       00.1218654,       00.6060684,       02.8775760,       00.1073475,       00.6533976,       02.7190770,       00.1411246,       00.6856185,       02.7532290,       00.2119489,       00.6638968,       02.8612720,       00.0871571,       00.6872199,       02.7552260,       00.0427421,       00.6810405,       02.8829770
    6689.9830000,       00.1023537,      -00.0326026,       02.9065840,       00.1063754,       00.1489174,       02.8781360,       00.1098030,       00.2950755,       02.8635610,       00.1172015,       00.5179174,       02.8809930,       00.1506845,       00.4801665,       02.8792190,       00.2870098,       00.4261130,       02.8658520,       00.3297508,       00.1544911,       02.9395390,       00.3282696,      -00.0756808,       02.8754850,       00.3287422,      -00.1739611,       02.8889060,       00.2811249,      -00.2710176,       02.8624030,       00.2663616,      -00.2011677,       02.8408080,       00.0813813,       00.4818549,       02.8791620,      -00.0467599,       00.4419706,       02.8606760,      -00.1321989,       00.1736713,       02.9302890,      -00.1474076,      -00.0589752,       02.8656130,      -00.1520413,      -00.1442330,       02.9297740,      -00.0907270,      -00.2208667,       02.8814190,      -00.0925612,      -00.1828407,       02.8671310,       00.1962269,      -00.0350169,       02.9044500,       00.2165174,      -00.4332462,       03.0096680,       00.2314062,      -00.8052884,       03.1388760,       00.2433137,      -00.8890119,       02.9654090,       00.0177041,      -00.0304255,       02.9085090,       00.0027097,      -00.4301833,       03.0068550,      -00.0044492,      -00.8088578,       03.1300280,      -00.0299986,      -00.8880856,       02.9731980,       00.1199853,       00.6017013,       02.8736930,       00.1075514,       00.6540145,       02.7171400,       00.1415347,       00.6844471,       02.7524030,       00.2109240,       00.6581867,       02.8598710,       00.0877603,       00.6869563,       02.7540670,       00.0424229,       00.6776530,       02.8808520
