       TimeStamp,     Flexion_Left,    Flexion_Right,   Abduction_Left,  Abduction_Right
      6141.30500,       -016.61866,       -017.38653,        016.61866,        017.38653
      6141.41100,       -016.49343,       -018.15722,        016.49343,        018.15722
      6141.48900,       -016.60612,       -018.18160,        016.60612,        018.18160
      6141.56800,       -016.30105,       -016.86317,        016.30105,        016.86317
      6141.64900,       -016.42127,       -017.24742,        016.42127,        017.24742
      6141.72300,       -015.67043,       -017.41380,        015.67043,        017.41380
      6141.80500,       -016.63469,       -016.78246,        016.63469,        016.78246
      6141.88000,       -016.61593,       -017.54238,        016.61593,        017.54238
      6141.96000,       -016.54605,       -018.04557,        016.54605,        018.04557
      6142.04300,       -016.68075,       -018.11202,        016.68075,        018.11202
      6142.12600,       -017.30631,       -017.31257,        017.30631,        017.31257
      6142.20600,       -017.50687,       -016.74986,        017.50687,        016.74986
      6142.28500,       -016.41971,       -017.62791,        016.41971,        017.62791
      6142.36200,       -018.15305,       -019.26861,        018.15305,        019.26861
      6142.43400,       -019.04336,       -020.99179,        019.04336,        020.99179
      6142.51900,       -019.33812,       -025.77190,        019.33812,        025.77190
      6142.58500,       -021.46198,       -041.82025,        021.46198,        041.82025
      6142.65500,       -020.81397,       -045.69420,        020.81397,        045.69420
      6142.72500,       -021.51285,       -054.13786,        021.51285,        054.13786
      6142.79200,       -020.16366,       -054.57385,        020.16366,        054.57385
      6142.86700,       -020.38658,       -052.04669,        020.38658,        052.04669
      6142.94200,       -020.95679,       -041.23209,        020.95679,        041.23209
      6143.01100,       -020.20407,       -030.54459,        020.20407,        030.54459
      6143.07800,       -018.78473,       -020.97011,        018.78473,        020.97011
      6143.14600,       -018.07542,       -020.44272,        018.07542,        020.44272
      6143.20800,       -019.12205,       -020.10585,        019.12205,        020.10585
      6143.27000,       -017.74615,       -017.34886,        017.74615,        017.34886
      6143.34300,       -017.79017,       -017.52941,        017.79017,        017.52941
      6143.40600,       -017.83807,       -017.72508,        017.83807,        017.72508
      6143.46800,       -016.84753,       -017.72664,        016.84753,        017.72664
      6143.54100,       -015.00101,       -016.06850,        015.00101,        016.06850
      6143.61200,       -015.11060,       -016.69466,        015.11060,        016.69466
      6143.67200,       -016.84375,       -016.12195,        016.84375,        016.12195
      6143.73400,       -016.42630,       -015.51128,        016.42630,        015.51128
      6143.80300,       -016.26256,       -016.85634,        016.26256,        016.85634
      6143.87000,       -016.47345,        019.91110,        016.47345,        019.91110
      6143.94000,       -016.32453,        021.69757,        016.32453,        021.69757
      6144.01100,       -015.95577,        031.28283,        015.95577,        031.28283
      6144.07800,       -014.92551,        040.22979,        014.92551,        040.22979
      6144.14500,       -015.27884,        038.64768,        015.27884,        038.64768
      6144.20800,       -016.16380,        045.27296,        016.16380,        045.27296
      6144.27400,       -015.04416,        055.12627,        015.04416,        055.12627
      6144.33700,       -015.47129,        058.40639,        015.47129,        058.40639
      6144.40000,       -015.17320,        074.01610,        015.17320,        074.01610
      6144.46400,       -015.18638,        093.18698,        015.18638,        093.18698
      6144.53600,       -015.25858,        098.78233,        015.25858,        098.78233
      6144.60400,       -015.88190,        097.18950,        015.88190,        097.18950
      6144.67600,       -015.62943,        094.43592,        015.62943,        094.43592
      6144.74100,       -016.34970,        091.86759,        016.34970,        091.86759
      6144.80400,       -018.25492,        096.08113,        018.25492,        096.08113
      6144.86800,       -016.90027,        097.07894,        016.90027,        097.07894
      6144.93300,       -018.29027,        100.53310,        018.29027,        100.53310
      6145.00000,       -017.66371,        108.06610,        017.66371,        108.06610
      6145.06400,       -016.97458,        107.15830,        016.97458,        107.15830
      6145.12800,       -016.15473,        107.78440,        016.15473,        107.78440
      6145.19300,       -017.06218,        111.21200,        017.06218,        111.21200
      6145.25000,       -015.74018,        110.19360,        015.74018,        110.19360
      6145.31500,       -014.65126,        108.88950,        014.65126,        108.88950
      6145.37500,       -014.37778,        102.36900,        014.37778,        102.36900
      6145.43800,       -013.86115,        096.97644,        013.86115,        096.97644
      6145.49800,       -015.16885,        085.93960,        015.16885,        085.93960
      6145.56100,       -015.10221,        088.69691,        015.10221,        088.69691
      6145.61800,       -015.75714,        090.96702,        015.75714,        090.96702
      6145.67700,       -016.77162,        083.07057,        016.77162,        083.07057
      6145.73600,       -016.16288,        076.92676,        016.16288,        076.92676
      6145.80900,       -017.58686,        082.05859,        017.58686,        082.05859
      6145.86600,       -016.21573,        086.13109,        016.21573,        086.13109
      6145.93600,       -017.37230,        087.93217,        017.37230,        087.93217
      6146.00000,       -017.21059,        088.04855,        017.21059,        088.04855
      6146.06600,       -016.81508,        092.14321,        016.81508,        092.14321
      6146.13400,       -016.66532,        104.58100,        016.66532,        104.58100
      6146.19900,       -015.38080,        107.14540,        015.38080,        107.14540
      6146.26200,       -014.74180,        109.08490,        014.74180,        109.08490
      6146.32700,       -013.88389,        120.75160,        013.88389,        120.75160
      6146.39100,       -014.23385,        120.98580,        014.23385,        120.98580
      6146.45100,       -012.88490,        119.86450,        012.88490,        119.86450
      6146.51000,       -013.16264,        116.81370,        013.16264,        116.81370
      6146.56200,       -013.18078,        112.28270,        013.18078,        112.28270
      6146.62900,       -013.15790,        107.18020,        013.15790,        107.18020
      6146.68400,       -013.75576,        098.83759,        013.75576,        098.83759
      6146.74100,       -015.35313,        088.70100,        015.35313,        088.70100
      6146.79700,       -015.68964,        086.60452,        015.68964,        086.60452
      6146.86600,       -015.72608,        082.50104,        015.72608,        082.50104
      6146.92100,       -015.42852,        089.27866,        015.42852,        089.27866
      6146.97800,       -015.48229,        092.94357,        015.48229,        092.94357
      6147.03700,       -015.50490,        093.42853,        015.50490,        093.42853
      6147.09200,       -014.85944,        093.13506,        014.85944,        093.13506
      6147.14800,       -014.61891,        092.38429,        014.61891,        092.38429
      6147.20800,       -014.84352,        073.67661,        014.84352,        073.67661
      6147.27000,       -014.79398,        066.71230,        014.79398,        066.71230
      6147.32700,       -015.51460,        061.67268,        015.51460,        061.67268
      6147.38300,       -015.50316,        056.77423,        015.50316,        056.77423
      6147.43800,       -015.79980,        044.62656,        015.79980,        044.62656
      6147.49500,       -015.18412,        047.91980,        015.18412,        047.91980
      6147.55200,       -014.88928,        048.45300,        014.88928,        048.45300
      6147.61200,       -013.93652,        054.17682,        013.93652,        054.17682
      6147.67200,       -012.57115,        053.65488,        012.57115,        053.65488
      6147.73100,       -010.15123,        054.84969,        010.15123,        054.84969
      6147.79900,       -010.15767,        054.82356,        010.15767,        054.82356
