       TimeStamp,     Flexion_Left,    Flexion_Right,   Abduction_Left,  Abduction_Right
      6936.59800,       -015.28957,       -016.49485,        015.28957,        016.49485
      6936.66300,       -015.97687,       -016.42159,        015.97687,        016.42159
      6936.72800,       -015.56674,       -015.18792,        015.56674,        015.18792
      6936.79500,       -014.29287,       -016.04002,        014.29287,        016.04002
      6936.85200,       -014.91609,       -015.89054,        014.91609,        015.89054
      6936.91100,       -014.62476,       -016.36625,        014.62476,        016.36625
      6936.96800,       -014.17790,       -016.39931,        014.17790,        016.39931
      6937.02600,       -014.41360,       -016.14691,        014.41360,        016.14691
      6937.08400,       -014.38864,       -016.72500,        014.38864,        016.72500
      6937.14100,       -013.77358,       -016.66094,        013.77358,        016.66094
      6937.19700,       -013.94049,       -016.78218,        013.94049,        016.78218
      6937.25200,       -015.05810,       -016.81326,        015.05810,        016.81326
      6937.31100,       -016.05686,       -015.87527,        016.05686,        015.87527
      6937.37000,       -015.99034,       -015.65841,        015.99034,        015.65841
      6937.42900,       -015.23889,       -016.06581,        015.23889,        016.06581
      6937.48600,       -014.31034,       -015.76163,        014.31034,        015.76163
      6937.54500,       -014.61332,       -016.01043,        014.61332,        016.01043
      6937.60500,       -015.29213,       -015.82910,        015.29213,        015.82910
      6937.66100,       -015.34826,       -015.02765,        015.34826,        015.02765
      6937.72500,       -015.32486,       -016.44231,        015.32486,        016.44231
      6937.78300,       -014.89812,       -016.27673,        014.89812,        016.27673
      6937.83800,       -015.31741,       -016.15778,        015.31741,        016.15778
      6937.89600,       -015.70253,       -015.66291,        015.70253,        015.66291
      6937.96300,       -015.43636,       -015.92279,        015.43636,        015.92279
      6938.02000,       -014.37947,       -015.71244,        014.37947,        015.71244
      6938.07700,       -014.82415,       -015.76594,        014.82415,        015.76594
      6938.13300,       -015.21945,       -015.49892,        015.21945,        015.49892
      6938.19000,       -015.82474,       -015.18941,        015.82474,        015.18941
      6938.25000,       -015.32539,       -015.35763,        015.32539,        015.35763
      6938.30600,       -015.02891,       -016.32521,        015.02891,        016.32521
      6938.37300,       -015.36881,       -017.27734,        015.36881,        017.27734
      6938.42800,       -015.33064,       -017.00080,        015.33064,        017.00080
      6938.48400,       -016.16500,       -015.27311,        016.16500,        015.27311
      6938.55200,       -016.30693,       -018.80373,        016.30693,        018.80373
      6938.60900,       -015.27338,       -023.55019,        015.27338,        023.55019
      6938.67100,       -016.46358,       -024.08057,        016.46358,        024.08057
      6938.72900,       -015.99685,       -030.32520,        015.99685,        030.32520
      6938.79300,       -015.56942,       -035.25467,        015.56942,        035.25467
      6938.85000,       -015.01691,       -043.10183,        015.01691,        043.10183
      6938.91300,       -015.37173,       -045.65974,        015.37173,        045.65974
      6938.96900,       -016.37179,       -045.91303,        016.37179,        045.91303
      6939.02500,       -017.74752,       -049.84414,        017.74752,        049.84414
      6939.08100,       -017.17133,       -052.54094,        017.17133,        052.54094
      6939.14100,       -017.95062,       -057.90025,        017.95062,        057.90025
      6939.20600,       -018.95253,       -060.18862,        018.95253,        060.18862
      6939.26400,       -018.39636,        051.59486,        018.39636,        051.59486
      6939.32700,       -017.55097,       -075.73264,        017.55097,        075.73264
      6939.38400,       -017.78558,       -076.34992,        017.78558,        076.34992
      6939.44500,       -017.65986,        075.35695,        017.65986,        075.35695
      6939.49900,       -016.16611,        083.01765,        016.16611,        083.01765
      6939.56000,       -018.37838,        087.35284,        018.37838,        087.35284
      6939.62200,       -018.00043,        090.56882,        018.00043,        090.56882
      6939.67800,       -017.32407,        092.30027,        017.32407,        092.30027
      6939.73600,       -016.25424,        096.12755,        016.25424,        096.12755
