       TimeStamp,         PELVIS.X,         PELVIS.Y,         PELVIS.Z,    SPINE_NAVAL.X,    SPINE_NAVAL.Y,    SPINE_NAVAL.Z,    SPINE_CHEST.X,    SPINE_CHEST.Y,    SPINE_CHEST.Z,           NECK.X,           NECK.Y,           NECK.Z,  CLAVICLE_LEFT.X,  CLAVICLE_LEFT.Y,  CLAVICLE_LEFT.Z,  SHOULDER_LEFT.X,  SHOULDER_LEFT.Y,  SHOULDER_LEFT.Z,     ELBOW_LEFT.X,     ELBOW_LEFT.Y,     ELBOW_LEFT.Z,     WRIST_LEFT.X,     WRIST_LEFT.Y,     WRIST_LEFT.Z,      HAND_LEFT.X,      HAND_LEFT.Y,      HAND_LEFT.Z,   HANDTIP_LEFT.X,   HANDTIP_LEFT.Y,   HANDTIP_LEFT.Z,     THUMB_LEFT.X,     THUMB_LEFT.Y,     THUMB_LEFT.Z, CLAVICLE_RIGHT.X, CLAVICLE_RIGHT.Y, CLAVICLE_RIGHT.Z, SHOULDER_RIGHT.X, SHOULDER_RIGHT.Y, SHOULDER_RIGHT.Z,    ELBOW_RIGHT.X,    ELBOW_RIGHT.Y,    ELBOW_RIGHT.Z,    WRIST_RIGHT.X,    WRIST_RIGHT.Y,    WRIST_RIGHT.Z,     HAND_RIGHT.X,     HAND_RIGHT.Y,     HAND_RIGHT.Z,  HANDTIP_RIGHT.X,  HANDTIP_RIGHT.Y,  HANDTIP_RIGHT.Z,    THUMB_RIGHT.X,    THUMB_RIGHT.Y,    THUMB_RIGHT.Z,       HIP_LEFT.X,       HIP_LEFT.Y,       HIP_LEFT.Z,      KNEE_LEFT.X,      KNEE_LEFT.Y,      KNEE_LEFT.Z,     ANKLE_LEFT.X,     ANKLE_LEFT.Y,     ANKLE_LEFT.Z,      FOOT_LEFT.X,      FOOT_LEFT.Y,      FOOT_LEFT.Z,      HIP_RIGHT.X,      HIP_RIGHT.Y,      HIP_RIGHT.Z,     KNEE_RIGHT.X,     KNEE_RIGHT.Y,     KNEE_RIGHT.Z,    ANKLE_RIGHT.X,    ANKLE_RIGHT.Y,    ANKLE_RIGHT.Z,     FOOT_RIGHT.X,     FOOT_RIGHT.Y,     FOOT_RIGHT.Z,           HEAD.X,           HEAD.Y,           HEAD.Z,           NOSE.X,           NOSE.Y,           NOSE.Z,       EYE_LEFT.X,       EYE_LEFT.Y,       EYE_LEFT.Z,       EAR_LEFT.X,       EAR_LEFT.Y,       EAR_LEFT.Z,      EYE_RIGHT.X,      EYE_RIGHT.Y,      EYE_RIGHT.Z,      EAR-RIGHT.X,      EAR-RIGHT.Y,      EAR-RIGHT.Z
    7143.5120000,       00.1012988,      -00.0291256,       02.9056640,       00.1055670,       00.1529159,       02.8795710,       00.1090113,       00.2987379,       02.8608390,       00.1157670,       00.5223233,       02.8694800,       00.1492500,       00.4845146,       02.8713630,       00.2834356,       00.4235737,       02.8688960,       00.3179835,       00.1514525,       02.9459880,       00.3228728,      -00.0813559,       02.8915140,       00.3255453,      -00.1796752,       02.9050760,       00.2820051,      -00.2754719,       02.8684680,       00.2727805,      -00.2099267,       02.8467750,       00.0800242,       00.4861623,       02.8669080,      -00.0462831,       00.4465950,       02.8374480,      -00.1301061,       00.1794200,       02.9141210,      -00.1360749,      -00.0530920,       02.8466620,      -00.1020977,      -00.1497022,       02.8773280,      -00.0910652,      -00.2578415,       02.8906340,      -00.0857728,      -00.1659896,       02.8453350,       00.1952792,      -00.0314860,       02.9045690,       00.2172112,      -00.4291751,       03.0129660,       00.2320196,      -00.8019004,       03.1413370,       00.2510478,      -00.8870461,       02.9690000,       00.0165525,      -00.0269972,       02.9066510,      -00.0015441,      -00.4274842,       03.0031050,      -00.0129547,      -00.8066003,       03.1258030,      -00.0338255,      -00.8878967,       02.9691520,       00.1191742,       00.6058130,       02.8589010,       00.0913514,       00.6623149,       02.7056530,       00.1239179,       00.6950637,       02.7402600,       00.2023732,       00.6727377,       02.8423980,       00.0703517,       00.6914242,       02.7451180,       00.0342199,       00.6722702,       02.8738730
    7143.5700000,       00.0996527,      -00.0289680,       02.9077770,       00.1051937,       00.1525033,       02.8787250,       00.1096403,       00.2980728,       02.8588190,       00.1159744,       00.5214632,       02.8697930,       00.1494875,       00.4837058,       02.8715280,       00.2836506,       00.4228358,       02.8708900,       00.3173437,       00.1502409,       02.9461720,       00.3207472,      -00.0824555,       02.8915980,       00.3237655,      -00.1811090,       02.9019370,       00.2801135,      -00.2778987,       02.8683580,       00.2716605,      -00.2110297,       02.8423610,       00.0803253,       00.4852931,       02.8665940,      -00.0453114,       00.4444464,       02.8363160,      -00.1284225,       00.1773996,       02.9136920,      -00.1344316,      -00.0555311,       02.8481150,      -00.1025052,      -00.1524459,       02.8798300,      -00.0896229,      -00.2606930,       02.8897420,      -00.0827252,      -00.1668712,       02.8538520,       00.1935810,      -00.0318437,       02.9077290,       00.2161219,      -00.4299996,       03.0135190,       00.2320768,      -00.8031960,       03.1397990,       00.2512670,      -00.8868271,       02.9668410,       00.0149533,      -00.0263747,       02.9078210,      -00.0018788,      -00.4270827,       03.0027490,      -00.0113074,      -00.8065169,       03.1240170,      -00.0350301,      -00.8900402,       02.9690460,       00.1193228,       00.6050228,       02.8600980,       00.0859862,       00.6610865,       02.7078770,       00.1200727,       00.6937298,       02.7410450,       00.2022321,       00.6712740,       02.8401180,       00.0667363,       00.6904815,       02.7479830,       00.0355022,       00.6720930,       02.8780590
    7143.6400000,       00.0994956,      -00.0281206,       02.9067270,       00.1052788,       00.1536216,       02.8784330,       00.1098844,       00.2995507,       02.8603530,       00.1166753,       00.5232220,       02.8689710,       00.1501818,       00.4854002,       02.8706870,       00.2838681,       00.4232617,       02.8676660,       00.3189167,       00.1513882,       02.9458040,       00.3213578,      -00.0821521,       02.8939580,       00.3246620,      -00.1806000,       02.9067030,       00.2808709,      -00.2744671,       02.8655480,       00.2712587,      -00.2091181,       02.8453390,       00.0809080,       00.4870455,       02.8665740,      -00.0452956,       00.4463463,       02.8379850,      -00.1251856,       00.1766634,       02.9103810,      -00.1362374,      -00.0571091,       02.8477590,      -00.1032809,      -00.1538895,       02.8791370,      -00.0927275,      -00.2621086,       02.8925280,      -00.0852397,      -00.1701225,       02.8475960,       00.1935011,      -00.0309924,       02.9074950,       00.2163953,      -00.4292291,       03.0142730,       00.2324920,      -00.8027841,       03.1405250,       00.2493133,      -00.8866541,       02.9672520,       00.0147267,      -00.0255309,       02.9060350,      -00.0018213,      -00.4264695,       03.0015640,      -00.0115550,      -00.8061114,       03.1232750,      -00.0335278,      -00.8892441,       02.9676640,       00.1200272,       00.6067442,       02.8583730,       00.0847336,       00.6601236,       02.7054770,       00.1193023,       00.6933553,       02.7376310,       00.2027928,       00.6725948,       02.8361060,       00.0660124,       00.6902848,       02.7453240,       00.0364278,       00.6742712,       02.8762150
    7143.7000000,       00.0991193,      -00.0278786,       02.9052160,       00.1041306,       00.1545162,       02.8779830,       00.1081360,       00.3007444,       02.8591790,       00.1143181,       00.5249479,       02.8689840,       00.1479869,       00.4871048,       02.8707960,       00.2813444,       00.4233951,       02.8678580,       00.3186086,       00.1512084,       02.9464950,       00.3210624,      -00.0824932,       02.8926370,       00.3249452,      -00.1803786,       02.9104800,       00.2802363,      -00.2697045,       02.8604100,       00.2720805,      -00.2105842,       02.8484280,       00.0785718,       00.4886060,       02.8661040,      -00.0469946,       00.4469085,       02.8346700,      -00.1260003,       00.1767623,       02.9092080,      -00.1350410,      -00.0578321,       02.8469800,      -00.1016371,      -00.1556705,       02.8753800,      -00.0858003,      -00.2642362,       02.8803960,      -00.0849133,      -00.1689365,       02.8557420,       00.1933734,      -00.0304112,       02.9055980,       00.2164605,      -00.4292346,       03.0141490,       00.2326783,      -00.8032946,       03.1419850,       00.2492027,      -00.8860253,       02.9675970,       00.0141263,      -00.0255948,       02.9048720,      -00.0021682,      -00.4269018,       03.0033340,      -00.0113250,      -00.8070498,       03.1267850,      -00.0362465,      -00.8879528,       02.9699360,       00.1175596,       00.6087398,       02.8588020,       00.0839394,       00.6595991,       02.7042260,       00.1191068,       00.6929137,       02.7359030,       00.2019316,       00.6725969,       02.8354640,       00.0655982,       00.6910636,       02.7434170,       00.0350362,       00.6784575,       02.8748070
    7143.7560000,       00.0979066,      -00.0287051,       02.9069680,       00.1037679,       00.1536408,       02.8782470,       00.1084824,       00.3002782,       02.8616560,       00.1144220,       00.5248681,       02.8676790,       00.1481553,       00.4870535,       02.8702730,       00.2822798,       00.4245301,       02.8692100,       00.3179422,       00.1507466,       02.9440950,       00.3217358,      -00.0835026,       02.8915390,       00.3259944,      -00.1811684,       02.9110330,       00.2801296,      -00.2730164,       02.8666170,       00.2720165,      -00.2129207,       02.8498600,       00.0786825,       00.4884067,       02.8652690,      -00.0467687,       00.4462864,       02.8332980,      -00.1272658,       00.1765072,       02.9088110,      -00.1359232,      -00.0587899,       02.8481620,      -00.1035953,      -00.1565873,       02.8783370,      -00.0911537,      -00.2654751,       02.8871440,      -00.0843346,      -00.1709965,       02.8511520,       00.1922500,      -00.0317400,       02.9069530,       00.2160252,      -00.4310882,       03.0151560,       00.2329148,      -00.8055127,       03.1431810,       00.2494680,      -00.8869748,       02.9679640,       00.0128330,      -00.0259683,       02.9069820,      -00.0016068,      -00.4279626,       03.0048330,      -00.0094771,      -00.8089270,       03.1272710,      -00.0339258,      -00.8876843,       02.9690400,       00.1176304,       00.6085695,       02.8560740,       00.0839325,       00.6647813,       02.7031820,       00.1188986,       00.6971769,       02.7361260,       00.2017689,       00.6737611,       02.8351550,       00.0653307,       00.6947578,       02.7434810,       00.0345975,       00.6772841,       02.8744260
    7143.8130000,       00.1001896,      -00.0289166,       02.9071680,       00.1050881,       00.1523595,       02.8789030,       00.1090758,       00.2981698,       02.8630390,       00.1153487,       00.5213360,       02.8693400,       00.1488322,       00.4837048,       02.8716310,       00.2832787,       00.4241599,       02.8693590,       00.3175539,       00.1515071,       02.9421760,       00.3225097,      -00.0798519,       02.8840490,       00.3256835,      -00.1765237,       02.9054340,       00.2813946,      -00.2698604,       02.8644080,       00.2722504,      -00.2093676,       02.8491690,       00.0797638,       00.4851588,       02.8671290,      -00.0459654,       00.4448768,       02.8375880,      -00.1244963,       00.1752117,       02.9084180,      -00.1354165,      -00.0595063,       02.8521240,      -00.1027281,      -00.1564101,       02.8824120,      -00.0899012,      -00.2645162,       02.8917250,      -00.0835909,      -00.1708064,       02.8552240,       00.1939522,      -00.0315512,       02.9065200,       00.2160865,      -00.4287509,       03.0130710,       00.2318353,      -00.8009405,       03.1401130,       00.2429641,      -00.8882107,       02.9686440,       00.0156397,      -00.0265408,       02.9077520,      -00.0008844,      -00.4262836,       03.0035550,      -00.0098669,      -00.8047303,       03.1255660,      -00.0342248,      -00.8896031,       02.9718020,       00.1185816,       00.6045276,       02.8579200,       00.0847125,       00.6592050,       02.7056390,       00.1191386,       00.6919009,       02.7382170,       00.2016180,       00.6699492,       02.8368240,       00.0659238,       00.6890545,       02.7454990,       00.0354351,       00.6721622,       02.8757000
    7143.8730000,       00.0997875,      -00.0321343,       02.9055970,       00.1047816,       00.1487784,       02.8777110,       00.1088205,       00.2942714,       02.8620090,       00.1135604,       00.5170412,       02.8649140,       00.1472345,       00.4797638,       02.8676510,       00.2818254,       00.4213350,       02.8669740,       00.3181001,       00.1509416,       02.9445860,       00.3209465,      -00.0799692,       02.8867440,       00.3250824,      -00.1771423,       02.9043190,       00.2820455,      -00.2682664,       02.8580060,       00.2745586,      -00.2101625,       02.8514510,       00.0782992,       00.4806736,       02.8633740,      -00.0476217,       00.4402055,       02.8364120,      -00.1264288,       00.1730137,       02.9133730,      -00.1355282,      -00.0565878,       02.8404500,      -00.1020490,      -00.1513528,       02.8754320,      -00.0890483,      -00.2584986,       02.8907640,      -00.0841782,      -00.1673788,       02.8489640,       00.1933400,      -00.0347652,       02.9052840,       00.2160481,      -00.4305692,       03.0133070,       00.2322167,      -00.8011090,       03.1423550,       00.2434568,      -00.8875558,       02.9709630,       00.0154270,      -00.0297620,       02.9058790,      -00.0004260,      -00.4284317,       03.0022820,      -00.0097353,      -00.8060433,       03.1239330,      -00.0276823,      -00.8881407,       02.9682520,       00.1161745,       00.5998834,       02.8522570,       00.0855104,       00.6591756,       02.7014360,       00.1200431,       00.6902221,       02.7352610,       00.2005545,       00.6640478,       02.8340740,       00.0668098,       00.6882393,       02.7417550,       00.0343109,       00.6684921,       02.8707470
    7143.9370000,       00.1004342,      -00.0287048,       02.9068810,       00.1046710,       00.1532115,       02.8789700,       00.1081105,       00.2992453,       02.8610120,       00.1129132,       00.5231076,       02.8681380,       00.1467385,       00.4855739,       02.8704140,       00.2811056,       00.4248293,       02.8665650,       00.3180386,       00.1527390,       02.9434750,       00.3238943,      -00.0803965,       02.8896880,       00.3257819,      -00.1790076,       02.9017420,       00.2803105,      -00.2699026,       02.8558880,       00.2714036,      -00.2074987,       02.8496810,       00.0774656,       00.4865946,       02.8656760,      -00.0479896,       00.4451013,       02.8347770,      -00.1282651,       00.1757253,       02.9083320,      -00.1358732,      -00.0578376,       02.8440720,      -00.1031933,      -00.1537196,       02.8784920,      -00.0909351,      -00.2616597,       02.8929860,      -00.0846957,      -00.1696576,       02.8514440,       00.1944912,      -00.0310201,       02.9060680,       00.2169815,      -00.4292023,       03.0137520,       00.2322464,      -00.8022006,       03.1422130,       00.2454159,      -00.8870272,       02.9690060,       00.0156189,      -00.0266170,       02.9076140,      -00.0004735,      -00.4274813,       03.0042190,      -00.0095500,      -00.8069467,       03.1270320,      -00.0299401,      -00.8880348,       02.9700540,       00.1156460,       00.6066132,       02.8569860,       00.0847635,       00.6600857,       02.7031010,       00.1188995,       00.6930116,       02.7360620,       00.1997015,       00.6715224,       02.8366680,       00.0653826,       00.6905462,       02.7424290,       00.0323512,       00.6751249,       02.8726200
    7144.0030000,       00.1020869,      -00.0279911,       02.9085820,       00.1059218,       00.1539655,       02.8796300,       00.1089438,       00.2999975,       02.8603730,       00.1143520,       00.5241070,       02.8665730,       00.1480658,       00.4864427,       02.8694380,       00.2820493,       00.4243777,       02.8684680,       00.3180542,       00.1515570,       02.9443240,       00.3235363,      -00.0814308,       02.8887770,       00.3253043,      -00.1794398,       02.9056500,       00.2808270,      -00.2696942,       02.8573390,       00.2717893,      -00.2080320,       02.8450510,       00.0787885,       00.4876527,       02.8638290,      -00.0461636,       00.4454542,       02.8312710,      -00.1394602,       00.1809929,       02.9084060,      -00.1473051,      -00.0533261,       02.8460020,      -00.1129049,      -00.1485723,       02.8808540,      -00.0993879,      -00.2556951,       02.9003070,      -00.0963676,      -00.1657254,       02.8593050,       00.1962479,      -00.0297652,       02.9099050,       00.2173520,      -00.4288644,       03.0161160,       00.2318123,      -00.8033055,       03.1417050,       00.2451981,      -00.8854532,       02.9670050,       00.0171777,      -00.0263914,       02.9073890,      -00.0002517,      -00.4275378,       03.0044260,      -00.0107315,      -00.8072016,       03.1278630,      -00.0277018,      -00.8854606,       02.9688460,       00.1174831,       00.6076403,       02.8550740,       00.0897504,       00.6600833,       02.7000530,       00.1243833,       00.6925460,       02.7330610,       00.2035148,       00.6701707,       02.8349700,       00.0706946,       00.6915402,       02.7388270,       00.0357360,       00.6785390,       02.8689260
    7144.0640000,       00.1027587,      -00.0283215,       02.9054030,       00.1070324,       00.1534803,       02.8771560,       00.1104394,       00.2994626,       02.8591730,       00.1158889,       00.5232084,       02.8671090,       00.1495187,       00.4855590,       02.8699310,       00.2838604,       00.4247559,       02.8702250,       00.3181819,       00.1522256,       02.9464320,       00.3241509,      -00.0803171,       02.8904880,       00.3271856,      -00.1778625,       02.9089850,       00.2872281,      -00.2702543,       02.8611210,       00.2771603,      -00.2076679,       02.8434080,       00.0803800,       00.4868431,       02.8638310,      -00.0447488,       00.4469577,       02.8298430,      -00.1454691,       00.1871442,       02.9117840,      -00.1593677,      -00.0478977,       02.8546700,      -00.1250129,      -00.1466530,       02.8771550,      -00.1051232,      -00.2540057,       02.8862780,      -00.1007491,      -00.1567663,       02.8411500,       00.1967910,      -00.0304551,       02.9058980,       00.2176804,      -00.4284505,       03.0140690,       00.2317930,      -00.8017031,       03.1415170,       00.2513705,      -00.8863764,       02.9689140,       00.0179656,      -00.0263974,       02.9049570,       00.0000389,      -00.4270709,       03.0014470,      -00.0106935,      -00.8060978,       03.1250480,      -00.0313147,      -00.8888226,       02.9690240,       00.1191354,       00.6067107,       02.8562850,       00.0895481,       00.6533985,       02.7000150,       00.1235813,       00.6876129,       02.7317130,       00.2035704,       00.6703081,       02.8337090,       00.0700297,       00.6856396,       02.7378020,       00.0360480,       00.6761464,       02.8682690
