       TimeStamp,     Flexion_Left,    Flexion_Right,   Abduction_Left,  Abduction_Right
      4433.54200,       -016.21865,       -015.56831,        016.21865,        015.56831
      4433.61500,       -015.45523,       -015.13265,        015.45523,        015.13265
      4433.67000,       -015.51436,       -015.20580,        015.51436,        015.20580
      4433.72600,       -015.16941,       -015.13818,        015.16941,        015.13818
      4433.78900,       -015.53838,       -015.49365,        015.53838,        015.49365
      4433.84400,       -015.22953,       -015.46992,        015.22953,        015.46992
      4433.90200,       -015.50358,       -015.16337,        015.50358,        015.16337
      4433.96000,       -015.67918,       -016.53444,        015.67918,        016.53444
      4434.02000,       -016.22214,       -018.23496,        016.22214,        018.23496
      4434.07500,       -017.00126,       -017.43856,        017.00126,        017.43856
      4434.13700,       -017.01048,       -017.59498,        017.01048,        017.59498
      4434.20200,       -017.49570,       -028.30819,        017.49570,        028.30819
      4434.25800,       -017.04562,       -034.53926,        017.04562,        034.53926
      4434.31600,       -016.61281,       -036.17822,        016.61281,        036.17822
      4434.37500,       -015.72109,       -037.29756,        015.72109,        037.29756
      4434.43200,       -016.22513,       -036.21513,        016.22513,        036.21513
      4434.49000,       -015.90993,       -031.55476,        015.90993,        031.55476
      4434.55800,       -015.79325,       -031.46225,        015.79325,        031.46225
      4434.61700,       -016.34395,       -022.62862,        016.34395,        022.62862
      4434.67500,       -016.08181,       -022.40664,        016.08181,        022.40664
      4434.73300,       -015.30589,       -020.82431,        015.30589,        020.82431
      4434.79200,       -016.29498,       -020.19443,        016.29498,        020.19443
      4434.85800,       -016.51997,       -020.21881,        016.51997,        020.21881
      4434.91600,       -016.25866,       -020.00753,        016.25866,        020.00753
      4434.97200,       -016.38241,       -019.88637,        016.38241,        019.88637
      4435.03200,       -015.62191,       -020.27817,        015.62191,        020.27817
      4435.09700,       -016.71339,       -018.01023,        016.71339,        018.01023
      4435.15200,       -016.57782,       -019.37841,        016.57782,        019.37841
      4435.21100,       -016.69346,       -019.44968,        016.69346,        019.44968
      4435.26700,       -017.05987,       -019.05044,        017.05987,        019.05044
      4435.32200,       -017.08141,       -016.96378,        017.08141,        016.96378
