       TimeStamp,     Flexion_Left,    Flexion_Right,   Abduction_Left,  Abduction_Right
      3420.40900,       -015.96144,       -016.71296,        015.96144,        016.71296
      3420.46800,       -015.57555,       -016.04216,        015.57555,        016.04216
      3420.52800,       -017.07554,       -016.32424,        017.07554,        016.32424
      3420.59500,       -015.24660,       -016.71109,        015.24660,        016.71109
      3420.65500,       -016.27927,       -016.27964,        016.27927,        016.27964
      3420.71900,       -016.58401,       -016.74689,        016.58401,        016.74689
      3420.77600,       -015.84266,       -017.15364,        015.84266,        017.15364
      3420.83400,       -016.77118,       -016.65948,        016.77118,        016.65948
      3420.90200,       -016.73726,       -016.84742,        016.73726,        016.84742
      3420.95900,       -016.55795,       -016.87679,        016.55795,        016.87679
      3421.01600,       -017.63021,       -017.89831,        017.63021,        017.89831
      3421.07300,       -017.23125,       -019.30061,        017.23125,        019.30061
      3421.12900,       -017.37661,       -020.75327,        017.37661,        020.75327
      3421.18500,       -017.38156,       -020.86091,        017.38156,        020.86091
      3421.24200,       -017.94045,       -030.98517,        017.94045,        030.98517
      3421.29900,       -017.95597,       -033.37776,        017.95597,        033.37776
      3421.35300,       -017.27107,       -040.74023,        017.27107,        040.74023
      3421.40800,       -017.92904,       -042.92749,        017.92904,        042.92749
      3421.46600,       -017.73458,       -046.50985,        017.73458,        046.50985
      3421.53200,       -017.64586,       -044.28175,        017.64586,        044.28175
      3421.59000,       -017.74796,       -041.80517,        017.74796,        041.80517
      3421.64800,       -017.46650,       -037.90631,        017.46650,        037.90631
      3421.70700,       -016.99963,       -031.32765,        016.99963,        031.32765
      3421.76600,       -016.12454,       -025.65806,        016.12454,        025.65806
      3421.82300,       -018.06831,       -021.82813,        018.06831,        021.82813
      3421.88100,       -017.64094,       -019.11737,        017.64094,        019.11737
      3421.94700,       -016.80467,       -018.87958,        016.80467,        018.87958
      3422.00500,       -017.09213,       -018.50071,        017.09213,        018.50071
      3422.06100,       -017.36414,       -019.49501,        017.36414,        019.49501
      3422.11600,       -016.75113,       -019.86556,        016.75113,        019.86556
      3422.17400,       -016.84010,       -019.79334,        016.84010,        019.79334
      3422.23400,       -017.14691,       -018.92106,        017.14691,        018.92106
      3422.29200,       -016.73397,       -018.57438,        016.73397,        018.57438
      3422.34900,       -017.40166,       -018.35840,        017.40166,        018.35840
      3422.40500,       -016.91840,       -018.88201,        016.91840,        018.88201
      3422.46700,       -016.16218,       -018.88817,        016.16218,        018.88817
      3422.52400,       -017.54382,       -019.83318,        017.54382,        019.83318
      3422.57800,       -017.09026,       -019.97561,        017.09026,        019.97561
      3422.64600,       -016.42953,       -020.75919,        016.42953,        020.75919
      3422.70000,       -016.91799,       -021.31533,        016.91799,        021.31533
      3422.75800,       -018.47761,        026.63492,        018.47761,        026.63492
      3422.81400,       -019.07661,        027.04693,        019.07661,        027.04693
      3422.87800,       -019.79048,        030.03145,        019.79048,        030.03145
      3422.93600,       -018.15705,        032.13279,        018.15705,        032.13279
      3422.99400,       -019.17236,        030.12586,        019.17236,        030.12586
      3423.05500,       -018.07819,        031.16379,        018.07819,        031.16379
      3423.12100,       -017.56585,       -024.36481,        017.56585,        024.36481
      3423.18000,       -020.31845,       -034.93758,        020.31845,        034.93758
      3423.23800,       -018.63341,        031.64607,        018.63341,        031.64607
      3423.29800,       -018.40535,        048.39108,        018.40535,        048.39108
      3423.35300,       -017.26670,        065.57470,        017.26670,        065.57470
      3423.41200,       -016.87134,        067.54169,        016.87134,        067.54169
      3423.48000,       -016.85726,        085.09828,        016.85726,        085.09828
