       TimeStamp,     Flexion_Left,    Flexion_Right,   Abduction_Left,  Abduction_Right
      3006.50300,       -015.41515,       -018.75899,        015.41515,        018.75899
      3006.57300,       -015.06626,       -018.93919,        015.06626,        018.93919
      3006.63900,       -015.22057,       -018.64140,        015.22057,        018.64140
      3006.69700,       -015.73047,       -018.51773,        015.73047,        018.51773
      3006.75700,       -016.03493,       -018.68900,        016.03493,        018.68900
      3006.81200,       -016.48010,       -018.80016,        016.48010,        018.80016
      3006.86500,       -016.30317,       -018.25168,        016.30317,        018.25168
      3006.92500,       -015.39658,       -018.57533,        015.39658,        018.57533
      3006.98000,       -015.98485,       -020.62462,        015.98485,        020.62462
      3007.03500,       -016.22098,       -021.21406,        016.22098,        021.21406
      3007.09100,       -016.18932,       -021.71031,        016.18932,        021.71031
      3007.15100,       -017.29618,       -031.16117,        017.29618,        031.16117
      3007.20700,       -016.65234,       -035.24105,        016.65234,        035.24105
      3007.26200,       -017.06640,       -037.02307,        017.06640,        037.02307
      3007.32100,       -016.73010,       -039.43244,        016.73010,        039.43244
      3007.37800,       -016.69747,       -039.86905,        016.69747,        039.86905
      3007.43300,       -015.73726,       -039.00542,        015.73726,        039.00542
      3007.49000,       -016.49710,       -038.33558,        016.49710,        038.33558
      3007.54900,       -015.59104,       -029.13406,        015.59104,        029.13406
      3007.60500,       -016.10270,       -029.81253,        016.10270,        029.81253
      3007.66000,       -015.82609,       -021.06201,        015.82609,        021.06201
      3007.71700,       -016.44443,       -019.30865,        016.44443,        019.30865
      3007.77300,       -016.58425,       -018.53218,        016.58425,        018.53218
      3007.83100,       -017.52139,       -020.25079,        017.52139,        020.25079
      3007.88600,       -016.27436,       -019.37832,        016.27436,        019.37832
      3007.94200,       -016.31902,       -019.40469,        016.31902,        019.40469
      3007.99900,       -015.59722,       -020.49465,        015.59722,        020.49465
      3008.05700,       -016.55899,       -021.24099,        016.55899,        021.24099
      3008.12000,       -015.42341,       -020.75752,        015.42341,        020.75752
      3008.17600,       -016.02558,       -020.68029,        016.02558,        020.68029
      3008.24000,       -015.76768,       -020.20660,        015.76768,        020.20660
      3008.30300,       -017.47822,       -021.58649,        017.47822,        021.58649
      3008.36700,       -015.83416,       -020.00592,        015.83416,        020.00592
      3008.42400,       -015.31313,       -018.82968,        015.31313,        018.82968
      3008.48100,       -014.88342,       -018.26619,        014.88342,        018.26619
      3008.53600,       -014.78923,        020.56711,        014.78923,        020.56711
      3008.59100,       -014.55197,        020.32340,        014.55197,        020.32340
      3008.64700,       -015.85934,        023.36132,        015.85934,        023.36132
      3008.70200,       -014.85413,        026.70049,        014.85413,        026.70049
      3008.75700,       -015.52250,        033.72559,        015.52250,        033.72559
      3008.81500,       -014.53937,        031.32151,        014.53937,        031.32151
      3008.87200,       -014.24230,        026.46500,        014.24230,        026.46500
      3008.93200,       -015.69261,        011.41415,        015.69261,        011.41415
      3008.99300,       -015.41089,        037.00589,        015.41089,        037.00589
      3009.05200,       -015.25329,        037.57544,        015.25329,        037.57544
      3009.11200,       -013.84508,        018.28966,        013.84508,        018.28966
      3009.17800,       -014.31391,        042.89456,        014.31391,        042.89456
      3009.23500,       -015.19828,        082.56491,        015.19828,        082.56491
      3009.29200,       -014.35432,        097.76614,        014.35432,        097.76614
      3009.35300,       -014.53520,        101.36410,        014.53520,        101.36410
      3009.41100,       -013.10357,        101.88510,        013.10357,        101.88510
      3009.46800,       -014.00876,        116.08620,        014.00876,        116.08620
      3009.52200,       -013.88858,        121.12060,        013.88858,        121.12060
      3009.57900,       -014.20078,        118.28860,        014.20078,        118.28860
      3009.63700,       -014.59806,        118.19470,        014.59806,        118.19470
      3009.69600,       -014.19703,        121.45380,        014.19703,        121.45380
      3009.75600,       -013.39520,        128.26880,        013.39520,        128.26880
      3009.81700,       -012.82502,        129.04080,        012.82502,        129.04080
      3009.87500,       -012.88286,        137.58380,        012.88286,        137.58380
      3009.93300,       -013.57505,        141.19830,        013.57505,        141.19830
      3009.99000,       -013.55462,        143.72150,        013.55462,        143.72150
      3010.05100,       -013.30987,        143.68580,        013.30987,        143.68580
