       TimeStamp,         PELVIS.X,         PELVIS.Y,         PELVIS.Z,    SPINE_NAVAL.X,    SPINE_NAVAL.Y,    SPINE_NAVAL.Z,    SPINE_CHEST.X,    SPINE_CHEST.Y,    SPINE_CHEST.Z,           NECK.X,           NECK.Y,           NECK.Z,  CLAVICLE_LEFT.X,  CLAVICLE_LEFT.Y,  CLAVICLE_LEFT.Z,  SHOULDER_LEFT.X,  SHOULDER_LEFT.Y,  SHOULDER_LEFT.Z,     ELBOW_LEFT.X,     ELBOW_LEFT.Y,     ELBOW_LEFT.Z,     WRIST_LEFT.X,     WRIST_LEFT.Y,     WRIST_LEFT.Z,      HAND_LEFT.X,      HAND_LEFT.Y,      HAND_LEFT.Z,   HANDTIP_LEFT.X,   HANDTIP_LEFT.Y,   HANDTIP_LEFT.Z,     THUMB_LEFT.X,     THUMB_LEFT.Y,     THUMB_LEFT.Z, CLAVICLE_RIGHT.X, CLAVICLE_RIGHT.Y, CLAVICLE_RIGHT.Z, SHOULDER_RIGHT.X, SHOULDER_RIGHT.Y, SHOULDER_RIGHT.Z,    ELBOW_RIGHT.X,    ELBOW_RIGHT.Y,    ELBOW_RIGHT.Z,    WRIST_RIGHT.X,    WRIST_RIGHT.Y,    WRIST_RIGHT.Z,     HAND_RIGHT.X,     HAND_RIGHT.Y,     HAND_RIGHT.Z,  HANDTIP_RIGHT.X,  HANDTIP_RIGHT.Y,  HANDTIP_RIGHT.Z,    THUMB_RIGHT.X,    THUMB_RIGHT.Y,    THUMB_RIGHT.Z,       HIP_LEFT.X,       HIP_LEFT.Y,       HIP_LEFT.Z,      KNEE_LEFT.X,      KNEE_LEFT.Y,      KNEE_LEFT.Z,     ANKLE_LEFT.X,     ANKLE_LEFT.Y,     ANKLE_LEFT.Z,      FOOT_LEFT.X,      FOOT_LEFT.Y,      FOOT_LEFT.Z,      HIP_RIGHT.X,      HIP_RIGHT.Y,      HIP_RIGHT.Z,     KNEE_RIGHT.X,     KNEE_RIGHT.Y,     KNEE_RIGHT.Z,    ANKLE_RIGHT.X,    ANKLE_RIGHT.Y,    ANKLE_RIGHT.Z,     FOOT_RIGHT.X,     FOOT_RIGHT.Y,     FOOT_RIGHT.Z,           HEAD.X,           HEAD.Y,           HEAD.Z,           NOSE.X,           NOSE.Y,           NOSE.Z,       EYE_LEFT.X,       EYE_LEFT.Y,       EYE_LEFT.Z,       EAR_LEFT.X,       EAR_LEFT.Y,       EAR_LEFT.Z,      EYE_RIGHT.X,      EYE_RIGHT.Y,      EYE_RIGHT.Z,      EAR-RIGHT.X,      EAR-RIGHT.Y,      EAR-RIGHT.Z
    3006.5030000,       00.0989232,      -00.0324015,       02.9101450,       00.1045879,       00.1496492,       02.8841480,       00.1089388,       00.2960669,       02.8708250,       00.1169105,       00.5186755,       02.8934210,       00.1502813,       00.4807414,       02.8918500,       00.2843908,       00.4208136,       02.8793280,       00.3200004,       00.1467584,       02.9489100,       00.3232206,      -00.0883266,       02.9049060,       00.3204409,      -00.1870712,       02.9150590,       00.2775793,      -00.2792977,       02.8695120,       00.2687308,      -00.2118296,       02.8566940,       00.0809453,       00.4828252,       02.8896830,      -00.0464188,       00.4437554,       02.8642750,      -00.1229640,       00.1732347,       02.9369210,      -00.1379320,      -00.0606807,       02.8758570,      -00.1042397,      -00.1615547,       02.8868900,      -00.0917549,      -00.2698638,       02.8763820,      -00.0897422,      -00.1720264,       02.8608880,       00.1928872,      -00.0349624,       02.9126860,       00.2084415,      -00.4349806,       03.0136430,       00.2163544,      -00.8097939,       03.1366510,       00.2307050,      -00.8908653,       02.9618740,       00.0141916,      -00.0300922,       02.9078530,       00.0028109,      -00.4311425,       03.0033050,      -00.0024158,      -00.8106173,       03.1255460,      -00.0278361,      -00.8864642,       02.9668110,       00.1203407,       00.6026759,       02.8880570,       00.1063002,       00.6532222,       02.7308660,       00.1387428,       00.6854641,       02.7660780,       00.2088046,       00.6631660,       02.8741800,       00.0848425,       00.6855573,       02.7674830,       00.0393091,       00.6751845,       02.8942740
    3006.5730000,       00.0985364,      -00.0332189,       02.9078940,       00.1038813,       00.1491270,       02.8828620,       00.1081405,       00.2957211,       02.8701480,       00.1170211,       00.5186222,       02.8912710,       00.1502710,       00.4805217,       02.8898560,       00.2843539,       00.4200233,       02.8784370,       00.3192796,       00.1452072,       02.9462880,       00.3225656,      -00.0905039,       02.9046490,       00.3209081,      -00.1894338,       02.9139980,       00.2772777,      -00.2834853,       02.8729100,       00.2687384,      -00.2162089,       02.8596680,       00.0808815,       00.4828556,       02.8878650,      -00.0463413,       00.4433220,       02.8618870,      -00.1223521,       00.1729620,       02.9366020,      -00.1371384,      -00.0627305,       02.8818780,      -00.1032651,      -00.1639136,       02.8899760,      -00.0920893,      -00.2723244,       02.8781940,      -00.0882843,      -00.1733439,       02.8585590,       00.1926061,      -00.0359105,       02.9083730,       00.2074331,      -00.4355406,       03.0122990,       00.2155907,      -00.8095468,       03.1387250,       00.2307951,      -00.8895690,       02.9633650,       00.0137096,      -00.0307918,       02.9074620,       00.0029985,      -00.4317100,       03.0049670,      -00.0007274,      -00.8110387,       03.1287590,      -00.0277643,      -00.8853355,       02.9693980,       00.1207559,       00.6026399,       02.8853380,       00.1113879,       00.6536649,       02.7278120,       00.1412243,       00.6868365,       02.7645100,       00.2075924,       00.6663337,       02.8753910,       00.0872984,       00.6850272,       02.7636950,       00.0369588,       00.6722759,       02.8885540
    3006.6390000,       00.0986756,      -00.0339537,       02.9088630,       00.1043908,       00.1485528,       02.8837180,       00.1090330,       00.2953016,       02.8712070,       00.1182006,       00.5185673,       02.8906890,       00.1514614,       00.4804147,       02.8891190,       00.2855322,       00.4195759,       02.8774470,       00.3194078,       00.1448736,       02.9474650,       00.3226602,      -00.0905138,       02.9027210,       00.3216677,      -00.1883624,       02.9206610,       00.2826691,      -00.2843228,       02.8790280,       00.2741811,      -00.2201068,       02.8650220,       00.0819825,       00.4827472,       02.8879840,      -00.0463891,       00.4439844,       02.8661040,      -00.1227552,       00.1731460,       02.9398570,      -00.1421196,      -00.0603070,       02.8765520,      -00.1090522,      -00.1614293,       02.8889990,      -00.0914661,      -00.2688464,       02.8751020,      -00.0877317,      -00.1697059,       02.8655940,       00.1928295,      -00.0369809,       02.9082910,       00.2093814,      -00.4371639,       03.0114830,       00.2180179,      -00.8112471,       03.1388890,       00.2309376,      -00.8902172,       02.9626560,       00.0137729,      -00.0312239,       02.9093790,       00.0027742,      -00.4330724,       03.0047610,      -00.0009319,      -00.8130126,       03.1279740,      -00.0281620,      -00.8856701,       02.9676920,       00.1218691,       00.6026259,       02.8841210,       00.1099407,       00.6476323,       02.7247680,       00.1429775,       00.6804712,       02.7590350,       00.2119714,       00.6605901,       02.8685740,       00.0889887,       00.6818696,       02.7600670,       00.0423786,       00.6773117,       02.8870710
    3006.6970000,       00.0990698,      -00.0340283,       02.9106440,       00.1042382,       00.1483068,       02.8827250,       00.1084911,       00.2950111,       02.8677820,       00.1177517,       00.5181937,       02.8908350,       00.1510318,       00.4800046,       02.8887530,       00.2853070,       00.4194893,       02.8756720,       00.3197713,       00.1455093,       02.9494790,       00.3235715,      -00.0907945,       02.9082620,       00.3237153,      -00.1894648,       02.9218360,       00.2811859,      -00.2851528,       02.8827660,       00.2690606,      -00.2135489,       02.8534340,       00.0814774,       00.4824032,       02.8874590,      -00.0468407,       00.4439603,       02.8637970,      -00.1217322,       00.1726871,       02.9387830,      -00.1410926,      -00.0622908,       02.8802190,      -00.1078500,      -00.1631765,       02.8949730,      -00.0917161,      -00.2713460,       02.8845920,      -00.0875810,      -00.1724560,       02.8701330,       00.1933324,      -00.0368815,       02.9094600,       00.2096706,      -00.4378759,       03.0114480,       00.2190550,      -00.8131741,       03.1366290,       00.2308052,      -00.8921146,       02.9600550,       00.0140690,      -00.0314554,       02.9117110,       00.0023097,      -00.4338583,       03.0067370,      -00.0025360,      -00.8150542,       03.1275070,      -00.0279234,      -00.8891446,       02.9673500,       00.1214944,       00.6024404,       02.8855970,       00.1085900,       00.6487758,       02.7265010,       00.1414988,       00.6816422,       02.7609770,       00.2111346,       00.6613930,       02.8702230,       00.0874414,       00.6825594,       02.7622110,       00.0412729,       00.6764839,       02.8894800
    3006.7570000,       00.0997660,      -00.0332941,       02.9095550,       00.1050826,       00.1491443,       02.8826540,       00.1095058,       00.2956842,       02.8665460,       00.1176729,       00.5183376,       02.8941500,       00.1511292,       00.4803667,       02.8913310,       00.2855840,       00.4201663,       02.8790720,       00.3201462,       00.1462016,       02.9526200,       00.3236853,      -00.0900805,       02.9115950,       00.3214211,      -00.1891172,       02.9216900,       00.2814214,      -00.2805938,       02.8715160,       00.2747422,      -00.2140879,       02.8562160,       00.0815825,       00.4824600,       02.8900030,      -00.0463859,       00.4435066,       02.8654870,      -00.1223639,       00.1719275,       02.9379560,      -00.1429718,      -00.0629826,       02.8797920,      -00.1074944,      -00.1635787,       02.8906020,      -00.0923394,      -00.2717490,       02.8790970,      -00.0883243,      -00.1719759,       02.8597830,       00.1939681,      -00.0364251,       02.9069390,       00.2111537,      -00.4363333,       03.0125800,       00.2226480,      -00.8101020,       03.1417920,       00.2306840,      -00.8884944,       02.9648180,       00.0148199,      -00.0304707,       02.9119150,       00.0040854,      -00.4329677,       03.0062230,       00.0014477,      -00.8140743,       03.1270220,      -00.0269464,      -00.8868037,       02.9667940,       00.1210180,       00.6026700,       02.8906370,       00.1070859,       00.6487388,       02.7315930,       00.1392687,       00.6822981,       02.7660630,       00.2093292,       00.6635497,       02.8752670,       00.0852175,       00.6820375,       02.7673050,       00.0392235,       00.6749304,       02.8945490
    3006.8120000,       00.0989829,      -00.0327769,       02.9111780,       00.1042841,       00.1491940,       02.8841990,       00.1087537,       00.2955741,       02.8700730,       00.1178996,       00.5181745,       02.8929260,       00.1511141,       00.4801170,       02.8907080,       00.2844832,       00.4187023,       02.8770480,       00.3201517,       00.1463380,       02.9532510,       00.3230990,      -00.0894322,       02.9126630,       00.3216581,      -00.1881316,       02.9237620,       00.2821912,      -00.2817628,       02.8779370,       00.2729727,      -00.2149468,       02.8648020,       00.0817393,       00.4824464,       02.8897480,      -00.0456727,       00.4428297,       02.8652400,      -00.1215416,       00.1726420,       02.9401250,      -00.1396984,      -00.0610052,       02.8786320,      -00.1075306,      -00.1623518,       02.8901640,      -00.0906751,      -00.2695802,       02.8752690,      -00.0878198,      -00.1711049,       02.8685050,       00.1929565,      -00.0358921,       02.9086320,       00.2099693,      -00.4358811,       03.0099410,       00.2205445,      -00.8100898,       03.1349290,       00.2304536,      -00.8910958,       02.9597540,       00.0142428,      -00.0299678,       02.9134740,       00.0023113,      -00.4319248,       03.0054820,      -00.0019316,      -00.8125812,       03.1244070,      -00.0279298,      -00.8895022,       02.9662280,       00.1215318,       00.6021957,       02.8876500,       00.1107569,       00.6497201,       02.7292140,       00.1419472,       00.6830021,       02.7646150,       00.2096095,       00.6635280,       02.8748150,       00.0880162,       00.6824557,       02.7647050,       00.0394927,       00.6738201,       02.8905550
    3006.8650000,       00.0985008,      -00.0310701,       02.9125340,       00.1036764,       00.1507267,       02.8844170,       00.1078761,       00.2970490,       02.8696660,       00.1179050,       00.5199361,       02.8890250,       00.1509713,       00.4817253,       02.8873200,       00.2840721,       00.4196600,       02.8740340,       00.3208026,       00.1476345,       02.9509090,       00.3234571,      -00.0884771,       02.9123770,       00.3226390,      -00.1871579,       02.9236780,       00.2822491,      -00.2825527,       02.8825420,       00.2679739,      -00.2067817,       02.8515280,       00.0816054,       00.4842997,       02.8864910,      -00.0458659,       00.4433658,       02.8646200,      -00.1220329,       00.1729326,       02.9382740,      -00.1404713,      -00.0609132,       02.8776530,      -00.1069306,      -00.1618438,       02.8888900,      -00.0912889,      -00.2694645,       02.8756100,      -00.0833173,      -00.1688023,       02.8584750,       00.1925170,      -00.0338094,       02.9121280,       00.2072961,      -00.4339104,       03.0132980,       00.2154778,      -00.8084458,       03.1374480,       00.2309645,      -00.8900132,       02.9629450,       00.0137222,      -00.0285999,       02.9129000,       00.0032028,      -00.4303402,       03.0059680,      -00.0000883,      -00.8106715,       03.1259210,      -00.0241280,      -00.8852369,       02.9663150,       00.1218361,       00.6038482,       02.8824310,       00.1091623,       00.6523156,       02.7244270,       00.1426164,       00.6841179,       02.7591120,       00.2121043,       00.6614088,       02.8675380,       00.0887318,       00.6858719,       02.7605500,       00.0430318,       00.6788944,       02.8875490
    3006.9250000,       00.0994511,      -00.0345881,       02.9103810,       00.1051266,       00.1470955,       02.8843200,       00.1096006,       00.2934274,       02.8734410,       00.1174827,       00.5159823,       02.8919700,       00.1508364,       00.4781595,       02.8904780,       00.2847432,       00.4184596,       02.8780340,       00.3190965,       00.1451810,       02.9490440,       00.3201331,      -00.0904903,       02.9109690,       00.3210704,      -00.1891559,       02.9203310,       00.2808075,      -00.2838770,       02.8781820,       00.2674735,      -00.2134010,       02.8585590,       00.0816023,       00.4800766,       02.8894940,      -00.0452101,       00.4381260,       02.8675470,      -00.1224508,       00.1680164,       02.9387410,      -00.1424448,      -00.0658631,       02.8809100,      -00.1066196,      -00.1660283,       02.8893980,      -00.0901980,      -00.2732450,       02.8757610,      -00.0858924,      -00.1728973,       02.8575350,       00.1932574,      -00.0373892,       02.9112820,       00.2112833,      -00.4364885,       03.0122190,       00.2224800,      -00.8100083,       03.1364690,       00.2308567,      -00.8922930,       02.9622820,       00.0148619,      -00.0320622,       02.9095690,       00.0033728,      -00.4325106,       03.0041060,      -00.0016342,      -00.8115003,       03.1253580,      -00.0237282,      -00.8872541,       02.9664630,       00.1206355,       00.5997207,       02.8850950,       00.1112567,       00.6432887,       02.7258160,       00.1406095,       00.6782799,       02.7609320,       00.2066792,       00.6635172,       02.8724810,       00.0868520,       00.6759445,       02.7600780,       00.0364297,       00.6684667,       02.8849320
    3006.9800000,       00.1031895,      -00.0349500,       02.9113510,       00.1076418,       00.1477220,       02.8857820,       00.1111002,       00.2945326,       02.8719230,       00.1175236,       00.5182719,       02.8896110,       00.1512756,       00.4804666,       02.8885450,       00.2851727,       00.4192882,       02.8749180,       00.3206021,       00.1463494,       02.9519000,       00.3235788,      -00.0904186,       02.9135790,       00.3225849,      -00.1895047,       02.9234920,       00.2818621,      -00.2828468,       02.8774830,       00.2726096,      -00.2145387,       02.8602730,       00.0817111,       00.4819666,       02.8869980,      -00.0451044,       00.4376309,       02.8657790,      -00.1271714,       00.1700833,       02.9462790,      -00.1419413,      -00.0637331,       02.8821360,      -00.1099127,      -00.1646015,       02.8993740,      -00.0965900,      -00.2734480,       02.8930290,      -00.0903764,      -00.1752347,       02.8730150,       00.1974517,      -00.0370111,       02.9130400,       00.2114461,      -00.4378240,       03.0158500,       00.2185196,      -00.8130256,       03.1412940,       00.2312882,      -00.8909699,       02.9643800,       00.0181890,      -00.0330914,       02.9098280,       00.0045107,      -00.4350602,       03.0061700,      -00.0031102,      -00.8156682,       03.1284540,      -00.0236693,      -00.8865002,       02.9661730,       00.1202387,       00.6023962,       02.8823560,       00.1106976,       00.6454840,       02.7221390,       00.1426760,       00.6791856,       02.7566700,       00.2099268,       00.6614578,       02.8678100,       00.0886086,       00.6798642,       02.7566790,       00.0396356,       00.6761010,       02.8829650
    3007.0350000,       00.1024944,      -00.0356722,       02.9113760,       00.1066464,       00.1469552,       02.8861290,       00.1098743,       00.2937475,       02.8728430,       00.1161260,       00.5173072,       02.8913710,       00.1498994,       00.4795672,       02.8899640,       00.2838441,       00.4188854,       02.8754440,       00.3208321,       00.1462101,       02.9520780,       00.3246832,      -00.0904775,       02.9141150,       00.3241123,      -00.1894757,       02.9244150,       00.2827471,      -00.2817892,       02.8770640,       00.2735712,      -00.2152287,       02.8636340,       00.0803614,       00.4809874,       02.8888190,      -00.0466712,       00.4370849,       02.8684660,      -00.1308729,       00.1705040,       02.9494220,      -00.1493351,      -00.0636033,       02.8878230,      -00.1214376,      -00.1657960,       02.9040680,      -00.1111914,      -00.2750320,       02.9001520,      -00.0933175,      -00.1731140,       02.8643920,       00.1967141,      -00.0376108,       02.9128480,       00.2112918,      -00.4384319,       03.0146780,       00.2190933,      -00.8138312,       03.1388360,       00.2305339,      -00.8902397,       02.9612710,       00.0175323,      -00.0339241,       02.9100490,       00.0038909,      -00.4358267,       03.0057530,      -00.0031251,      -00.8161501,       03.1282820,      -00.0294334,      -00.8864333,       02.9666950,       00.1186975,       00.6014192,       02.8844360,       00.1055161,       00.6426409,       02.7240750,       00.1388515,       00.6762863,       02.7573030,       00.2087390,       00.6589763,       02.8667900,       00.0848462,       00.6777388,       02.7587300,       00.0392196,       00.6762345,       02.8862350
