       TimeStamp,     Flexion_Left,    Flexion_Right,   Abduction_Left,  Abduction_Right
      2024.24400,       -015.54483,       -016.35630,        015.54483,        016.35630
      2024.30600,       -013.67188,       -016.48578,        013.67188,        016.48578
      2024.37300,       -015.24260,       -015.67180,        015.24260,        015.67180
      2024.43900,       -016.00481,       -016.50609,        016.00481,        016.50609
      2024.49700,       -015.27284,       -016.09121,        015.27284,        016.09121
      2024.55400,       -016.85752,       -016.41777,        016.85752,        016.41777
      2024.61900,       -014.89942,       -016.75734,        014.89942,        016.75734
      2024.68100,       -016.26586,       -016.83521,        016.26586,        016.83521
      2024.73600,       -015.85922,       -016.77864,        015.85922,        016.77864
      2024.79300,       -015.82934,       -016.60308,        015.82934,        016.60308
      2024.85200,       -015.50938,       -017.02239,        015.50938,        017.02239
      2024.91300,       -015.81172,       -016.53849,        015.81172,        016.53849
      2024.97100,       -016.05388,       -017.02258,        016.05388,        017.02258
      2025.03000,       -016.09330,       -016.33949,        016.09330,        016.33949
      2025.10200,       -015.52326,       -016.82593,        015.52326,        016.82593
      2025.16100,       -016.81029,       -018.36087,        016.81029,        018.36087
      2025.22000,       -016.77390,       -018.75840,        016.77390,        018.75840
      2025.27700,       -016.16588,       -032.14105,        016.16588,        032.14105
      2025.33800,       -017.16926,       -036.33184,        017.16926,        036.33184
      2025.39400,       -016.16540,       -039.00140,        016.16540,        039.00140
      2025.45100,       -016.54533,       -039.51626,        016.54533,        039.51626
      2025.50900,       -016.07934,       -038.40543,        016.07934,        038.40543
      2025.56600,       -015.82979,       -034.12295,        015.82979,        034.12295
      2025.62400,       -015.89359,       -029.55116,        015.89359,        029.55116
      2025.68000,       -015.99850,       -029.77464,        015.99850,        029.77464
      2025.74500,       -015.42728,       -021.62829,        015.42728,        021.62829
      2025.80200,       -014.45467,       -019.52651,        014.45467,        019.52651
      2025.86800,       -016.90714,       -020.40466,        016.90714,        020.40466
      2025.92700,       -016.51739,       -018.97553,        016.51739,        018.97553
      2025.98100,       -016.64347,       -019.41046,        016.64347,        019.41046
      2026.04000,       -016.43157,       -017.59985,        016.43157,        017.59985
      2026.09800,       -016.48726,       -018.73872,        016.48726,        018.73872
      2026.15900,       -015.29401,       -016.17670,        015.29401,        016.17670
      2026.21500,       -016.03380,       -018.50685,        016.03380,        018.50685
      2026.27100,       -017.18716,       -019.13824,        017.18716,        019.13824
      2026.32800,       -015.88531,       -018.40475,        015.88531,        018.40475
      2026.38900,       -016.61819,       -021.02131,        016.61819,        021.02131
      2026.44300,       -016.54749,       -023.31055,        016.54749,        023.31055
      2026.50100,       -016.40627,       -025.09166,        016.40627,        025.09166
      2026.55800,       -015.66048,       -023.98931,        015.66048,        023.98931
      2026.61600,       -016.82185,        025.86654,        016.82185,        025.86654
      2026.67300,       -016.03424,        029.33517,        016.03424,        029.33517
      2026.73100,       -016.38706,        033.49467,        016.38706,        033.49467
      2026.78800,       -017.09460,        036.59277,        017.09460,        036.59277
      2026.84500,       -016.34525,        037.62548,        016.34525,        037.62548
      2026.90200,       -016.59732,        036.07353,        016.59732,        036.07353
      2026.95800,       -016.38476,        029.21655,        016.38476,        029.21655
      2027.01500,       -016.14934,        027.38841,        016.14934,        027.38841
      2027.07700,       -016.21464,        034.80824,        016.21464,        034.80824
      2027.13300,       -015.76742,        041.85178,        015.76742,        041.85178
      2027.20000,       -015.27591,        043.19537,        015.27591,        043.19537
      2027.26000,       -015.61662,        050.00863,        015.61662,        050.00863
      2027.32800,       -015.21856,        060.72282,        015.21856,        060.72282
      2027.39800,       -016.18325,        073.96068,        016.18325,        073.96068
      2027.45700,       -016.52465,        084.22599,        016.52465,        084.22599
      2027.51300,       -014.95476,        095.83756,        014.95476,        095.83756
      2027.57400,       -014.11280,        102.53930,        014.11280,        102.53930
      2027.63200,       -014.11288,        102.54030,        014.11288,        102.54030
      2027.68900,       -015.21869,        106.97000,        015.21869,        106.97000
      2027.74600,       -014.38585,        108.47340,        014.38585,        108.47340
      2027.80300,       -015.16013,        110.26310,        015.16013,        110.26310
      2027.85900,       -015.42019,        111.89440,        015.42019,        111.89440
      2027.92800,       -015.04158,        114.84860,        015.04158,        114.84860
      2027.98600,       -014.33613,        114.79670,        014.33613,        114.79670
      2028.04400,       -014.92007,        115.44950,        014.92007,        115.44950
      2028.09900,       -014.97712,        116.58790,        014.97712,        116.58790
      2028.16000,       -015.19523,        113.67490,        015.19523,        113.67490
      2028.21700,       -013.52042,        116.48340,        013.52042,        116.48340
      2028.27800,       -015.70187,        110.14110,        015.70187,        110.14110
      2028.33600,       -015.35461,        114.94720,        015.35461,        114.94720
      2028.39400,       -015.35848,        115.10060,        015.35848,        115.10060
      2028.45400,       -015.01537,        114.86270,        015.01537,        114.86270
      2028.51500,       -015.01547,        114.86490,        015.01547,        114.86490
      2028.57900,       -015.54413,        114.29910,        015.54413,        114.29910
      2028.63800,       -014.84437,        117.81440,        014.84437,        117.81440
      2028.69600,       -014.84597,        117.81740,        014.84597,        117.81740
      2028.75400,       -015.20888,        116.07090,        015.20888,        116.07090
      2028.81400,       -015.10725,        116.22960,        015.10725,        116.22960
      2028.87100,       -015.25795,        111.59720,        015.25795,        111.59720
      2028.93000,       -016.64782,        113.09900,        016.64782,        113.09900
      2028.98800,       -015.84490,        114.40490,        015.84490,        114.40490
      2029.04800,       -015.90529,        114.05090,        015.90529,        114.05090
      2029.10300,       -015.79314,        115.17250,        015.79314,        115.17250
      2029.16000,       -015.81720,        114.09340,        015.81720,        114.09340
      2029.21900,       -015.85658,        114.64470,        015.85658,        114.64470
      2029.27600,       -015.70011,        112.29850,        015.70011,        112.29850
      2029.33100,       -016.12096,        112.48070,        016.12096,        112.48070
      2029.38900,       -015.41849,        112.79500,        015.41849,        112.79500
      2029.45000,       -015.22831,        113.10780,        015.22831,        113.10780
      2029.50800,       -014.81506,        110.97530,        014.81506,        110.97530
      2029.57400,       -015.70808,        114.05420,        015.70808,        114.05420
      2029.63200,       -015.41325,        114.94820,        015.41325,        114.94820
      2029.69300,       -015.37344,        113.62380,        015.37344,        113.62380
      2029.75200,       -015.51334,        111.71560,        015.51334,        111.71560
      2029.80800,       -015.28014,        112.89320,        015.28014,        112.89320
      2029.86800,       -015.75627,        113.03940,        015.75627,        113.03940
      2029.92400,       -014.65524,        112.50980,        014.65524,        112.50980
