       TimeStamp,         PELVIS.X,         PELVIS.Y,         PELVIS.Z,    SPINE_NAVAL.X,    SPINE_NAVAL.Y,    SPINE_NAVAL.Z,    SPINE_CHEST.X,    SPINE_CHEST.Y,    SPINE_CHEST.Z,           NECK.X,           NECK.Y,           NECK.Z,  CLAVICLE_LEFT.X,  CLAVICLE_LEFT.Y,  CLAVICLE_LEFT.Z,  SHOULDER_LEFT.X,  SHOULDER_LEFT.Y,  SHOULDER_LEFT.Z,     ELBOW_LEFT.X,     ELBOW_LEFT.Y,     ELBOW_LEFT.Z,     WRIST_LEFT.X,     WRIST_LEFT.Y,     WRIST_LEFT.Z,      HAND_LEFT.X,      HAND_LEFT.Y,      HAND_LEFT.Z,   HANDTIP_LEFT.X,   HANDTIP_LEFT.Y,   HANDTIP_LEFT.Z,     THUMB_LEFT.X,     THUMB_LEFT.Y,     THUMB_LEFT.Z, CLAVICLE_RIGHT.X, CLAVICLE_RIGHT.Y, CLAVICLE_RIGHT.Z, SHOULDER_RIGHT.X, SHOULDER_RIGHT.Y, SHOULDER_RIGHT.Z,    ELBOW_RIGHT.X,    ELBOW_RIGHT.Y,    ELBOW_RIGHT.Z,    WRIST_RIGHT.X,    WRIST_RIGHT.Y,    WRIST_RIGHT.Z,     HAND_RIGHT.X,     HAND_RIGHT.Y,     HAND_RIGHT.Z,  HANDTIP_RIGHT.X,  HANDTIP_RIGHT.Y,  HANDTIP_RIGHT.Z,    THUMB_RIGHT.X,    THUMB_RIGHT.Y,    THUMB_RIGHT.Z,       HIP_LEFT.X,       HIP_LEFT.Y,       HIP_LEFT.Z,      KNEE_LEFT.X,      KNEE_LEFT.Y,      KNEE_LEFT.Z,     ANKLE_LEFT.X,     ANKLE_LEFT.Y,     ANKLE_LEFT.Z,      FOOT_LEFT.X,      FOOT_LEFT.Y,      FOOT_LEFT.Z,      HIP_RIGHT.X,      HIP_RIGHT.Y,      HIP_RIGHT.Z,     KNEE_RIGHT.X,     KNEE_RIGHT.Y,     KNEE_RIGHT.Z,    ANKLE_RIGHT.X,    ANKLE_RIGHT.Y,    ANKLE_RIGHT.Z,     FOOT_RIGHT.X,     FOOT_RIGHT.Y,     FOOT_RIGHT.Z,           HEAD.X,           HEAD.Y,           HEAD.Z,           NOSE.X,           NOSE.Y,           NOSE.Z,       EYE_LEFT.X,       EYE_LEFT.Y,       EYE_LEFT.Z,       EAR_LEFT.X,       EAR_LEFT.Y,       EAR_LEFT.Z,      EYE_RIGHT.X,      EYE_RIGHT.Y,      EYE_RIGHT.Z,      EAR-RIGHT.X,      EAR-RIGHT.Y,      EAR-RIGHT.Z
    2024.2440000,       00.1043611,      -00.0293091,       02.9253920,       00.1099648,       00.1514201,       02.8962150,       00.1148488,       00.2974100,       02.8860700,       00.1243112,       00.5200781,       02.8887110,       00.1572602,       00.4820977,       02.8906920,       00.2914977,       00.4227837,       02.8905600,       00.3248473,       00.1528493,       02.9712340,       00.3247773,      -00.0792638,       02.9181280,       00.3324975,      -00.1778179,       02.9178920,       00.2863346,      -00.2741079,       02.8878440,       00.2749708,      -00.2056940,       02.8604820,       00.0882640,       00.4844481,       02.8880150,      -00.0399748,       00.4495147,       02.8642980,      -00.1153523,       00.1785383,       02.9309990,      -00.1379958,      -00.0553193,       02.8767860,      -00.1049930,      -00.1362422,       02.9375460,      -00.0802201,      -00.2235814,       02.8771530,      -00.0777054,      -00.1662428,       02.8622790,       00.1978789,      -00.0326107,       02.9229020,       00.2174326,      -00.4315181,       03.0198820,       00.2313049,      -00.8053040,       03.1397540,       00.2433122,      -00.8861279,       02.9656480,       00.0200319,      -00.0263319,       02.9276370,       00.0048082,      -00.4269480,       03.0161020,      -00.0031537,      -00.8068467,       03.1307930,      -00.0307340,      -00.8883274,       02.9761600,       00.1283620,       00.6028619,       02.8759370,       00.1161026,       00.6513703,       02.7187410,       00.1454813,       00.6854692,       02.7544630,       00.2132148,       00.6679366,       02.8642030,       00.0918881,       00.6824999,       02.7543190,       00.0435651,       00.6703449,       02.8792580
    2024.3060000,       00.1047325,      -00.0283545,       02.9242970,       00.1109977,       00.1529314,       02.8948960,       00.1158374,       00.2993318,       02.8836910,       00.1250534,       00.5226741,       02.8900460,       00.1581355,       00.4845734,       02.8917140,       00.2926859,       00.4248494,       02.8948750,       00.3231481,       00.1508284,       02.9656090,       00.3242723,      -00.0834941,       02.9190850,       00.3314726,      -00.1822776,       02.9243150,       00.2872383,      -00.2778322,       02.8882610,       00.2755579,      -00.2117379,       02.8698440,       00.0889352,       00.4869064,       02.8884430,      -00.0395004,       00.4493350,       02.8674270,      -00.1163268,       00.1774009,       02.9327180,      -00.1352505,      -00.0526968,       02.8604420,      -00.1033258,      -00.1310044,       02.9256610,      -00.0787607,      -00.2249759,       02.8753220,      -00.0732907,      -00.1612103,       02.8606930,       00.1985901,      -00.0313313,       02.9259430,       00.2175161,      -00.4314129,       03.0239820,       00.2298446,      -00.8065675,       03.1440150,       00.2462151,      -00.8865787,       02.9691870,       00.0200970,      -00.0256702,       02.9228130,       00.0048318,      -00.4270639,       03.0140240,      -00.0038478,      -00.8071799,       03.1324380,      -00.0305515,      -00.8892254,       02.9772780,       00.1291386,       00.6059329,       02.8786150,       00.1137442,       00.6509899,       02.7200980,       00.1458229,       00.6847985,       02.7540350,       00.2165560,       00.6671147,       02.8623620,       00.0919985,       00.6841686,       02.7556820,       00.0471944,       00.6773548,       02.8827990
    2024.3730000,       00.1034691,      -00.0276937,       02.9261820,       00.1100252,       00.1536019,       02.8973150,       00.1153737,       00.2997314,       02.8837370,       00.1245931,       00.5230243,       02.8889450,       00.1576935,       00.4849537,       02.8903810,       00.2910393,       00.4226301,       02.8906680,       00.3247626,       00.1513084,       02.9694640,       00.3227468,      -00.0830964,       02.9238260,       00.3312843,      -00.1818724,       02.9247350,       00.2874573,      -00.2762996,       02.8854760,       00.2743421,      -00.2073634,       02.8629540,       00.0884820,       00.4872527,       02.8879520,      -00.0386407,       00.4448462,       02.8685220,      -00.1151066,       00.1719161,       02.9294820,      -00.1340714,      -00.0599000,       02.8632460,      -00.1058266,      -00.1333040,       02.9354310,      -00.0791729,      -00.2262336,       02.8843110,      -00.0739244,      -00.1721767,       02.8614680,       00.1972881,      -00.0311854,       02.9255610,       00.2164686,      -00.4314699,       03.0220970,       00.2300545,      -00.8068570,       03.1408030,       00.2434575,      -00.8872209,       02.9659580,       00.0188685,      -00.0245452,       02.9267430,       00.0041564,      -00.4265470,       03.0146490,      -00.0029118,      -00.8074222,       03.1302240,      -00.0310707,      -00.8881013,       02.9746770,       00.1285094,       00.6062009,       02.8770840,       00.1151877,       00.6525761,       02.7188220,       00.1464370,       00.6863254,       02.7535480,       00.2156111,       00.6682405,       02.8627560,       00.0926200,       00.6852285,       02.7543520,       00.0459325,       00.6768656,       02.8806460
    2024.4390000,       00.1043102,      -00.0292109,       02.9224620,       00.1101414,       00.1523587,       02.8961270,       00.1149680,       00.2985719,       02.8845630,       00.1247397,       00.5217124,       02.8879700,       00.1577209,       00.4835998,       02.8897070,       00.2908252,       00.4210154,       02.8892340,       00.3251992,       00.1508168,       02.9708090,       00.3219803,      -00.0820266,       02.9186280,       00.3268831,      -00.1806428,       02.9268060,       00.2875861,      -00.2776002,       02.8891840,       00.2751170,      -00.2073071,       02.8609070,       00.0885655,       00.4860508,       02.8872700,      -00.0383055,       00.4441243,       02.8659350,      -00.1149421,       00.1725770,       02.9316630,      -00.1340518,      -00.0584446,       02.8633690,      -00.1032814,      -00.1351739,       02.9307920,      -00.0785521,      -00.2242586,       02.8725300,      -00.0739372,      -00.1707237,       02.8575390,       00.1980645,      -00.0324064,       02.9211900,       00.2167104,      -00.4319202,       03.0197190,       00.2299217,      -00.8062847,       03.1407190,       00.2433773,      -00.8872008,       02.9662900,       00.0197678,      -00.0263294,       02.9236100,       00.0040812,      -00.4272424,       03.0148480,      -00.0036843,      -00.8068327,       03.1335620,      -00.0281399,      -00.8876553,       02.9776120,       00.1288593,       00.6047203,       02.8754490,       00.1150287,       00.6581959,       02.7196150,       00.1460660,       00.6905040,       02.7558010,       00.2154501,       00.6679104,       02.8639170,       00.0922981,       00.6889989,       02.7566040,       00.0458628,       00.6745204,       02.8823310
    2024.4970000,       00.1039671,      -00.0290134,       02.9263630,       00.1100022,       00.1522938,       02.8976410,       00.1149565,       00.2981087,       02.8811060,       00.1248104,       00.5212060,       02.8904010,       00.1578001,       00.4830292,       02.8910930,       00.2912579,       00.4210100,       02.8899990,       00.3251803,       00.1496156,       02.9682950,       00.3229623,      -00.0830994,       02.9148790,       00.3278085,      -00.1814966,       02.9259170,       00.2881674,      -00.2771396,       02.8852280,       00.2773531,      -00.2124687,       02.8710540,       00.0886031,       00.4855656,       02.8887990,      -00.0388481,       00.4452202,       02.8673830,      -00.1151611,       00.1729787,       02.9313220,      -00.1351226,      -00.0599322,       02.8695080,      -00.1047405,      -00.1367637,       02.9370870,      -00.0793708,      -00.2248116,       02.8774230,      -00.0754275,      -00.1729992,       02.8726040,       00.1977674,      -00.0323636,       02.9249250,       00.2172923,      -00.4321957,       03.0229760,       00.2317482,      -00.8069623,       03.1433210,       00.2433929,      -00.8877382,       02.9685750,       00.0193833,      -00.0259925,       02.9276600,       00.0041049,      -00.4272473,       03.0185270,      -00.0034833,      -00.8075139,       03.1358420,      -00.0282946,      -00.8885147,       02.9799250,       00.1289453,       00.6045622,       02.8800670,       00.1144173,       00.6522310,       02.7223230,       00.1464154,       00.6853706,       02.7569390,       00.2165608,       00.6657225,       02.8652290,       00.0926099,       00.6848666,       02.7583270,       00.0472219,       00.6761015,       02.8850440
    2024.5540000,       00.1041338,      -00.0291104,       02.9266950,       00.1095931,       00.1523832,       02.8980080,       00.1143816,       00.2986192,       02.8842330,       00.1246930,       00.5220345,       02.8889880,       00.1576456,       00.4837832,       02.8902860,       00.2901592,       00.4195248,       02.8875620,       00.3263071,       00.1507908,       02.9744690,       00.3218036,      -00.0819797,       02.9205080,       00.3270962,      -00.1805988,       02.9300360,       00.2877209,      -00.2755980,       02.8873630,       00.2739900,      -00.2085461,       02.8712370,       00.0883823,       00.4864068,       02.8882830,      -00.0386726,       00.4451845,       02.8654790,      -00.1160464,       00.1734361,       02.9313600,      -00.1354520,      -00.0592733,       02.8678060,      -00.1033589,      -00.1348907,       02.9361080,      -00.0787730,      -00.2240904,       02.8776640,      -00.0741014,      -00.1709378,       02.8625590,       00.1979422,      -00.0325510,       02.9227800,       00.2167693,      -00.4323438,       03.0226260,       00.2302363,      -00.8070166,       03.1444950,       00.2434401,      -00.8857831,       02.9687590,       00.0195427,      -00.0260079,       02.9302260,       00.0041389,      -00.4273916,       03.0221270,      -00.0033757,      -00.8079209,       03.1397750,      -00.0281526,      -00.8882481,       02.9833290,       00.1289302,       00.6052303,       02.8769450,       00.1100202,       00.6512006,       02.7190100,       00.1426339,       00.6849785,       02.7525000,       00.2157106,       00.6669897,       02.8592670,       00.0888396,       00.6840566,       02.7552560,       00.0466974,       00.6762214,       02.8832740
    2024.6190000,       00.1041633,      -00.0295119,       02.9251850,       00.1106559,       00.1518746,       02.8959980,       00.1159432,       00.2977479,       02.8789030,       00.1242691,       00.5210992,       02.8884820,       00.1575093,       00.4830923,       02.8896930,       00.2911200,       00.4211886,       02.8934440,       00.3237886,       00.1492057,       02.9711700,       00.3226615,      -00.0841010,       02.9193540,       00.3257315,      -00.1832433,       02.9219170,       00.2836130,      -00.2806226,       02.8881470,       00.2724224,      -00.2090183,       02.8605690,       00.0882815,       00.4852036,       02.8862710,      -00.0388042,       00.4440976,       02.8634000,      -00.1152967,       00.1728745,       02.9324450,      -00.1342085,      -00.0598319,       02.8686990,      -00.1032882,      -00.1351311,       02.9378930,      -00.0789123,      -00.2247117,       02.8799390,      -00.0738815,      -00.1716644,       02.8574530,       00.1980489,      -00.0330284,       02.9242170,       00.2182986,      -00.4334488,       03.0212920,       00.2329187,      -00.8087034,       03.1412690,       00.2434061,      -00.8876243,       02.9654120,       00.0195025,      -00.0263409,       02.9260590,       00.0042807,      -00.4278171,       03.0176520,      -00.0037849,      -00.8081542,       03.1359320,      -00.0278181,      -00.8869667,       02.9785940,       00.1280581,       00.6045616,       02.8782500,       00.1110221,       00.6509665,       02.7202230,       00.1444042,       00.6838655,       02.7538340,       00.2165473,       00.6639504,       02.8608990,       00.0905922,       00.6843977,       02.7563770,       00.0477452,       00.6777526,       02.8842330
    2024.6810000,       00.1045010,      -00.0297634,       02.9218340,       00.1107694,       00.1516688,       02.8949580,       00.1158649,       00.2976667,       02.8814000,       00.1235625,       00.5206916,       02.8901190,       00.1568764,       00.4828587,       02.8911270,       00.2901955,       00.4208440,       02.8891790,       00.3254536,       00.1508212,       02.9707260,       00.3227254,      -00.0825547,       02.9212210,       00.3265491,      -00.1814838,       02.9243630,       00.2831545,      -00.2759050,       02.8849140,       00.2749040,      -00.2084760,       02.8651100,       00.0877306,       00.4847375,       02.8883910,      -00.0389723,       00.4435841,       02.8648660,      -00.1152821,       00.1722051,       02.9313630,      -00.1343783,      -00.0593232,       02.8650110,      -00.1030809,      -00.1348594,       02.9334900,      -00.0791166,      -00.2239087,       02.8749030,      -00.0735598,      -00.1709006,       02.8625630,       00.1982354,      -00.0330900,       02.9212390,       00.2171609,      -00.4326039,       03.0193070,       00.2299564,      -00.8070720,       03.1397290,       00.2433987,      -00.8869969,       02.9648920,       00.0199765,      -00.0267636,       02.9223700,       00.0043381,      -00.4271713,       03.0153830,      -00.0036714,      -00.8059469,       03.1363470,      -00.0280192,      -00.8889150,       02.9815590,       00.1269789,       00.6039866,       02.8795830,       00.1180584,       00.6481158,       02.7205380,       00.1464371,       00.6834670,       02.7560350,       00.2118365,       00.6694313,       02.8679790,       00.0927752,       00.6801142,       02.7547330,       00.0415325,       00.6710754,       02.8790600
    2024.7360000,       00.1036173,      -00.0292725,       02.9246290,       00.1103775,       00.1520770,       02.8980880,       00.1160289,       00.2979810,       02.8847200,       00.1245223,       00.5209267,       02.8907960,       00.1576898,       00.4830161,       02.8921060,       00.2912621,       00.4217995,       02.8892870,       00.3247184,       00.1515105,       02.9700970,       00.3251268,      -00.0814018,       02.9190680,       00.3275394,      -00.1801469,       02.9256220,       00.2831206,      -00.2691333,       02.8761470,       00.2763623,      -00.2055377,       02.8639130,       00.0885826,       00.4851018,       02.8896380,      -00.0381079,       00.4441424,       02.8661880,      -00.1162126,       00.1732940,       02.9319840,      -00.1350136,      -00.0579748,       02.8651860,      -00.1032999,      -00.1343898,       02.9323840,      -00.0791883,      -00.2245067,       02.8756440,      -00.0716748,      -00.1656901,       02.8650310,       00.1972423,      -00.0331275,       02.9221350,       00.2171314,      -00.4320120,       03.0215010,       00.2318161,      -00.8060442,       03.1422690,       00.2432924,      -00.8877037,       02.9682260,       00.0191916,      -00.0257963,       02.9268780,       00.0037226,      -00.4270560,       03.0149970,      -00.0035501,      -00.8074751,       03.1298930,      -00.0282401,      -00.8860309,       02.9729960,       00.1281775,       00.6040296,       02.8792810,       00.1175409,       00.6475918,       02.7202910,       00.1464235,       00.6829588,       02.7553040,       00.2130425,       00.6691268,       02.8664580,       00.0927731,       00.6797709,       02.7546420,       00.0429904,       00.6713412,       02.8795130
    2024.7930000,       00.1043222,      -00.0281888,       02.9242470,       00.1105586,       00.1540310,       02.8977170,       00.1156865,       00.3004760,       02.8827590,       00.1244204,       00.5243524,       02.8913990,       00.1577178,       00.4862323,       02.8920960,       00.2901973,       00.4211365,       02.8894310,       00.3254626,       00.1493531,       02.9690390,       00.3211954,      -00.0839904,       02.9151210,       00.3221602,      -00.1822107,       02.9306520,       00.2799957,      -00.2662639,       02.8705690,       00.2738301,      -00.2082970,       02.8606980,       00.0882831,       00.4884041,       02.8900150,      -00.0385950,       00.4455677,       02.8673650,      -00.1147379,       00.1729602,       02.9340400,      -00.1348555,      -00.0605723,       02.8716360,      -00.1046889,      -00.1380551,       02.9391000,      -00.0791556,      -00.2245728,       02.8766980,      -00.0738719,      -00.1731550,       02.8706110,       00.1984098,      -00.0316581,       02.9225350,       00.2169429,      -00.4322676,       03.0230470,       00.2299363,      -00.8077835,       03.1452800,       00.2435933,      -00.8833483,       02.9676990,       00.0194793,      -00.0250604,       02.9257900,       00.0043101,      -00.4274582,       03.0175090,      -00.0031829,      -00.8086408,       03.1361150,      -00.0304870,      -00.8876787,       02.9789740,       00.1280930,       00.6079614,       02.8807740,       00.1140194,       00.6517968,       02.7213380,       00.1444728,       00.6868880,       02.7557260,       00.2139997,       00.6720111,       02.8656600,       00.0905337,       00.6845269,       02.7564390,       00.0436140,       00.6769091,       02.8831250
