       TimeStamp,     Flexion_Left,    Flexion_Right,   Abduction_Left,  Abduction_Right
      1690.81700,       -015.04197,       -016.08877,        015.04197,        016.08877
      1690.87500,       -016.79872,       -015.03942,        016.79872,        015.03942
      1690.93600,       -016.19178,       -015.82467,        016.19178,        015.82467
      1691.01000,       -016.21183,       -015.90316,        016.21183,        015.90316
      1691.06800,       -015.88336,       -015.95011,        015.88336,        015.95011
      1691.13000,       -015.53958,       -016.19692,        015.53958,        016.19692
      1691.19000,       -015.95668,       -015.20979,        015.95668,        015.20979
      1691.24500,       -015.43120,       -015.51411,        015.43120,        015.51411
      1691.30900,       -015.86921,       -015.94864,        015.86921,        015.94864
      1691.36800,       -016.13371,       -015.78919,        016.13371,        015.78919
      1691.42600,       -015.90133,       -015.96288,        015.90133,        015.96288
      1691.48400,       -015.28468,       -016.48363,        015.28468,        016.48363
      1691.54400,       -015.26086,       -017.12667,        015.26086,        017.12667
      1691.60200,       -015.73690,       -027.31275,        015.73690,        027.31275
      1691.66000,       -016.42542,       -030.41696,        016.42542,        030.41696
      1691.72000,       -016.41518,       -032.91377,        016.41518,        032.91377
      1691.77700,       -016.40319,       -034.73311,        016.40319,        034.73311
      1691.83300,       -016.88075,       -034.49596,        016.88075,        034.49596
      1691.89800,       -016.80065,       -033.37560,        016.80065,        033.37560
      1691.95600,       -016.54312,       -030.21725,        016.54312,        030.21725
      1692.01800,       -015.37623,       -027.79567,        015.37623,        027.79567
      1692.07500,       -016.78389,       -020.07870,        016.78389,        020.07870
      1692.13100,       -015.71398,       -017.69901,        015.71398,        017.69901
      1692.18800,       -016.08219,       -017.07338,        016.08219,        017.07338
      1692.24500,       -015.47812,       -017.33857,        015.47812,        017.33857
      1692.30100,       -016.03811,       -017.29675,        016.03811,        017.29675
      1692.35800,       -015.64898,       -017.40416,        015.64898,        017.40416
      1692.41700,       -016.81878,       -017.08527,        016.81878,        017.08527
      1692.47200,       -016.72149,       -017.75026,        016.72149,        017.75026
      1692.52600,       -015.54373,       -015.81933,        015.54373,        015.81933
      1692.58400,       -016.96719,       -016.35014,        016.96719,        016.35014
      1692.64900,       -014.83136,       -014.67741,        014.83136,        014.67741
      1692.70700,       -014.91865,       -014.79817,        014.91865,        014.79817
      1692.76200,       -015.04943,       -014.73025,        015.04943,        014.73025
      1692.82100,       -015.08486,       -013.42675,        015.08486,        013.42675
      1692.89000,       -015.70011,       -014.15534,        015.70011,        014.15534
      1692.95000,       -015.30971,        014.85162,        015.30971,        014.85162
      1693.01100,       -015.37078,        013.79657,        015.37078,        013.79657
      1693.06900,       -015.02089,        019.79512,        015.02089,        019.79512
      1693.12400,       -014.55011,        020.62130,        014.55011,        020.62130
      1693.18100,       -014.65316,        028.19969,        014.65316,        028.19969
      1693.23500,       -014.72160,        035.35349,        014.72160,        035.35349
      1693.29400,       -014.90501,        041.94885,        014.90501,        041.94885
      1693.35700,       -014.98024,        042.11490,        014.98024,        042.11490
      1693.41500,       -015.35820,        046.22500,        015.35820,        046.22500
      1693.47100,       -015.70245,        033.35020,        015.70245,        033.35020
      1693.52800,       -014.78913,        038.59074,        014.78913,        038.59074
      1693.58800,       -014.89121,        049.84096,        014.89121,        049.84096
      1693.64400,       -015.35839,        061.08903,        015.35839,        061.08903
      1693.70000,       -015.78536,        041.28868,        015.78536,        041.28868
      1693.75800,       -015.44420,        080.54468,        015.44420,        080.54468
      1693.81400,       -015.03481,        085.20138,        015.03481,        085.20138
      1693.87100,       -014.78263,        085.92226,        014.78263,        085.92226
      1693.93300,       -016.06651,        086.53599,        016.06651,        086.53599
      1693.98900,       -015.24136,        085.18563,        015.24136,        085.18563
      1694.04800,       -015.19408,        093.16777,        015.19408,        093.16777
      1694.10300,       -014.01749,        089.00143,        014.01749,        089.00143
      1694.16700,       -014.54508,        089.52926,        014.54508,        089.52926
      1694.22400,       -014.88585,        087.12131,        014.88585,        087.12131
      1694.28800,       -014.88632,        087.13300,        014.88632,        087.13300
      1694.34600,       -014.88694,        087.13624,        014.88694,        087.13624
      1694.40900,       -015.64064,        088.61096,        015.64064,        088.61096
      1694.46700,       -016.05305,        087.48164,        016.05305,        087.48164
      1694.52300,       -016.05494,        087.88541,        016.05494,        087.88541
      1694.58200,       -016.04728,        088.72675,        016.04728,        088.72675
      1694.63900,       -016.06165,        089.36951,        016.06165,        089.36951
      1694.69700,       -014.72986,        096.87039,        014.72986,        096.87039
      1694.75500,       -014.80744,        097.01618,        014.80744,        097.01618
      1694.81200,       -015.56997,        093.48763,        015.56997,        093.48763
      1694.86800,       -014.63271,        098.23116,        014.63271,        098.23116
      1694.93400,       -014.72202,        098.52516,        014.72202,        098.52516
      1694.99200,       -014.60848,        102.64100,        014.60848,        102.64100
      1695.05100,       -015.46900,        101.48340,        015.46900,        101.48340
      1695.10700,       -015.83776,        091.27352,        015.83776,        091.27352
      1695.17400,       -015.45033,        100.24580,        015.45033,        100.24580
      1695.22900,       -014.68479,        099.80688,        014.68479,        099.80688
      1695.28900,       -014.78737,        100.96230,        014.78737,        100.96230
      1695.34600,       -014.84179,        101.07580,        014.84179,        101.07580
      1695.40300,       -014.80311,        089.38504,        014.80311,        089.38504
      1695.46600,       -015.93301,        095.79326,        015.93301,        095.79326
      1695.52300,       -014.96541,        076.84043,        014.96541,        076.84043
      1695.57900,       -015.90286,        087.54200,        015.90286,        087.54200
      1695.64700,       -016.00274,        091.38982,        016.00274,        091.38982
      1695.70500,       -015.46532,        091.04436,        015.46532,        091.04436
      1695.76300,       -015.59363,        083.62150,        015.59363,        083.62150
      1695.82100,       -014.96666,        097.85359,        014.96666,        097.85359
      1695.87900,       -017.03079,        053.60537,        017.03079,        053.60537
      1695.94200,       -015.93566,        090.25323,        015.93566,        090.25323
      1696.00500,       -015.93378,        090.27798,        015.93378,        090.27798
      1696.06600,       -016.06504,        060.16925,        016.06504,        060.16925
      1696.12400,       -015.81681,        084.11526,        015.81681,        084.11526
      1696.18000,       -016.67775,        100.64860,        016.67775,        100.64860
      1696.23600,       -014.32382,        101.73930,        014.32382,        101.73930
      1696.29100,       -016.63822,        102.17810,        016.63822,        102.17810
      1696.35000,       -014.74158,        104.55340,        014.74158,        104.55340
      1696.40700,       -014.70887,        104.87070,        014.70887,        104.87070
      1696.46600,       -015.69706,        098.03973,        015.69706,        098.03973
      1696.52400,       -016.53924,        074.21803,        016.53924,        074.21803
      1696.58200,       -016.64365,        092.22308,        016.64365,        092.22308
      1696.63700,       -015.99527,        096.00198,        015.99527,        096.00198
      1696.69400,       -016.18550,        097.35805,        016.18550,        097.35805
      1696.76500,       -014.27964,        099.84476,        014.27964,        099.84476
      1696.82100,       -014.46373,        098.24352,        014.46373,        098.24352
      1696.87800,       -015.98691,        099.76145,        015.98691,        099.76145
      1696.93500,       -015.96475,        099.73985,        015.96475,        099.73985
      1696.99300,       -015.96094,        099.75521,        015.96094,        099.75521
      1697.05000,       -014.94732,        098.60635,        014.94732,        098.60635
      1697.10700,       -017.72424,        064.99763,        017.72424,        064.99763
      1697.16300,       -017.34118,        085.39245,        017.34118,        085.39245
      1697.22300,       -015.82547,        054.60858,        015.82547,        054.60858
      1697.28100,       -017.00219,        085.53143,        017.00219,        085.53143
      1697.33800,       -015.23364,        094.20022,        015.23364,        094.20022
      1697.39400,       -016.38026,        056.99752,        016.38026,        056.99752
      1697.46700,       -016.06218,        082.86552,        016.06218,        082.86552
      1697.52400,       -016.34935,        066.56860,        016.34935,        066.56860
      1697.59000,       -016.23870,        077.10665,        016.23870,        077.10665
      1697.64800,       -016.22274,        095.75346,        016.22274,        095.75346
      1697.71300,       -016.10171,        096.32269,        016.10171,        096.32269
      1697.77000,       -015.88089,        064.24111,        015.88089,        064.24111
      1697.82700,       -015.72414,        091.97891,        015.72414,        091.97891
      1697.88600,       -015.62196,        059.25731,        015.62196,        059.25731
      1697.94900,       -016.14191,        095.97711,        016.14191,        095.97711
      1698.00400,       -016.13558,        095.99430,        016.13558,        095.99430
      1698.05900,       -015.84774,        092.26483,        015.84774,        092.26483
      1698.12500,       -015.18625,        094.34582,        015.18625,        094.34582
      1698.18200,       -015.99353,        089.53313,        015.99353,        089.53313
      1698.24700,       -015.82584,        092.42293,        015.82584,        092.42293
      1698.30700,       -015.82584,        092.42293,        015.82584,        092.42293
      1698.36300,       -015.40034,        096.47385,        015.40034,        096.47385
      1698.42700,       -015.41030,        096.54332,        015.41030,        096.54332
      1698.48600,       -015.41070,        096.54488,        015.41070,        096.54488
      1698.55000,       -015.40918,        096.55313,        015.40918,        096.55313
      1698.61200,       -015.40920,        096.55384,        015.40920,        096.55384
      1698.66800,       -015.40920,        096.55384,        015.40920,        096.55384
      1698.73300,       -014.76194,        096.52399,        014.76194,        096.52399
      1698.79500,       -014.76288,        096.52675,        014.76288,        096.52675
      1698.85400,       -014.76288,        096.52675,        014.76288,        096.52675
      1698.91100,       -014.76555,        096.52573,        014.76555,        096.52573
      1698.97200,       -014.76555,        096.52573,        014.76555,        096.52573
      1699.03900,       -014.76555,        096.52573,        014.76555,        096.52573
      1699.09400,       -014.76555,        096.52573,        014.76555,        096.52573
      1699.15900,       -015.34090,        098.01157,        015.34090,        098.01157
      1699.22300,       -014.93986,        096.27369,        014.93986,        096.27369
      1699.28100,       -014.93850,        096.27606,        014.93850,        096.27606
      1699.33800,       -014.90530,        096.32530,        014.90530,        096.32530
      1699.39700,       -014.90522,        096.32539,        014.90522,        096.32539
      1699.45500,       -014.79124,        096.71966,        014.79124,        096.71966
      1699.51400,       -014.79021,        096.72518,        014.79021,        096.72518
      1699.57300,       -014.75471,        096.74818,        014.75471,        096.74818
      1699.63300,       -014.75454,        096.75303,        014.75454,        096.75303
      1699.68900,       -014.75506,        096.75394,        014.75506,        096.75394
      1699.74800,       -014.75506,        096.75394,        014.75506,        096.75394
      1699.80600,       -014.75506,        096.75394,        014.75506,        096.75394
      1699.86700,       -014.75506,        096.75394,        014.75506,        096.75394
      1699.93500,       -014.75506,        096.75394,        014.75506,        096.75394
      1699.99000,       -015.67640,        072.66125,        015.67640,        072.66125
      1700.04800,       -016.06608,        093.46239,        016.06608,        093.46239
      1700.10600,       -015.40431,        094.48587,        015.40431,        094.48587
      1700.16200,       -015.47075,        094.49137,        015.47075,        094.49137
      1700.22100,       -015.47142,        094.49223,        015.47142,        094.49223
      1700.27800,       -015.49339,        098.57449,        015.49339,        098.57449
      1700.33600,       -016.77382,        073.28540,        016.77382,        073.28540
      1700.39100,       -016.28008,        091.83552,        016.28008,        091.83552
      1700.44800,       -015.91456,        091.12665,        015.91456,        091.12665
      1700.50500,       -015.18476,        092.90442,        015.18476,        092.90442
      1700.56400,       -015.01753,        100.81880,        015.01753,        100.81880
      1700.62800,       -014.51637,        100.80890,        014.51637,        100.80890
      1700.68300,       -014.51408,        100.81570,        014.51408,        100.81570
      1700.73800,       -015.79190,        075.48851,        015.79190,        075.48851
      1700.79400,       -015.82681,        085.17823,        015.82681,        085.17823
      1700.85000,       -015.60958,        086.60936,        015.60958,        086.60936
