       TimeStamp,         PELVIS.X,         PELVIS.Y,         PELVIS.Z,    SPINE_NAVAL.X,    SPINE_NAVAL.Y,    SPINE_NAVAL.Z,    SPINE_CHEST.X,    SPINE_CHEST.Y,    SPINE_CHEST.Z,           NECK.X,           NECK.Y,           NECK.Z,  CLAVICLE_LEFT.X,  CLAVICLE_LEFT.Y,  CLAVICLE_LEFT.Z,  SHOULDER_LEFT.X,  SHOULDER_LEFT.Y,  SHOULDER_LEFT.Z,     ELBOW_LEFT.X,     ELBOW_LEFT.Y,     ELBOW_LEFT.Z,     WRIST_LEFT.X,     WRIST_LEFT.Y,     WRIST_LEFT.Z,      HAND_LEFT.X,      HAND_LEFT.Y,      HAND_LEFT.Z,   HANDTIP_LEFT.X,   HANDTIP_LEFT.Y,   HANDTIP_LEFT.Z,     THUMB_LEFT.X,     THUMB_LEFT.Y,     THUMB_LEFT.Z, CLAVICLE_RIGHT.X, CLAVICLE_RIGHT.Y, CLAVICLE_RIGHT.Z, SHOULDER_RIGHT.X, SHOULDER_RIGHT.Y, SHOULDER_RIGHT.Z,    ELBOW_RIGHT.X,    ELBOW_RIGHT.Y,    ELBOW_RIGHT.Z,    WRIST_RIGHT.X,    WRIST_RIGHT.Y,    WRIST_RIGHT.Z,     HAND_RIGHT.X,     HAND_RIGHT.Y,     HAND_RIGHT.Z,  HANDTIP_RIGHT.X,  HANDTIP_RIGHT.Y,  HANDTIP_RIGHT.Z,    THUMB_RIGHT.X,    THUMB_RIGHT.Y,    THUMB_RIGHT.Z,       HIP_LEFT.X,       HIP_LEFT.Y,       HIP_LEFT.Z,      KNEE_LEFT.X,      KNEE_LEFT.Y,      KNEE_LEFT.Z,     ANKLE_LEFT.X,     ANKLE_LEFT.Y,     ANKLE_LEFT.Z,      FOOT_LEFT.X,      FOOT_LEFT.Y,      FOOT_LEFT.Z,      HIP_RIGHT.X,      HIP_RIGHT.Y,      HIP_RIGHT.Z,     KNEE_RIGHT.X,     KNEE_RIGHT.Y,     KNEE_RIGHT.Z,    ANKLE_RIGHT.X,    ANKLE_RIGHT.Y,    ANKLE_RIGHT.Z,     FOOT_RIGHT.X,     FOOT_RIGHT.Y,     FOOT_RIGHT.Z,           HEAD.X,           HEAD.Y,           HEAD.Z,           NOSE.X,           NOSE.Y,           NOSE.Z,       EYE_LEFT.X,       EYE_LEFT.Y,       EYE_LEFT.Z,       EAR_LEFT.X,       EAR_LEFT.Y,       EAR_LEFT.Z,      EYE_RIGHT.X,      EYE_RIGHT.Y,      EYE_RIGHT.Z,      EAR-RIGHT.X,      EAR-RIGHT.Y,      EAR-RIGHT.Z
    1795.5820000,       00.1066511,      -00.0277430,       02.9283450,       00.1118777,       00.1535956,       02.9008510,       00.1160576,       00.2995121,       02.8864240,       00.1239363,       00.5226096,       02.8911600,       00.1572671,       00.4847982,       02.8919170,       00.2919004,       00.4258730,       02.8877540,       00.3303257,       00.1555877,       02.9667800,       00.3276176,      -00.0748595,       02.9052310,       00.3324283,      -00.1722112,       02.9227630,       00.2880349,      -00.2664772,       02.8841200,       00.2762544,      -00.2037280,       02.8698880,       00.0880852,       00.4866466,       02.8909970,      -00.0400678,       00.4458049,       02.8767620,      -00.1107986,       00.1724702,       02.9411530,      -00.1257873,      -00.0567758,       02.8665020,      -00.1120977,      -00.1403986,       02.9312350,      -00.0855153,      -00.2365684,       02.8867730,      -00.0796420,      -00.1772551,       02.8648790,       00.2003910,      -00.0303972,       02.9286580,       00.2187985,      -00.4288678,       03.0306730,       00.2322044,      -00.8021266,       03.1544990,       00.2438150,      -00.8848580,       02.9808800,       00.0221216,      -00.0253495,       02.9280620,       00.0049834,      -00.4270777,       03.0145520,      -00.0041203,      -00.8077246,       03.1291580,      -00.0302222,      -00.8883876,       02.9734760,       00.1270518,       00.6056984,       02.8791320,       00.1197412,       00.6578907,       02.7224960,       00.1488311,       00.6907285,       02.7597690,       00.2134772,       00.6695631,       02.8709990,       00.0951190,       00.6887400,       02.7581810,       00.0432557,       00.6747580,       02.8817630
    1795.6430000,       00.1059572,      -00.0285791,       02.9306390,       00.1117042,       00.1525725,       02.9028300,       00.1163038,       00.2985016,       02.8897050,       00.1241367,       00.5214746,       02.8932500,       00.1574251,       00.4836916,       02.8947270,       00.2928064,       00.4266078,       02.8941620,       00.3288521,       00.1537269,       02.9641990,       00.3292864,      -00.0770742,       02.9045610,       00.3328579,      -00.1719850,       02.9323830,       00.2904343,      -00.2665033,       02.8923800,       00.2748890,      -00.2033199,       02.8701050,       00.0883108,       00.4855370,       02.8927610,      -00.0397264,       00.4455925,       02.8760110,      -00.1113549,       00.1726756,       02.9403180,      -00.1252713,      -00.0579116,       02.8702490,      -00.1120763,      -00.1395562,       02.9374460,      -00.0856075,      -00.2369628,       02.8958800,      -00.0788397,      -00.1783047,       02.8679510,       00.1996270,      -00.0315043,       02.9309420,       00.2184702,      -00.4299030,       03.0320510,       00.2320767,      -00.8028547,       03.1559510,       00.2469462,      -00.8864942,       02.9831590,       00.0214911,      -00.0259414,       02.9303650,       00.0049289,      -00.4274020,       03.0169140,      -00.0041739,      -00.8082708,       03.1298560,      -00.0307527,      -00.8865418,       02.9731710,       00.1274416,       00.6044364,       02.8807920,       00.1158693,       00.6591647,       02.7253990,       00.1464597,       00.6910601,       02.7622280,       00.2142425,       00.6674271,       02.8709650,       00.0927405,       00.6896887,       02.7622900,       00.0446216,       00.6743157,       02.8871190
    1795.7100000,       00.1075209,      -00.0279647,       02.9323880,       00.1123414,       00.1528289,       02.9035020,       00.1162353,       00.2985087,       02.8893280,       00.1243220,       00.5212142,       02.8927500,       00.1575515,       00.4834431,       02.8937890,       00.2921120,       00.4250285,       02.8895570,       00.3307879,       00.1544660,       02.9655870,       00.3284404,      -00.0770501,       02.9100140,       00.3319077,      -00.1736286,       02.9308130,       00.2930683,      -00.2698104,       02.8915000,       00.2763618,      -00.2025847,       02.8688590,       00.0884997,       00.4853534,       02.8927360,      -00.0396600,       00.4456529,       02.8777020,      -00.1106554,       00.1726247,       02.9407080,      -00.1262440,      -00.0583294,       02.8732150,      -00.1145620,      -00.1439710,       02.9353280,      -00.0845980,      -00.2371407,       02.8872640,      -00.0788393,      -00.1783567,       02.8681870,       00.2010938,      -00.0304755,       02.9322880,       00.2186505,      -00.4287455,       03.0321790,       00.2302794,      -00.8014263,       03.1556410,       00.2451999,      -00.8874933,       02.9843010,       00.0231421,      -00.0257006,       02.9324770,       00.0054842,      -00.4273318,       03.0156790,      -00.0045720,      -00.8082291,       03.1268000,      -00.0308394,      -00.8869557,       02.9705260,       00.1275391,       00.6040754,       02.8802580,       00.1157120,       00.6592216,       02.7252360,       00.1463675,       00.6909425,       02.7620570,       00.2142711,       00.6669506,       02.8704580,       00.0927101,       00.6896169,       02.7622240,       00.0448867,       00.6739221,       02.8869570
    1795.7750000,       00.1071917,      -00.0285185,       02.9302470,       00.1125776,       00.1524603,       02.9007770,       00.1171162,       00.2985313,       02.8885440,       00.1243209,       00.5216405,       02.8904270,       00.1577488,       00.4839502,       02.8918520,       00.2926906,       00.4257690,       02.8885400,       00.3296513,       00.1546195,       02.9650180,       00.3272693,      -00.0772787,       02.9094130,       00.3333902,      -00.1746246,       02.9264270,       00.2841485,      -00.2640256,       02.8825300,       00.2703769,      -00.2002414,       02.8626260,       00.0885842,       00.4855808,       02.8905410,      -00.0397265,       00.4459259,       02.8747610,      -00.1102826,       00.1729181,       02.9404060,      -00.1254772,      -00.0580537,       02.8715260,      -00.1110892,      -00.1384000,       02.9401010,      -00.0858509,      -00.2356878,       02.8973860,      -00.0776808,      -00.1767100,       02.8742540,       00.2008852,      -00.0315598,       02.9286940,       00.2185385,      -00.4296734,       03.0318320,       00.2305585,      -00.8021843,       03.1577360,       00.2450065,      -00.8873385,       02.9855580,       00.0227042,      -00.0257761,       02.9316470,       00.0053535,      -00.4278150,       03.0161620,      -00.0043928,      -00.8091270,       03.1281440,      -00.0279445,      -00.8885100,       02.9714500,       00.1272591,       00.6045556,       02.8773420,       00.1151973,       00.6585800,       02.7216660,       00.1466116,       00.6902189,       02.7580580,       00.2149816,       00.6661478,       02.8663970,       00.0928573,       00.6896888,       02.7585870,       00.0455628,       00.6757888,       02.8839640
    1795.8330000,       00.1069957,      -00.0282545,       02.9276400,       00.1121764,       00.1531423,       02.9015290,       00.1163737,       00.2991658,       02.8895870,       00.1234149,       00.5221320,       02.8933850,       00.1568542,       00.4844767,       02.8944240,       00.2911948,       00.4253371,       02.8883840,       00.3308543,       00.1551526,       02.9663260,       00.3271053,      -00.0771357,       02.9130410,       00.3326636,      -00.1752934,       02.9242860,       00.2826212,      -00.2672673,       02.8873130,       00.2697148,      -00.2003680,       02.8625100,       00.0877246,       00.4860660,       02.8932500,      -00.0396417,       00.4447078,       02.8750250,      -00.1105810,       00.1714038,       02.9382730,      -00.1249572,      -00.0595383,       02.8695880,      -00.1148407,      -00.1439778,       02.9337760,      -00.0848567,      -00.2372085,       02.8855870,      -00.0790565,      -00.1801425,       02.8719540,       00.2006596,      -00.0309694,       02.9273640,       00.2189018,      -00.4291735,       03.0291300,       00.2317733,      -00.8018883,       03.1536560,       00.2445235,      -00.8858109,       02.9808600,       00.0225349,      -00.0258064,       02.9278900,       00.0050954,      -00.4274305,       03.0132450,      -00.0041687,      -00.8080983,       03.1266680,      -00.0305919,      -00.8872896,       02.9704460,       00.1262676,       00.6051133,       02.8810190,       00.1189381,       00.6546609,       02.7236650,       00.1461456,       00.6891670,       02.7607820,       00.2100571,       00.6722807,       02.8730430,       00.0926274,       00.6849648,       02.7585400,       00.0397718,       00.6706680,       02.8815490
    1795.9000000,       00.1064740,      -00.0284605,       02.9277980,       00.1117759,       00.1528421,       02.9005570,       00.1161866,       00.2988094,       02.8873380,       00.1240803,       00.5218193,       02.8921090,       00.1573847,       00.4840155,       02.8930790,       00.2922807,       00.4258332,       02.8889730,       00.3301688,       00.1550421,       02.9661090,       00.3272851,      -00.0765093,       02.9092470,       00.3324317,      -00.1745601,       02.9218890,       00.2822887,      -00.2660375,       02.8837030,       00.2687728,      -00.2002999,       02.8645460,       00.0882371,       00.4858779,       02.8917220,      -00.0395808,       00.4456595,       02.8737000,      -00.1110450,       00.1727775,       02.9386950,      -00.1262251,      -00.0572496,       02.8668390,      -00.1126790,      -00.1389212,       02.9339810,      -00.0855192,      -00.2356181,       02.8911440,      -00.0788371,      -00.1766920,       02.8693280,       00.2001563,      -00.0314297,       02.9262700,       00.2186119,      -00.4295584,       03.0289660,       00.2310717,      -00.8024514,       03.1535070,       00.2532086,      -00.8875402,       02.9821480,       00.0219965,      -00.0257831,       02.9291760,       00.0049319,      -00.4275142,       03.0149080,      -00.0045165,      -00.8089591,       03.1262530,      -00.0296654,      -00.8863601,       02.9688470,       00.1272883,       00.6048747,       02.8801000,       00.1152787,       00.6537259,       02.7227450,       00.1464641,       00.6866824,       02.7581370,       00.2147233,       00.6664931,       02.8673130,       00.0927199,       00.6859090,       02.7585860,       00.0452506,       00.6758782,       02.8842440
    1795.9570000,       00.1068028,      -00.0284510,       02.9275370,       00.1120726,       00.1530009,       02.8999540,       00.1165354,       00.2992410,       02.8880840,       00.1235992,       00.5225311,       02.8922710,       00.1570971,       00.4848206,       02.8930010,       00.2919995,       00.4262946,       02.8883570,       00.3305115,       00.1555661,       02.9665250,       00.3260952,      -00.0757282,       02.9076720,       00.3279311,      -00.1727551,       02.9277680,       00.2834731,      -00.2646247,       02.8836020,       00.2701061,      -00.1998854,       02.8662880,       00.0878582,       00.4864091,       02.8923180,      -00.0404806,       00.4462473,       02.8769760,      -00.1112763,       00.1722901,       02.9395230,      -00.1254978,      -00.0566822,       02.8633580,      -00.1138556,      -00.1395268,       02.9295950,      -00.0854587,      -00.2364699,       02.8878310,      -00.0802767,      -00.1770962,       02.8711510,       00.2005767,      -00.0314711,       02.9255860,       00.2188178,      -00.4296103,       03.0300430,       00.2322572,      -00.8021944,       03.1567280,       00.2449662,      -00.8854992,       02.9833120,       00.0222427,      -00.0257277,       02.9292960,       00.0047240,      -00.4281610,       03.0137600,      -00.0038389,      -00.8096908,       03.1264080,      -00.0354736,      -00.8896136,       02.9712330,       00.1263633,       00.6056598,       02.8800280,       00.1152566,       00.6526603,       02.7218580,       00.1468227,       00.6857137,       02.7569220,       00.2146884,       00.6660652,       02.8666080,       00.0930144,       00.6856235,       02.7572700,       00.0451335,       00.6778166,       02.8830850
    1796.0130000,       00.1065534,      -00.0284041,       02.9265050,       00.1120646,       00.1527611,       02.8991200,       00.1165311,       00.2987895,       02.8876740,       00.1240655,       00.5216629,       02.8931820,       00.1574113,       00.4839318,       02.8940070,       00.2923691,       00.4260751,       02.8904810,       00.3301612,       00.1551529,       02.9665780,       00.3274595,      -00.0758022,       02.9079030,       00.3281770,      -00.1731010,       02.9258220,       00.2832059,      -00.2662080,       02.8853910,       00.2744590,      -00.2028795,       02.8680950,       00.0883009,       00.4856867,       02.8926950,      -00.0397809,       00.4457654,       02.8765850,      -00.1108249,       00.1724570,       02.9394530,      -00.1250120,      -00.0579441,       02.8690870,      -00.1071990,      -00.1399744,       02.9346770,      -00.0851261,      -00.2365194,       02.8888440,      -00.0788622,      -00.1769910,       02.8729720,       00.2001953,      -00.0312849,       02.9262920,       00.2181440,      -00.4289367,       03.0299470,       00.2305534,      -00.8012408,       03.1555170,       00.2447659,      -00.8864006,       02.9834820,       00.0221123,      -00.0258063,       02.9266960,       00.0053561,      -00.4269973,       03.0138430,      -00.0041807,      -00.8073282,       03.1281160,      -00.0348943,      -00.8838937,       02.9714080,       00.1271322,       00.6047139,       02.8814560,       00.1189329,       00.6584374,       02.7255540,       00.1485310,       00.6906692,       02.7628690,       00.2138606,       00.6679776,       02.8732460,       00.0948473,       00.6890796,       02.7617030,       00.0439400,       00.6742700,       02.8854430
    1796.0690000,       00.1073129,      -00.0289939,       02.9284830,       00.1126202,       00.1522719,       02.9002900,       00.1170042,       00.2984420,       02.8884180,       00.1250956,       00.5215937,       02.8922610,       00.1584030,       00.4837487,       02.8930410,       00.2935274,       00.4259676,       02.8878420,       00.3298921,       00.1547369,       02.9647790,       00.3266155,      -00.0780320,       02.9125090,       00.3288821,      -00.1766333,       02.9216970,       00.2823361,      -00.2665790,       02.8758900,       00.2705927,      -00.2000164,       02.8617660,       00.0892059,       00.4856548,       02.8923710,      -00.0395227,       00.4466861,       02.8778250,      -00.1103245,       00.1728290,       02.9401450,      -00.1266696,      -00.0567123,       02.8665370,      -00.1106009,      -00.1358233,       02.9362380,      -00.0860094,      -00.2297919,       02.8862170,      -00.0798570,      -00.1764093,       02.8746280,       00.2010610,      -00.0318789,       02.9275820,       00.2188600,      -00.4301228,       03.0309140,       00.2307837,      -00.8031169,       03.1559330,       00.2532221,      -00.8855833,       02.9832090,       00.0227762,      -00.0263924,       02.9292960,       00.0053345,      -00.4281390,       03.0160310,      -00.0042970,      -00.8090855,       03.1298710,      -00.0331393,      -00.8871800,       02.9733260,       00.1282389,       00.6046492,       02.8798970,       00.1152244,       00.6595873,       02.7245400,       00.1462787,       00.6914101,       02.7611200,       00.2151517,       00.6675109,       02.8692470,       00.0925136,       00.6901563,       02.7617190,       00.0455702,       00.6747663,       02.8871180
    1796.1290000,       00.1069143,      -00.0280306,       02.9302520,       00.1121326,       00.1535058,       02.9032330,       00.1162887,       00.2992257,       02.8860580,       00.1239988,       00.5225276,       02.8873640,       00.1573825,       00.4847328,       02.8886880,       00.2918701,       00.4251323,       02.8862480,       00.3307271,       00.1547834,       02.9655400,       00.3264726,      -00.0767951,       02.9078140,       00.3276097,      -00.1746189,       02.9236390,       00.2830887,      -00.2666160,       02.8798060,       00.2764218,      -00.2057706,       02.8706410,       00.0881517,       00.4865138,       02.8877710,      -00.0397727,       00.4444237,       02.8742590,      -00.1114628,       00.1721075,       02.9426650,      -00.1257313,      -00.0579345,       02.8698110,      -00.1149123,      -00.1401342,       02.9369830,      -00.0848878,      -00.2312580,       02.8846060,      -00.0804693,      -00.1791297,       02.8781520,       00.2007179,      -00.0306260,       02.9309300,       00.2181410,      -00.4293664,       03.0331950,       00.2304425,      -00.8031574,       03.1563790,       00.2450557,      -00.8858484,       02.9828220,       00.0223276,      -00.0256901,       02.9296410,       00.0048508,      -00.4276735,       03.0162100,      -00.0058753,      -00.8090049,       03.1293290,      -00.0295577,      -00.8872112,       02.9718800,       00.1270455,       00.6054807,       02.8740510,       00.1217414,       00.6527779,       02.7156710,       00.1510188,       00.6863982,       02.7521510,       00.2145008,       00.6678717,       02.8646200,       00.0972616,       00.6851162,       02.7501700,       00.0441745,       00.6758108,       02.8737740
