NO_OF_FRAMES	2000
NO_OF_CAMERAS	3
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-06-25, 17:37:02.789	236784.37458370
DATA_INCLUDED	3D
MARKER_NAMES	T8	C7	ACR	LEL	MUA
Frame	Time	T8 X	T8 Y	T8 Z	C7 X	C7 Y	C7 Z	ACR X	ACR Y	ACR Z	LEL X	LEL Y	LEL Z	MUA X	MUA Y	MUA Z	
1	0.00000	198.861	-11.607	333.703	212.762	-8.675	600.021	147.979	207.278	524.380	126.482	252.156	227.683	101.797	267.716	101.019
2	0.01000	198.776	-11.462	333.701	212.731	-8.599	599.954	147.126	207.607	524.296	126.984	252.181	227.841	102.661	267.749	100.899
3	0.02000	198.721	-11.391	333.738	212.742	-8.644	599.856	146.330	207.923	524.157	127.039	251.743	227.751	103.288	267.350	100.617
4	0.03000	198.699	-11.362	333.807	212.720	-8.714	599.753	145.722	208.117	523.966	126.646	250.911	227.457	103.514	266.563	100.293
5	0.04000	198.664	-11.379	333.853	212.656	-8.693	599.707	145.448	208.214	523.711	125.912	249.825	227.052	103.376	265.491	99.908
6	0.05000	198.592	-11.382	333.853	212.521	-8.572	599.710	145.443	208.221	523.324	125.099	248.652	226.586	103.105	264.266	99.489
7	0.06000	198.541	-11.348	333.841	212.348	-8.300	599.750	145.587	208.191	522.842	124.407	247.525	226.061	102.840	263.079	99.036
8	0.07000	198.442	-11.344	333.802	212.175	-8.044	599.788	145.756	208.146	522.392	123.978	246.552	225.547	102.672	262.044	98.614
9	0.08000	198.348	-11.357	333.813	212.012	-7.808	599.848	145.872	208.116	521.970	123.909	245.919	225.141	102.691	261.411	98.233
10	0.09000	198.253	-11.394	333.797	211.901	-7.698	599.859	146.018	208.081	521.634	124.047	245.425	224.827	102.797	260.970	97.938
11	0.10000	198.175	-11.458	333.790	211.826	-7.737	599.838	146.297	207.956	521.402	124.281	245.182	224.607	102.898	260.754	97.715
12	0.11000	198.110	-11.569	333.792	211.774	-7.906	599.803	146.660	207.823	521.309	124.500	245.143	224.510	102.898	260.776	97.590
13	0.12000	198.080	-11.694	333.793	211.745	-8.104	599.775	147.004	207.640	521.302	124.661	245.277	224.517	102.741	260.928	97.581
14	0.13000	198.092	-11.842	333.796	211.719	-8.313	599.770	147.316	207.432	521.329	124.693	245.536	224.604	102.441	261.145	97.664
15	0.14000	198.056	-12.024	333.769	211.690	-8.492	599.787	147.600	207.256	521.382	124.580	245.817	224.722	102.059	261.372	97.800
16	0.15000	198.072	-12.143	333.778	211.653	-8.652	599.814	147.818	207.083	521.436	124.434	246.151	224.874	101.666	261.625	97.937
17	0.16000	198.079	-12.253	333.788	211.590	-8.805	599.839	147.949	206.944	521.464	124.307	246.468	225.003	101.330	261.896	98.093
18	0.17000	198.101	-12.315	333.825	211.529	-8.910	599.893	148.000	206.844	521.491	124.246	246.802	225.125	101.057	262.127	98.184
19	0.18000	198.153	-12.352	333.861	211.443	-8.986	599.945	147.953	206.762	521.487	124.207	247.068	225.191	100.895	262.369	98.244
20	0.19000	198.204	-12.387	333.910	211.361	-9.085	599.995	147.825	206.712	521.469	124.173	247.229	225.239	100.819	262.578	98.290
21	0.20000	198.228	-12.421	333.932	211.267	-9.180	600.044	147.687	206.669	521.427	124.134	247.328	225.261	100.816	262.727	98.294
22	0.21000	198.286	-12.400	333.991	211.165	-9.252	600.108	147.543	206.635	521.377	124.067	247.324	225.280	100.840	262.822	98.269
23	0.22000	198.340	-12.407	334.030	211.039	-9.350	600.153	147.427	206.604	521.340	123.976	247.246	225.264	100.904	262.866	98.250
24	0.23000	198.395	-12.416	334.097	210.930	-9.422	600.211	147.348	206.529	521.273	123.901	247.166	225.253	100.952	262.855	98.209
