NO_OF_FRAMES	2000
NO_OF_CAMERAS	3
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-06-25, 17:33:34.927	236576.51239160
DATA_INCLUDED	3D
MARKER_NAMES	T8	C7	ACR	LEL	MUA
Frame	Time	T8 X	T8 Y	T8 Z	C7 X	C7 Y	C7 Z	ACR X	ACR Y	ACR Z	LEL X	LEL Y	LEL Z	MUA X	MUA Y	MUA Z	
1	0.00000	203.198	-32.115	339.743	196.104	-29.380	604.912	135.932	190.569	526.475	120.042	235.312	229.776	97.418	250.520	102.910
2	0.01000	203.196	-32.146	339.780	196.014	-29.477	604.936	135.771	190.544	526.535	119.988	235.461	229.862	97.535	250.774	102.957
3	0.02000	203.224	-32.151	339.823	195.944	-29.560	604.970	135.647	190.501	526.599	120.003	235.576	229.942	97.712	250.965	102.996
4	0.03000	203.242	-32.174	339.870	195.866	-29.648	604.999	135.594	190.412	526.671	120.075	235.639	229.993	97.914	251.101	103.033
5	0.04000	203.237	-32.233	339.887	195.802	-29.721	605.024	135.605	190.332	526.700	120.189	235.664	230.042	98.108	251.177	103.057
6	0.05000	203.244	-32.272	339.918	195.738	-29.815	605.050	135.686	190.238	526.729	120.310	235.666	230.080	98.249	251.217	103.064
7	0.06000	203.256	-32.352	339.933	195.680	-29.920	605.081	135.821	190.101	526.723	120.447	235.642	230.091	98.344	251.210	103.077
8	0.07000	203.276	-32.442	339.962	195.648	-30.023	605.113	136.002	189.962	526.690	120.563	235.577	230.100	98.390	251.181	103.084
9	0.08000	203.282	-32.552	340.018	195.621	-30.128	605.162	136.212	189.823	526.629	120.668	235.594	230.115	98.407	251.325	103.095
10	0.09000	203.339	-32.628	340.047	195.602	-30.271	605.173	136.424	189.653	526.483	120.747	235.572	230.121	98.395	251.336	103.088
11	0.10000	203.395	-32.703	340.071	195.603	-30.439	605.192	136.645	189.461	526.215	120.821	235.582	230.113	98.352	251.423	103.071
12	0.11000	203.430	-32.814	340.064	195.621	-30.591	605.204	136.859	189.267	525.870	120.906	235.630	230.078	98.293	251.569	103.060
13	0.12000	203.521	-32.901	340.087	195.628	-30.759	605.212	137.062	189.077	525.523	120.981	235.729	230.035	98.196	251.754	103.029
14	0.13000	203.553	-33.038	340.051	195.654	-30.955	605.210	137.227	188.932	525.159	121.024	235.869	230.005	98.067	251.961	102.984
15	0.14000	203.606	-33.141	340.042	195.696	-31.130	605.213	137.436	188.746	524.801	120.975	236.056	229.993	97.902	252.205	102.953
16	0.15000	203.630	-33.269	340.010	195.745	-31.330	605.201	137.648	188.557	524.453	120.887	236.234	230.006	97.704	252.527	102.946
17	0.16000	203.751	-33.328	340.033	195.800	-31.510	605.197	137.819	188.365	524.106	120.810	236.482	230.004	97.545	252.834	102.924
18	0.17000	203.853	-33.396	340.037	195.870	-31.716	605.202	137.956	188.115	523.655	120.751	236.746	230.001	97.378	253.244	102.918
19	0.18000	203.964	-33.473	340.040	195.916	-31.887	605.243	138.033	187.892	523.226	120.767	237.061	230.007	97.216	253.628	102.870
20	0.19000	204.096	-33.516	340.067	195.940	-32.053	605.302	138.033	187.723	522.748	120.823	237.432	230.011	97.054	254.141	102.885
21	0.20000	204.133	-33.596	340.036	195.953	-32.196	605.372	138.047	187.565	522.320	120.889	237.858	230.023	96.891	254.648	102.899
22	0.21000	204.216	-33.670	340.025	195.946	-32.334	605.458	138.055	187.447	521.985	120.876	238.258	230.049	96.691	255.181	102.959
23	0.22000	204.302	-33.716	340.035	195.950	-32.478	605.534	138.109	187.332	521.740	120.811	238.661	230.142	96.468	255.735	103.060
24	0.23000	204.393	-33.802	340.017	195.984	-32.638	605.570	138.209	187.183	521.560	120.698	238.993	230.278	96.260	256.260	103.217
25	0.24000	204.510	-33.823	340.051	196.067	-32.816	605.556	138.332	186.978	521.428	120.600	239.347	230.480	96.079	256.807	103.423
26	0.25000	204.555	-33.912	340.020	196.168	-33.004	605.521	138.497	186.739	521.281	120.547	239.694	230.724	95.886	257.376	103.740
27	0.26000	204.665	-33.990	340.022	196.293	-33.171	605.489	138.691	186.528	521.165	120.595	240.145	231.040	95.684	257.968	104.116
28	0.27000	204.748	-34.064	340.011	196.377	-33.347	605.471	138.897	186.263	521.047	120.812	240.716	231.448	95.455	258.597	104.561
29	0.28000	204.786	-34.144	339.994	196.455	-33.501	605.480	139.105	185.962	520.959	121.015	241.345	231.847	95.195	259.347	105.095
30	0.29000	204.851	-34.228	339.980	196.502	-33.643	605.514	139.345	185.665	520.909	121.254	242.113	232.328	94.926	260.271	105.643
31	0.30000	204.918	-34.282	339.994	196.520	-33.785	605.546	139.633	185.291	520.866	121.397	242.865	232.813	94.667	261.419	106.278
32	0.31000	204.994	-34.347	340.001	196.508	-33.975	605.566	140.000	184.910	520.819	121.540	243.733	233.398	94.385	262.859	107.003
33	0.32000	205.021	-34.446	339.988	196.500	-34.151	605.597	140.438	184.473	520.763	121.705	244.740	234.044	94.067	264.523	107.824
34	0.33000	205.078	-34.518	339.996	196.472	-34.335	605.613	140.956	183.979	520.675	121.868	245.822	234.723	93.800	266.482	108.751
35	0.34000	205.135	-34.592	340.007	196.450	-34.532	605.636	141.589	183.507	520.579	122.115	247.093	235.512	93.523	268.743	109.788
36	0.35000	205.163	-34.692	340.012	196.449	-34.755	605.657	142.266	182.981	520.484	122.440	248.535	236.390	93.304	271.254	110.895
37	0.36000	205.189	-34.821	340.010	196.461	-34.992	605.665	142.986	182.448	520.448	122.813	250.152	237.326	93.087	274.008	112.145
38	0.37000	205.203	-34.968	340.009	196.487	-35.222	605.682	143.707	181.910	520.418	123.233	251.942	238.341	92.896	277.017	113.490
39	0.38000	205.232	-35.164	340.005	196.509	-35.471	605.696	144.476	181.407	520.492	123.663	253.903	239.444	92.689	280.261	114.959
40	0.39000	205.298	-35.345	340.021	196.554	-35.736	605.719	145.237	180.854	520.585	124.061	256.000	240.680	92.424	283.684	116.634
41	0.40000	205.351	-35.572	340.017	196.610	-36.013	605.734	146.081	180.303	520.736	124.403	258.243	242.036	92.043	287.327	118.475
42	0.41000	205.426	-35.763	340.033	196.686	-36.306	605.754	146.914	179.717	520.889	124.703	260.597	243.523	91.609	291.159	120.471
43	0.42000	205.448	-36.015	340.006	196.769	-36.635	605.760	147.792	179.140	521.062	124.949	263.091	245.120	91.180	295.252	122.708
44	0.43000	205.463	-36.258	339.985	196.889	-36.970	605.756	148.689	178.542	521.259	125.225	265.743	246.908	90.779	299.604	125.128
45	0.44000	205.535	-36.478	339.970	197.036	-37.332	605.756	149.573	177.912	521.463	125.520	268.537	248.811	90.393	304.236	127.747
46	0.45000	205.566	-36.740	339.920	197.176	-37.710	605.754	150.556	177.267	521.749	125.800	271.462	250.873	89.976	309.069	130.520
47	0.46000	205.675	-36.942	339.929	197.355	-38.121	605.747	151.547	176.586	522.061	126.006	274.496	253.045	89.515	314.102	133.527
48	0.47000	205.708	-37.176	339.865	197.561	-38.569	605.726	152.546	175.883	522.421	126.194	277.644	255.396	89.085	319.338	136.758
49	0.48000	205.738	-37.439	339.790	197.808	-39.046	605.701	153.588	175.204	522.830	126.321	280.900	257.901	88.645	324.764	140.190
50	0.49000	205.804	-37.714	339.751	198.063	-39.556	605.655	154.644	174.458	523.242	126.383	284.208	260.535	88.196	330.287	143.833
51	0.50000	205.927	-37.965	339.732	198.331	-40.060	605.627	155.725	173.740	523.677	126.448	287.594	263.305	87.813	335.964	147.663
52	0.51000	205.963	-38.266	339.661	198.614	-40.545	605.604	156.781	172.994	524.110	126.586	291.060	266.210	87.463	341.812	151.736
53	0.52000	206.026	-38.570	339.616	198.866	-41.042	605.558	157.831	172.281	524.559	126.751	294.544	269.196	87.275	347.738	155.964
54	0.53000	206.127	-38.858	339.576	199.161	-41.532	605.524	158.855	171.583	525.028	126.932	298.033	272.269	87.180	353.745	160.379
55	0.54000	206.188	-39.190	339.510	199.434	-42.014	605.474	159.848	170.885	525.515	127.432	301.656	275.538	87.214	359.812	164.990
56	0.55000	206.273	-39.457	339.470	199.699	-42.450	605.421	160.816	170.179	525.983	127.922	305.212	278.901	87.363	365.885	169.801
57	0.56000	206.358	-39.724	339.430	199.943	-42.895	605.373	161.781	169.517	526.474	128.447	308.744	282.306	87.520	371.970	174.768
58	0.57000	206.463	-39.984	339.390	200.196	-43.266	605.342	162.708	168.844	526.963	128.986	312.260	285.842	87.809	378.011	179.914
59	0.58000	206.564	-40.175	339.362	200.430	-43.687	605.295	163.646	168.203	527.474	129.522	315.716	289.449	88.083	384.035	185.236
60	0.59000	206.618	-40.371	339.297	200.666	-44.085	605.245	164.567	167.543	527.986	130.035	319.133	293.166	88.430	389.996	190.719
61	0.60000	206.672	-40.567	339.217	200.906	-44.461	605.179	165.491	166.865	528.526	130.556	322.494	296.957	88.823	395.858	196.353
62	0.61000	206.774	-40.727	339.154	201.176	-44.854	605.105	166.406	166.179	529.087	131.096	325.807	300.851	89.284	401.634	202.113
63	0.62000	206.901	-40.824	339.142	201.456	-45.240	605.026	167.272	165.527	529.665	131.717	329.058	304.810	89.839	407.298	207.989
64	0.63000	206.968	-40.972	339.090	201.741	-45.603	604.945	168.132	164.855	530.265	132.405	332.260	308.841	90.486	412.840	213.988
65	0.64000	207.019	-41.100	339.038	202.019	-45.937	604.859	168.951	164.217	530.893	133.172	335.392	312.934	91.210	418.267	220.075
66	0.65000	207.087	-41.249	338.993	202.295	-46.238	604.780	169.749	163.573	531.561	134.014	338.460	317.115	91.991	423.538	226.278
67	0.66000	207.146	-41.387	338.941	202.537	-46.509	604.720	170.513	162.941	532.259	134.856	341.422	321.342	92.804	428.665	232.552
68	0.67000	207.235	-41.500	338.899	202.783	-46.779	604.662	171.240	162.319	532.966	135.697	344.309	325.628	93.669	433.634	238.910
69	0.68000	207.327	-41.584	338.891	202.987	-47.053	604.603	171.987	161.672	533.727	136.539	347.091	329.936	94.584	438.445	245.330
70	0.69000	207.412	-41.658	338.884	203.191	-47.336	604.530	172.713	161.023	534.491	137.387	349.799	334.299	95.514	443.098	251.786
71	0.70000	207.480	-41.712	338.876	203.376	-47.594	604.476	173.468	160.360	535.247	138.262	352.439	338.672	96.474	447.626	258.314
72	0.71000	207.556	-41.776	338.868	203.548	-47.884	604.413	174.241	159.696	535.986	139.216	354.953	343.018	97.523	451.986	264.869
73	0.72000	207.574	-41.864	338.827	203.714	-48.127	604.376	174.990	159.024	536.705	140.214	357.412	347.454	98.636	456.215	271.451
74	0.73000	207.634	-41.907	338.830	203.849	-48.356	604.339	175.711	158.357	537.425	141.283	359.694	351.948	99.848	460.303	278.073
75	0.74000	207.702	-41.960	338.830	203.986	-48.585	604.298	176.410	157.717	538.141	142.424	361.827	356.356	101.143	464.247	284.727
76	0.75000	207.789	-42.006	338.843	204.087	-48.805	604.265	177.056	157.071	538.853	143.621	364.047	360.715	102.539	468.097	291.415
77	0.76000	207.886	-42.033	338.863	204.164	-49.009	604.226	177.717	156.443	539.581	144.819	366.220	365.075	104.039	471.779	298.139
78	0.77000	207.938	-42.067	338.866	204.258	-49.230	604.188	178.337	155.803	540.320	145.971	368.299	369.554	105.393	475.325	304.772
79	0.78000	208.020	-42.074	338.886	204.333	-49.436	604.158	178.977	155.184	541.057	147.057	370.322	374.123	106.802	478.718	311.434
80	0.79000	208.074	-42.079	338.921	204.394	-49.659	604.134	179.624	154.515	541.770	148.125	372.183	378.657	108.214	481.918	318.164
81	0.80000	208.121	-42.074	338.945	204.444	-49.848	604.103	180.278	153.839	542.483	149.235	373.906	383.139	109.736	484.977	324.886
82	0.81000	208.159	-42.059	338.969	204.486	-50.028	604.091	180.960	153.158	543.213	150.391	375.556	387.607	111.370	487.961	331.602
83	0.82000	208.228	-42.018	339.024	204.509	-50.201	604.064	181.583	152.448	543.928	151.578	377.083	392.031	113.163	490.790	338.294
84	0.83000	208.228	-42.018	339.039	204.531	-50.375	604.047	182.189	151.746	544.644	152.852	378.536	396.457	115.052	493.520	344.939
85	0.84000	208.247	-42.010	339.049	204.540	-50.544	604.026	182.827	151.043	545.379	154.195	379.916	400.840	117.025	496.117	351.576
86	0.85000	208.269	-41.975	339.095	204.558	-50.706	604.022	183.413	150.357	546.137	155.587	381.230	405.228	119.054	498.579	358.205
87	0.86000	208.283	-41.929	339.140	204.548	-50.871	603.994	183.979	149.676	546.880	156.997	382.464	409.591	121.185	500.972	364.793
88	0.87000	208.318	-41.846	339.189	204.521	-51.013	603.983	184.602	149.001	547.637	158.388	383.621	413.974	123.223	503.152	371.434
89	0.88000	208.308	-41.770	339.245	204.490	-51.158	603.976	185.240	148.308	548.354	159.738	384.743	418.388	125.194	505.183	378.055
90	0.89000	208.308	-41.674	339.283	204.444	-51.307	603.959	185.838	147.559	549.030	161.066	385.766	422.815	127.223	507.126	384.654
91	0.90000	208.328	-41.572	339.348	204.411	-51.451	603.957	186.498	146.839	549.715	162.413	386.768	427.244	129.275	508.987	391.226
92	0.91000	208.344	-41.498	339.378	204.369	-51.589	603.956	187.082	146.102	550.403	163.777	387.695	431.693	131.380	510.747	397.793
93	0.92000	208.338	-41.460	339.421	204.324	-51.739	603.950	187.612	145.361	551.120	165.170	388.628	436.137	133.560	512.440	404.338
94	0.93000	208.356	-41.386	339.480	204.257	-51.862	603.931	188.116	144.683	551.865	166.564	389.475	440.595	135.745	514.039	410.857
95	0.94000	208.369	-41.340	339.522	204.196	-52.008	603.889	188.624	144.023	552.606	167.960	390.302	445.057	137.980	515.580	417.363
96	0.95000	208.357	-41.293	339.561	204.135	-52.141	603.859	189.113	143.382	553.327	169.351	391.084	449.529	140.206	517.014	423.876
97	0.96000	208.363	-41.237	339.606	204.059	-52.280	603.825	189.549	142.744	554.030	170.723	391.837	454.005	142.399	518.327	430.351
98	0.97000	208.377	-41.191	339.663	203.976	-52.399	603.804	189.982	142.108	554.724	172.076	392.492	458.484	144.593	519.564	436.839
99	0.98000	208.391	-41.146	339.723	203.874	-52.524	603.785	190.440	141.478	555.429	173.403	393.095	462.954	146.733	520.672	443.270
100	0.99000	208.425	-41.093	339.782	203.793	-52.623	603.774	190.906	140.869	556.136	174.712	393.630	467.404	148.862	521.702	449.692
101	1.00000	208.458	-41.040	339.852	203.693	-52.729	603.766	191.324	140.237	556.827	176.027	394.129	471.824	150.999	522.616	456.063
102	1.01000	208.481	-41.005	339.912	203.592	-52.814	603.750	191.741	139.626	557.506	177.384	394.538	476.212	153.156	523.425	462.400
103	1.02000	208.495	-40.960	339.971	203.467	-52.904	603.741	192.127	139.003	558.157	178.745	394.901	480.550	155.297	524.134	468.679
104	1.03000	208.548	-40.899	340.063	203.323	-52.970	603.747	192.532	138.379	558.820	180.100	395.183	484.848	157.480	524.743	474.949
105	1.04000	208.573	-40.836	340.121	203.174	-53.023	603.751	192.961	137.779	559.489	181.443	395.395	489.073	159.637	525.228	481.165
106	1.05000	208.618	-40.765	340.201	203.034	-53.069	603.772	193.404	137.200	560.146	182.803	395.531	493.278	161.753	525.618	487.334
107	1.06000	208.635	-40.691	340.257	202.894	-53.092	603.777	193.870	136.596	560.755	184.134	395.640	497.442	163.866	525.919	493.451
108	1.07000	208.671	-40.610	340.336	202.770	-53.119	603.783	194.338	136.015	561.378	185.466	395.641	501.537	165.972	526.112	499.519
109	1.08000	208.719	-40.511	340.429	202.661	-53.139	603.799	194.830	135.410	561.980	186.783	395.625	505.593	168.056	526.231	505.513
110	1.09000	208.725	-40.455	340.486	202.540	-53.155	603.808	195.347	134.802	562.546	188.109	395.573	509.611	170.125	526.276	511.462
111	1.10000	208.741	-40.381	340.564	202.414	-53.184	603.824	195.877	134.214	563.095	189.389	395.446	513.586	172.139	526.219	517.357
112	1.11000	208.748	-40.326	340.626	202.297	-53.223	603.823	196.406	133.629	563.612	190.662	395.312	517.535	174.029	526.123	523.217
113	1.12000	208.744	-40.289	340.687	202.178	-53.262	603.828	196.933	133.074	564.117	191.841	395.151	521.474	175.852	525.963	529.065
114	1.13000	208.777	-40.236	340.746	202.067	-53.324	603.815	197.457	132.526	564.622	192.967	394.979	525.437	177.611	525.734	534.882
115	1.14000	208.789	-40.220	340.799	201.975	-53.355	603.832	197.963	132.004	565.120	193.995	394.751	529.384	179.262	525.408	540.679
116	1.15000	208.799	-40.232	340.830	201.897	-53.425	603.821	198.216	131.523	565.079	194.957	394.480	533.292	180.850	525.065	546.423
117	1.16000	208.839	-40.218	340.897	201.829	-53.484	603.822	198.550	130.978	565.490	195.880	394.193	537.208	182.381	524.621	552.127
118	1.17000	208.837	-40.248	340.941	201.777	-53.547	603.831	198.876	130.444	565.877	196.731	393.849	541.069	183.828	524.140	557.776
119	1.18000	208.874	-40.263	340.987	201.737	-53.615	603.841	199.240	129.947	566.286	197.527	393.499	544.903	185.208	523.614	563.362
120	1.19000	208.919	-40.288	341.032	201.704	-53.672	603.853	199.580	129.456	566.665	198.253	393.147	548.759	186.478	523.055	568.935
121	1.20000	208.969	-40.351	341.079	201.671	-53.728	603.871	199.905	128.961	567.056	198.919	392.782	552.619	187.621	522.478	574.474
122	1.21000	209.000	-40.422	341.105	201.681	-53.798	603.883	200.266	128.501	567.450	199.455	392.388	556.505	188.616	521.842	580.007
123	1.22000	209.069	-40.477	341.137	201.689	-53.863	603.887	200.627	128.044	567.849	199.919	391.992	560.424	189.439	521.143	585.537
124	1.23000	209.107	-40.557	341.145	201.693	-53.928	603.889	200.972	127.582	568.229	200.291	391.585	564.333	190.121	520.415	591.034
125	1.24000	209.146	-40.638	341.146	201.728	-53.980	603.902	201.320	127.144	568.612	200.623	391.158	568.201	190.721	519.642	596.461
126	1.25000	209.196	-40.700	341.164	201.770	-54.031	603.906	201.668	126.728	568.994	200.927	390.707	572.064	191.197	518.829	601.814
127	1.26000	209.275	-40.736	341.177	201.813	-54.105	603.919	202.009	126.333	569.372	201.164	390.238	575.887	191.573	517.971	607.079
128	1.27000	209.332	-40.808	341.173	201.877	-54.159	603.935	202.338	125.958	569.743	201.601	390.014	579.303	191.841	517.095	612.280
129	1.28000	209.438	-40.846	341.208	201.936	-54.225	603.937	202.649	125.602	570.104	201.562	389.515	582.864	191.966	516.202	617.398
130	1.29000	209.572	-40.886	341.234	202.000	-54.315	603.937	202.938	125.265	570.452	201.445	389.026	586.322	191.950	515.281	622.401
131	1.30000	209.696	-40.916	341.264	202.086	-54.386	603.950	203.261	124.967	570.771	201.225	388.530	589.695	191.785	514.357	627.307
132	1.31000	209.829	-40.955	341.284	202.168	-54.468	603.959	203.524	124.703	571.038	200.975	388.037	592.980	191.474	513.394	632.103
133	1.32000	209.899	-41.075	341.256	202.268	-54.532	603.982	203.789	124.472	571.245	200.608	387.535	596.185	191.018	512.398	636.761
134	1.33000	210.019	-41.162	341.259	202.366	-54.586	604.015	203.976	124.269	571.406	200.162	387.048	599.263	190.409	511.408	641.326
135	1.34000	210.206	-41.206	341.303	202.485	-54.612	604.047	204.247	124.154	571.592	199.681	386.583	602.208	189.651	510.412	645.761
136	1.35000	210.393	-41.250	341.320	202.608	-54.640	604.067	204.430	124.051	571.750	199.114	386.111	605.016	188.772	509.393	650.076
137	1.36000	210.562	-41.303	341.342	202.760	-54.624	604.084	204.584	123.964	571.898	198.522	385.671	607.696	187.741	508.332	654.286
138	1.37000	210.697	-41.409	341.331	202.923	-54.588	604.095	204.752	123.918	572.082	197.835	385.245	610.233	186.568	507.241	658.545
139	1.38000	210.870	-41.499	341.318	203.063	-54.554	604.107	204.950	123.856	572.274	197.043	384.856	612.719	186.280	506.587	662.528
140	1.39000	211.076	-41.535	341.346	203.209	-54.508	604.133	205.150	123.822	572.414	196.109	384.443	615.074	184.856	505.620	666.327
141	1.40000	211.243	-41.586	341.358	203.381	-54.477	604.153	205.371	123.790	572.483	195.055	384.096	617.385	182.865	504.537	669.973
142	1.41000	211.405	-41.598	341.372	203.562	-54.433	604.174	205.650	123.795	572.513	193.941	383.753	619.583	180.877	503.531	673.498
143	1.42000	211.556	-41.629	341.374	203.766	-54.394	604.188	205.934	123.826	572.548	192.662	383.401	621.691	178.756	502.521	676.885
144	1.43000	211.737	-41.633	341.358	203.995	-54.330	604.202	206.130	123.865	572.584	191.359	383.077	623.759	176.466	501.480	680.130
145	1.44000	211.921	-41.609	341.378	204.203	-54.266	604.194	206.315	123.922	572.659	189.904	382.747	625.727	174.062	500.492	683.240
146	1.45000	212.103	-41.584	341.391	204.417	-54.190	604.199	206.503	124.003	572.752	188.376	382.448	627.627	171.550	499.539	686.260
147	1.46000	212.251	-41.547	341.397	204.667	-54.095	604.192	206.661	124.102	572.824	186.707	382.155	629.462	168.839	498.594	689.146
148	1.47000	212.366	-41.564	341.371	204.906	-53.998	604.180	206.805	124.225	572.857	184.903	381.888	631.259	166.008	497.679	691.908
149	1.48000	212.503	-41.545	341.356	205.163	-53.897	604.184	206.954	124.403	572.853	183.024	381.653	632.965	163.031	496.778	694.533
150	1.49000	212.669	-41.500	341.355	205.391	-53.813	604.180	207.066	124.606	572.855	181.082	381.428	634.627	159.957	495.914	697.003
151	1.50000	212.861	-41.455	341.335	205.627	-53.711	604.179	207.122	124.802	572.852	179.014	381.210	636.146	156.733	495.038	699.295
152	1.51000	213.019	-41.399	341.334	205.891	-53.588	604.187	207.190	125.073	572.905	176.860	380.981	637.541	153.451	494.199	701.441
153	1.52000	213.157	-41.350	341.306	206.139	-53.435	604.190	207.158	125.308	572.982	174.649	380.775	638.860	150.083	493.362	703.453
154	1.53000	213.309	-41.255	341.297	206.338	-53.260	604.187	207.110	125.539	573.050	172.384	380.589	640.148	146.615	492.555	705.329
155	1.54000	213.412	-41.194	341.272	206.519	-53.116	604.182	207.069	125.823	573.119	169.982	380.398	641.278	143.061	491.788	707.047
156	1.55000	213.552	-41.117	341.239	206.722	-52.958	604.198	206.960	126.087	573.148	167.485	380.214	642.335	139.411	491.043	708.627
157	1.56000	213.695	-41.011	341.229	206.911	-52.811	604.217	206.866	126.392	573.214	164.957	380.065	643.259	135.701	490.335	709.988
158	1.57000	213.850	-40.888	341.233	207.095	-52.675	604.261	206.725	126.704	573.274	162.391	379.934	644.098	131.881	489.646	711.154
159	1.58000	214.004	-40.765	341.231	207.234	-52.555	604.291	206.568	127.011	573.345	159.744	379.778	644.760	127.988	488.993	712.119
160	1.59000	214.176	-40.632	341.224	207.383	-52.483	604.334	206.417	127.310	573.394	157.066	379.662	645.276	124.051	488.369	712.867
161	1.60000	214.340	-40.489	341.215	207.583	-52.397	604.357	206.204	127.612	573.447	154.371	379.588	645.640	120.027	487.769	713.399
162	1.61000	214.482	-40.383	341.188	207.780	-52.322	604.382	206.046	127.919	573.500	151.587	379.460	645.844	115.969	487.210	713.718
163	1.62000	214.644	-40.269	341.161	207.988	-52.242	604.395	205.773	128.190	573.537	148.819	379.415	645.921	111.836	486.677	713.820
164	1.63000	214.748	-40.178	341.114	208.179	-52.203	604.403	205.592	128.504	573.570	145.965	379.344	645.810	109.881	486.599	714.824
165	1.64000	214.900	-40.083	341.082	209.005	-51.797	604.577	205.383	128.802	573.557	143.137	379.330	645.527	104.583	485.941	713.989
166	1.65000	215.012	-40.003	341.036	209.231	-51.803	604.576	205.216	129.132	573.468	140.285	379.337	645.058	99.408	485.365	712.877
167	1.66000	215.111	-39.969	340.959	209.500	-51.803	604.576	204.979	129.449	573.272	137.398	379.308	644.384	95.107	485.094	711.671
168	1.67000	215.250	-39.890	340.897	209.804	-51.788	604.555	204.747	129.790	573.097	134.523	379.330	643.536	90.903	484.779	710.508
169	1.68000	215.387	-39.839	340.826	210.116	-51.754	604.503	204.518	130.157	572.929	131.660	379.351	642.544	86.661	484.509	709.116
170	1.69000	215.516	-39.779	340.757	210.419	-51.710	604.427	204.349	130.492	572.777	128.763	379.419	641.359	82.419	484.288	707.478
171	1.70000	215.632	-39.766	340.683	210.084	-52.052	604.144	204.224	130.791	572.640	125.866	379.526	640.000	78.265	484.191	705.593
172	1.71000	215.740	-39.742	340.598	210.480	-51.998	604.123	204.160	131.090	572.460	123.038	379.697	638.450	74.113	484.200	703.424
173	1.72000	215.847	-39.719	340.535	210.787	-52.011	604.039	204.208	131.438	572.137	120.251	379.968	636.699	70.114	484.305	701.000
174	1.73000	215.917	-39.711	340.441	211.101	-52.027	603.958	204.345	131.873	571.756	117.484	380.264	634.698	66.179	484.508	698.308
175	1.74000	216.035	-39.669	340.362	211.484	-51.983	603.910	204.432	132.361	571.152	114.844	380.564	632.522	62.452	484.734	695.434
176	1.75000	216.114	-39.642	340.258	211.827	-51.923	603.833	204.453	132.862	570.439	114.955	381.596	631.215	58.836	484.938	692.398
177	1.76000	216.254	-39.563	340.174	212.130	-51.799	603.758	204.402	133.379	569.834	111.790	381.654	628.574	55.253	485.089	689.271
178	1.77000	216.360	-39.539	340.108	212.472	-51.600	603.680	204.336	133.881	569.329	108.790	381.727	625.900	51.755	485.280	686.054
179	1.78000	216.460	-39.505	340.045	212.803	-51.400	603.612	204.080	134.189	569.024	105.862	381.868	623.161	47.259	485.297	682.351
180	1.79000	216.577	-39.493	339.992	213.047	-51.276	603.538	204.007	134.589	568.546	102.978	382.109	620.301	43.901	485.600	678.836
181	1.80000	216.696	-39.452	339.942	213.310	-51.170	603.507	203.929	134.966	568.075	100.202	382.363	617.334	40.611	485.948	675.149
182	1.81000	216.796	-39.419	339.882	213.556	-51.125	603.488	203.865	135.371	567.593	97.608	382.637	614.302	37.420	486.301	671.320
183	1.82000	216.896	-39.386	339.822	213.806	-51.082	603.495	203.736	135.811	567.080	95.118	382.905	611.289	34.280	486.631	667.425
184	1.83000	216.955	-39.397	339.744	214.021	-51.027	603.475	203.502	136.294	566.623	92.787	383.116	608.309	31.207	486.918	663.488
185	1.84000	217.043	-39.382	339.671	214.200	-50.964	603.427	203.260	136.792	566.172	90.586	383.346	605.365	28.199	487.191	659.522
186	1.85000	217.121	-39.385	339.592	214.439	-50.813	603.375	203.036	137.236	565.757	88.506	383.585	602.463	25.239	487.467	655.551
187	1.86000	217.199	-39.387	339.524	214.626	-50.648	603.312	202.851	137.703	565.432	86.542	383.815	599.570	22.377	487.710	651.511
