NO_OF_FRAMES	2000
NO_OF_CAMERAS	3
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-06-25, 17:14:46.187	235447.77361420
DATA_INCLUDED	3D
MARKER_NAMES	T8	C7	ACR	LEL	MUA
Frame	Time	T8 X	T8 Y	T8 Z	C7 X	C7 Y	C7 Z	ACR X	ACR Y	ACR Z	LEL X	LEL Y	LEL Z	MUA X	MUA Y	MUA Z	
1	0.00000	202.298	-37.670	336.469	209.839	-33.806	600.984	154.276	186.178	520.318	154.571	230.395	224.929	133.832	245.590	98.151
2	0.01000	202.249	-37.988	336.343	210.136	-34.024	600.793	154.203	186.080	520.601	153.872	231.894	225.331	132.329	246.958	98.749
3	0.02000	202.208	-38.225	336.241	210.335	-34.048	600.662	153.988	186.166	520.863	152.704	233.188	225.981	130.719	247.989	99.367
4	0.03000	202.198	-38.408	336.142	210.447	-33.941	600.594	153.694	186.345	521.103	151.970	234.326	226.490	129.415	248.620	99.852
5	0.04000	202.183	-38.550	336.059	210.530	-33.749	600.609	153.392	186.544	521.338	151.708	235.203	226.771	128.649	248.959	100.139
6	0.05000	202.217	-38.660	336.012	210.585	-33.565	600.655	153.158	186.616	521.534	151.496	235.642	226.861	128.373	249.002	100.193
7	0.06000	202.234	-38.776	335.987	210.630	-33.439	600.692	152.963	186.725	521.538	151.254	235.622	226.829	128.267	248.730	100.064
8	0.07000	202.275	-38.831	336.015	210.654	-33.403	600.677	152.655	186.946	521.408	150.972	235.246	226.663	128.174	248.169	99.821
9	0.08000	202.284	-38.887	336.080	210.670	-33.328	600.685	152.297	187.318	521.193	150.495	234.552	226.317	128.053	247.494	99.520
10	0.09000	202.302	-38.880	336.105	210.677	-33.242	600.655	151.905	187.668	520.881	149.840	233.581	225.876	127.888	246.567	99.197
11	0.10000	202.292	-38.871	336.104	210.653	-33.107	600.632	151.558	187.927	520.573	149.115	232.527	225.388	127.740	245.593	98.799
12	0.11000	202.253	-38.889	336.077	210.605	-32.927	600.621	151.367	188.139	520.263	148.517	231.535	224.909	127.774	244.717	98.403
13	0.12000	202.214	-38.906	336.059	210.535	-32.743	600.615	151.280	188.297	519.974	148.173	230.722	224.468	127.892	244.014	98.034
14	0.13000	202.168	-38.914	336.070	210.452	-32.596	600.607	151.240	188.377	519.710	148.124	230.179	224.128	128.128	243.539	97.707
15	0.14000	202.119	-38.949	336.091	210.353	-32.532	600.601	151.273	188.360	519.480	148.369	229.891	223.891	128.448	243.306	97.439
16	0.15000	202.033	-39.003	336.093	210.247	-32.516	600.609	151.435	188.250	519.308	148.751	229.822	223.751	128.733	243.251	97.266
17	0.16000	201.952	-39.095	336.105	210.141	-32.575	600.615	151.713	188.083	519.195	149.202	229.972	223.694	128.970	243.388	97.215
18	0.17000	201.853	-39.195	336.111	210.038	-32.657	600.614	152.088	187.831	519.144	149.726	230.281	223.762	129.146	243.629	97.234
19	0.18000	201.801	-39.290	336.140	209.954	-32.765	600.616	152.470	187.526	519.159	150.184	230.673	223.856	129.226	243.954	97.324
20	0.19000	201.747	-39.384	336.151	209.893	-32.869	600.613	152.855	187.278	519.215	150.592	231.142	224.022	129.276	244.351	97.467
21	0.20000	201.637	-39.502	336.132	209.822	-33.024	600.617	153.180	187.055	519.278	150.956	231.601	224.217	129.324	244.716	97.617
22	0.21000	201.606	-39.560	336.152	209.778	-33.170	600.627	153.418	186.893	519.335	151.272	232.037	224.429	129.430	245.096	97.786
23	0.22000	201.535	-39.632	336.146	209.737	-33.309	600.625	153.564	186.780	519.359	151.499	232.395	224.594	129.598	245.401	97.927
24	0.23000	201.506	-39.660	336.158	209.695	-33.421	600.627	153.644	186.713	519.350	151.729	232.661	224.744	129.793	245.644	98.050
25	0.24000	201.447	-39.713	336.169	209.657	-33.507	600.634	153.664	186.669	519.327	151.877	232.870	224.855	129.970	245.827	98.106
26	0.25000	201.391	-39.739	336.171	209.625	-33.573	600.645	153.647	186.640	519.300	151.958	232.983	224.916	130.139	245.956	98.143
27	0.26000	201.402	-39.722	336.197	209.583	-33.596	600.665	153.583	186.617	519.254	151.998	233.031	224.949	130.295	246.038	98.179
28	0.27000	201.393	-39.712	336.197	209.525	-33.646	600.682	153.505	186.579	519.195	151.974	233.026	224.960	130.404	246.074	98.169
29	0.28000	201.424	-39.687	336.233	209.475	-33.671	600.720	153.421	186.545	519.135	151.923	232.997	224.958	130.457	246.080	98.155
30	0.29000	201.424	-39.688	336.248	209.405	-33.707	600.752	153.327	186.499	519.053	151.818	232.982	224.949	130.434	246.092	98.123
31	0.30000	201.470	-39.682	336.269	209.343	-33.759	600.785	153.234	186.447	518.978	151.683	232.982	224.928	130.285	246.082	98.069
32	0.31000	201.506	-39.697	336.297	209.290	-33.811	600.831	153.160	186.380	518.924	151.476	232.990	224.912	130.047	246.094	98.066
33	0.32000	201.569	-39.712	336.322	209.249	-33.868	600.866	153.111	186.319	518.895	151.206	233.020	224.914	129.745	246.102	98.079
34	0.33000	201.634	-39.700	336.356	209.219	-33.948	600.891	153.070	186.240	518.915	150.920	233.067	224.966	129.393	246.135	98.119
35	0.34000	201.716	-39.707	336.376	209.208	-34.042	600.921	153.067	186.158	518.958	150.628	233.116	225.029	129.037	246.182	98.159
36	0.35000	201.809	-39.698	336.424	209.199	-34.148	600.943	153.065	186.053	519.011	150.295	233.191	225.081	128.708	246.258	98.204
37	0.36000	201.833	-39.729	336.414	209.201	-34.256	600.976	153.082	185.961	519.072	150.030	233.316	225.190	128.384	246.364	98.255
38	0.37000	201.936	-39.699	336.465	209.195	-34.366	601.025	153.078	185.888	519.121	149.771	233.463	225.288	128.043	246.502	98.359
39	0.38000	201.990	-39.704	336.471	209.194	-34.475	601.067	153.060	185.790	519.159	149.516	233.621	225.387	127.704	246.642	98.439
40	0.39000	202.044	-39.709	336.470	209.179	-34.588	601.097	153.060	185.714	519.187	149.248	233.794	225.494	127.343	246.809	98.497
41	0.40000	202.081	-39.692	336.473	209.185	-34.706	601.112	153.049	185.657	519.199	148.984	233.990	225.573	127.027	246.990	98.585
42	0.41000	202.138	-39.667	336.475	209.208	-34.787	601.123	153.031	185.612	519.208	148.736	234.202	225.674	126.703	247.174	98.699
43	0.42000	202.194	-39.643	336.492	209.247	-34.877	601.122	153.011	185.556	519.221	148.511	234.431	225.773	126.379	247.345	98.809
44	0.43000	202.231	-39.626	336.484	209.304	-34.943	601.112	153.007	185.504	519.232	148.329	234.659	225.890	126.074	247.513	98.879
45	0.44000	202.250	-39.617	336.466	209.349	-35.014	601.102	153.010	185.462	519.251	148.158	234.899	226.006	125.809	247.689	98.960
46	0.45000	202.279	-39.591	336.458	209.399	-35.036	601.107	152.996	185.406	519.258	148.014	235.132	226.113	125.550	247.846	99.053
47	0.46000	202.319	-39.546	336.474	209.432	-35.085	601.108	152.997	185.353	519.269	147.891	235.367	226.231	125.291	248.020	99.144
48	0.47000	202.340	-39.509	336.466	209.454	-35.120	601.125	153.011	185.306	519.270	147.747	235.579	226.330	125.010	248.157	99.198
49	0.48000	202.389	-39.474	336.479	209.492	-35.153	601.141	153.025	185.220	519.211	147.587	235.744	226.419	124.754	248.313	99.230
50	0.49000	202.410	-39.437	336.485	209.523	-35.181	601.154	153.080	185.149	519.097	147.440	235.920	226.506	124.514	248.482	99.284
51	0.50000	202.428	-39.428	336.478	209.556	-35.196	601.154	153.080	185.105	518.996	147.260	236.080	226.546	124.284	248.595	99.303
52	0.51000	202.457	-39.401	336.491	209.577	-35.212	601.154	153.055	185.071	518.896	147.080	236.244	226.593	124.013	248.682	99.304
53	0.52000	202.495	-39.386	336.479	209.606	-35.215	601.156	153.041	185.026	518.817	146.931	236.397	226.619	123.740	248.741	99.317
54	0.53000	202.544	-39.351	336.492	209.625	-35.243	601.149	153.019	184.986	518.757	146.793	236.554	226.645	123.494	248.840	99.374
55	0.54000	202.589	-39.345	336.498	209.648	-35.277	601.158	153.003	184.948	518.706	146.704	236.702	226.689	123.276	248.946	99.423
56	0.55000	202.627	-39.329	336.493	209.676	-35.327	601.165	153.006	184.890	518.668	146.630	236.841	226.730	123.125	249.049	99.461
57	0.56000	202.673	-39.323	336.488	209.692	-35.351	601.185	153.008	184.850	518.659	146.608	236.990	226.784	123.006	249.166	99.500
58	0.57000	202.718	-39.316	336.491	209.722	-35.402	601.203	153.011	184.812	518.648	146.600	237.155	226.853	122.901	249.283	99.538
59	0.58000	202.783	-39.302	336.497	209.762	-35.441	601.214	153.011	184.750	518.642	146.600	237.302	226.934	122.780	249.383	99.582
60	0.59000	202.847	-39.288	336.477	209.832	-35.466	601.219	153.032	184.683	518.626	146.560	237.444	227.032	122.634	249.480	99.654
61	0.60000	202.893	-39.281	336.469	209.885	-35.509	601.211	153.027	184.618	518.613	146.481	237.573	227.124	122.439	249.537	99.744
62	0.61000	202.960	-39.239	336.470	209.945	-35.532	601.218	153.022	184.580	518.597	146.357	237.704	227.224	122.154	249.592	99.857
63	0.62000	203.016	-39.214	336.457	210.003	-35.557	601.224	153.009	184.516	518.565	146.243	237.847	227.309	121.819	249.663	99.941
64	0.63000	203.094	-39.152	336.465	210.061	-35.571	601.243	153.036	184.475	518.500	146.036	237.996	227.361	121.441	249.735	99.982
65	0.64000	203.168	-39.118	336.460	210.105	-35.580	601.253	153.084	184.456	518.410	145.768	238.139	227.379	121.008	249.781	100.013
66	0.65000	203.243	-39.085	336.446	210.178	-35.575	601.266	153.115	184.413	518.302	145.453	238.326	227.402	120.514	249.839	100.049
67	0.66000	203.345	-39.054	336.440	210.260	-35.592	601.272	153.170	184.367	518.160	145.115	238.515	227.429	119.986	249.924	100.095
68	0.67000	203.406	-39.067	336.407	210.352	-35.603	601.257	153.223	184.334	517.996	144.699	238.686	227.435	119.471	250.055	100.149
69	0.68000	203.478	-39.062	336.395	210.450	-35.624	601.218	153.250	184.301	517.818	144.314	238.888	227.458	118.944	250.210	100.235
70	0.69000	203.558	-39.068	336.371	210.538	-35.629	601.199	153.261	184.250	517.596	143.969	239.138	227.513	118.396	250.393	100.276
71	0.70000	203.657	-39.066	336.362	210.625	-35.630	601.190	153.266	184.201	517.346	143.611	239.396	227.537	117.907	250.698	100.329
72	0.71000	203.745	-39.082	336.338	210.683	-35.632	601.210	153.242	184.177	517.076	143.217	239.705	227.547	117.333	251.005	100.323
73	0.72000	203.842	-39.109	336.333	210.736	-35.636	601.234	153.201	184.142	516.821	142.823	240.049	227.559	116.765	251.377	100.342
74	0.73000	203.978	-39.120	336.359	210.786	-35.629	601.274	153.166	184.118	516.595	142.357	240.402	227.568	116.080	251.727	100.342
75	0.74000	204.132	-39.123	336.384	210.839	-35.620	601.311	153.140	184.086	516.416	141.802	240.752	227.577	115.337	252.031	100.405
76	0.75000	204.256	-39.153	336.414	210.900	-35.646	601.323	153.103	184.041	516.218	141.210	241.071	227.632	114.081	252.472	100.297
77	0.76000	204.365	-39.162	336.419	210.973	-35.657	601.333	153.081	184.006	516.063	140.632	241.409	227.729	113.280	252.795	100.470
78	0.77000	204.462	-39.188	336.413	211.026	-35.689	601.328	153.051	183.939	515.896	140.072	241.739	227.810	112.516	253.132	100.645
79	0.78000	204.589	-39.189	336.428	211.077	-35.720	601.327	153.005	183.890	515.718	139.609	242.115	227.916	0.000	0.000	0.000
80	0.79000	204.735	-39.182	336.464	211.116	-35.707	601.358	152.932	183.817	515.484	139.186	242.528	228.023	0.000	0.000	0.000
81	0.80000	204.892	-39.158	336.499	211.127	-35.691	601.400	152.870	183.745	515.253	138.760	243.016	228.128	0.000	0.000	0.000
82	0.81000	205.019	-39.159	336.514	211.131	-35.666	601.456	152.801	183.695	515.003	138.249	243.517	228.188	0.000	0.000	0.000
83	0.82000	205.136	-39.178	336.534	211.118	-35.636	601.527	152.749	183.649	514.815	137.729	244.083	228.297	0.000	0.000	0.000
84	0.83000	205.241	-39.216	336.543	211.109	-35.619	601.602	152.680	183.600	514.613	137.110	244.652	228.409	0.000	0.000	0.000
85	0.84000	205.335	-39.271	336.539	211.111	-35.622	601.668	152.612	183.559	514.427	136.424	245.223	228.578	0.000	0.000	0.000
86	0.85000	205.430	-39.327	336.538	211.128	-35.631	601.706	152.568	183.523	514.257	135.731	245.837	228.786	0.000	0.000	0.000
87	0.86000	205.585	-39.332	336.570	211.154	-35.660	601.721	152.530	183.474	514.099	135.022	246.503	229.017	0.000	0.000	0.000
88	0.87000	205.759	-39.328	336.634	211.189	-35.659	601.748	152.486	183.389	513.923	134.407	247.301	229.329	0.000	0.000	0.000
89	0.88000	205.902	-39.350	336.660	211.192	-35.670	601.766	152.456	183.330	513.774	133.866	248.168	229.667	0.000	0.000	0.000
90	0.89000	206.009	-39.388	336.687	211.206	-35.656	601.819	152.443	183.275	513.655	133.316	249.152	230.040	0.000	0.000	0.000
91	0.90000	206.104	-39.445	336.689	211.208	-35.659	601.877	152.448	183.219	513.576	132.740	250.233	230.483	0.000	0.000	0.000
92	0.91000	206.210	-39.483	336.713	211.193	-35.658	601.962	152.485	183.143	513.517	132.175	251.416	230.976	0.000	0.000	0.000
93	0.92000	206.373	-39.498	336.770	211.193	-35.684	602.030	152.541	183.084	513.505	131.569	252.631	231.511	0.000	0.000	0.000
94	0.93000	206.488	-39.547	336.797	211.200	-35.710	602.092	152.616	183.015	513.516	131.029	253.947	232.114	0.000	0.000	0.000
95	0.94000	206.594	-39.585	336.821	211.221	-35.746	602.131	152.728	182.912	513.527	130.520	255.289	232.754	0.000	0.000	0.000
96	0.95000	206.697	-39.652	336.849	211.240	-35.816	602.159	152.869	182.807	513.589	130.062	256.720	233.429	0.000	0.000	0.000
97	0.96000	206.776	-39.688	336.862	211.266	-35.874	602.192	152.995	182.699	513.631	129.666	258.213	234.155	0.000	0.000	0.000
98	0.97000	206.894	-39.709	336.910	211.287	-35.944	602.212	153.137	182.595	513.672	129.307	259.719	234.914	0.000	0.000	0.000
99	0.98000	206.954	-39.753	336.913	211.302	-35.993	602.258	153.286	182.509	513.725	128.994	261.294	235.690	0.000	0.000	0.000
100	0.99000	207.070	-39.773	336.947	211.300	-36.036	602.301	153.436	182.374	513.743	128.697	262.847	236.487	0.000	0.000	0.000
101	1.00000	207.161	-39.791	336.984	211.295	-36.079	602.342	153.550	182.234	513.773	128.477	264.445	237.333	0.000	0.000	0.000
102	1.01000	207.232	-39.817	336.997	211.284	-36.123	602.372	153.689	182.139	513.815	128.275	266.094	238.221	0.000	0.000	0.000
103	1.02000	207.313	-39.824	337.043	211.279	-36.143	602.410	153.822	182.031	513.844	128.136	267.758	239.120	0.000	0.000	0.000
104	1.03000	207.357	-39.848	337.060	211.256	-36.141	602.450	153.977	181.960	513.880	128.067	269.479	240.070	87.471	291.465	119.065
105	1.04000	207.412	-39.854	337.110	211.227	-36.118	602.506	154.154	181.903	513.944	128.038	271.276	241.085	86.393	293.897	120.543
106	1.05000	207.468	-39.860	337.137	211.170	-36.079	602.566	154.359	181.756	513.995	128.020	273.100	242.135	85.315	296.305	122.043
107	1.06000	207.495	-39.863	337.161	211.104	-36.030	602.651	154.600	181.604	514.062	128.071	274.988	243.277	84.129	298.759	123.660
108	1.07000	207.504	-39.874	337.179	211.046	-35.979	602.733	154.881	181.477	514.143	128.090	276.923	244.460	82.844	301.258	125.391
109	1.08000	207.524	-39.867	337.207	210.988	-35.918	602.801	155.204	181.349	514.256	128.108	278.907	245.698	81.470	303.804	127.233
110	1.09000	207.541	-39.889	337.236	210.939	-35.890	602.866	155.618	181.189	514.390	128.065	280.910	246.987	80.016	306.395	129.182
111	1.10000	207.569	-39.893	337.264	210.919	-35.901	602.904	156.101	181.007	514.536	127.929	282.999	248.390	78.493	309.031	131.235
112	1.11000	207.575	-39.933	337.286	210.907	-35.955	602.915	156.628	180.827	514.703	127.705	285.076	249.835	76.908	311.713	133.388
113	1.12000	207.570	-39.990	337.295	210.914	-36.020	602.927	157.162	180.639	514.863	127.436	287.213	251.361	75.273	314.439	135.637
114	1.13000	207.574	-40.059	337.296	210.930	-36.118	602.929	157.715	180.479	515.042	127.113	289.378	252.925	73.596	317.210	137.979
115	1.14000	207.585	-40.136	337.280	210.949	-36.229	602.940	158.266	180.284	515.218	126.768	291.563	254.544	71.887	320.026	140.411
116	1.15000	207.615	-40.206	337.277	210.974	-36.339	602.965	158.760	180.079	515.403	126.404	293.812	256.211	70.156	322.886	142.928
117	1.16000	207.656	-40.258	337.281	211.016	-36.443	602.986	159.250	179.880	515.580	126.036	296.077	257.923	68.503	325.771	145.471
118	1.17000	207.680	-40.288	337.271	211.032	-36.521	603.033	159.658	179.709	515.721	125.645	298.388	259.671	66.865	328.808	148.088
119	1.18000	207.732	-40.321	337.259	211.035	-36.560	603.096	160.044	179.561	515.884	125.221	300.723	261.516	65.228	331.816	150.771
120	1.19000	207.764	-40.362	337.260	211.001	-36.566	603.168	160.396	179.440	516.108	124.722	303.087	263.414	63.524	334.937	153.591
121	1.20000	207.816	-40.396	337.276	210.967	-36.572	603.223	160.786	179.279	516.366	124.155	305.437	265.404	61.793	338.063	156.484
122	1.21000	207.841	-40.427	337.291	210.938	-36.599	603.277	161.157	179.097	516.650	123.525	307.810	267.481	60.044	341.277	159.493
123	1.22000	207.885	-40.451	337.308	210.905	-36.656	603.310	161.571	178.892	516.965	122.878	310.206	269.656	58.344	344.586	162.601
124	1.23000	207.880	-40.508	337.306	210.881	-36.723	603.349	162.031	178.658	517.270	122.250	312.702	271.973	56.707	347.925	165.787
125	1.24000	207.916	-40.522	337.345	210.842	-36.820	603.373	162.552	178.387	517.586	121.605	315.186	274.367	55.137	351.357	169.096
126	1.25000	207.944	-40.525	337.384	210.797	-36.919	603.407	163.167	178.061	517.929	121.048	317.728	276.885	53.642	354.885	172.543
127	1.26000	207.942	-40.555	337.392	210.749	-37.020	603.471	163.779	177.743	518.283	120.564	320.297	279.496	52.242	358.446	176.106
128	1.27000	207.949	-40.594	337.399	210.673	-37.113	603.534	164.350	177.381	518.683	120.207	322.926	282.213	50.971	362.093	179.802
129	1.28000	207.917	-40.649	337.387	210.582	-37.216	603.583	164.883	177.073	519.124	119.898	325.564	285.089	49.771	365.808	183.618
130	1.29000	207.925	-40.661	337.427	210.476	-37.266	603.609	165.387	176.722	519.593	119.625	328.257	288.056	48.722	369.560	187.570
131	1.30000	207.907	-40.670	337.434	210.370	-37.276	603.649	165.961	176.399	520.110	119.473	330.978	291.189	47.719	373.361	191.683
132	1.31000	207.862	-40.676	337.439	210.271	-37.267	603.695	166.573	176.011	520.637	119.427	333.727	294.444	46.863	377.219	195.975
133	1.32000	207.819	-40.654	337.457	210.136	-37.275	603.738	167.292	175.576	521.185	119.530	336.515	297.856	46.080	381.144	200.396
134	1.33000	207.738	-40.648	337.451	210.023	-37.326	603.757	168.030	175.124	521.716	119.759	339.381	301.402	45.452	385.087	205.004
135	1.34000	207.676	-40.633	337.453	209.915	-37.427	603.757	168.796	174.680	522.273	120.081	342.247	305.041	44.886	389.014	209.777
136	1.35000	207.633	-40.612	337.471	209.828	-37.568	603.754	169.588	174.214	522.862	120.500	345.146	308.843	44.355	392.929	214.795
137	1.36000	207.530	-40.642	337.446	209.722	-37.723	603.767	170.361	173.691	523.477	120.969	347.989	312.785	43.871	396.843	219.990
138	1.37000	207.477	-40.638	337.453	209.594	-37.885	603.780	171.148	173.203	524.141	121.500	350.808	316.888	43.461	400.704	225.420
139	1.38000	207.405	-40.643	337.463	209.457	-38.003	603.830	171.973	172.701	524.870	122.077	353.584	321.154	43.122	404.592	231.029
140	1.39000	207.340	-40.657	337.460	209.355	-38.089	603.859	172.814	172.161	525.620	122.737	356.359	325.570	42.851	408.480	236.865
141	1.40000	207.295	-40.664	337.457	209.259	-38.208	603.874	173.681	171.556	526.417	123.443	359.136	330.143	42.657	412.411	242.869
142	1.41000	207.252	-40.642	337.469	209.194	-38.351	603.867	174.526	170.948	527.251	124.211	361.920	334.906	42.587	416.318	249.119
143	1.42000	207.195	-40.666	337.464	209.130	-38.537	603.856	175.349	170.340	528.132	125.040	364.660	339.823	42.524	420.213	255.516
144	1.43000	207.179	-40.646	337.478	209.051	-38.758	603.858	176.151	169.717	529.079	125.914	367.378	344.923	42.560	424.021	262.117
145	1.44000	207.145	-40.635	337.485	208.965	-38.952	603.866	176.878	169.068	530.074	126.806	370.051	350.150	42.584	427.751	268.901
146	1.45000	207.132	-40.586	337.528	208.859	-39.138	603.881	177.614	168.420	531.113	127.756	372.624	355.544	42.777	431.405	275.871
147	1.46000	207.091	-40.535	337.539	208.749	-39.317	603.910	178.380	167.749	532.210	128.719	375.110	361.059	42.977	435.004	283.041
148	1.47000	207.073	-40.449	337.595	208.650	-39.478	603.938	179.175	167.010	533.335	129.714	377.502	366.704	43.267	438.567	290.324
149	1.48000	207.057	-40.333	337.646	208.535	-39.681	603.948	180.034	166.206	534.471	130.766	379.772	372.454	43.628	442.031	297.811
150	1.49000	207.003	-40.233	337.686	208.412	-39.870	603.957	180.907	165.328	535.600	131.857	381.999	378.345	44.048	445.431	305.427
151	1.50000	206.949	-40.133	337.717	208.285	-40.096	603.966	181.816	164.444	536.766	133.007	384.113	384.263	44.578	448.716	313.181
152	1.51000	206.884	-40.051	337.735	208.163	-40.310	603.956	182.667	163.544	537.928	134.248	386.151	390.350	45.191	451.909	321.061
153	1.52000	206.849	-39.943	337.773	208.049	-40.518	603.963	183.527	162.620	539.120	135.540	388.059	396.449	45.853	454.984	329.063
154	1.53000	206.806	-39.826	337.826	207.928	-40.716	603.959	184.366	161.712	540.353	136.855	389.856	402.668	46.589	457.903	337.180
155	1.54000	206.781	-39.699	337.871	207.797	-40.912	603.962	185.201	160.804	541.573	138.239	391.534	408.975	47.412	460.703	345.397
156	1.55000	206.733	-39.543	337.933	207.638	-41.089	603.966	186.053	159.840	542.792	139.703	393.122	415.361	48.296	463.352	353.737
157	1.56000	206.669	-39.366	338.018	207.454	-41.249	603.953	186.972	158.829	543.987	141.231	394.530	421.798	49.270	465.865	362.231
158	1.57000	206.537	-39.231	338.061	207.301	-41.418	603.940	187.958	157.732	545.105	142.842	395.864	428.296	50.930	468.031	370.886
159	1.58000	206.422	-39.087	338.098	207.165	-41.596	603.929	188.995	156.625	546.178	144.495	397.084	434.845	52.020	470.204	379.599
160	1.59000	206.339	-38.919	338.161	207.047	-41.762	603.916	190.059	155.517	547.257	146.256	398.143	441.438	53.236	472.241	388.396
161	1.60000	206.263	-38.760	338.222	206.927	-41.919	603.909	191.032	154.328	548.304	148.052	399.103	448.024	54.495	474.083	397.233
162	1.61000	206.128	-38.653	338.245	206.803	-42.104	603.904	191.951	153.258	549.438	149.906	399.879	454.603	55.833	475.767	406.128
163	1.62000	205.983	-38.565	338.261	206.652	-42.274	603.902	192.796	152.177	550.602	151.775	400.552	461.173	57.265	477.340	415.021
164	1.63000	205.856	-38.469	338.284	206.488	-42.425	603.888	193.632	151.101	551.752	153.702	401.112	467.732	58.774	478.743	423.962
165	1.64000	205.751	-38.336	338.327	206.360	-42.575	603.880	194.483	150.034	552.855	155.622	401.520	474.284	60.335	480.006	432.910
166	1.65000	205.660	-38.157	338.390	206.230	-42.708	603.879	195.338	148.895	553.917	157.563	401.785	480.787	61.916	481.060	441.882
167	1.66000	205.517	-38.040	338.424	206.095	-42.857	603.864	196.261	147.782	554.976	159.509	401.941	487.243	63.532	481.989	450.851
168	1.67000	205.374	-37.923	338.447	205.952	-43.026	603.847	197.127	146.615	555.981	161.417	401.939	493.662	65.192	482.723	459.798
169	1.68000	205.317	-37.756	338.517	205.812	-43.219	603.841	198.043	145.478	556.999	163.311	401.875	500.053	66.883	483.339	468.698
170	1.69000	205.242	-37.597	338.578	205.651	-43.436	603.831	198.919	144.380	558.044	165.208	401.649	506.320	68.575	483.797	477.528
171	1.70000	205.153	-37.485	338.610	205.525	-43.621	603.833	199.757	143.239	559.098	167.052	401.303	512.547	70.309	484.135	486.310
172	1.71000	205.064	-37.373	338.653	205.416	-43.771	603.848	200.597	142.174	560.191	168.896	400.846	518.702	72.052	484.303	495.005
173	1.72000	204.976	-37.260	338.697	205.283	-43.946	603.847	201.402	141.051	561.249	170.707	400.257	524.755	73.831	484.311	503.621
174	1.73000	204.895	-37.158	338.729	205.142	-44.074	603.858	202.205	139.917	562.304	172.494	399.526	530.755	75.612	484.180	512.164
175	1.74000	204.844	-37.030	338.779	204.979	-44.226	603.858	202.995	138.871	562.997	174.284	398.698	536.657	77.387	483.852	520.641
176	1.75000	204.815	-36.866	338.851	204.805	-44.369	603.863	203.624	137.672	563.904	176.024	397.757	542.496	79.167	483.387	529.013
177	1.76000	204.795	-36.712	338.935	204.638	-44.511	603.881	204.191	136.477	564.797	177.731	396.716	548.242	80.955	482.791	537.276
178	1.77000	204.706	-36.599	338.979	204.505	-44.633	603.889	204.769	135.300	565.704	179.435	395.630	553.925	82.728	482.046	545.436
179	1.78000	204.588	-36.513	339.005	204.382	-44.739	603.911	205.295	134.145	566.599	181.111	394.449	559.491	84.522	481.242	553.487
180	1.79000	204.491	-36.391	339.049	204.242	-44.838	603.950	205.828	132.983	567.465	182.753	393.212	564.997	86.319	480.306	561.401
181	1.80000	204.414	-36.260	339.091	204.111	-44.924	603.974	206.364	131.849	568.307	184.345	391.898	570.392	88.132	479.257	569.196
182	1.81000	204.376	-36.085	339.171	203.971	-44.988	603.997	206.818	130.693	569.119	185.942	390.524	575.698	89.964	478.110	576.865
