NO_OF_FRAMES	2000
NO_OF_CAMERAS	3
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-06-25, 17:09:22.221	235123.80709640
DATA_INCLUDED	3D
MARKER_NAMES	T8	C7	ACR	LEL	MUA
Frame	Time	T8 X	T8 Y	T8 Z	C7 X	C7 Y	C7 Z	ACR X	ACR Y	ACR Z	LEL X	LEL Y	LEL Z	MUA X	MUA Y	MUA Z	
1	0.00000	221.567	-35.774	337.644	228.146	-35.939	601.106	169.607	184.636	526.954	144.524	229.038	233.955	122.107	248.441	107.225
2	0.01000	221.541	-35.899	337.677	227.642	-35.761	601.486	169.456	184.338	526.006	144.461	229.046	233.791	121.932	248.861	107.043
3	0.02000	221.494	-36.058	337.712	227.150	-35.704	601.753	169.549	183.886	525.334	144.342	229.259	233.834	121.728	249.632	107.038
4	0.03000	221.427	-36.254	337.754	226.768	-35.785	601.900	169.867	183.312	524.802	144.074	229.632	234.040	121.424	250.742	107.193
5	0.04000	221.350	-36.473	337.816	226.523	-36.004	601.933	170.365	182.654	524.356	143.613	230.201	234.399	120.950	252.097	107.578
6	0.05000	221.316	-36.713	337.886	226.334	-36.349	601.898	170.925	181.958	523.983	142.964	230.979	234.944	120.187	253.794	108.159
7	0.06000	221.234	-36.986	337.920	226.142	-36.751	601.860	171.432	181.336	523.729	142.198	231.934	235.636	119.309	255.835	109.010
8	0.07000	221.203	-37.197	337.996	225.957	-37.128	601.909	171.822	180.702	523.605	141.446	233.212	236.494	118.312	258.313	110.097
9	0.08000	221.135	-37.443	338.118	225.729	-37.421	602.088	172.094	180.179	523.591	140.773	234.905	237.488	117.357	261.396	111.382
10	0.09000	221.025	-37.718	338.166	225.426	-37.727	602.286	172.281	179.572	523.690	140.190	236.943	238.646	116.421	264.918	112.924
11	0.10000	220.899	-37.972	338.199	225.142	-38.032	602.440	172.478	178.976	523.801	139.790	239.401	240.018	115.597	269.007	114.666
12	0.11000	220.782	-38.205	338.254	224.915	-38.370	602.573	172.730	178.355	523.972	139.421	242.223	241.538	114.880	273.621	116.631
13	0.12000	220.720	-38.349	338.339	224.663	-38.790	602.613	173.093	177.663	524.218	139.069	245.436	243.292	114.226	278.811	118.892
14	0.13000	220.596	-38.573	338.388	224.469	-39.250	602.638	173.553	176.905	524.464	138.752	248.945	245.263	113.588	284.438	121.408
15	0.14000	220.480	-38.808	338.419	224.320	-39.752	602.651	174.040	176.105	524.770	138.453	252.743	247.450	112.984	290.551	124.341
16	0.15000	220.351	-39.088	338.447	224.154	-40.259	602.700	174.498	175.284	525.131	138.180	256.832	249.902	112.382	297.084	127.584
17	0.16000	220.287	-39.354	338.495	223.932	-40.810	602.760	174.937	174.496	525.606	137.983	261.211	252.609	111.817	304.010	131.224
18	0.17000	220.205	-39.630	338.550	223.735	-41.329	602.813	175.365	173.689	526.179	137.816	265.806	255.603	111.254	311.246	135.270
19	0.18000	220.110	-39.953	338.617	223.486	-41.886	602.860	175.766	172.865	526.789	137.726	270.622	258.874	110.754	318.819	139.715
20	0.19000	220.003	-40.322	338.643	223.218	-42.431	602.926	176.236	172.050	527.511	137.680	275.587	262.439	110.266	326.629	144.563
