NO_OF_FRAMES	2000
NO_OF_CAMERAS	3
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-06-25, 16:44:59.669	233661.25553210
DATA_INCLUDED	3D
MARKER_NAMES	T8	C7	ACR	LEL	MUA
Frame	Time	T8 X	T8 Y	T8 Z	C7 X	C7 Y	C7 Z	ACR X	ACR Y	ACR Z	LEL X	LEL Y	LEL Z	MUA X	MUA Y	MUA Z	
1	0.00000	223.940	-21.642	336.707	215.482	-17.972	600.885	151.094	205.274	517.923	130.906	241.622	217.987	150.232	252.384	81.034
2	0.01000	223.827	-21.654	336.549	215.647	-17.783	600.832	150.802	205.349	518.236	130.486	244.008	218.877	148.628	256.456	80.144
3	0.02000	223.715	-21.542	336.397	215.712	-17.410	600.877	150.476	205.451	518.604	130.818	246.178	219.576	145.224	260.351	78.322
4	0.03000	223.640	-21.417	336.270	215.791	-17.008	600.953	150.423	205.398	518.938	131.556	247.906	220.185	141.022	264.384	76.127
5	0.04000	223.621	-21.300	336.210	215.942	-16.759	600.959	150.520	205.403	519.039	132.309	248.945	220.655	136.795	268.014	75.018
6	0.05000	223.597	-21.237	336.141	216.166	-16.765	600.860	150.498	205.493	518.983	132.867	249.318	220.963	133.316	270.701	76.455
7	0.06000	223.600	-21.177	336.082	216.450	-16.960	600.702	150.330	205.596	518.860	133.058	249.203	221.048	130.698	272.959	78.646
8	0.07000	223.593	-21.107	336.001	216.718	-17.173	600.512	150.089	205.786	518.669	132.890	248.585	220.914	128.567	273.049	80.795
9	0.08000	223.588	-21.035	335.937	216.968	-17.338	600.361	149.932	205.928	518.464	132.256	247.584	220.586	127.358	270.430	82.125
10	0.09000	223.542	-21.032	335.922	217.127	-17.321	600.331	149.940	206.070	518.236	131.373	246.450	220.163	126.578	267.331	82.123
11	0.10000	223.551	-20.985	335.897	217.232	-17.228	600.339	150.082	206.145	517.891	130.535	245.222	219.730	125.584	264.763	80.838
