NO_OF_FRAMES	2000
NO_OF_CAMERAS	3
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-06-25, 16:36:21.758	233143.34381120
DATA_INCLUDED	3D
MARKER_NAMES	T8	C7	ACR	LEL	MUA
Frame	Time	T8 X	T8 Y	T8 Z	C7 X	C7 Y	C7 Z	ACR X	ACR Y	ACR Z	LEL X	LEL Y	LEL Z	MUA X	MUA Y	MUA Z	
1	0.00000	220.980	-57.817	339.131	204.483	-59.127	603.724	142.935	160.009	527.994	116.167	296.148	280.971	112.028	377.979	159.620
2	0.01000	220.797	-57.562	339.075	204.354	-58.576	603.705	142.327	160.693	527.041	115.746	291.218	276.335	111.696	369.800	152.768
3	0.02000	220.715	-57.184	339.094	204.246	-57.974	603.689	141.694	161.432	526.193	115.371	286.135	271.719	111.429	361.368	146.076
4	0.03000	220.578	-56.919	339.052	204.096	-57.387	603.689	141.047	162.187	525.491	115.042	280.879	267.131	111.139	352.657	139.484
5	0.04000	220.492	-56.599	339.069	203.974	-56.827	603.695	140.507	162.927	524.874	114.678	275.438	262.575	110.856	343.717	133.044
6	0.05000	220.365	-56.322	339.054	203.827	-56.290	603.667	140.008	163.712	524.276	114.392	269.832	258.058	110.658	334.532	126.775
7	0.06000	220.207	-56.100	338.999	203.682	-55.721	603.610	139.568	164.527	523.693	114.190	264.087	253.628	110.594	325.085	120.722
8	0.07000	220.153	-55.722	339.050	203.532	-55.170	603.543	139.155	165.374	523.142	114.054	258.152	249.298	110.696	315.394	114.890
9	0.08000	219.980	-55.495	339.047	203.390	-54.591	603.482	138.777	166.235	522.556	114.035	252.100	245.094	110.934	305.377	109.421
10	0.09000	219.855	-55.190	339.027	203.261	-54.011	603.414	138.386	167.114	521.989	114.078	245.921	241.056	111.433	295.207	104.061
11	0.10000	219.787	-54.859	339.046	203.111	-53.418	603.352	138.009	167.986	521.451	114.171	239.675	237.189	112.104	284.823	98.899
12	0.11000	219.661	-54.583	339.033	202.977	-52.824	603.278	137.660	168.852	520.931	114.308	233.382	233.511	113.195	274.090	94.839
13	0.12000	219.563	-54.282	339.033	202.812	-52.225	603.217	137.288	169.751	520.491	114.419	227.103	230.018	113.876	263.348	90.200
14	0.13000	219.491	-54.012	339.061	202.650	-51.605	603.178	136.852	170.642	520.059	114.563	220.888	226.802	114.435	252.542	85.968
15	0.14000	219.395	-53.804	339.064	202.493	-50.973	603.158	136.365	171.568	519.647	114.677	214.796	223.844	114.723	241.758	82.128
16	0.15000	219.327	-53.601	339.079	202.317	-50.331	603.156	135.848	172.503	519.350	114.694	208.836	221.180	114.566	231.085	78.666
17	0.16000	219.208	-53.490	339.100	202.183	-49.717	603.180	135.296	173.357	519.145	114.477	202.991	219.189	114.062	221.645	76.363
18	0.17000	219.076	-53.426	339.129	202.073	-49.127	603.194	134.813	174.136	519.164	114.488	198.316	218.661	112.541	218.657	77.269
19	0.18000	218.979	-53.406	339.226	202.039	-48.639	603.178	134.761	174.718	519.219	115.111	195.715	218.860	111.852	218.700	79.215
20	0.19000	218.840	-53.614	339.354	202.126	-48.388	603.162	135.303	174.998	519.376	115.643	195.785	219.755	111.198	220.779	79.852
21	0.20000	218.637	-54.028	339.370	202.315	-48.397	603.158	136.256	174.887	519.863	116.625	198.208	220.070	112.161	224.297	81.457
22	0.21000	218.477	-54.492	339.379	202.622	-48.718	603.153	137.330	174.414	520.569	118.658	201.877	219.890	113.412	227.786	82.639
23	0.22000	218.354	-54.908	339.315	202.961	-49.224	603.076	138.119	173.885	521.295	120.649	205.132	220.187	115.056	230.925	83.392
24	0.23000	218.231	-55.292	339.233	203.307	-49.632	602.896	138.434	173.496	522.016	121.193	207.358	220.791	116.854	233.867	83.448
25	0.24000	218.142	-55.499	339.203	203.547	-49.750	602.774	138.326	173.303	522.662	120.709	209.087	221.653	118.672	236.253	82.712
26	0.25000	218.025	-55.577	339.147	203.596	-49.580	602.757	137.997	173.326	523.098	120.254	210.597	222.390	120.495	236.917	82.047
27	0.26000	217.916	-55.539	339.080	203.548	-49.201	602.841	137.644	173.531	523.329	120.349	211.762	222.766	121.387	235.505	82.683
28	0.27000	217.838	-55.477	339.075	203.503	-48.866	602.917	137.350	173.688	523.296	120.856	212.393	222.944	121.489	234.178	82.563
29	0.28000	217.739	-55.452	339.067	203.555	-48.656	602.925	137.252	173.771	523.031	121.456	212.476	222.931	121.429	234.043	81.556
30	0.29000	217.691	-55.364	339.085	203.667	-48.656	602.827	137.222	173.946	522.529	121.879	212.067	222.658	120.896	234.282	80.805
31	0.30000	217.612	-55.301	339.054	203.793	-48.762	602.672	137.159	174.100	521.891	121.954	211.303	222.168	120.054	234.293	80.692
32	0.31000	217.521	-55.284	338.981	203.944	-48.858	602.509	137.165	174.212	521.174	121.674	210.266	221.519	118.928	234.230	80.190
33	0.32000	217.455	-55.298	338.910	204.023	-48.884	602.366	137.321	174.220	520.456	121.191	209.085	220.879	118.350	233.820	80.277
34	0.33000	217.403	-55.361	338.870	204.034	-48.796	602.281	137.616	174.166	519.773	120.762	208.020	220.284	117.899	232.958	80.106
35	0.34000	217.337	-55.500	338.822	204.005	-48.663	602.275	137.944	174.078	519.173	120.606	207.205	219.805	117.682	231.888	79.584
36	0.35000	217.284	-55.688	338.779	203.970	-48.572	602.296	138.240	173.943	518.701	120.739	206.692	219.460	117.671	230.912	78.594
37	0.36000	217.299	-55.863	338.798	203.969	-48.601	602.303	138.509	173.779	518.307	121.104	206.591	219.259	118.077	230.158	77.492
38	0.37000	217.312	-56.067	338.811	204.003	-48.781	602.299	138.838	173.638	518.088	121.549	206.794	219.230	119.569	229.727	77.657
39	0.38000	217.271	-56.364	338.795	204.069	-49.110	602.243	139.228	173.401	518.039	121.889	207.209	219.352	121.028	229.896	77.640
40	0.39000	217.252	-56.623	338.770	204.145	-49.486	602.196	139.730	173.114	518.121	121.976	207.747	219.565	122.625	230.544	77.761
41	0.40000	217.245	-56.836	338.751	204.229	-49.895	602.144	140.296	172.756	518.240	121.861	208.309	219.825	123.776	231.037	78.355
42	0.41000	217.259	-57.010	338.742	204.319	-50.283	602.097	140.906	172.432	518.382	121.690	208.875	220.142	124.120	231.539	79.274
43	0.42000	217.253	-57.193	338.698	204.401	-50.654	602.073	141.516	172.051	518.480	121.534	209.447	220.456	123.583	232.589	79.750
44	0.43000	217.238	-57.364	338.661	204.475	-50.978	602.049	142.055	171.713	518.539	121.395	210.001	220.745	122.163	233.751	79.755
45	0.44000	217.267	-57.462	338.628	204.557	-51.288	602.030	142.499	171.421	518.542	121.306	210.447	220.966	120.326	234.901	79.672
46	0.45000	217.259	-57.548	338.603	204.631	-51.599	601.991	142.812	171.122	518.471	121.231	210.839	221.129	118.388	235.860	79.643
47	0.46000	217.290	-57.617	338.573	204.717	-51.880	601.952	143.036	170.887	518.382	121.160	211.136	221.254	116.189	236.513	79.359
48	0.47000	217.311	-57.675	338.538	204.781	-52.189	601.895	143.191	170.681	518.273	121.097	211.379	221.370	114.763	237.113	79.959
49	0.48000	217.325	-57.723	338.493	204.843	-52.455	601.853	143.289	170.475	518.215	121.049	211.564	221.457	113.866	237.814	80.657
50	0.49000	217.319	-57.779	338.434	204.912	-52.701	601.830	143.348	170.220	518.090	121.004	211.658	221.523	113.494	238.475	81.222
