NO_OF_FRAMES	2000
NO_OF_CAMERAS	3
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-06-25, 16:35:35.898	233097.48412750
DATA_INCLUDED	3D
MARKER_NAMES	T8	C7	ACR	LEL	MUA
Frame	Time	T8 X	T8 Y	T8 Z	C7 X	C7 Y	C7 Z	ACR X	ACR Y	ACR Z	LEL X	LEL Y	LEL Z	MUA X	MUA Y	MUA Z	
1	0.00000	209.706	-58.200	336.707	198.371	-51.304	601.200	146.539	170.437	516.032	124.747	217.302	219.205	108.005	236.073	78.054
2	0.01000	209.614	-58.181	336.639	198.389	-51.031	601.134	146.158	170.851	515.625	124.923	216.837	218.788	105.865	236.697	76.415
3	0.02000	209.544	-58.125	336.587	198.450	-50.878	601.016	145.776	171.263	515.142	124.991	216.047	218.311	103.882	236.091	76.504
4	0.03000	209.465	-58.061	336.556	198.527	-50.812	600.901	145.487	171.619	514.709	124.926	214.995	217.796	102.478	234.908	76.954
5	0.04000	209.368	-58.006	336.528	198.564	-50.747	600.810	145.439	171.839	514.330	124.657	213.838	217.351	101.702	233.540	77.356
6	0.05000	209.277	-57.993	336.514	198.592	-50.664	600.747	145.672	171.926	514.071	124.328	212.702	217.002	101.369	232.392	77.286
7	0.06000	209.196	-57.984	336.512	198.584	-50.594	600.725	146.133	171.854	513.830	124.104	211.819	216.771	101.488	231.525	76.838
8	0.07000	209.142	-57.981	336.516	198.589	-50.553	600.718	146.734	171.699	513.694	124.148	211.315	216.635	102.184	230.987	76.154
9	0.08000	209.017	-58.067	336.627	198.580	-50.638	600.751	147.347	171.470	513.728	124.414	211.214	216.575	103.316	230.737	75.452
10	0.09000	208.921	-58.110	336.593	198.620	-50.753	600.726	148.010	171.231	513.767	124.787	211.408	216.589	105.010	230.740	74.661
11	0.10000	208.826	-58.150	336.540	198.693	-50.943	600.660	148.674	170.994	513.848	125.124	211.741	216.664	107.617	230.548	75.092
12	0.11000	208.702	-58.258	336.450	198.799	-51.189	600.591	149.382	170.721	513.961	125.398	212.164	216.843	109.570	230.112	75.262
13	0.12000	208.607	-58.368	336.359	198.934	-51.447	600.499	150.073	170.429	514.066	125.584	212.570	217.040	110.937	229.561	75.998
14	0.13000	208.504	-58.468	336.267	199.069	-51.718	600.412	150.682	170.166	514.175	125.742	212.909	217.234	111.248	229.792	76.458
15	0.14000	208.412	-58.549	336.184	199.203	-51.971	600.329	151.163	169.958	514.238	125.907	213.276	217.444	110.145	230.661	76.437
16	0.15000	208.310	-58.619	336.095	199.309	-52.175	600.271	151.527	169.770	514.281	126.029	213.547	217.604	108.342	231.688	76.331
17	0.16000	208.270	-58.635	336.034	199.412	-52.395	600.228	151.762	169.660	514.280	126.108	213.726	217.748	106.547	232.707	76.343
18	0.17000	208.237	-58.662	335.973	199.514	-52.617	600.191	151.878	169.543	514.228	126.134	213.884	217.865	104.247	233.371	75.930
19	0.18000	208.207	-58.687	335.912	199.579	-52.864	600.147	151.911	169.446	514.160	126.080	213.985	217.945	103.107	233.767	76.676
20	0.19000	208.167	-58.702	335.848	199.625	-53.095	600.111	151.901	169.322	514.089	125.982	214.099	218.044	102.432	234.203	77.270
21	0.20000	208.136	-58.728	335.800	199.671	-53.351	600.079	151.868	169.175	514.032	125.845	214.231	218.161	102.245	234.708	77.629
22	0.21000	208.154	-58.719	335.783	199.718	-53.571	600.061	151.851	169.003	513.992	125.682	214.389	218.286	102.473	235.110	77.687
23	0.22000	208.191	-58.702	335.776	199.749	-53.774	600.037	151.820	168.827	513.943	125.516	214.586	218.402	103.088	235.380	77.458
24	0.23000	208.158	-58.757	335.735	199.767	-54.015	600.015	151.786	168.638	513.909	125.407	214.869	218.522	103.995	235.493	76.934
