NO_OF_FRAMES	2000
NO_OF_CAMERAS	3
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-06-25, 18:21:35.262	239456.84746220
DATA_INCLUDED	3D
MARKER_NAMES	T8	C7	ACR	LEL	MUA
Frame	Time	T8 X	T8 Y	T8 Z	C7 X	C7 Y	C7 Z	ACR X	ACR Y	ACR Z	LEL X	LEL Y	LEL Z	MUA X	MUA Y	MUA Z	
1	0.00000	193.754	-50.911	339.170	182.759	-52.791	602.686	123.127	170.781	519.850	107.030	227.316	230.408	83.320	246.686	100.189
2	0.01000	193.717	-50.797	339.131	182.772	-52.778	602.650	123.377	170.540	519.684	107.181	228.361	230.955	83.332	248.385	100.794
3	0.02000	193.726	-50.680	339.108	182.772	-52.785	602.610	123.664	170.319	519.476	107.316	229.482	231.535	83.290	250.297	101.485
4	0.03000	193.741	-50.599	339.082	182.773	-52.792	602.590	123.980	170.025	519.277	107.484	230.851	232.232	83.257	252.510	102.312
5	0.04000	193.735	-50.561	339.065	182.778	-52.803	602.567	124.244	169.721	519.164	107.648	232.429	233.012	83.114	254.953	103.212
6	0.05000	193.754	-50.550	339.055	182.775	-52.835	602.543	124.526	169.402	519.128	107.758	234.247	233.905	82.896	257.717	104.291
7	0.06000	193.762	-50.558	339.050	182.762	-52.906	602.541	124.821	169.039	519.156	107.901	236.312	234.924	82.524	260.777	105.540
8	0.07000	193.767	-50.599	339.034	182.742	-53.052	602.533	125.108	168.694	519.253	108.019	238.718	236.141	81.936	264.207	107.018
9	0.08000	193.750	-50.697	339.031	182.713	-53.228	602.537	125.418	168.373	519.378	108.138	241.488	237.488	81.185	268.124	108.715
10	0.09000	193.750	-50.797	339.025	182.689	-53.509	602.531	125.746	167.955	519.571	108.161	244.463	239.006	80.165	272.260	110.664
11	0.10000	193.785	-50.908	339.018	182.685	-53.806	602.549	126.088	167.534	519.800	108.095	247.687	240.727	78.918	276.750	112.861
12	0.11000	193.829	-51.031	339.028	182.705	-54.154	602.571	126.470	167.061	520.041	107.978	251.142	242.666	77.424	281.562	115.382
13	0.12000	193.859	-51.202	339.022	182.721	-54.523	602.610	126.913	166.586	520.404	107.752	254.791	244.852	75.684	286.687	118.218
14	0.13000	193.917	-51.373	339.021	182.763	-54.932	602.646	127.379	166.095	520.818	107.323	258.568	247.203	73.681	292.107	121.404
15	0.14000	193.944	-51.571	339.004	182.838	-55.367	602.677	127.907	165.545	521.284	106.620	262.458	249.792	71.424	297.798	124.906
16	0.15000	193.949	-51.806	338.952	182.902	-55.821	602.687	128.473	164.971	521.839	105.779	266.476	252.633	68.954	303.677	128.705
17	0.16000	194.046	-51.961	338.961	183.006	-56.314	602.702	129.054	164.380	522.393	104.826	270.613	255.660	66.290	309.704	132.829
18	0.17000	194.120	-52.152	338.959	183.119	-56.794	602.701	129.652	163.804	523.021	103.858	274.822	258.866	63.407	315.832	137.241
19	0.18000	194.202	-52.354	338.947	183.220	-57.291	602.691	130.254	163.212	523.679	102.784	279.101	262.262	60.339	322.002	141.972
20	0.19000	194.237	-52.561	338.911	183.323	-57.756	602.700	130.839	162.643	524.335	101.666	283.392	265.853	57.094	328.228	147.045
21	0.20000	194.296	-52.733	338.913	183.406	-58.229	602.702	131.405	162.088	525.017	100.484	287.679	269.608	53.686	334.443	152.418
22	0.21000	194.382	-52.907	338.940	183.488	-58.644	602.726	131.975	161.549	525.715	99.278	291.933	273.516	50.110	340.681	158.153
23	0.22000	194.499	-53.056	338.992	183.552	-59.054	602.748	132.576	161.000	526.424	97.958	296.134	277.561	46.414	346.810	164.119
24	0.23000	194.585	-53.231	339.008	183.617	-59.454	602.754	133.205	160.460	527.145	96.499	300.292	281.735	42.645	352.972	170.371
25	0.24000	194.677	-53.347	339.052	183.681	-59.856	602.770	133.833	159.905	527.876	94.946	304.330	286.054	38.798	359.038	176.866
26	0.25000	194.758	-53.482	339.085	183.734	-60.244	602.784	134.454	159.362	528.600	93.303	308.270	290.439	34.998	365.084	183.543
27	0.26000	194.860	-53.578	339.132	183.787	-60.604	602.807	135.044	158.796	529.311	91.676	312.214	294.911	31.207	371.008	190.360
28	0.27000	194.985	-53.640	339.192	183.834	-60.948	602.814	135.591	158.280	530.041	90.075	316.060	299.443	27.513	376.835	197.308
29	0.28000	195.126	-53.719	339.258	183.898	-61.256	602.825	136.072	157.796	530.755	88.538	319.839	304.018	23.895	382.490	204.386
30	0.29000	195.242	-53.769	339.311	183.950	-61.526	602.835	136.459	157.357	531.444	87.020	323.533	308.634	20.288	387.959	211.582
31	0.30000	195.311	-53.823	339.329	183.997	-61.774	602.831	136.743	156.975	532.174	85.467	327.082	313.290	16.662	393.164	218.944
32	0.31000	195.385	-53.819	339.360	184.045	-61.959	602.843	136.988	156.624	532.932	83.857	330.483	317.971	12.958	398.140	226.472
33	0.32000	195.462	-53.787	339.401	184.080	-62.120	602.856	137.216	156.310	533.694	82.208	333.729	322.742	9.231	402.885	234.139
34	0.33000	195.553	-53.708	339.448	184.118	-62.249	602.874	137.461	155.952	534.433	80.545	336.826	327.545	5.603	407.439	242.025
35	0.34000	195.613	-53.654	339.460	184.157	-62.364	602.869	137.739	155.599	535.140	78.972	339.869	332.421	2.285	411.934	250.011
36	0.35000	195.636	-53.588	339.448	184.211	-62.448	602.858	138.029	155.219	535.836	77.480	342.891	337.346	-1.062	416.340	257.785
37	0.36000	195.740	-53.461	339.498	184.272	-62.527	602.831	138.277	154.885	536.562	76.050	345.827	342.260	-4.459	420.387	265.822
38	0.37000	195.804	-53.348	339.520	184.360	-62.607	602.796	138.480	154.580	537.298	74.663	348.712	347.251	-7.725	424.341	273.924
39	0.38000	195.889	-53.229	339.549	184.423	-62.662	602.779	138.672	154.279	538.051	73.257	351.493	352.292	-11.046	428.022	282.130
40	0.39000	195.934	-53.125	339.553	184.472	-62.704	602.768	138.831	153.977	538.802	71.751	354.136	357.364	-14.383	431.417	290.440
41	0.40000	196.018	-53.003	339.581	184.534	-62.717	602.774	139.002	153.692	539.580	70.232	356.675	362.540	-17.748	434.534	298.848
42	0.41000	196.074	-52.881	339.596	184.567	-62.701	602.760	139.182	153.365	540.343	68.688	359.053	367.720	-21.112	437.388	307.393
43	0.42000	196.130	-52.758	339.618	184.610	-62.697	602.742	139.356	153.073	541.106	67.111	361.339	372.929	-24.493	440.019	316.056
44	0.43000	196.178	-52.624	339.636	184.666	-62.674	602.725	139.584	152.798	541.857	65.535	363.484	378.189	-27.827	442.462	324.791
45	0.44000	196.256	-52.464	339.664	184.698	-62.669	602.694	139.808	152.474	542.598	63.971	365.539	383.538	-31.135	444.733	333.578
46	0.45000	196.326	-52.295	339.682	184.757	-62.681	602.678	140.028	152.189	543.345	62.374	367.541	388.892	-34.354	446.776	342.432
47	0.46000	196.396	-52.124	339.710	184.813	-62.704	602.651	140.263	151.912	544.120	60.783	369.383	394.267	-37.582	448.646	351.368
48	0.47000	196.483	-51.976	339.745	184.860	-62.709	602.629	140.460	151.621	544.878	59.179	371.205	399.669	-40.757	450.284	360.337
49	0.48000	196.522	-51.834	339.756	184.916	-62.710	602.608	140.637	151.344	545.627	57.507	372.870	405.093	-43.969	451.709	369.384
50	0.49000	196.604	-51.646	339.797	184.970	-62.710	602.594	140.803	151.091	546.402	55.757	374.365	410.589	-47.199	452.820	378.461
