NO_OF_FRAMES	2000
NO_OF_CAMERAS	3
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-06-25, 18:13:09.908	238951.49316990
DATA_INCLUDED	3D
MARKER_NAMES	T8	C7	ACR	LEL	MUA
Frame	Time	T8 X	T8 Y	T8 Z	C7 X	C7 Y	C7 Z	ACR X	ACR Y	ACR Z	LEL X	LEL Y	LEL Z	MUA X	MUA Y	MUA Z	
1	0.00000	203.977	-22.016	331.354	197.029	-34.267	599.896	156.767	192.445	530.835	121.346	361.967	305.339	79.386	447.202	211.087
2	0.01000	204.032	-21.923	331.406	197.030	-34.176	599.945	156.436	192.687	530.354	120.953	359.392	302.440	79.192	443.158	206.798
3	0.02000	204.059	-21.831	331.445	197.043	-34.057	600.001	156.039	192.980	529.793	120.583	356.564	299.341	79.011	438.736	202.236
4	0.03000	204.110	-21.672	331.491	197.043	-33.901	600.052	155.599	193.316	529.195	120.202	353.509	296.002	78.844	433.886	197.381
5	0.04000	204.094	-21.553	331.505	197.073	-33.719	600.103	155.156	193.745	528.653	119.832	350.222	292.493	78.688	428.640	192.262
6	0.05000	204.126	-21.403	331.533	197.101	-33.504	600.143	154.723	194.166	528.118	119.490	346.651	288.798	78.576	422.940	186.872
7	0.06000	204.139	-21.258	331.540	197.158	-33.286	600.169	154.287	194.606	527.664	119.179	342.834	284.921	78.574	416.776	181.227
8	0.07000	204.174	-21.076	331.553	197.223	-33.071	600.173	153.869	195.078	527.257	118.847	338.734	280.913	78.677	410.149	175.377
9	0.08000	204.187	-20.899	331.579	197.359	-32.763	600.187	153.368	195.558	526.754	118.496	334.432	276.831	78.899	403.179	169.401
10	0.09000	204.180	-20.668	331.569	197.515	-32.427	600.164	152.864	195.998	526.091	118.154	329.762	272.767	79.180	395.624	163.385
11	0.10000	204.156	-20.416	331.534	197.643	-31.975	600.155	152.327	196.476	525.307	117.787	324.842	268.758	79.477	387.690	157.396
12	0.11000	204.128	-20.188	331.497	197.734	-31.413	600.174	151.706	197.080	524.556	117.460	319.750	264.754	79.744	379.400	151.511
13	0.12000	204.075	-19.864	331.485	197.794	-30.702	600.237	150.914	197.702	523.874	117.248	314.599	260.817	80.004	370.787	145.704
14	0.13000	204.007	-19.519	331.494	197.842	-29.941	600.332	150.081	198.401	523.280	117.172	309.322	256.904	80.271	361.935	140.035
15	0.14000	203.892	-19.179	331.483	197.830	-29.212	600.396	149.204	199.108	522.740	117.168	303.977	253.039	80.705	352.907	134.470
16	0.15000	203.787	-18.850	331.501	197.782	-28.536	600.438	148.461	199.827	522.232	117.313	298.576	249.214	81.337	343.774	129.074
17	0.16000	203.701	-18.514	331.522	197.708	-27.886	600.482	147.863	200.486	521.764	117.651	293.027	245.427	82.208	334.558	123.877
18	0.17000	203.634	-18.171	331.538	197.633	-27.301	600.529	147.455	201.159	521.288	118.178	287.383	241.663	83.289	325.290	118.846
19	0.18000	203.613	-17.887	331.535	197.564	-26.727	600.574	147.196	201.848	520.863	118.841	281.663	238.008	84.628	315.996	114.069
20	0.19000	203.599	-17.643	331.530	197.544	-26.165	600.589	147.071	202.585	520.445	119.597	275.887	234.502	86.039	306.671	109.508
21	0.20000	203.648	-17.386	331.554	197.566	-25.612	600.584	147.052	203.362	519.985	120.365	270.064	231.169	87.386	297.358	105.273
22	0.21000	203.700	-17.196	331.526	197.613	-25.059	600.576	147.114	204.197	519.576	120.995	264.283	228.044	88.543	288.049	101.375
23	0.22000	203.746	-17.063	331.480	197.694	-24.515	600.532	147.190	205.033	519.134	121.504	258.625	225.179	89.399	278.808	97.789
24	0.23000	203.835	-16.955	331.437	197.854	-23.947	600.506	147.314	205.888	518.743	121.707	253.051	222.566	89.917	269.718	94.624
