NO_OF_FRAMES	2000
NO_OF_CAMERAS	3
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-06-25, 18:25:31.333	239692.91948820
DATA_INCLUDED	3D
MARKER_NAMES	T8	C7	ACR	LEL	MUA
Frame	Time	T8 X	T8 Y	T8 Z	C7 X	C7 Y	C7 Z	ACR X	ACR Y	ACR Z	LEL X	LEL Y	LEL Z	MUA X	MUA Y	MUA Z	
1	0.00000	205.746	-8.761	335.602	201.213	-9.875	598.966	130.598	211.787	527.520	112.351	257.430	230.914	87.483	273.140	100.506
2	0.01000	205.759	-8.713	335.590	201.220	-9.730	598.984	130.351	211.837	526.874	110.700	257.821	230.578	85.423	273.650	100.217
3	0.02000	205.780	-8.675	335.577	201.262	-9.586	598.996	130.059	211.856	526.237	108.793	258.256	230.249	83.039	274.150	100.008
4	0.03000	205.829	-8.613	335.562	201.309	-9.449	598.989	129.695	211.903	525.620	106.658	258.745	229.963	80.301	274.674	99.876
5	0.04000	205.871	-8.538	335.551	201.375	-9.318	598.973	129.313	211.968	525.040	104.254	259.284	229.680	77.224	275.235	99.766
6	0.05000	205.875	-8.479	335.512	201.450	-9.135	598.954	128.865	212.043	524.449	101.697	259.850	229.421	73.928	275.893	99.756
7	0.06000	205.938	-8.368	335.494	201.527	-8.919	598.956	128.382	212.161	523.883	99.095	260.601	229.289	70.423	276.686	99.842
8	0.07000	205.953	-8.288	335.454	201.579	-8.627	598.998	127.963	212.305	523.388	96.460	261.489	229.271	66.720	277.628	100.076
9	0.08000	205.990	-8.195	335.456	201.626	-8.323	599.077	127.545	212.458	523.020	93.758	262.646	229.367	62.286	279.359	100.395
10	0.09000	206.042	-8.103	335.433	201.687	-8.084	599.123	127.229	212.546	522.729	90.895	263.875	229.634	57.983	280.657	100.970
11	0.10000	206.072	-8.047	335.403	201.790	-7.884	599.146	127.004	212.617	522.559	87.934	265.227	230.066	53.393	282.051	101.777
12	0.11000	206.132	-7.965	335.379	201.960	-7.708	599.132	126.825	212.671	522.472	84.829	266.672	230.605	48.436	283.528	102.814
13	0.12000	206.229	-7.869	335.356	202.171	-7.571	599.064	126.706	212.724	522.461	81.592	268.252	231.380	43.174	284.907	104.018
14	0.13000	206.345	-7.767	335.353	202.405	-7.459	598.994	126.644	212.729	522.501	78.178	269.942	232.288	37.614	286.216	105.412
15	0.14000	206.475	-7.682	335.331	202.666	-7.360	598.952	126.641	212.723	522.621	74.625	271.753	233.327	31.763	287.483	107.021
16	0.15000	206.644	-7.583	335.343	202.902	-7.286	598.937	126.614	212.694	522.765	70.982	273.751	234.585	25.626	288.737	108.869
17	0.16000	206.780	-7.539	335.294	203.141	-7.229	598.955	126.594	212.683	522.945	67.170	275.791	235.914	19.211	290.007	110.981
18	0.17000	206.963	-7.458	335.277	203.382	-7.159	599.001	126.561	212.636	523.135	63.190	277.884	237.424	12.525	291.322	113.380
19	0.18000	207.155	-7.389	335.259	203.652	-7.096	599.018	126.546	212.611	523.372	59.025	279.983	239.137	5.574	292.710	116.091
20	0.19000	207.373	-7.324	335.226	203.943	-7.061	599.031	126.554	212.559	523.598	54.759	282.077	241.029	-1.635	294.199	119.138
21	0.20000	207.609	-7.251	335.198	204.245	-7.014	599.020	126.608	212.517	523.831	50.374	284.231	243.142	-9.096	295.819	122.545
22	0.21000	207.880	-7.191	335.179	204.606	-6.988	598.999	126.666	212.443	524.069	45.786	286.380	245.426	-16.802	297.598	126.337
23	0.22000	208.167	-7.151	335.135	204.952	-6.939	598.967	126.726	212.367	524.272	41.119	288.583	247.890	-24.746	299.565	130.537
24	0.23000	208.453	-7.109	335.087	205.314	-6.877	598.982	126.801	212.301	524.467	36.370	290.817	250.515	-32.854	301.572	135.046
25	0.24000	208.795	-7.045	335.069	205.706	-6.812	599.018	126.833	212.213	524.648	31.517	293.080	253.317	-41.163	303.812	140.062
26	0.25000	209.105	-7.037	334.994	206.094	-6.798	599.005	126.829	212.147	524.828	26.552	295.322	256.290	-49.639	306.230	145.550
27	0.26000	209.425	-7.009	334.925	206.525	-6.772	598.976	126.825	212.070	524.989	21.483	297.596	259.480	-58.243	308.768	151.477
28	0.27000	209.761	-7.000	334.872	206.989	-6.726	598.933	126.817	212.000	525.124	16.279	299.816	262.842	-66.939	311.371	157.806
29	0.28000	210.074	-7.026	334.775	207.467	-6.696	598.852	126.800	211.907	525.230	10.991	301.970	266.450	-75.691	313.982	164.505
30	0.29000	210.458	-6.985	334.731	207.928	-6.641	598.833	126.788	211.838	525.379	5.636	304.066	270.272	-84.462	316.544	171.537
31	0.30000	210.823	-6.952	334.668	208.416	-6.617	598.777	126.744	211.777	525.571	0.203	306.162	274.337	-93.215	319.002	178.868
32	0.31000	211.170	-6.927	334.608	208.881	-6.563	598.718	126.691	211.712	525.819	-5.285	308.251	278.637	-101.914	321.299	186.464
33	0.32000	211.522	-6.845	334.572	209.405	-6.483	598.647	126.626	211.690	526.094	-10.852	310.305	283.182	-110.521	323.379	194.291
34	0.33000	211.881	-6.772	334.512	209.880	-6.387	598.579	126.555	211.642	526.448	-16.441	312.313	287.982	-119.000	325.185	202.313
35	0.34000	212.168	-6.699	334.428	210.430	-6.278	598.477	126.522	211.615	526.851	-21.985	314.295	293.039	-127.326	326.905	210.697
36	0.35000	212.480	-6.565	334.389	210.901	-6.200	598.353	126.490	211.525	527.291	-27.475	316.227	298.338	-135.510	328.581	219.430
37	0.36000	212.769	-6.400	334.326	211.403	-6.094	598.247	126.448	211.445	527.817	-32.917	318.070	303.877	-143.552	330.080	228.479
38	0.37000	213.045	-6.250	334.267	211.889	-5.991	598.122	126.301	211.364	528.461	-38.262	319.816	309.587	-151.382	331.501	237.882
39	0.38000	213.287	-6.089	334.191	212.354	-5.884	598.019	125.986	211.364	529.181	-43.540	321.496	315.481	-159.023	332.919	247.586
40	0.39000	213.527	-5.860	334.142	212.806	-5.775	597.943	125.589	211.343	529.934	-48.668	323.165	321.566	-166.390	334.225	257.522
41	0.40000	213.695	-5.634	334.088	213.224	-5.652	597.850	125.203	211.306	530.735	-53.683	324.777	327.802	-173.495	335.573	267.630
42	0.41000	213.890	-5.316	334.043	213.638	-5.517	597.753	124.841	211.235	531.596	-58.617	326.408	334.226	-180.365	336.844	277.943
43	0.42000	214.076	-4.986	334.005	214.016	-5.387	597.664	124.504	211.122	532.447	-63.428	327.968	340.843	-187.017	338.005	288.494
44	0.43000	214.196	-4.698	333.935	214.390	-5.265	597.556	124.188	211.018	533.342	-68.206	329.428	347.586	-192.911	338.864	299.213
