NO_OF_FRAMES	2000
NO_OF_CAMERAS	3
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-06-25, 17:42:26.894	237108.47938730
DATA_INCLUDED	3D
MARKER_NAMES	T8	C7	ACR	LEL	MUA
Frame	Time	T8 X	T8 Y	T8 Z	C7 X	C7 Y	C7 Z	ACR X	ACR Y	ACR Z	LEL X	LEL Y	LEL Z	MUA X	MUA Y	MUA Z	
1	0.00000	214.574	-26.287	338.346	203.803	-22.347	605.631	134.137	196.252	519.844	110.117	236.439	222.320	87.889	250.955	94.970
2	0.01000	214.648	-26.254	338.357	203.834	-22.235	605.639	133.948	196.289	519.776	109.726	236.579	222.346	87.465	251.060	94.960
3	0.02000	214.701	-26.261	338.358	203.864	-22.117	605.649	133.749	196.320	519.695	109.354	236.769	222.378	87.039	251.229	94.997
4	0.03000	214.803	-26.232	338.370	203.901	-22.010	605.649	133.552	196.360	519.625	108.985	236.977	222.427	86.574	251.395	94.994
5	0.04000	214.896	-26.192	338.391	203.938	-21.926	605.650	133.332	196.388	519.536	108.553	237.203	222.456	86.121	251.661	95.031
6	0.05000	214.979	-26.169	338.388	203.989	-21.814	605.647	133.130	196.412	519.401	108.136	237.509	222.514	85.617	251.962	95.063
7	0.06000	215.098	-26.131	338.395	204.045	-21.711	605.638	132.939	196.425	519.215	107.752	237.842	222.574	85.098	252.303	95.104
8	0.07000	215.210	-26.081	338.407	204.098	-21.597	605.640	132.748	196.435	519.025	107.335	238.243	222.614	84.564	252.720	95.142
9	0.08000	215.321	-26.033	338.458	204.148	-21.426	605.664	132.524	196.443	518.829	106.864	238.721	222.675	83.912	253.307	95.142
10	0.09000	215.405	-25.982	338.450	204.213	-21.321	605.664	132.268	196.413	518.559	106.386	239.197	222.716	83.213	253.806	95.162
11	0.10000	215.545	-25.909	338.486	204.276	-21.198	605.656	132.033	196.380	518.268	105.858	239.725	222.750	81.870	254.658	95.141
12	0.11000	215.629	-25.858	338.480	204.334	-21.100	605.638	131.833	196.368	517.965	105.201	240.229	222.739	80.944	255.198	95.185
13	0.12000	215.751	-25.792	338.494	204.393	-20.973	605.628	131.634	196.339	517.699	104.526	240.784	222.795	79.880	255.797	95.223
14	0.13000	215.825	-25.760	338.492	204.470	-20.852	605.628	131.449	196.328	517.423	103.728	241.316	222.859	78.700	256.362	95.307
15	0.14000	215.966	-25.687	338.530	204.540	-20.740	605.625	131.294	196.285	517.134	102.877	241.893	222.943	77.413	256.993	95.445
16	0.15000	216.096	-25.632	338.547	204.618	-20.629	605.623	131.192	196.253	516.886	101.945	242.490	223.052	75.970	257.690	95.647
17	0.16000	216.227	-25.576	338.575	204.692	-20.527	605.611	131.107	196.196	516.678	100.919	243.132	223.172	74.351	258.395	95.904
18	0.17000	216.358	-25.522	338.607	204.768	-20.436	605.617	131.010	196.149	516.506	99.858	243.874	223.341	72.519	259.113	96.169
