NO_OF_FRAMES	2000
NO_OF_CAMERAS	3
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-06-25, 17:26:49.780	236171.36622220
DATA_INCLUDED	3D
MARKER_NAMES	T8	C7	ACR	LEL	MUA
Frame	Time	T8 X	T8 Y	T8 Z	C7 X	C7 Y	C7 Z	ACR X	ACR Y	ACR Z	LEL X	LEL Y	LEL Z	MUA X	MUA Y	MUA Z	
1	0.00000	204.236	-41.369	339.467	193.810	-28.872	604.231	123.600	189.529	511.450	101.332	213.656	211.441	81.503	226.358	84.867
2	0.01000	204.190	-41.373	339.457	193.825	-28.939	604.220	123.925	189.402	511.409	101.462	213.777	211.394	81.307	226.492	84.825
3	0.02000	204.171	-41.383	339.452	193.875	-29.096	604.186	124.289	189.252	511.489	101.524	214.075	211.447	80.899	226.765	84.882
4	0.03000	204.130	-41.429	339.426	193.924	-29.284	604.158	124.647	189.113	511.648	101.422	214.526	211.594	80.325	227.173	85.068
5	0.04000	204.120	-41.445	339.425	193.978	-29.455	604.139	124.961	188.946	511.869	101.174	214.992	211.777	79.635	227.603	85.282
6	0.05000	204.119	-41.446	339.416	194.011	-29.612	604.124	125.189	188.773	512.064	100.839	215.476	212.029	78.978	228.063	85.553
7	0.06000	204.110	-41.436	339.402	194.025	-29.754	604.137	125.331	188.649	512.286	100.468	215.967	212.316	78.332	228.508	85.798
8	0.07000	204.145	-41.353	339.425	194.035	-29.896	604.133	125.359	188.570	512.469	100.139	216.377	212.562	77.890	228.892	86.058
9	0.08000	204.151	-41.242	339.497	194.037	-29.967	604.187	125.269	188.565	512.671	99.847	216.756	212.795	77.556	229.355	86.252
10	0.09000	204.140	-41.137	339.497	194.029	-30.060	604.202	125.090	188.587	512.812	99.595	216.975	213.013	77.374	229.610	86.427
11	0.10000	204.121	-41.021	339.506	193.989	-30.143	604.211	124.828	188.582	512.934	99.394	217.118	213.207	77.319	229.822	86.593
12	0.11000	204.133	-40.879	339.534	193.955	-30.197	604.246	124.508	188.581	513.061	99.238	217.154	213.367	77.401	229.960	86.716
