NO_OF_FRAMES	2000
NO_OF_CAMERAS	3
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-06-25, 17:19:18.417	235720.00290790
DATA_INCLUDED	3D
MARKER_NAMES	T8	C7	ACR	LEL	MUA
Frame	Time	T8 X	T8 Y	T8 Z	C7 X	C7 Y	C7 Z	ACR X	ACR Y	ACR Z	LEL X	LEL Y	LEL Z	MUA X	MUA Y	MUA Z	
1	0.00000	210.358	-33.827	332.954	217.200	-27.225	598.298	152.034	195.159	515.061	0.000	0.000	0.000	114.268	247.717	91.553
2	0.01000	210.384	-33.956	332.954	217.256	-27.263	598.276	152.177	195.023	515.029	0.000	0.000	0.000	113.786	247.975	91.563
3	0.02000	210.358	-34.145	332.906	217.299	-27.313	598.255	152.262	194.883	515.005	0.000	0.000	0.000	113.278	248.320	91.602
4	0.03000	210.365	-34.280	332.891	217.346	-27.355	598.234	152.282	194.778	514.960	0.000	0.000	0.000	112.796	248.702	91.671
5	0.04000	210.395	-34.351	332.902	217.378	-27.384	598.241	152.245	194.688	514.892	0.000	0.000	0.000	112.234	249.117	91.733
6	0.05000	210.398	-34.419	332.890	217.406	-27.400	598.247	152.157	194.614	514.829	0.000	0.000	0.000	111.687	249.553	91.835
7	0.06000	210.404	-34.459	332.897	217.434	-27.395	598.252	152.020	194.568	514.780	0.000	0.000	0.000	111.157	249.984	91.918
8	0.07000	210.392	-34.503	332.885	217.467	-27.380	598.238	151.822	194.531	514.770	0.000	0.000	0.000	110.589	250.394	92.025
9	0.08000	210.395	-34.519	332.945	217.462	-27.335	598.256	151.572	194.504	514.799	0.000	0.000	0.000	110.088	250.957	92.147
10	0.09000	210.413	-34.514	332.959	217.474	-27.292	598.254	151.297	194.461	514.805	0.000	0.000	0.000	109.588	251.372	92.241
11	0.10000	210.422	-34.497	332.958	217.480	-27.249	598.262	151.034	194.438	514.799	0.000	0.000	0.000	109.072	251.696	92.295
12	0.11000	210.461	-34.453	332.973	217.484	-27.178	598.281	150.727	194.402	514.778	0.000	0.000	0.000	108.457	252.010	92.373
