NO_OF_FRAMES	2000
NO_OF_CAMERAS	3
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-06-25, 17:05:08.304	234869.89073890
DATA_INCLUDED	3D
MARKER_NAMES	T8	C7	ACR	LEL	MUA
Frame	Time	T8 X	T8 Y	T8 Z	C7 X	C7 Y	C7 Z	ACR X	ACR Y	ACR Z	LEL X	LEL Y	LEL Z	MUA X	MUA Y	MUA Z	
1	0.00000	227.770	-34.798	340.371	211.438	-35.261	605.103	162.947	180.840	530.607	163.765	333.384	294.371	150.297	410.425	191.041
2	0.01000	227.810	-34.600	340.351	211.485	-34.949	605.109	162.634	181.348	529.758	162.848	329.819	290.386	149.212	404.686	185.581
3	0.02000	227.867	-34.422	340.335	211.544	-34.606	605.134	162.262	181.924	528.880	161.933	326.068	286.360	148.149	398.648	180.033
4	0.03000	227.897	-34.243	340.310	211.563	-34.199	605.163	161.863	182.545	527.985	161.071	322.143	282.287	147.042	392.313	174.426
5	0.04000	227.921	-34.025	340.277	211.561	-33.719	605.180	161.480	183.207	527.090	160.170	318.056	278.208	145.940	385.731	168.812
6	0.05000	227.955	-33.790	340.268	211.564	-33.184	605.185	161.162	183.907	526.221	159.296	313.857	274.139	144.816	378.866	163.189
7	0.06000	227.971	-33.559	340.239	211.551	-32.602	605.187	160.887	184.617	525.420	158.364	309.514	270.055	143.669	371.834	157.644
8	0.07000	227.968	-33.336	340.215	211.531	-32.039	605.204	160.644	185.390	524.776	157.489	305.123	266.055	142.440	364.546	152.127
9	0.08000	227.988	-33.097	340.261	211.480	-31.434	605.257	160.435	186.216	524.246	156.544	300.669	262.035	141.166	357.143	146.679
10	0.09000	228.016	-32.827	340.280	211.448	-30.918	605.252	160.342	187.019	523.820	155.560	295.992	258.080	139.918	349.417	141.344
11	0.10000	228.073	-32.529	340.286	211.448	-30.456	605.242	160.338	187.852	523.467	154.575	291.151	254.165	138.712	341.439	136.139
12	0.11000	228.076	-32.316	340.234	211.475	-29.997	605.238	160.355	188.685	523.122	153.580	286.126	250.336	137.523	333.252	131.086
13	0.12000	228.153	-31.981	340.231	211.487	-29.522	605.223	160.394	189.541	522.790	152.593	280.972	246.631	136.374	324.836	126.235
14	0.13000	228.210	-31.681	340.218	211.515	-28.989	605.197	160.430	190.396	522.391	151.584	275.675	243.059	135.188	316.238	121.581
15	0.14000	228.239	-31.379	340.209	211.543	-28.430	605.170	160.430	191.275	521.977	150.569	270.251	239.658	133.995	307.528	117.195
16	0.15000	228.290	-31.040	340.205	211.515	-27.814	605.167	160.319	192.149	521.546	149.509	264.758	236.379	132.691	298.651	113.044
17	0.16000	228.311	-30.726	340.188	211.497	-27.209	605.169	160.105	193.028	521.104	148.432	259.236	233.295	131.273	289.678	109.156
18	0.17000	228.341	-30.423	340.174	211.474	-26.610	605.199	159.849	193.885	520.680	147.314	253.715	230.352	129.777	280.669	105.544
19	0.18000	228.385	-30.076	340.223	211.471	-26.056	605.200	159.535	194.715	520.270	146.198	248.232	227.592	128.167	271.648	102.172
