NO_OF_FRAMES	2000
NO_OF_CAMERAS	3
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-06-25, 16:53:11.981	234153.56674460
DATA_INCLUDED	3D
MARKER_NAMES	T8	C7	ACR	LEL	MUA
Frame	Time	T8 X	T8 Y	T8 Z	C7 X	C7 Y	C7 Z	ACR X	ACR Y	ACR Z	LEL X	LEL Y	LEL Z	MUA X	MUA Y	MUA Z	
1	0.00000	211.357	-36.708	335.290	209.402	-33.645	600.645	125.237	186.253	523.394	52.302	240.780	237.245	43.610	278.659	95.567
2	0.01000	211.558	-36.674	335.283	209.660	-33.597	600.634	124.870	186.230	523.486	48.790	241.593	238.356	36.474	280.581	96.790
3	0.02000	211.799	-36.598	335.299	209.961	-33.570	600.584	124.596	186.190	523.560	45.317	242.504	239.562	29.354	282.383	98.280
4	0.03000	212.029	-36.538	335.290	210.256	-33.542	600.541	124.380	186.162	523.632	41.806	243.436	240.801	22.280	284.054	99.942
5	0.04000	212.210	-36.510	335.231	210.568	-33.510	600.496	124.220	186.145	523.671	38.275	244.430	242.125	15.297	285.540	101.735
6	0.05000	212.449	-36.432	335.204	210.902	-33.467	600.453	124.101	186.129	523.691	34.674	245.465	243.491	8.462	286.873	103.651
7	0.06000	212.673	-36.334	335.187	211.233	-33.442	600.417	124.010	186.109	523.699	30.998	246.448	244.928	1.795	288.078	105.644
8	0.07000	212.895	-36.236	335.147	211.551	-33.394	600.383	123.996	186.105	523.710	27.217	247.397	246.437	-4.694	289.220	107.692
9	0.08000	213.080	-36.190	335.146	211.895	-33.268	600.383	123.986	186.132	523.715	23.342	248.434	248.045	-10.990	290.509	109.921
10	0.09000	213.281	-36.100	335.068	212.247	-33.210	600.309	124.010	186.147	523.691	19.396	249.307	249.725	-17.070	291.709	112.216
11	0.10000	213.530	-35.974	335.012	212.628	-33.104	600.251	124.028	186.184	523.683	15.259	250.115	251.474	-22.918	292.916	114.661
12	0.11000	213.762	-35.858	334.955	212.994	-32.996	600.209	123.998	186.229	523.681	11.031	250.828	253.298	-28.596	294.067	117.221
13	0.12000	214.028	-35.752	334.887	213.374	-32.893	600.141	123.924	186.276	523.704	6.736	251.486	255.265	-34.120	295.054	119.911
14	0.13000	214.283	-35.664	334.801	213.763	-32.749	600.100	123.792	186.373	523.761	2.331	252.074	257.333	-39.527	295.803	122.692
15	0.14000	214.530	-35.566	334.711	214.147	-32.589	600.065	123.616	186.489	523.843	-2.157	252.629	259.540	-44.854	296.238	125.560
16	0.15000	214.834	-35.444	334.678	214.507	-32.433	600.055	123.423	186.620	523.972	-6.770	253.129	261.874	-50.222	296.365	128.573
17	0.16000	215.118	-35.358	334.592	214.921	-32.263	600.044	123.209	186.736	524.127	-11.466	253.596	264.377	-55.568	296.196	131.766
18	0.17000	215.439	-35.255	334.508	215.339	-32.074	600.037	122.969	186.843	524.345	-16.292	253.985	267.016	-60.275	295.671	136.267
19	0.18000	215.710	-35.186	334.415	215.763	-31.912	600.005	122.703	186.959	524.586	-21.181	254.341	269.850	-66.033	294.836	140.154
20	0.19000	216.049	-35.076	334.365	216.224	-31.741	599.987	122.444	187.044	524.889	-26.192	254.596	272.863	-71.964	294.055	144.490
21	0.20000	216.359	-34.991	334.275	216.674	-31.617	599.970	122.234	187.139	525.272	-31.191	254.801	276.055	-78.764	294.327	149.040
22	0.21000	216.593	-34.938	334.139	217.166	-31.467	599.926	122.041	187.209	525.657	-36.221	254.944	279.483	-86.746	295.317	153.946
23	0.22000	216.884	-34.832	334.051	217.625	-31.329	599.844	121.922	187.304	526.133	-41.260	254.994	283.084	-95.452	296.192	158.828
24	0.23000	217.195	-34.718	333.974	218.090	-31.212	599.757	121.847	187.362	526.604	-46.321	254.969	286.828	-104.524	296.733	163.674
25	0.24000	217.517	-34.616	333.894	218.557	-31.062	599.711	121.735	187.421	527.079	-51.399	254.858	290.716	-113.737	296.896	168.913
