       TimeStamp,     Flexion_Left,    Flexion_Right,   Abduction_Left,  Abduction_Right
      4032.62300,       -014.23025,       -024.62210,        014.23025,       -024.62210
      4032.68100,       -019.88013,       -010.37232,        019.88013,        010.37232
      4032.75000,       -017.74815,       -009.77797,        017.74815,        009.77797
      4032.81300,       -020.72717,       -015.58156,        020.72717,        015.58156
      4032.87000,       -032.13222,       -014.06638,        032.13222,        014.06638
      4032.92700,       -021.98322,       -021.19448,        021.98322,        021.19448
      4032.98400,       -019.84499,       -011.59610,        019.84499,        011.59610
      4033.04100,       -018.94795,       -012.48810,        018.94795,        012.48810
      4033.09900,       -028.75311,       -016.97281,        028.75311,        016.97281
      4033.16500,       -027.66122,       -014.52772,        027.66122,        014.52772
      4033.21700,       -023.38860,       -019.71141,        023.38860,        019.71141
      4033.27400,       -006.74901,        019.94580,        006.74901,        019.94580
      4033.32700,       -019.61776,       -037.40796,        019.61776,        037.40796
      4033.38500,       -010.91273,       -034.85663,        010.91273,        034.85663
      4033.44400,       -019.09862,       -053.95477,        019.09862,        053.95477
      4033.50200,       -010.90057,       -051.37165,        010.90057,        051.37165
      4033.56000,       -008.83549,       -044.47028,        008.83549,        044.47028
      4033.61600,       -024.62144,       -035.45637,        024.62144,        035.45637
      4033.67500,       -021.80874,       -033.89210,        021.80874,        033.89210
      4033.73100,       -023.80729,       -022.21025,        023.80729,        022.21025
      4033.78700,       -014.40318,       -013.54134,        014.40318,        013.54134
      4033.85000,       -020.97158,       -011.27201,        020.97158,        011.27201
      4033.91300,       -027.34241,       -007.23063,        027.34241,        007.23063
      4033.97000,       -021.98231,       -005.63277,        021.98231,        005.63277
      4034.04100,       -027.74400,       -019.74151,        027.74400,        019.74151
      4034.09600,       -022.23448,       -012.36352,        022.23448,        012.36352
      4034.15100,       -018.26243,       -007.81999,        018.26243,        007.81999
      4034.21100,       -029.29707,       -018.24958,        029.29707,        018.24958
      4034.27200,       -035.98841,       -031.47510,        035.98841,        031.47510
      4034.32900,       -015.92740,       -017.22250,        015.92740,        017.22250
      4034.39100,       -016.19861,       -014.46325,        016.19861,        014.46325
      4034.44800,       -021.27828,       -026.53332,        021.27828,        026.53332
      4034.51000,       -018.67103,        025.26380,        018.67103,        025.26380
      4034.56700,       -033.67933,       -040.53022,        033.67933,        040.53022
      4034.62400,       -009.58841,       -048.35570,        009.58841,        048.35570
      4034.68100,       -026.96544,       -045.78057,        026.96544,        045.78057
      4034.74500,       -023.02273,       -055.12423,        023.02273,        055.12423
      4034.80000,       -027.07650,        057.06339,        027.07650,        057.06339
      4034.86600,       -014.46477,       -072.14708,        014.46477,        072.14708
      4034.92400,       -032.81347,       -080.10480,        032.81347,        080.10480
      4034.98200,       -029.59859,        083.94569,        029.59859,        083.94569
      4035.04300,       -013.48907,       -090.57065,        013.48907,        090.57065
      4035.09700,       -016.25462,       -099.43088,        016.25462,        099.43088
      4035.15800,       -016.56419,        095.64427,        016.56419,        095.64427
      4035.21600,       -032.30453,        096.77538,        032.30453,        096.77538
      4035.27800,       -016.56871,       -104.03470,        016.56871,        104.03470
      4035.33100,       -021.70690,       -104.60120,        021.70690,        104.60120
      4035.38900,       -023.87376,        101.89810,        023.87376,        101.89810
      4035.44700,       -025.19067,        093.98779,        025.19067,        093.98779
      4035.50100,       -026.04906,        091.90350,        026.04906,        091.90350
      4035.56700,       -023.14841,        091.18063,        023.14841,        091.18063
      4035.62300,       -031.09056,        085.70496,        031.09056,        085.70496
      4035.68100,       -024.67599,        079.56072,        024.67599,        079.56072
      4035.73800,       -025.73246,        071.38219,        025.73246,        071.38219
      4035.79400,       -023.54098,        080.40253,        023.54098,        080.40253
      4035.85100,       -020.08372,        079.63419,        020.08372,        079.63419
      4035.90700,       -032.38375,        078.39886,        032.38375,        078.39886
      4035.96400,       -024.73154,        079.18642,        024.73154,        079.18642
      4036.02000,       -029.37008,       -082.47701,        029.37008,        082.47701
      4036.07900,       -026.79946,        081.71543,        026.79946,        081.71543
      4036.13200,       -023.80649,       -088.75327,        023.80649,        088.75327
      4036.19400,       -032.44675,        079.87286,       -032.44675,        079.87286
      4036.25300,       -030.01390,       -092.70570,        030.01390,        092.70570
      4036.31200,       -021.98067,       -092.51133,        021.98067,        092.51133
      4036.38000,       -019.41366,       -098.21738,        019.41366,        098.21738
      4036.43900,       -023.15397,       -098.26566,        023.15397,        098.26566
      4036.49500,       -023.23527,       -106.53690,        023.23527,        106.53690
      4036.55300,       -026.91075,       -110.14730,        026.91075,        110.14730
      4036.60900,       -027.58415,       -103.52770,        027.58415,        103.52770
      4036.66300,       -017.23019,       -116.51230,        017.23019,        116.51230
      4036.72400,       -028.73632,        114.32200,        028.73632,        114.32200
      4036.78500,       -012.09755,       -110.71930,        012.09755,        110.71930
      4036.84200,       -022.03098,        116.07440,        022.03098,        116.07440
      4036.89700,       -027.66691,        114.00670,        027.66691,        114.00670
      4036.95300,       -020.98330,        104.18160,        020.98330,        104.18160
      4037.01100,       -025.52131,        099.75713,        025.52131,        099.75713
      4037.06600,       -017.64364,        088.25470,        017.64364,        088.25470
      4037.12600,       -026.81762,        091.23540,        026.81762,        091.23540
      4037.18200,       -026.46883,        094.59016,        026.46883,        094.59016
      4037.24000,       -024.99254,        084.46677,        024.99254,        084.46677
      4037.29600,       -017.99336,        073.29548,        017.99336,        073.29548
      4037.35500,       -014.52471,        072.12363,        014.52471,        072.12363
      4037.41400,       -025.55767,        071.32137,        025.55767,        071.32137
      4037.46900,       -026.39966,        074.82731,        026.39966,        074.82731
      4037.52800,       -022.18808,        072.04619,        022.18808,        072.04619
      4037.58300,       -017.84192,       -077.10872,        017.84192,        077.10872
      4037.63900,       -020.24463,       -076.35383,        020.24463,        076.35383
      4037.69800,       -023.28853,       -075.73933,        023.28853,        075.73933
      4037.75500,       -018.46406,       -082.67937,        018.46406,        082.67937
      4037.81400,       -028.90354,       -090.33298,        028.90354,        090.33298
      4037.87300,       -014.24011,       -091.40205,        014.24011,        091.40205
      4037.93000,       -024.61226,       -093.14442,        024.61226,        093.14442
      4037.98500,       -009.79948,       -098.76714,        009.79948,        098.76714
      4038.04200,       -008.21960,       -103.66140,        008.21960,        103.66140
      4038.10500,       -026.42051,       -111.24630,        026.42051,        111.24630
      4038.16500,       -020.82020,        116.00250,        020.82020,        116.00250
      4038.23100,       -016.75113,       -115.89910,        016.75113,        115.89910
      4038.28700,       -015.96317,        115.75960,        015.96317,        115.75960
      4038.34600,       -019.15430,        116.81150,        019.15430,        116.81150
      4038.40400,       -024.34794,        108.35310,        024.34794,        108.35310
      4038.45800,       -021.22803,        106.39330,        021.22803,        106.39330
      4038.51800,       -019.03833,        101.84130,        019.03833,        101.84130
      4038.57700,       -030.21628,       -095.56677,        030.21628,        095.56677
      4038.64700,       -021.74986,        093.11055,        021.74986,        093.11055
      4038.70600,       -017.51826,       -096.30616,        017.51826,        096.30616
      4038.75900,       -015.97466,       -089.09947,        015.97466,        089.09947
      4038.82500,       -017.43231,        081.91372,        017.43231,        081.91372
      4038.88500,       -029.33893,        075.60217,        029.33893,        075.60217
      4038.94700,       -007.99682,        075.71674,        007.99682,        075.71674
      4039.00700,       -023.53545,       -076.41658,        023.53545,        076.41658
      4039.06200,       -014.93246,        076.18512,        014.93246,        076.18512
      4039.11900,       -021.38754,        075.96046,        021.38754,        075.96046
      4039.17700,       -022.42257,        078.83901,        022.42257,        078.83901
      4039.24100,       -025.98378,       -087.20020,        025.98378,        087.20020
      4039.29500,       -024.05713,       -085.99688,        024.05713,        085.99688
      4039.35200,       -018.17548,       -091.82613,        018.17548,        091.82613
      4039.41300,       -027.37062,       -097.76193,        027.37062,        097.76193
      4039.46900,       -018.83470,       -090.29994,        018.83470,        090.29994
      4039.52900,       -026.61922,       -101.58030,        026.61922,        101.58030
      4039.58400,       -023.29593,       -105.89330,        023.29593,        105.89330
      4039.64500,       -029.02549,       -105.59750,        029.02549,        105.59750
      4039.69800,       -015.44761,       -109.93530,        015.44761,        109.93530
      4039.76100,       -020.84699,        102.06660,        020.84699,        102.06660
      4039.81900,       -028.46498,        098.94790,        028.46498,        098.94790
      4039.88400,       -016.57560,       -109.63540,        016.57560,        109.63540
