       TimeStamp,           Nose.X,           Nose.Y,           Nose.Z,          Spine.X,          Spine.Y,          Spine.Z, Shoulder_Right.X, Shoulder_Right.Y, Shoulder_Right.Z,    Elbow_Right.X,    Elbow_Right.Y,    Elbow_Right.Z,    Wrist_Right.X,    Wrist_Right.Y,    Wrist_Right.Z,  Shoulder_Left.X,  Shoulder_Left.Y,  Shoulder_Left.Z,     Elbow_left.X,     Elbow_left.Y,     Elbow_left.Z,     Wrist_left.X,     Wrist_left.Y,     Wrist_left.Z,      Hip_Right.X,      Hip_Right.Y,      Hip_Right.Z,     Knee_Right.X,     Knee_Right.Y,     Knee_Right.Z,    Ankle_Right.X,    Ankle_Right.Y,    Ankle_Right.Z,       Hip_Left.X,       Hip_Left.Y,       Hip_Left.Z,      Knee_Left.X,      Knee_Left.Y,      Knee_Left.Z,     Ankle_Left.X,     Ankle_Left.Y,     Ankle_Left.Z,      Eye_Right.X,      Eye_Right.Y,      Eye_Right.Z,       Eye_Left.X,       Eye_Left.Y,       Eye_Left.Z,      Ear_Right.X,      Ear_Right.Y,      Ear_Right.Z,       Ear_Left.X,       Ear_Left.Y,       Ear_Left.Z
    4185.2240000,       00.0274699,       00.3229895,       02.8560000,       00.0054652,       00.0876332,       02.8966800,      -00.1890705,       00.0888409,       02.9366000,      -00.2191307,      -00.2334037,       02.9927600,      -00.2136773,      -00.4209921,       02.9182810,       00.2009858,       00.0892112,       02.9488400,       00.2525661,      -00.1830982,       02.9810000,       00.2747117,      -00.4516045,       02.9712400,      -00.0889676,      -00.4327331,       02.8470800,      -00.0920350,      -00.8380200,       02.9452400,      -00.0694526,      -01.2089070,       02.9532800,       00.1212360,      -00.4310004,       02.8356800,       00.1510345,      -00.8330008,       02.9276000,       00.1273549,      -01.2193530,       02.9788000,       00.0055042,       00.3782576,       02.9173200,       00.0532064,       00.3483477,       02.8831210,      -00.0693520,       00.3335071,       02.9490010,       00.1048620,       00.3386143,       02.9941600
    4185.2840000,       00.0275661,       00.3241204,       02.8660000,       00.0054881,       00.0879998,       02.9088000,      -00.1878241,       00.0882552,       02.9172410,      -00.2135396,      -00.2274484,       02.9164000,      -00.2145998,      -00.4228097,       02.9308800,       00.1989711,       00.0883169,       02.9192800,       00.2520137,      -00.2056952,       02.9744800,       00.2505056,      -00.4493915,       02.9566800,      -00.0899263,      -00.4373962,       02.8777600,      -00.0906588,      -00.8254889,       02.9012000,      -00.0443724,      -01.2372170,       03.0224400,       00.1199482,      -00.4264225,       02.8055600,       00.1494208,      -00.8241005,       02.8963200,       00.1290514,      -01.2355960,       03.0184810,       00.0054965,       00.3777287,       02.9132410,       00.0532580,       00.3486860,       02.8859200,      -00.0691996,       00.3327742,       02.9425200,       00.1038953,       00.3354929,       02.9665600
    4185.3510000,       00.0277362,       00.3261199,       02.8836800,       00.0054821,       00.0879042,       02.9056400,      -00.1901367,       00.0893419,       02.9531600,      -00.2164567,      -00.2305555,       02.9562400,      -00.2126140,      -00.4188973,       02.9037600,       00.2024199,       00.0898477,       02.9698800,       00.2525526,      -00.1830884,       02.9808400,       00.2507497,      -00.4498293,       02.9595610,      -00.0895213,      -00.4132770,       02.8648000,      -00.0904150,      -00.8232697,       02.8934000,      -00.0706511,      -01.2297670,       03.0042400,       00.1234267,      -00.4387886,       02.8869200,       00.1480134,      -00.8163386,       02.8690400,       00.1296106,      -01.2409500,       03.0315600,       00.0054644,       00.3755244,       02.8962400,       00.0532927,       00.3744301,       02.8878000,      -00.0698694,       00.3359951,       02.9710010,       00.1048760,       00.3386595,       02.9945600
    4185.4090000,       00.0276561,       00.3251789,       02.8753600,       00.0055214,       00.0885335,       02.9264400,      -00.1895650,       00.0890732,       02.9442800,      -00.2162575,      -00.2042457,       02.9535200,      -00.2146291,      -00.4228674,       02.9312800,       00.1983413,       00.0880374,       02.9100400,       00.2514004,      -00.1822530,       02.9672400,       00.2740497,      -00.4505162,       02.9640800,      -00.0896488,      -00.4360466,       02.8688800,      -00.0907250,      -00.8260921,       02.9033200,      -00.0707639,      -01.2317320,       03.0090400,       00.1203946,      -00.4280094,       02.8160010,       00.1488678,      -00.7987401,       02.8856000,       00.1291677,      -01.2367100,       03.0212000,       00.0054514,       00.3746323,       02.8893600,       00.0533570,       00.3493336,       02.8912800,      -00.0691281,       00.3324304,       02.9394800,       00.1048507,       00.3385780,       02.9938400
    4185.4740000,       00.0275584,       00.3240300,       02.8652000,       00.0055479,       00.0889595,       02.9405200,      -00.1888979,       00.0887598,       02.9339200,      -00.2403947,      -00.2053578,       02.9696010,      -00.2142220,      -00.3962133,       02.9257200,       00.1995818,       00.0885880,       02.9282400,       00.2513495,      -00.1822162,       02.9666400,       00.2746081,      -00.4514343,       02.9701200,      -00.0879339,      -00.4277053,       02.8140010,      -00.0888051,      -00.8086104,       02.8418800,      -00.0698966,      -01.2166350,       02.9721600,       00.1215199,      -00.4320097,       02.8423200,       00.1498480,      -00.8039993,       02.9046000,       00.1283468,      -01.2288500,       03.0020000,       00.0054051,       00.3461342,       02.8648000,       00.0765826,       00.3533545,       02.9245600,      -00.0690274,       00.3319464,       02.9352000,       00.1051631,       00.3130541,       03.0027600
    4185.5320000,       00.0274930,       00.3232609,       02.8584000,       00.0054579,       00.0875158,       02.8928000,      -00.1883674,       00.0885105,       02.9256800,      -00.2396888,      -00.2047548,       02.9608810,      -00.2370562,      -00.2995383,       02.9283600,       00.1989356,       00.0883012,       02.9187600,       00.2494991,      -00.2036427,       02.9448000,       00.2731178,      -00.4489842,       02.9540000,      -00.0888213,      -00.4320218,       02.8424000,      -00.0911475,      -00.8299392,       02.9168400,      -00.0702212,      -01.2222840,       02.9859610,       00.1206255,      -00.4288300,       02.8214000,       00.1518207,      -00.8373370,       02.9428400,       00.1297149,      -01.2419490,       03.0340000,       00.0054609,       00.3752859,       02.8944010,       00.0759269,       00.3759496,       02.8995200,      -00.0690331,       00.3319735,       02.9354400,       00.1041181,       00.3099431,       02.9729200
    4185.5890000,       00.0274045,       00.3222205,       02.8492000,       00.0054553,       00.0874734,       02.8914000,      -00.1902140,       00.0893782,       02.9543600,      -00.2655964,      -00.2045583,       02.9580400,      -00.2813869,      -00.3206442,       02.8854400,       00.1967846,       00.0873464,       02.8872000,       00.2513021,      -00.2051143,       02.9660800,       00.2741348,      -00.4506561,       02.9650010,      -00.0878914,      -00.4274986,       02.8126410,      -00.0893588,      -00.8389203,       02.8596000,      -00.0445222,      -01.2413920,       03.0326400,       00.1228521,      -00.4367458,       02.8734800,       00.1514410,      -00.8352427,       02.9354800,       00.1317243,      -01.2611880,       03.0810000,       00.0054486,       00.3744404,       02.8878800,       00.0756221,       00.3744404,       02.8878800,      -00.0689023,       00.3313447,       02.9298800,       00.1035549,       00.3343937,       02.9568410
    4185.6530000,       00.0524704,       00.3435292,       02.8432400,       00.0054496,       00.0873827,       02.8884000,      -00.1883314,       00.0884936,       02.9251200,      -00.2949655,      -00.1590547,       03.0246800,      -00.3912647,      -00.3559324,       02.9946400,       00.2006860,       00.0890781,       02.9444400,       00.2488892,      -00.1804325,       02.9376010,       00.2709579,      -00.4454336,       02.9306400,      -00.0886701,      -00.4312862,       02.8375600,      -00.0905425,      -00.8244305,       02.8974800,      -00.0448158,      -01.2495790,       03.0526400,       00.1206255,      -00.4288300,       02.8214000,       00.1485252,      -00.8191610,       02.8789600,       00.1297354,      -01.2421460,       03.0344800,       00.0054583,       00.3751044,       02.8930010,       00.0757070,       00.3748606,       02.8911210,      -00.0693303,       00.3334030,       02.9480800,       00.1027508,       00.3317971,       02.9338800
    4185.7080000,       00.0276392,       00.3249799,       02.8736000,       00.0054756,       00.0878002,       02.9022000,      -00.1875124,       00.0881088,       02.9124000,      -00.2926367,      -00.1080825,       03.0008000,      -00.4149582,      -00.3042886,       02.9748000,       00.2005306,       00.0890091,       02.9421600,       00.2510547,      -00.1820025,       02.9631610,       00.2718714,      -00.4242004,       02.9405210,      -00.0879589,      -00.4278270,       02.8148010,      -00.0911450,      -00.8556892,       02.9167600,      -00.0439056,      -01.2242000,       02.9906400,       00.1239363,      -00.4406002,       02.8988400,       00.1512326,      -00.8340934,       02.9314400,       00.1289710,      -01.2348270,       03.0166000,       00.0054187,       00.3723815,       02.8720010,       00.0754870,       00.3737714,       02.8827200,      -00.0700274,       00.3367550,       02.9777200,       00.1024496,       00.3308245,       02.9252800
    4185.7660000,       00.0276177,       00.3247266,       02.8713610,       00.0054723,       00.0877469,       02.9004400,      -00.1645553,       00.0878740,       02.9046400,      -00.3174973,      -00.1075221,       02.9852400,      -00.4580515,      -00.3002299,       02.9351210,       00.2007814,       00.0891204,       02.9458400,       00.2518646,      -00.2055735,       02.9727200,       00.2761503,      -00.4539695,       02.9868000,      -00.0884964,      -00.4304411,       02.8320000,      -00.0915400,      -00.8335130,       02.9294000,      -00.0699973,      -01.2183870,       02.9764400,       00.1230368,      -00.4374024,       02.8778000,       00.1478153,      -00.8152457,       02.8652000,       00.1304366,      -01.2488590,       03.0508800,       00.0054569,       00.3750058,       02.8922400,       00.0760589,       00.3509381,       02.9045600,      -00.0699107,       00.3361941,       02.9727600,       00.1018780,       00.3032749,       02.9089600
