       TimeStamp,     Flexion_Left,    Flexion_Right,   Abduction_Left,  Abduction_Right
      3787.84700,       -016.08574,       -021.70487,        016.08574,        021.70487
      3787.90400,       -011.70191,       -011.26608,        011.70191,        011.26608
      3787.97400,       -025.79256,        010.29648,        025.79256,        010.29648
      3788.03900,       -013.97556,       -014.60533,        013.97556,        014.60533
      3788.09500,       -020.27657,       -011.62066,        020.27657,        011.62066
      3788.15000,       -020.88608,       -010.87073,        020.88608,        010.87073
      3788.20700,       -010.50865,       -020.20724,        010.50865,        020.20724
      3788.26200,       -017.42871,       -014.86001,        017.42871,        014.86001
      3788.31800,       -014.03806,       -020.07066,        014.03806,        020.07066
      3788.37500,       -021.62770,       -027.89494,        021.62770,        027.89494
      3788.44000,       -019.68007,       -037.28959,        019.68007,        037.28959
      3788.50000,       -026.32197,       -039.65748,        026.32197,        039.65748
      3788.55500,       -018.54969,       -040.53578,        018.54969,        040.53578
      3788.61000,       -016.86423,       -038.06229,        016.86423,        038.06229
      3788.66600,       -015.05915,       -037.16354,        015.05915,        037.16354
      3788.72100,       -010.60096,       -031.66285,        010.60096,        031.66285
      3788.77600,       -019.26593,       -026.81312,        019.26593,        026.81312
      3788.83300,       -023.32284,       -017.50869,        023.32284,        017.50869
      3788.88900,       -013.02512,       -020.62135,        013.02512,        020.62135
      3788.94800,       -015.91952,       -010.80773,        015.91952,        010.80773
      3789.00400,       -008.02549,       -011.72155,        008.02549,        011.72155
      3789.06000,       -021.05040,       -017.20451,        021.05040,        017.20451
      3789.12000,       -020.23020,       -012.31208,        020.23020,        012.31208
      3789.17500,       -024.29327,       -014.83739,        024.29327,        014.83739
      3789.23100,       -007.10111,       -012.15416,        007.10111,        012.15416
      3789.28500,       -025.41673,       -011.99819,        025.41673,        011.99819
      3789.34800,       -020.41306,       -012.08186,        020.41306,        012.08186
      3789.40900,       -024.97580,       -012.55941,        024.97580,        012.55941
      3789.47400,       -019.00235,       -012.85894,        019.00235,        012.85894
      3789.54500,       -015.49591,       -021.74352,        015.49591,        021.74352
      3789.59900,       -016.72901,       -007.82285,        016.72901,        007.82285
      3789.66200,       -016.27489,       -017.50743,        016.27489,        017.50743
      3789.71900,       -022.72449,       -028.41622,        022.72449,        028.41622
      3789.78300,       -015.13113,        025.47253,        015.13113,        025.47253
      3789.83700,       -013.27546,       -036.16796,        013.27546,        036.16796
      3789.90200,       -028.08679,       -043.39788,        028.08679,        043.39788
      3789.97000,       -016.36059,       -051.27330,        016.36059,        051.27330
      3790.03100,       -032.42308,       -059.68715,        032.42308,        059.68715
      3790.09400,       -018.22818,       -056.97562,        018.22818,        056.97562
      3790.15400,       -028.72466,       -066.12721,       -028.72466,        066.12721
      3790.21700,       -009.21126,       -075.76154,        009.21126,        075.76154
      3790.27100,       -013.87487,       -081.07896,        013.87487,        081.07896
      3790.33000,       -017.68277,       -087.68468,        017.68277,        087.68468
      3790.39000,       -026.76869,       -096.94586,        026.76869,        096.94586
      3790.44900,       -028.83737,       -095.41919,        028.83737,        095.41919
      3790.50200,       -026.11811,       -095.18086,        026.11811,        095.18086
      3790.56000,       -025.39194,       -095.40047,        025.39194,        095.40047
      3790.61900,       -026.74236,       -104.82670,        026.74236,        104.82670
      3790.67600,       -030.08389,       -100.19940,        030.08389,        100.19940
      3790.73100,       -011.59855,       -104.10290,        011.59855,        104.10290
      3790.78600,       -023.70318,        101.84200,        023.70318,        101.84200
      3790.84200,       -008.85066,       -098.98163,        008.85066,        098.98163
      3790.89700,       -025.73157,        091.66772,        025.73157,        091.66772
      3790.95400,       -017.01896,       -094.32647,        017.01896,        094.32647
      3791.00900,       -028.28530,        091.43684,        028.28530,        091.43684
      3791.06800,       -019.41296,        094.08602,        019.41296,        094.08602
      3791.12400,       -027.18999,        083.04617,        027.18999,        083.04617
      3791.18100,       -015.50057,       -082.66207,        015.50057,        082.66207
      3791.24200,       -022.05252,       -078.53146,        022.05252,        078.53146
      3791.29800,       -032.81598,       -078.98495,        032.81598,        078.98495
      3791.35800,       -028.00987,        078.33532,        028.00987,        078.33532
      3791.41600,       -024.17295,        077.64360,        024.17295,        077.64360
      3791.47200,       -006.62706,       -079.04963,        006.62706,        079.04963
      3791.54100,       -019.90672,       -085.65662,        019.90672,        085.65662
      3791.59800,       -031.31211,        086.71140,       -031.31211,        086.71140
      3791.65600,       -013.65636,        094.93623,        013.65636,        094.93623
      3791.71500,       -032.52769,       -102.74020,        032.52769,        102.74020
      3791.78100,       -017.21495,       -097.43690,        017.21495,        097.43690
      3791.83800,       -010.74124,       -101.79400,        010.74124,        101.79400
      3791.89300,       -025.71579,       -100.25800,       -025.71579,        100.25800
      3791.95800,       -019.39511,       -102.84460,        019.39511,        102.84460
      3792.01400,       -011.11021,       -101.70000,        011.11021,        101.70000
      3792.07000,       -027.84045,       -109.64410,        027.84045,        109.64410
      3792.12700,       -028.80274,        106.68690,        028.80274,        106.68690
      3792.18500,       -020.31065,       -107.67660,        020.31065,        107.67660
      3792.24300,       -016.57236,        101.72950,        016.57236,        101.72950
      3792.30200,       -018.05199,        097.64061,        018.05199,        097.64061
      3792.36000,       -018.40329,        098.95750,        018.40329,        098.95750
      3792.41800,       -017.25561,        097.38846,        017.25561,        097.38846
