       TimeStamp,           Nose.X,           Nose.Y,           Nose.Z,          Spine.X,          Spine.Y,          Spine.Z, Shoulder_Right.X, Shoulder_Right.Y, Shoulder_Right.Z,    Elbow_Right.X,    Elbow_Right.Y,    Elbow_Right.Z,    Wrist_Right.X,    Wrist_Right.Y,    Wrist_Right.Z,  Shoulder_Left.X,  Shoulder_Left.Y,  Shoulder_Left.Z,     Elbow_left.X,     Elbow_left.Y,     Elbow_left.Z,     Wrist_left.X,     Wrist_left.Y,     Wrist_left.Z,      Hip_Right.X,      Hip_Right.Y,      Hip_Right.Z,     Knee_Right.X,     Knee_Right.Y,     Knee_Right.Z,    Ankle_Right.X,    Ankle_Right.Y,    Ankle_Right.Z,       Hip_Left.X,       Hip_Left.Y,       Hip_Left.Z,      Knee_Left.X,      Knee_Left.Y,      Knee_Left.Z,     Ankle_Left.X,     Ankle_Left.Y,     Ankle_Left.Z,      Eye_Right.X,      Eye_Right.Y,      Eye_Right.Z,       Eye_Left.X,       Eye_Left.Y,       Eye_Left.Z,      Ear_Right.X,      Ear_Right.Y,      Ear_Right.Z,       Ear_Left.X,       Ear_Left.Y,       Ear_Left.Z
    3862.7800000,       00.0526948,       00.3449984,       02.8554000,       00.0276142,       00.0868563,       02.8710000,      -00.1386753,       00.0877385,       02.9001600,      -00.1901676,      -00.2303527,       02.9536400,      -00.1869046,      -00.4412265,       02.9029600,       00.2204307,       00.0622082,       02.9046390,       00.2514918,      -00.2052692,       02.9683200,       00.3010064,      -00.4286897,       02.9716400,      -00.0666268,      -00.4306114,       02.8331200,      -00.0683454,      -00.8525913,       02.9062000,      -00.0443877,      -01.2376430,       03.0234800,       00.1461438,      -00.4305627,       02.8328000,       00.1961875,      -00.8190131,       02.8784400,       00.1760259,      -01.1392730,       02.9673210,       00.0275161,       00.3709292,       02.8608000,       00.0750125,       00.3714220,       02.8646000,      -00.0434963,       00.3579701,       02.9627600,       00.1249880,       00.3306164,       02.9234400
    3862.8560000,       00.0275046,       00.3455059,       02.8596000,       00.0276661,       00.0870196,       02.8764000,      -00.1389163,       00.0878909,       02.9052000,      -00.1886559,      -00.2285216,       02.9301600,      -00.1870617,      -00.4191339,       02.9054000,       00.2222369,       00.0885940,       02.9284400,       00.2549385,      -00.2080824,       03.0090000,       00.2992034,      -00.4261219,       02.9538400,      -00.0664819,      -00.4296751,       02.8269600,      -00.0676089,      -00.8434029,       02.8748800,      -00.0431510,      -01.2031600,       02.9392400,       00.1455041,      -00.4286781,       02.8204000,       00.1982241,      -00.8275149,       02.9083200,       00.1744194,      -01.2035690,       02.9402400,       00.0054192,       00.3724178,       02.8722800,       00.0749968,       00.3713441,       02.8640000,      -00.0434123,       00.3572789,       02.9570400,       00.1243502,       00.3289291,       02.9085200
    3862.9110000,       00.0524682,       00.3435147,       02.8431200,       00.0280147,       00.0881160,       02.9126400,      -00.1419861,       00.0898332,       02.9694000,      -00.1911488,      -00.2315414,       02.9688800,      -00.1877622,      -00.4432510,       02.9162800,       00.2203367,       00.0878365,       02.9034000,       00.2514478,      -00.2052333,       02.9678000,       00.3016142,      -00.4295554,       02.9776400,      -00.0666052,      -00.4304715,       02.8322000,      -00.0676098,      -00.8434147,       02.8749200,      -00.0700744,      -01.2197300,       02.9797200,       00.1468908,      -00.4327636,       02.8472800,       00.1955769,      -00.8164638,       02.8694800,       00.1750529,      -01.2079410,       02.9509200,       00.0274949,       00.3706439,       02.8586000,       00.1011300,       00.3744041,       02.8876000,      -00.0434687,       00.3577429,       02.9608800,       00.1953007,       00.4281240,       03.7856400
    3862.9770000,       00.0525117,       00.3437999,       02.8454800,       00.0279212,       00.0878220,       02.9029200,      -00.1422023,       00.0899699,       02.9739200,      -00.1866599,      -00.2261039,       02.8991600,      -00.1870591,      -00.4191281,       02.9053600,       00.2201424,       00.0621269,       02.9008400,       00.2517325,      -00.2054656,       02.9711600,       00.3049771,      -00.4343448,       03.0108400,      -00.0666324,      -00.4306478,       02.8333600,      -00.0676982,      -00.8445176,       02.8786800,      -00.0442385,      -01.2334840,       03.0133200,       00.1505929,      -00.4436705,       02.9190400,       00.1953260,      -00.8154165,       02.8658000,       00.1773285,      -01.1477040,       02.9892800,       00.0277227,       00.3737144,       02.8822800,       00.1012351,       00.3747931,       02.8906000,      -00.0436114,       00.3589173,       02.9706000,       00.1973973,       00.4327199,       03.8262800
    3863.0340000,       00.0526727,       00.3448535,       02.8542000,       00.0276181,       00.0868684,       02.8714010,      -00.1399453,       00.0885420,       02.9267200,      -00.1878008,      -00.2274859,       02.9168800,      -00.1877210,      -00.4206112,       02.9156400,       00.2194109,       00.0619204,       02.8912010,       00.2541793,      -00.2074628,       03.0000400,       00.2998963,      -00.4271087,       02.9606800,      -00.0668563,      -00.4320948,       02.8428800,      -00.0684019,      -00.8532953,       02.9086000,      -00.0437975,      -01.2211870,       02.9832800,       00.1451739,      -00.4277053,       02.8140010,       00.1952988,      -00.8153027,       02.8654000,       00.1798603,      -01.1640900,       03.0319600,       00.0277065,       00.3734965,       02.8806000,       00.0752011,       00.3723555,       02.8718000,      -00.0432655,       00.3560707,       02.9470400,       00.1859072,       00.4075322,       03.6035600
    3863.0920000,       00.0526431,       00.3446602,       02.8526000,       00.0276950,       00.0871104,       02.8794000,      -00.1392338,       00.0880918,       02.9118400,      -00.1876927,      -00.2273548,       02.9152000,      -00.1881768,      -00.4216325,       02.9227200,       00.2213657,       00.0624721,       02.9169600,       00.2523831,      -00.2059967,       02.9788400,       00.3022543,      -00.4535378,       02.9839600,      -00.0673765,      -00.4354568,       02.8650000,      -00.0676089,      -00.8434029,       02.8748800,      -00.0437417,      -01.2196320,       02.9794800,       00.1463770,      -00.4312497,       02.8373200,       00.1977606,      -00.8255800,       02.9015200,       00.1782515,      -01.2300130,       03.0048400,       00.0273949,       00.3692956,       02.8482000,       00.1010683,       00.3741759,       02.8858400,      -00.0436037,       00.3588545,       02.9700800,       00.1799929,       00.3945674,       03.4889200
    3863.1570000,       00.0527059,       00.3450709,       02.8560000,       00.0531931,       00.0872012,       02.8824000,      -00.1390234,       00.0879587,       02.9074400,      -00.2150187,      -00.2290238,       02.9366000,      -00.2477636,      -00.4913878,       03.8482090,       00.2209043,       00.0623419,       02.9108800,       00.2529390,      -00.2064504,       02.9854000,       00.3020315,      -00.4301497,       02.9817600,      -00.0670097,      -00.4330859,       02.8494010,      -00.0675459,      -00.8426167,       02.8722000,      -00.0437259,      -01.2191900,       02.9784000,       00.1476626,      -00.4350374,       02.8622400,       00.1987966,      -00.8299051,       02.9167200,       00.1757150,      -01.2125090,       02.9620810,       00.0276650,       00.3729364,       02.8762800,       00.1007840,       00.3731231,       02.8777200,      -00.0437200,       00.3598114,       02.9780000,       00.1791118,       00.3926358,       03.4718400
    3863.2100000,       00.0277562,       00.3486666,       02.8857600,       00.0532957,       00.0873694,       02.8879600,      -00.1394079,       00.0882019,       02.9154800,      -00.2159998,      -00.2040023,       02.9500000,      -00.2143304,      -00.2994197,       02.9272000,       00.2198328,       00.0620395,       02.8967600,       00.2712242,      -00.2028627,       02.9335210,       00.2978218,      -00.4241543,       02.9402010,      -00.0670285,      -00.4332074,       02.8502000,      -00.0665337,      -00.8299900,       02.8291600,      -00.0694329,      -01.2085630,       02.9524400,       00.1472581,      -00.4338458,       02.8544000,       00.2010376,      -00.8392605,       02.9496000,       00.1784461,      -01.2313550,       03.0081200,       00.0054352,       00.3735173,       02.8807600,       00.0750230,       00.3714738,       02.8650000,      -00.0440359,       00.3624115,       02.9995200,       00.1244562,       00.3292095,       02.9110000
    3863.2650000,       00.0274392,       00.3446844,       02.8528000,       00.0277504,       00.0872847,       02.8851600,      -00.1403756,       00.0888142,       02.9357190,      -00.2635959,      -00.2030176,       02.9357600,      -00.3111329,      -00.3477027,       02.9254000,       00.2187490,       00.0617337,       02.8824800,       00.2509292,      -00.2048100,       02.9616800,       00.2992926,      -00.4262489,       02.9547200,      -00.0671931,      -00.4342712,       02.8571990,      -00.0674904,      -00.8419244,       02.8698400,      -00.0439890,      -01.2265250,       02.9963200,       00.1498851,      -00.4415852,       02.9053200,       00.1974934,      -00.8244648,       02.8976000,       00.1771600,      -01.2224810,       02.9864400,       00.0275815,       00.3718110,       02.8676000,       00.0752901,       00.3727964,       02.8752010,      -00.0441678,       00.3634965,       03.0085000,       00.1656530,       00.3631325,       03.2109600
    3863.3220000,       00.0520674,       00.3408905,       02.8214000,       00.0533592,       00.0874735,       02.8914000,      -00.1382086,       00.0874432,       02.8904000,      -00.2824363,      -00.1522985,       02.8962010,      -00.3829028,      -00.3483256,       02.9306400,       00.2436530,       00.0615906,       02.8758000,       00.2726924,      -00.2039608,       02.9494000,       00.2983242,      -00.4476406,       02.9451610,      -00.0672919,      -00.4349096,       02.8614000,      -00.0682363,      -00.8512300,       02.9015600,      -00.0435720,      -01.2149000,       02.9679210,       00.1461438,      -00.4305628,       02.8328010,       00.1988212,      -00.8300076,       02.9170800,       00.1794475,      -01.1614190,       03.0250010,       00.0271914,       00.3665519,       02.8270400,       00.0994741,       00.3682739,       02.8403200,      -00.0434956,       00.3579645,       02.9627140,       00.1527514,       00.3348505,       02.9608800
