       TimeStamp,     Flexion_Left,    Flexion_Right,   Abduction_Left,  Abduction_Right
      2780.48100,       -022.20421,       -009.55432,        022.20421,        009.55432
      2780.55000,       -023.04243,       -009.28387,        023.04243,        009.28387
      2780.61200,       -019.70474,       -014.96920,        019.70474,        014.96920
      2780.66700,       -028.10191,       -011.45764,        028.10191,        011.45764
      2780.73100,       -021.42334,       -006.95342,        021.42334,        006.95342
      2780.78400,       -013.28742,       -018.81576,        013.28742,        018.81576
      2780.84400,       -023.16998,       -012.30873,        023.16998,        012.30873
      2780.90100,       -019.22132,       -010.85893,        019.22132,        010.85893
      2780.95600,       -023.01118,       -020.95231,        023.01118,        020.95231
      2781.01500,       -011.32554,       -020.49796,        011.32554,        020.49796
      2781.07600,       -016.03492,        023.94530,        016.03492,        023.94530
      2781.13000,       -018.70625,       -026.09387,        018.70625,        026.09387
      2781.18700,       -020.05244,       -033.39997,        020.05244,        033.39997
      2781.25000,       -027.84972,       -045.60160,        027.84972,        045.60160
      2781.31700,       -023.83315,       -038.76330,        023.83315,        038.76330
      2781.37600,       -025.07052,       -030.22880,        025.07052,        030.22880
      2781.43200,       -016.89081,       -025.60726,        016.89081,        025.60726
      2781.48800,       -013.88756,       -023.34707,        013.88756,        023.34707
      2781.54500,       -026.16505,       -013.29472,        026.16505,        013.29472
      2781.60100,       -024.41210,       -011.22641,        024.41210,        011.22641
      2781.65700,       -016.81281,       -011.35506,        016.81281,        011.35506
      2781.71500,       -023.20870,       -010.26017,        023.20870,        010.26017
      2781.77000,       -026.35725,        006.59258,        026.35725,        006.59258
      2781.82700,       -007.43788,       -006.33698,        007.43788,        006.33698
      2781.89000,       -017.85657,       -009.69805,        017.85657,        009.69805
      2781.94900,       -023.20058,       -009.86560,        023.20058,        009.86560
      2782.00800,       -017.82998,       -008.34311,        017.82998,        008.34311
      2782.06300,       -028.67264,       -011.53020,        028.67264,        011.53020
      2782.11900,       -011.76023,       -013.25696,        011.76023,        013.25696
      2782.18100,       -025.65868,       -016.44458,        025.65868,        016.44458
      2782.23400,       -025.49779,       -017.05255,        025.49779,        017.05255
      2782.29800,       -017.20868,        016.08303,        017.20868,        016.08303
      2782.36400,       -027.19194,       -027.45179,        027.19194,        027.45179
      2782.42600,       -030.41263,        027.24631,       -030.41263,        027.24631
      2782.48600,       -025.23983,       -048.22424,        025.23983,        048.22424
      2782.54300,       -033.36721,       -046.35980,        033.36721,        046.35980
      2782.61500,       -019.92400,        053.20034,        019.92400,        053.20034
      2782.68200,       -014.07815,       -064.37763,        014.07815,        064.37763
      2782.73900,       -016.99136,       -068.85237,        016.99136,        068.85237
      2782.79800,       -025.74789,       -071.14753,        025.74789,        071.14753
      2782.85500,       -024.64732,       -083.53980,        024.64732,        083.53980
      2782.91700,       -014.77312,        089.25923,        014.77312,        089.25923
      2782.97800,       -018.40598,       -095.75677,        018.40598,        095.75677
      2783.03300,       -035.42563,       -102.38090,        035.42563,        102.38090
      2783.08900,       -021.38347,       -101.51660,        021.38347,        101.51660
      2783.15400,       -024.20758,       -109.33570,        024.20758,        109.33570
      2783.21700,       -025.18934,        112.72020,        025.18934,        112.72020
      2783.28100,       -024.54756,       -118.03810,        024.54756,        118.03810
      2783.33400,       -021.10920,        119.16790,        021.10920,        119.16790
      2783.38900,       -021.19030,       -127.93540,        021.19030,        127.93540
      2783.44900,       -027.85835,        124.79840,        027.85835,        124.79840
      2783.50800,       -020.04921,       -123.94290,        020.04921,        123.94290
      2783.56400,       -026.24253,       -127.91150,        026.24253,        127.91150
      2783.63000,       -021.86638,       -127.72730,        021.86638,        127.72730
      2783.68900,       -024.45189,       -138.45390,        024.45189,        138.45390
      2783.74700,       -030.46742,       -134.36350,        030.46742,        134.36350
      2783.80200,       -023.98430,       -139.52220,        023.98430,        139.52220
      2783.86000,       -016.94194,       -139.36770,        016.94194,        139.36770
      2783.92000,       -017.28768,       -131.88880,        017.28768,        131.88880
      2783.98800,       -025.88919,        146.49480,        025.88919,        146.49480
      2784.04900,       -029.02607,       -143.52860,        029.02607,        143.52860
      2784.10600,       -027.10067,       -143.49310,        027.10067,        143.49310
      2784.16800,       -026.73645,       -140.44910,        026.73645,        140.44910
      2784.22500,       -020.81321,       -143.48140,        020.81321,        143.48140
      2784.28300,       -015.55665,       -132.74550,        015.55665,        132.74550
      2784.34100,       -016.13671,       -135.41370,        016.13671,        135.41370
      2784.39900,       -018.92142,       -133.12430,        018.92142,        133.12430
      2784.45500,       -024.84309,       -129.86240,        024.84309,        129.86240
      2784.51300,       -023.04171,       -123.10930,        023.04171,        123.10930
      2784.56600,       -018.61571,       -118.83670,        018.61571,        118.83670
      2784.62300,       -024.84424,       -119.33050,        024.84424,        119.33050
      2784.68400,       -036.73719,       -113.75630,        036.73719,        113.75630
      2784.74600,       -024.40449,       -118.30780,        024.40449,        118.30780
      2784.80600,       -016.38923,       -119.15770,        016.38923,        119.15770
      2784.86500,       -013.99239,       -109.52870,        013.99239,        109.52870
      2784.92200,       -020.74743,       -104.19980,        020.74743,        104.19980
      2784.98200,       -021.69327,       -103.77970,        021.69327,        103.77970
      2785.03900,       -025.74215,       -096.19178,        025.74215,        096.19178
      2785.09600,       -026.32841,       -096.97138,        026.32841,        096.97138
      2785.16300,       -012.26408,        081.74320,        012.26408,        081.74320
      2785.23400,       -014.87258,        071.77722,        014.87258,        071.77722
      2785.28900,       -020.10168,       -075.63879,        020.10168,        075.63879
      2785.34900,       -030.29907,       -068.65562,        030.29907,        068.65562
      2785.40600,       -022.57912,        057.43168,        022.57912,        057.43168
      2785.46500,       -018.20627,        055.38898,        018.20627,        055.38898
      2785.52100,       -011.42351,       -050.99483,        011.42351,        050.99483
      2785.57900,       -016.70883,        041.44741,        016.70883,        041.44741
      2785.63700,       -014.94625,        036.78641,        014.94625,        036.78641
      2785.69300,       -014.05980,       -037.39425,        014.05980,        037.39425
      2785.75400,       -016.37364,       -026.00020,        016.37364,        026.00020
      2785.81500,       -012.84913,       -020.95337,        012.84913,        020.95337
      2785.87500,       -023.26368,       -012.07604,        023.26368,        012.07604
      2785.93200,       -021.70165,       -019.03375,        021.70165,        019.03375
      2785.99000,       -019.05528,       -019.18037,        019.05528,        019.18037
      2786.04700,       -023.83798,       -024.04974,        023.83798,        024.04974
      2786.11500,       -023.39476,       -020.03888,        023.39476,        020.03888
      2786.18300,       -017.14039,       -022.25676,        017.14039,        022.25676
      2786.24200,       -018.35998,       -019.44567,        018.35998,        019.44567
      2786.29800,       -017.41146,       -018.62993,        017.41146,        018.62993
      2786.35300,       -011.78020,       -020.57898,        011.78020,        020.57898
      2786.41600,       -019.16396,       -015.10472,        019.16396,        015.10472
      2786.48300,       -017.31214,        012.32123,        017.31214,        012.32123
      2786.54000,       -024.89420,       -011.70407,        024.89420,        011.70407
      2786.59800,       -029.82640,       -016.79131,        029.82640,        016.79131
      2786.65800,       -019.59867,       -032.69542,        019.59867,        032.69542
      2786.71900,       -015.76855,       -042.77758,        015.76855,        042.77758
      2786.78300,       -021.41334,       -048.46079,        021.41334,        048.46079
      2786.85000,       -020.90035,       -056.59047,        020.90035,        056.59047
      2786.90400,       -012.24757,       -056.65858,        012.24757,        056.65858
      2786.96000,       -008.01227,       -061.20552,        008.01227,        061.20552
      2787.01800,       -022.84267,       -066.94973,        022.84267,        066.94973
      2787.07300,       -017.10266,       -074.92485,        017.10266,        074.92485
      2787.13200,       -011.24038,       -085.51661,        011.24038,        085.51661
      2787.19000,       -030.72953,       -089.43495,        030.72953,        089.43495
      2787.24900,       -029.17010,       -102.02530,        029.17010,        102.02530
      2787.30400,       -016.98307,       -096.03569,        016.98307,        096.03569
      2787.36100,       -025.28972,       -109.18110,        025.28972,        109.18110
      2787.42200,       -014.97590,       -104.16280,        014.97590,        104.16280
      2787.48300,       -027.65697,       -113.56270,        027.65697,        113.56270
      2787.54500,       -022.68829,       -119.49900,        022.68829,        119.49900
      2787.60400,       -024.12413,       -119.60880,        024.12413,        119.60880
