       TimeStamp,           Nose.X,           Nose.Y,           Nose.Z,          Spine.X,          Spine.Y,          Spine.Z, Shoulder_Right.X, Shoulder_Right.Y, Shoulder_Right.Z,    Elbow_Right.X,    Elbow_Right.Y,    Elbow_Right.Z,    Wrist_Right.X,    Wrist_Right.Y,    Wrist_Right.Z,  Shoulder_Left.X,  Shoulder_Left.Y,  Shoulder_Left.Z,     Elbow_left.X,     Elbow_left.Y,     Elbow_left.Z,     Wrist_left.X,     Wrist_left.Y,     Wrist_left.Z,      Hip_Right.X,      Hip_Right.Y,      Hip_Right.Z,     Knee_Right.X,     Knee_Right.Y,     Knee_Right.Z,    Ankle_Right.X,    Ankle_Right.Y,    Ankle_Right.Z,       Hip_Left.X,       Hip_Left.Y,       Hip_Left.Z,      Knee_Left.X,      Knee_Left.Y,      Knee_Left.Z,     Ankle_Left.X,     Ankle_Left.Y,     Ankle_Left.Z,      Eye_Right.X,      Eye_Right.Y,      Eye_Right.Z,       Eye_Left.X,       Eye_Left.Y,       Eye_Left.Z,      Ear_Right.X,      Ear_Right.Y,      Ear_Right.Z,       Ear_Left.X,       Ear_Left.Y,       Ear_Left.Z
    2821.7470000,       00.0277204,       00.3482171,       02.8820400,       00.0276773,       00.0870547,       02.8775600,      -00.1646889,       00.0879454,       02.9070000,      -00.1872729,      -00.2268464,       02.9086800,      -00.1866342,      -00.4181761,       02.8987600,       00.2207282,       00.0879926,       02.9085600,       00.2576835,      -00.1868080,       03.0414000,       00.3000948,      -00.4273914,       02.9626400,      -00.0664998,      -00.4297905,       02.8277200,      -00.0677443,      -00.8450927,       02.8806400,      -00.0702926,      -01.2235290,       02.9890000,       00.1473716,      -00.4120940,       02.8566000,       00.1952170,      -00.8149614,       02.8642000,       00.2018937,      -01.2125420,       02.9621600,       00.0054507,       00.3745857,       02.8890010,       00.0755677,       00.3741708,       02.8858000,      -00.0434293,       00.3574191,       02.9582000,       00.1245622,       00.3294900,       02.9134800
    2821.8140000,       00.0277004,       00.3256992,       02.8799600,       00.0276704,       00.0870330,       02.8768400,      -00.1383196,       00.0875134,       02.8927210,      -00.1883623,      -00.2281659,       02.9256000,      -00.1891735,      -00.4238658,       02.9382010,       00.2226893,       00.0887743,       02.9344000,       00.2550808,      -00.1849212,       03.0106800,       00.3055606,      -00.4351757,       03.0166000,      -00.0670567,      -00.4333898,       02.8514000,      -00.0678064,      -00.8458672,       02.8832800,      -00.0705466,      -01.2279500,       02.9998000,       00.1476915,      -00.4129885,       02.8628000,       00.1973217,      -00.8237476,       02.8950800,       00.2049335,      -01.2307980,       03.0067600,       00.0054198,       00.3724592,       02.8726000,       00.0763198,       00.3778946,       02.9145200,      -00.0433066,       00.3564090,       02.9498400,       00.1250599,       00.3308064,       02.9251200
    2821.8740000,       00.0276869,       00.3477966,       02.8785600,       00.0275469,       00.0866445,       02.8640000,      -00.1637327,       00.0874347,       02.8901200,      -00.1905127,      -00.2307708,       02.9590000,      -00.1883030,      -00.4219153,       02.9246800,       00.2222460,       00.0885976,       02.9285600,       00.2514546,      -00.1822924,       02.9678800,       00.3000016,      -00.4272587,       02.9617200,      -00.0674001,      -00.4356089,       02.8660000,      -00.0673408,      -00.8400584,       02.8634800,      -00.0701026,      -01.2202210,       02.9809200,       00.1485974,      -00.4377915,       02.8803600,       00.2003506,      -00.8363923,       02.9395200,       00.2123845,      -01.2755480,       03.1160800,       00.0054473,       00.3743523,       02.8872000,       00.0757510,       00.3750784,       02.8928000,      -00.0435973,       00.3588013,       02.9696400,       00.1250342,       00.3307385,       02.9245200
    2821.9360000,       00.0275199,       00.3456992,       02.8612000,       00.0276742,       00.0870451,       02.8772400,      -00.1397655,       00.0884282,       02.9229600,      -00.1894723,      -00.2295105,       02.9428400,      -00.1883159,      -00.4445581,       02.9248800,       00.2209833,       00.0880942,       02.9119200,       00.2538031,      -00.1839949,       02.9956000,       00.3008201,      -00.4284244,       02.9698010,      -00.0667566,      -00.4314504,       02.8386400,      -00.0678591,      -00.8465244,       02.8855200,      -00.0433900,      -01.2098240,       02.9555200,       00.1485995,      -00.4377975,       02.8804000,       00.1969482,      -00.8477214,       02.8896000,       00.2092138,      -01.2565050,       03.0695600,       00.0054398,       00.3738337,       02.8832000,       00.0752493,       00.3725942,       02.8736410,      -00.0434651,       00.3577139,       02.9606400,       00.1251061,       00.3309285,       02.9262000
    2821.9970000,       00.0277142,       00.3258620,       02.8814000,       00.0278104,       00.0874735,       02.8914000,      -00.1399032,       00.0885154,       02.9258400,      -00.1866625,      -00.2261070,       02.8992000,      -00.1874454,      -00.4425032,       02.9113600,       00.2203306,       00.0878341,       02.9033200,       00.2519155,      -00.2056150,       02.9733200,       00.2994222,      -00.4264336,       02.9560010,      -00.0675346,      -00.4364783,       02.8717200,      -00.0678412,      -00.8463014,       02.8847600,      -00.0701892,      -01.2217280,       02.9846010,       00.1474335,      -00.4343624,       02.8577990,       00.2021609,      -00.8439496,       02.9660800,       00.2107733,      -01.2658710,       03.0924400,       00.0054327,       00.3733461,       02.8794400,       00.0755960,       00.3743108,       02.8868800,      -00.0433213,       00.3565299,       02.9508400,       00.1249710,       00.3305712,       02.9230400
    2822.0660000,       00.0277600,       00.3487150,       02.8861600,       00.0278297,       00.0875340,       02.8934000,      -00.1392147,       00.0880797,       02.9114400,      -00.2193210,      -00.2336065,       02.9953600,      -00.1915445,      -00.4317338,       03.3810400,       00.2230596,       00.0889220,       02.9392810,       00.2568024,      -00.1861693,       03.0310000,       00.2971654,      -00.4232194,       02.9337200,      -00.0668742,      -00.4322103,       02.8436400,      -00.0686088,      -00.8558770,       02.9174000,      -00.0703246,      -01.2240850,       02.9903600,       00.1477327,      -00.4352440,       02.8636000,       00.1968828,      -00.8219153,       02.8886400,       00.2063730,      -01.2394440,       03.0278800,       00.0054460,       00.3742589,       02.8864800,       00.0753655,       00.3731697,       02.8780800,      -00.0438392,       00.3607925,       02.9861200,       00.1247709,       00.3300419,       02.9183600
    2822.1250000,       00.0276838,       00.3255046,       02.8782400,       00.0275488,       00.0866506,       02.8642000,      -00.1367932,       00.0865477,       02.8607990,      -00.2416996,      -00.2064725,       02.9857200,      -00.2197926,      -00.3070504,       03.0018000,       00.2202273,       00.0877929,       02.9019590,       00.2532134,      -00.1835674,       02.9886400,       00.2964644,      -00.4222211,       02.9268000,      -00.0670285,      -00.4332074,       02.8502000,      -00.0682344,      -00.8736395,       02.9014800,      -00.0690237,      -01.2014400,       02.9350400,       00.1466019,      -00.4319124,       02.8416800,       00.2000944,      -00.8353227,       02.9357610,       00.1780973,      -01.2289480,       03.0022400,       00.0054560,       00.3749487,       02.8918000,       00.0757248,       00.3749488,       02.8918010,      -00.0438915,       00.3612226,       02.9896800,       00.1248632,       00.3302862,       02.9205200
    2822.1780000,       00.0277673,       00.3264863,       02.8869200,       00.0278258,       00.0875219,       02.8930010,      -00.1394595,       00.0882346,       02.9165610,      -00.2424994,      -00.2071557,       02.9956000,      -00.2642460,      -00.3010359,       02.9430000,       00.2212110,       00.0881850,       02.9149210,       00.2521832,      -00.1828206,       02.9764800,       00.3028095,      -00.4312577,       02.9894410,      -00.0664659,      -00.4295717,       02.8262800,      -00.0685684,      -00.8553724,       02.9156800,      -00.0434681,      -01.2120020,       02.9608400,       00.1478875,      -00.4135366,       02.8666000,       00.1996445,      -00.8334446,       02.9291600,       00.1778885,      -01.2275070,       02.9987190,       00.0054343,       00.3734550,       02.8802800,       00.0756043,       00.3743523,       02.8872000,      -00.0438240,       00.3606668,       02.9850800,       00.1897950,       00.4160548,       03.6789200
    2822.2350000,       00.0276392,       00.3249800,       02.8736000,       00.0278566,       00.0876187,       02.8962000,      -00.1384056,       00.0875678,       02.8945210,      -00.2903392,      -00.1828672,       02.9772400,      -00.3542550,      -00.3425344,       02.8819160,       00.2200999,       00.0621149,       02.9002800,       00.2528305,      -00.1832898,       02.9841200,       00.3002447,      -00.4276049,       02.9641200,      -00.0663324,      -00.4069006,       02.8206000,      -00.0679645,      -00.8478387,       02.8900000,      -00.0704046,      -01.2254770,       02.9937600,       00.1460716,      -00.4084587,       02.8314000,       00.1998708,      -00.8603010,       02.9324800,       00.1777248,      -01.2263780,       02.9959600,       00.0054554,       00.3749073,       02.8914800,       00.0760432,       00.3765253,       02.9039600,      -00.0438104,       00.3605556,       02.9841600,       00.1774403,       00.3889717,       03.4394410
    2822.2950000,       00.0525162,       00.3438289,       02.8457200,       00.0277970,       00.0874311,       02.8900000,      -00.1405306,       00.0889123,       02.9389600,      -00.2604139,      -00.1044634,       02.9003200,      -00.3827774,      -00.2996733,       02.9296800,       00.2212565,       00.0882032,       02.9155200,       00.2565176,      -00.1859628,       03.0276390,       00.2991467,      -00.4260412,       02.9532800,      -00.0664500,      -00.4294684,       02.8256000,      -00.0693934,      -00.8884779,       02.9507600,      -00.0440318,      -01.2277200,       02.9992400,       00.1462077,      -00.4088395,       02.8340400,       00.1996690,      -00.8594327,       02.9295200,       00.2104897,      -01.2641680,       03.0882800,       00.0277950,       00.3746894,       02.8898000,       00.0998342,       00.3696068,       02.8506000,      -00.0446484,       00.3674522,       03.0412400,       00.1653744,       00.3625218,       03.2055600
