       TimeStamp,     Flexion_Left,    Flexion_Right,   Abduction_Left,  Abduction_Right
      2530.99000,       -012.49837,       -015.02429,        012.49837,        015.02429
      2531.05200,       -023.94890,        005.96516,        023.94890,        005.96516
      2531.12000,       -018.03320,        005.45984,        018.03320,        005.45984
      2531.17500,       -019.60783,       -006.81348,        019.60783,        006.81348
      2531.23500,       -021.93446,       -011.05375,        021.93446,        011.05375
      2531.29200,       -020.55544,       -017.80093,        020.55544,        017.80093
      2531.35200,       -024.16953,       -016.69247,        024.16953,        016.69247
      2531.41700,       -021.63748,       -020.51444,        021.63748,        020.51444
      2531.48000,       -016.44455,       -032.51101,        016.44455,        032.51101
      2531.53700,       -021.06123,        033.97302,        021.06123,        033.97302
      2531.59200,       -025.63365,       -039.48471,        025.63365,        039.48471
      2531.65100,       -012.79971,       -037.85155,        012.79971,        037.85155
      2531.71300,       -033.68596,       -041.91542,        033.68596,        041.91542
      2531.76500,       -017.06261,       -034.37525,        017.06261,        034.37525
      2531.82200,       -035.84594,       -029.87851,        035.84594,        029.87851
      2531.88300,       -024.61612,        021.62194,        024.61612,        021.62194
      2531.93900,       -015.17197,       -020.30398,        015.17197,        020.30398
      2531.99500,       -022.09851,       -016.52970,        022.09851,        016.52970
      2532.05100,       -024.70033,       -010.28348,        024.70033,        010.28348
      2532.10900,       -023.36600,       -010.09081,        023.36600,        010.09081
      2532.16200,       -033.00561,       -013.72394,        033.00561,        013.72394
      2532.22100,       -014.66265,       -005.50869,        014.66265,        005.50869
      2532.28200,       -023.83679,       -014.75624,        023.83679,        014.75624
      2532.34300,       -006.51704,        005.70825,        006.51704,        005.70825
      2532.39900,       -022.40088,       -012.41096,        022.40088,        012.41096
      2532.45200,       -026.96627,       -009.73622,        026.96627,        009.73622
      2532.51500,       -034.30444,       -008.43035,        034.30444,        008.43035
      2532.57000,       -019.62202,       -011.45631,        019.62202,        011.45631
      2532.62600,       -020.95834,       -024.08669,        020.95834,        024.08669
      2532.68500,       -028.71185,       -024.56352,        028.71185,        024.56352
      2532.74800,       -020.44342,       -016.33387,        020.44342,        016.33387
      2532.80100,       -029.93262,       -023.18140,        029.93262,        023.18140
      2532.85800,       -015.86692,       -025.01810,        015.86692,        025.01810
      2532.92100,       -025.39913,       -031.90991,        025.39913,        031.90991
      2532.98500,       -019.39822,       -041.23747,        019.39822,        041.23747
      2533.04600,       -026.06044,       -046.21785,        026.06044,        046.21785
      2533.10000,       -027.66799,       -054.88214,        027.66799,        054.88214
      2533.15800,       -033.48060,       -052.62074,        033.48060,        052.62074
      2533.21800,       -029.32604,        062.62770,        029.32604,        062.62770
      2533.27400,       -026.53873,       -072.22773,        026.53873,        072.22773
      2533.33000,       -024.36696,        076.65611,        024.36696,        076.65611
      2533.38900,       -024.05674,        089.10679,        024.05674,        089.10679
      2533.44800,       -030.23916,       -095.93893,        030.23916,        095.93893
      2533.50000,       -017.82150,        088.33145,        017.82150,        088.33145
      2533.56400,       -024.06071,        099.80057,        024.06071,        099.80057
      2533.62200,       -023.08058,       -103.67920,        023.08058,        103.67920
      2533.67800,       -016.82661,       -110.08200,        016.82661,        110.08200
      2533.73300,       -022.97264,       -115.93240,        022.97264,        115.93240
      2533.79200,       -025.89782,       -121.72120,        025.89782,        121.72120
      2533.85700,       -027.25646,        122.59380,        027.25646,        122.59380
      2533.91300,       -020.77898,       -125.28060,        020.77898,        125.28060
      2533.98100,       -030.31371,       -132.18770,        030.31371,        132.18770
      2534.03800,       -017.34771,       -133.08580,        017.34771,        133.08580
      2534.09400,       -025.13226,        139.50070,        025.13226,        139.50070
      2534.15400,       -019.25579,       -139.93240,        019.25579,        139.93240
      2534.20900,       -022.07701,       -140.44570,        022.07701,        140.44570
      2534.26400,       -027.07046,       -141.34100,        027.07046,        141.34100
      2534.32100,       -023.33125,       -141.35390,        023.33125,        141.35390
      2534.38100,       -022.98060,       -154.41630,        022.98060,        154.41630
      2534.44400,       -023.25407,       -151.70460,        023.25407,        151.70460
      2534.50300,       -021.70085,       -151.35310,        021.70085,        151.35310
      2534.56200,       -028.64515,       -149.79700,        028.64515,        149.79700
      2534.61900,       -029.19214,       -154.05330,        029.19214,        154.05330
      2534.68000,       -018.16249,       -152.58510,        018.16249,        152.58510
      2534.73600,       -023.53875,        146.49160,        023.53875,        146.49160
      2534.79200,       -012.17950,       -144.84840,        012.17950,        144.84840
      2534.85200,       -014.24280,        144.01070,        014.24280,        144.01070
      2534.91000,       -019.50972,       -135.94710,        019.50972,        135.94710
      2534.97800,       -027.73911,       -124.03270,        027.73911,        124.03270
      2535.03700,       -014.62612,       -127.94080,        014.62612,        127.94080
      2535.09400,       -020.71708,       -123.14770,        020.71708,        123.14770
      2535.15800,       -030.42001,        121.37550,        030.42001,        121.37550
      2535.21800,       -017.74411,        120.78310,        017.74411,        120.78310
      2535.27300,       -023.84976,        114.62950,        023.84976,        114.62950
      2535.33000,       -023.74604,       -110.14400,        023.74604,        110.14400
      2535.38800,       -029.63601,        102.15920,        029.63601,        102.15920
      2535.44400,       -025.26827,        100.22810,        025.26827,        100.22810
      2535.50000,       -034.65569,        093.91333,        034.65569,        093.91333
      2535.56600,       -023.75790,       -095.80105,        023.75790,        095.80105
      2535.62300,       -025.30757,       -096.41951,        025.30757,        096.41951
      2535.68000,       -025.78259,        076.85269,        025.78259,        076.85269
      2535.73400,       -027.51947,        075.01310,        027.51947,        075.01310
      2535.78900,       -029.29077,        067.44321,        029.29077,        067.44321
      2535.85000,       -029.05927,        056.83849,        029.05927,        056.83849
      2535.90400,       -021.81041,        051.62190,        021.81041,        051.62190
      2535.95800,       -019.06541,       -054.04684,        019.06541,        054.04684
      2536.01900,       -019.65559,        044.02330,        019.65559,        044.02330
      2536.08100,       -025.34500,       -043.89735,        025.34500,        043.89735
      2536.13700,       -028.69433,        038.85151,        028.69433,        038.85151
      2536.19200,       -025.93617,        038.72465,        025.93617,        038.72465
      2536.25000,       -019.89434,       -032.24080,        019.89434,        032.24080
      2536.30700,       -030.43549,       -026.08528,        030.43549,        026.08528
      2536.36500,       -021.72058,       -025.48598,        021.72058,        025.48598
      2536.42200,       -024.40210,        018.12342,        024.40210,        018.12342
      2536.48100,       -021.68287,       -029.27805,        021.68287,        029.27805
      2536.53600,       -017.64260,        013.06696,        017.64260,        013.06696
      2536.59300,       -027.01861,       -018.68390,        027.01861,        018.68390
      2536.65300,       -020.75787,       -014.38121,        020.75787,        014.38121
      2536.71200,       -021.66751,       -015.48888,        021.66751,        015.48888
      2536.78100,       -023.52021,       -014.06570,        023.52021,        014.06570
      2536.83500,       -024.79456,       -008.86953,        024.79456,        008.86953
      2536.89100,       -024.32910,       -015.50105,        024.32910,        015.50105
      2536.95200,       -029.80184,       -018.82318,        029.80184,        018.82318
      2537.01100,       -019.65531,       -011.29039,        019.65531,        011.29039
      2537.06500,       -022.03182,       -013.37160,        022.03182,        013.37160
      2537.12500,       -027.22016,       -021.92191,        027.22016,        021.92191
      2537.18400,       -024.07775,        020.48820,        024.07775,        020.48820
      2537.23800,       -021.28285,       -022.53838,        021.28285,        022.53838
      2537.29900,       -031.25649,        039.45580,        031.25649,        039.45580
      2537.35600,       -026.69313,       -049.91053,        026.69313,        049.91053
      2537.42000,       -029.77011,       -048.66904,        029.77011,        048.66904
