       TimeStamp,           Nose.X,           Nose.Y,           Nose.Z,          Spine.X,          Spine.Y,          Spine.Z, Shoulder_Right.X, Shoulder_Right.Y, Shoulder_Right.Z,    Elbow_Right.X,    Elbow_Right.Y,    Elbow_Right.Z,    Wrist_Right.X,    Wrist_Right.Y,    Wrist_Right.Z,  Shoulder_Left.X,  Shoulder_Left.Y,  Shoulder_Left.Z,     Elbow_left.X,     Elbow_left.Y,     Elbow_left.Z,     Wrist_left.X,     Wrist_left.Y,     Wrist_left.Z,      Hip_Right.X,      Hip_Right.Y,      Hip_Right.Z,     Knee_Right.X,     Knee_Right.Y,     Knee_Right.Z,    Ankle_Right.X,    Ankle_Right.Y,    Ankle_Right.Z,       Hip_Left.X,       Hip_Left.Y,       Hip_Left.Z,      Knee_Left.X,      Knee_Left.Y,      Knee_Left.Z,     Ankle_Left.X,     Ankle_Left.Y,     Ankle_Left.Z,      Eye_Right.X,      Eye_Right.Y,      Eye_Right.Z,       Eye_Left.X,       Eye_Left.Y,       Eye_Left.Z,      Ear_Right.X,      Ear_Right.Y,      Ear_Right.Z,       Ear_Left.X,       Ear_Left.Y,       Ear_Left.Z
    2566.4950000,       00.0530381,       00.3472458,       02.8740010,       00.0277989,       00.0874371,       02.8902000,      -00.1411981,       00.0893346,       02.9529200,      -00.1874042,      -00.2270054,       02.9107200,      -00.1877442,      -00.4432085,       02.9160000,       00.2210804,       00.0881330,       02.9132000,       00.2523120,      -00.1829139,       02.9780000,       00.3024489,      -00.4307441,       02.9858810,      -00.0679146,      -00.4389344,       02.8878800,      -00.0688835,      -00.8593036,       02.9290800,      -00.0709643,      -01.2352200,       03.0175600,       00.1497613,      -00.4412204,       02.9029200,       00.1990420,      -00.8309293,       02.9203200,       00.2138077,      -01.2840950,       03.1369610,       00.0054602,       00.3752339,       02.8940000,       00.0756201,       00.3744301,       02.8878000,      -00.0707395,       00.3401794,       03.0080000,       00.1256841,       00.3324575,       02.9397200
    2566.5580000,       00.0278831,       00.3502615,       02.8989600,       00.0278104,       00.0874735,       02.8914000,      -00.1679793,       00.0897025,       02.9650800,      -00.1889546,      -00.2288835,       02.9348000,      -00.1868067,      -00.4185627,       02.9014400,       00.2215600,       00.0883242,       02.9195200,       00.2561924,      -00.1857270,       03.0238000,       00.3018775,      -00.4299304,       02.9802400,      -00.0677631,      -00.4379556,       02.8814400,      -00.0685110,      -00.8546567,       02.9132400,      -00.0710179,      -01.2361530,       03.0198400,       00.1488842,      -00.4386365,       02.8859200,       00.2007868,      -00.8382134,       02.9459200,       00.1811678,      -01.2501360,       03.0540010,       00.0054769,       00.3763801,       02.9028400,       00.0760841,       00.3767277,       02.9055200,      -00.0940026,       00.4520496,       03.9972000,       00.1261783,       00.3337649,       02.9512810
    2566.6160000,       00.0276704,       00.3475889,       02.8768400,       00.0278724,       00.0876683,       02.8978400,      -00.1405000,       00.0888929,       02.9383200,      -00.1880790,      -00.2278228,       02.9212000,      -00.1865003,      -00.4402719,       02.8966800,       00.2228562,       00.0888409,       02.9366000,       00.2548368,      -00.1847443,       03.0078000,       00.2996693,      -00.4267855,       02.9584400,      -00.0677415,      -00.4378157,       02.8805200,      -00.0680331,      -00.8486953,       02.8929200,      -00.0447318,      -01.2472380,       03.0469200,       00.1480877,      -00.4362898,       02.8704800,       00.1989847,      -00.8306903,       02.9194800,       00.2105333,      -01.2644300,       03.0889200,       00.0054394,       00.3738077,       02.8830000,       00.0758934,       00.3757837,       02.8982400,      -00.0930219,       00.4473337,       03.9555000,       00.1265665,       00.3347917,       02.9603600
    2566.6750000,       00.0274526,       00.3227859,       02.8542000,       00.0278793,       00.0876900,       02.8985590,      -00.1400582,       00.0886134,       02.9290800,      -00.1897916,      -00.2298973,       02.9478000,      -00.1883339,      -00.4446006,       02.9251600,       00.2217846,       00.0884137,       02.9224800,       00.2549113,      -00.1847983,       03.0086800,       00.3020010,      -00.4301062,       02.9814590,      -00.0675430,      -00.4365331,       02.8720810,      -00.0674471,      -00.8413846,       02.8680000,      -00.0697490,      -01.2140650,       02.9658810,       00.1496148,      -00.4407887,       02.9000800,       00.1971336,      -00.8229624,       02.8923200,       00.2061576,      -01.2381500,       03.0247200,       00.0054449,       00.3741864,       02.8859210,       00.0756881,       00.3747672,       02.8904000,      -00.0825268,       00.3968634,       03.5092220,       00.1262330,       00.3339096,       02.9525600
    2566.7490000,       00.0277019,       00.3257173,       02.8801200,       00.0278066,       00.0874613,       02.8910000,      -00.1402953,       00.0887634,       02.9340400,      -00.2161814,      -00.2302623,       02.9524800,      -00.2587367,      -00.5442211,       04.0186400,       00.2242253,       00.0893866,       02.9546400,       00.2580394,      -00.1870660,       03.0456000,       00.3020801,      -00.4302189,       02.9822400,      -00.0668328,      -00.4319428,       02.8418800,      -00.0687179,      -00.8572382,       02.9220400,      -00.0703933,      -01.2252810,       02.9932800,       00.1476709,      -00.4350616,       02.8624000,       00.1979242,      -00.8262630,       02.9039200,       00.2111577,      -01.2681800,       03.0980800,       00.0054557,       00.3749280,       02.8916410,       00.0756148,       00.3744042,       02.8876000,      -00.0790175,       00.3799877,       03.3600000,       00.1263220,       00.3341449,       02.9546400
    2566.8030000,       00.0532160,       00.3484105,       02.8836400,       00.0279047,       00.0877699,       02.9012000,      -00.1403527,       00.0887997,       02.9352410,      -00.2412301,      -00.1830319,       02.9799200,      -00.2156806,      -00.3013059,       02.9456400,       00.2222521,       00.0886001,       02.9286400,       00.2561721,      -00.1857123,       03.0235610,       00.3031781,      -00.4317827,       02.9930800,      -00.0674612,      -00.4138252,       02.8686000,      -00.0680444,      -00.8488361,       02.8934000,      -00.0447835,      -01.2486790,       03.0504400,       00.1486944,      -00.4380772,       02.8822400,       00.1973953,      -00.8240551,       02.8961600,       00.2094537,      -01.2579460,       03.0730800,       00.0054473,       00.3743523,       02.8872000,       00.0759291,       00.3759600,       02.8996000,      -00.0804309,       00.3867845,       03.4201000,       00.1259338,       00.3331180,       02.9455600
    2566.8590000,       00.0279316,       00.3284179,       02.9040000,       00.0280328,       00.0881729,       02.9145200,      -00.1384841,       00.0876175,       02.8961610,      -00.2631937,      -00.1800443,       02.9312800,      -00.3346957,      -00.3260049,       02.9336810,       00.2222127,       00.0885843,       02.9281200,       00.2550367,      -00.1848892,       03.0101600,       00.3018694,      -00.4299188,       02.9801600,      -00.0675318,      -00.4142580,       02.8716000,      -00.0676757,      -00.8442360,       02.8777200,      -00.0443037,      -01.2353010,       03.0177600,       00.1463089,      -00.4091223,       02.8360000,       00.1991702,      -00.8314645,       02.9222010,       00.2093229,      -01.2571600,       03.0711600,       00.0054538,       00.3747931,       02.8906000,       00.0754127,       00.3734031,       02.8798800,      -00.0436630,       00.3593426,       02.9741200,       00.1253249,       00.3315076,       02.9313200
    2566.9190000,       00.0276773,       00.3254278,       02.8775600,       00.0535090,       00.0877191,       02.8995200,      -00.1390119,       00.0879514,       02.9072000,      -00.2725604,      -00.0858659,       03.0356000,      -00.3898328,      -00.2821284,       02.9836800,       00.2222400,       00.0885952,       02.9284800,       00.2598424,      -00.1883731,       03.0668800,       00.3003015,      -00.4276857,       02.9646800,      -00.0677537,      -00.4156198,       02.8810400,      -00.0681761,      -00.8504790,       02.8990000,      -00.0699286,      -01.2171920,       02.9735200,       00.1492186,      -00.4172586,       02.8924000,       00.2007241,      -00.8639741,       02.9450000,       00.2104952,      -01.2642010,       03.0883600,       00.0054492,       00.3744819,       02.8882000,       00.0765009,       00.3787918,       02.9214400,      -00.0438592,       00.3378588,       02.9874800,       00.1255490,       00.3321002,       02.9365600
    2566.9770000,       00.0276796,       00.3254549,       02.8778000,       00.0536751,       00.0879914,       02.9085200,      -00.1178109,       00.0889147,       02.9390400,      -00.2900115,      -00.0841201,       02.9738800,      -00.4123860,      -00.2795450,       02.9563600,       00.2228957,       00.0888566,       02.9371200,       00.2527085,      -00.1832014,       02.9826800,       00.3016304,      -00.4295784,       02.9778000,      -00.0675364,      -00.4142868,       02.8718000,      -00.0689889,      -00.8606179,       02.9335600,      -00.0709662,      -01.2352520,       03.0176410,       00.1474748,      -00.4123825,       02.8586000,       00.1984449,      -00.8284369,       02.9115600,       00.2128371,      -01.2782660,       03.1227200,       00.0054425,       00.3740204,       02.8846400,       00.0759343,       00.3759860,       02.8998000,      -00.0435198,       00.3352441,       02.9643600,       00.1255541,       00.3321137,       02.9366800
    2567.0350000,       00.0277396,       00.3261606,       02.8840400,       00.0532484,       00.0872919,       02.8854000,      -00.1175287,       00.0887017,       02.9320000,      -00.2889310,      -00.0576270,       02.9628000,      -00.4616158,      -00.2535594,       02.9579600,       00.2231568,       00.0889607,       02.9405610,       00.2573277,      -00.1865501,       03.0372000,       00.3005364,      -00.4280204,       02.9670000,      -00.0674104,      -00.4135135,       02.8664400,      -00.0691949,      -00.8631878,       02.9423200,      -00.0702324,      -01.2224810,       02.9864400,       00.1469486,      -00.4109111,       02.8484000,       00.1994563,      -00.8326591,       02.9263990,       00.2105116,      -01.2642990,       03.0886000,       00.0054307,       00.3732113,       02.8784000,       00.0764989,       00.3787814,       02.9213600,      -00.0436648,       00.3363614,       02.9742400,       00.1252771,       00.3313809,       02.9302000
