       TimeStamp,     Flexion_Left,    Flexion_Right,   Abduction_Left,  Abduction_Right
      1009.27300,       -032.21724,       -023.44287,        032.21724,        023.44287
      1009.33100,       -020.34732,       -011.12718,        020.34732,        011.12718
      1009.39100,       -020.47597,       -004.31089,        020.47597,        004.31089
      1009.45400,       -020.73629,       -004.08423,        020.73629,        004.08423
      1009.51200,       -027.62976,       -010.17883,        027.62976,        010.17883
      1009.56700,       -028.05960,        010.39372,        028.05960,        010.39372
      1009.62300,       -026.94782,       -014.88111,        026.94782,        014.88111
      1009.68300,       -023.29889,       -017.50367,        023.29889,        017.50367
      1009.74000,       -022.93429,       -026.54426,        022.93429,        026.54426
      1009.79500,       -019.23505,       -044.80692,        019.23505,        044.80692
      1009.86500,       -026.56682,       -044.28899,        026.56682,        044.28899
      1009.92200,       -018.52461,       -053.49764,        018.52461,        053.49764
      1009.97700,       -020.43781,       -048.96637,        020.43781,        048.96637
      1010.02900,       -028.05949,        047.96945,        028.05949,        047.96945
      1010.08700,       -026.13879,       -042.20408,        026.13879,        042.20408
      1010.14200,       -022.48756,       -045.26532,        022.48756,        045.26532
      1010.19800,       -018.67708,       -029.91452,        018.67708,        029.91452
      1010.25600,       -017.78036,       -019.81923,        017.78036,        019.81923
      1010.31500,       -014.13239,       -015.32669,        014.13239,        015.32669
      1010.37300,       -026.23134,       -011.33958,        026.23134,        011.33958
      1010.43000,       -026.90462,       -022.40311,        026.90462,        022.40311
      1010.48500,       -015.13580,       -010.82771,        015.13580,        010.82771
      1010.54600,       -015.84225,       -010.11159,        015.84225,        010.11159
      1010.60300,       -023.01545,       -010.75951,        023.01545,        010.75951
      1010.66400,       -033.62085,       -015.45674,        033.62085,        015.45674
      1010.72000,       -015.78026,       -023.31662,        015.78026,        023.31662
      1010.78100,       -022.28733,       -023.58907,        022.28733,        023.58907
      1010.83600,       -022.20291,       -035.91600,        022.20291,        035.91600
      1010.89500,       -022.58520,       -041.37606,        022.58520,        041.37606
      1010.94900,       -032.56515,       -046.71923,        032.56515,        046.71923
      1011.00900,       -024.16960,       -052.09638,        024.16960,        052.09638
      1011.07100,       -022.53861,       -059.61075,        022.53861,        059.61075
      1011.12800,       -023.83251,        058.34921,        023.83251,        058.34921
      1011.18200,       -025.58453,       -071.05383,        025.58453,        071.05383
      1011.24100,       -031.84567,        081.51537,        031.84567,        081.51537
      1011.29700,       -030.86359,       -092.81461,        030.86359,        092.81461
      1011.35300,       -033.07891,       -093.96854,        033.07891,        093.96854
      1011.41200,       -022.26674,       -099.84968,        022.26674,        099.84968
      1011.46700,       -030.94236,       -097.17036,        030.94236,        097.17036
      1011.52400,       -017.86551,       -097.99451,        017.86551,        097.99451
      1011.58400,       -025.97150,       -105.15490,        025.97150,        105.15490
      1011.64300,       -020.27318,       -098.39015,        020.27318,        098.39015
      1011.70000,       -024.20433,       -105.37480,        024.20433,        105.37480
      1011.76600,       -027.98650,       -111.81630,        027.98650,        111.81630
