       TimeStamp,           Nose.X,           Nose.Y,           Nose.Z,          Spine.X,          Spine.Y,          Spine.Z, Shoulder_Right.X, Shoulder_Right.Y, Shoulder_Right.Z,    Elbow_Right.X,    Elbow_Right.Y,    Elbow_Right.Z,    Wrist_Right.X,    Wrist_Right.Y,    Wrist_Right.Z,  Shoulder_Left.X,  Shoulder_Left.Y,  Shoulder_Left.Z,     Elbow_left.X,     Elbow_left.Y,     Elbow_left.Z,     Wrist_left.X,     Wrist_left.Y,     Wrist_left.Z,      Hip_Right.X,      Hip_Right.Y,      Hip_Right.Z,     Knee_Right.X,     Knee_Right.Y,     Knee_Right.Z,    Ankle_Right.X,    Ankle_Right.Y,    Ankle_Right.Z,       Hip_Left.X,       Hip_Left.Y,       Hip_Left.Z,      Knee_Left.X,      Knee_Left.Y,      Knee_Left.Z,     Ankle_Left.X,     Ankle_Left.Y,     Ankle_Left.Z,      Eye_Right.X,      Eye_Right.Y,      Eye_Right.Z,       Eye_Left.X,       Eye_Left.Y,       Eye_Left.Z,      Ear_Right.X,      Ear_Right.Y,      Ear_Right.Z,       Ear_Left.X,       Ear_Left.Y,       Ear_Left.Z
     947.7325000,       00.0531156,       00.3255001,       02.8782000,       00.0278720,       00.0876671,       02.8978000,      -00.1685889,       00.0900280,       02.9758400,      -00.1894362,      -00.2294669,       02.9422810,      -00.1880867,      -00.3956174,       02.9213200,       00.2216541,       00.0625535,       02.9207600,       00.2782953,      -00.2081515,       03.0100000,       00.3530710,      -00.5605887,       03.4856400,      -00.0670285,      -00.4332074,       02.8502000,      -00.0676023,      -00.8433207,       02.8746000,      -00.0438956,      -01.2239220,       02.9899600,       00.1452565,      -00.4279486,       02.8156010,       00.1714129,      -00.8221770,       02.8895600,       00.1285280,      -01.2305860,       03.0062400,       00.0276688,       00.3729882,       02.8766800,       00.1011160,       00.3488407,       02.8872000,      -00.0435040,       00.3351226,       02.9632860,       00.1255541,       00.3321137,       02.9366800
     947.8013000,       00.0531982,       00.3260067,       02.8826800,       00.0278531,       00.0876078,       02.8958400,      -00.1668554,       00.0891023,       02.9452400,      -00.1910536,      -00.2314259,       02.9674010,      -00.1885554,      -00.3966032,       02.9285990,       00.2218939,       00.0626212,       02.9239200,       00.2753737,      -00.2059663,       02.9784000,       00.3622703,      -00.5751948,       03.5764590,      -00.0671602,      -00.4340585,       02.8558000,      -00.0689023,      -00.8595383,       02.9298800,      -00.0444617,      -01.2397060,       03.0285200,       00.1207879,      -00.4294076,       02.8252000,       00.1746780,      -00.8378378,       02.9446000,       00.1564721,      -01.2415400,       03.0330000,       00.0278970,       00.3760637,       02.9004000,       00.1013205,       00.3495463,       02.8930400,      -00.0433583,       00.3340001,       02.9533600,       00.1251847,       00.3311367,       02.9280410
     947.8665000,       00.0277835,       00.3266762,       02.8886000,       00.0279174,       00.0878099,       02.9025200,      -00.1638845,       00.0875158,       02.8928010,      -00.1906956,      -00.2309923,       02.9618400,      -00.1656838,      -00.3960562,       02.9245600,       00.2219455,       00.0626357,       02.9246000,       00.2782139,      -00.2080907,       03.0091200,       00.3224238,      -00.4838024,       03.1830800,      -00.0661706,      -00.4276628,       02.8137200,      -00.0675976,      -00.8432621,       02.8744000,      -00.0442573,      -01.2340080,       03.0146010,       00.1463605,      -00.4312010,       02.8370000,       00.1746733,      -00.8378152,       02.9445200,       00.1299611,      -01.2443070,       03.0397600,       00.0054755,       00.3762868,       02.9021200,       00.0754315,       00.3734964,       02.8805990,      -00.0437799,       00.3603040,       02.9820770,       00.1254070,       00.3317246,       02.9332400
     947.9252000,       00.0530174,       00.3248985,       02.8728800,       00.0278881,       00.0877179,       02.8994800,      -00.1666537,       00.0889946,       02.9416800,      -00.1907007,      -00.2309985,       02.9619200,      -00.1884189,      -00.3963162,       02.9264800,       00.2204854,       00.0622237,       02.9053600,       00.2552265,      -00.2083175,       03.0124000,       00.3202005,      -00.4804663,       03.1611310,      -00.0663418,      -00.4287691,       02.8209990,      -00.0682965,      -00.8519811,       02.9041200,      -00.0434974,      -01.2128200,       02.9628400,       00.1447694,      -00.4265137,       02.8061600,       00.1734252,      -00.8318285,       02.9234800,       00.1296294,      -01.2411300,       03.0320000,       00.0277450,       00.3740151,       02.8846000,       00.1025883,       00.3539200,       02.9292400,      -00.0436519,       00.3362619,       02.9733600,       00.1252668,       00.3313538,       02.9299600
     947.9896000,       00.0525656,       00.3221300,       02.8484000,       00.0279397,       00.0878800,       02.9048400,      -00.1668916,       00.0891216,       02.9458800,      -00.1883339,      -00.2281316,       02.9251600,      -01.0000000,       01.0000000,      -01.0000000,       00.2214143,       00.0624858,       02.9175990,       00.2755586,      -00.2061046,       02.9804000,       00.3222822,      -00.4835899,       03.1816820,      -00.0667510,      -00.4314139,       02.8384000,      -00.0678083,      -00.8458908,       02.8833610,      -00.0434511,      -01.2115270,       02.9596810,       00.1210034,      -00.4301737,       02.8302400,       00.1750315,      -00.8395335,       02.9505600,       00.1284272,      -01.2296200,       03.0038800,       00.0279108,       00.3762504,       02.9018390,       00.1011019,       00.3487923,       02.8868000,      -00.0433757,       00.3341342,       02.9545450,       00.1254447,       00.3318242,       02.9341200
     948.0492000,       00.0527022,       00.3229669,       02.8558000,       00.0280647,       00.0882734,       02.9178400,      -00.1647162,       00.0879599,       02.9074800,      -00.1885889,      -00.2284405,       02.9291210,      -00.1710439,      -00.3855262,       03.0191740,       00.2215478,       00.0625235,       02.9193600,       00.2581750,      -00.2107240,       03.0472000,       00.3446516,      -00.5171556,       03.4025200,      -00.0663371,      -00.4287388,       02.8208000,      -00.0673304,      -00.8399295,       02.8630400,      -00.0442109,      -01.2327140,       03.0114400,       00.1454009,      -00.4283741,       02.8184000,       00.1730550,      -00.8300529,       02.9172400,       00.1307239,      -01.2516100,       03.0576000,       00.0276858,       00.3732164,       02.8784400,       00.1014129,       00.3498652,       02.8956800,      -00.0439568,       00.3386109,       02.9941300,       00.1252514,       00.3313130,       02.9296000
     948.1064000,       00.0275296,       00.2983999,       02.8622000,       00.0279693,       00.0879732,       02.9079200,      -00.1393715,       00.0881789,       02.9147200,      -00.2146526,      -00.2027299,       02.9316010,      -00.2109476,      -00.3901572,       02.8810010,       00.2202183,       00.0621483,       02.9018400,       00.2525153,      -00.2061046,       02.9804000,       00.3507738,      -00.5263420,       03.4629600,      -00.0668921,      -00.4323259,       02.8444000,      -00.0689983,      -00.8607352,       02.9339600,      -00.0439073,      -01.2242490,       02.9907600,       00.1468351,      -00.4325994,       02.8462000,       00.1702265,      -00.8418422,       02.8695600,       00.1305290,      -01.2497430,       03.0530410,       00.0278027,       00.3747932,       02.8906010,       00.1017912,       00.3511701,       02.9064800,      -00.0436479,       00.3362310,       02.9730870,       00.1253164,       00.3314849,       02.9311200
     948.1708000,       00.0278127,       00.3270201,       02.8916400,       00.0278739,       00.0876731,       02.8980000,      -00.1390311,       00.0879635,       02.9076000,      -00.2388728,      -00.1812432,       02.9508000,      -00.2327496,      -00.3195018,       02.8751600,       00.2210076,       00.0623710,       02.9122400,       00.2748633,      -00.2055845,       02.9728800,       00.3096649,      -00.4916706,       03.0571200,      -00.0669579,      -00.4327514,       02.8472000,      -00.0682862,      -00.8518519,       02.9036800,      -00.0440365,      -01.2278510,       02.9995600,       00.1468248,      -00.4325690,       02.8460000,       00.1753923,      -00.8673888,       02.9566400,       00.1285178,      -01.2304870,       03.0060000,       00.0054698,       00.3758978,       02.8991200,       00.0754053,       00.3733668,       02.8796000,      -00.0433179,       00.3336890,       02.9506090,       00.1249350,       00.3304761,       02.9222000
     948.2241000,       00.0276108,       00.3246452,       02.8706400,       00.0278801,       00.0620798,       02.8986400,      -00.1401442,       00.0886679,       02.9308810,      -00.2408933,      -00.1827763,       02.9757600,      -00.2909633,      -00.3051928,       02.9836400,       00.2211260,       00.0624045,       02.9138010,       00.2767088,      -00.2069649,       02.9928400,       00.3301773,      -00.5242391,       03.2596250,      -00.0666861,      -00.4309944,       02.8356400,      -00.0680444,      -00.8488361,       02.8934000,      -00.0442092,      -01.2326650,       03.0113200,       00.1484530,      -00.4373659,       02.8775600,       00.1722766,      -00.8519809,       02.9041190,       00.1275533,      -01.2212530,       02.9834400,       00.0277158,       00.3736210,       02.8815600,       00.0753687,       00.3477532,       02.8782000,      -00.0437582,       00.3370807,       02.9806000,       00.1253062,       00.3314579,       02.9308810
     948.2845000,       00.0529975,       00.3247764,       02.8718000,       00.0278604,       00.0620361,       02.8966000,      -00.1406358,       00.0889789,       02.9411610,      -00.2655138,      -00.1326387,       02.9571200,      -00.3145959,      -00.2796963,       02.9579600,       00.2218302,       00.0626032,       02.9230800,       00.2814277,      -00.2104944,       03.0438800,       00.2975584,      -00.4464915,       02.9376000,      -00.0662722,      -00.4283193,       02.8180400,      -00.0680773,      -00.8492469,       02.8948000,      -00.0438228,      -01.2218910,       02.9850000,       00.1460097,      -00.4301676,       02.8302000,       00.1717737,      -00.8239072,       02.8956410,       00.1297696,      -01.2424730,       03.0352800,       00.0276939,       00.3733254,       02.8792800,       00.1013121,       00.3495173,       02.8928000,      -00.0435472,       00.3354553,       02.9662280,       00.1605394,       00.3519229,       03.1118400
     948.3447000,       00.0526321,       00.3225372,       02.8520010,       00.0276007,       00.0868139,       02.8696000,      -00.1391152,       00.0880168,       02.9093600,      -00.2871796,      -00.0832986,       02.9448400,      -00.3810005,      -00.2982822,       02.9160800,       00.2209074,       00.0623428,       02.9109200,       00.2770009,      -00.2071834,       02.9960000,       00.3043045,      -00.4831596,       03.0042000,      -00.0662007,      -00.4278573,       02.8150000,      -00.0693868,      -00.8883936,       02.9504800,      -00.0440230,      -01.2274740,       02.9986400,       00.1464905,      -00.4315841,       02.8395200,       00.1731285,      -00.8304058,       02.9184800,       00.1544704,      -01.2256570,       02.9942000,       00.0277354,       00.3738855,       02.8836000,       00.1013261,       00.3495656,       02.8932000,      -00.0440271,       00.3391525,       02.9989200,       00.1558840,       00.3417175,       03.0216000
