       TimeStamp,     Flexion_Left,    Flexion_Right,   Abduction_Left,  Abduction_Right
       293.51910,       -016.67227,       -009.84918,        016.67227,        009.84918
       293.57730,       -023.01381,       -014.16168,        023.01381,        014.16168
       293.64120,       -007.85301,       -009.68038,        007.85301,        009.68038
       293.70590,       -018.47652,       -011.37804,        018.47652,        011.37804
       293.77090,       -026.07465,       -015.90344,        026.07465,        015.90344
       293.82920,       -029.12049,       -016.25775,        029.12049,        016.25775
       293.88960,       -015.69218,        013.90873,        015.69218,        013.90873
       293.94760,       -020.68093,       -025.09005,        020.68093,        025.09005
       294.01410,       -024.05083,       -034.14961,        024.05083,        034.14961
       294.08060,       -017.15376,       -041.31847,        017.15376,        041.31847
       294.14170,       -032.80904,       -049.33667,        032.80904,        049.33667
       294.19880,       -023.05655,       -050.96683,        023.05655,        050.96683
       294.25500,       -010.06527,       -050.84609,        010.06527,        050.84609
       294.31240,       -017.29127,       -051.07186,        017.29127,        051.07186
       294.36780,       -020.73742,       -043.55808,        020.73742,        043.55808
       294.42610,       -022.37250,        039.88200,        022.37250,        039.88200
       294.48070,       -037.44006,       -041.15388,       -037.44006,        041.15388
       294.53990,       -016.86833,       -028.95465,        016.86833,        028.95465
       294.59550,       -031.43806,       -018.56315,        031.43806,        018.56315
       294.65100,       -037.06810,       -009.59876,        037.06810,        009.59876
       294.71030,       -016.39685,       -008.91271,        016.39685,        008.91271
       294.76890,       -024.97594,        008.98295,        024.97594,        008.98295
       294.82920,       -026.26667,       -018.25297,        026.26667,        018.25297
       294.88650,       -020.19377,       -015.58827,        020.19377,        015.58827
       294.94400,       -009.47623,       -012.12901,        009.47623,        012.12901
       295.00460,       -017.64108,       -013.31012,        017.64108,        013.31012
       295.06320,       -031.12376,        011.87446,       -031.12376,        011.87446
       295.11810,       -025.29102,       -016.32396,        025.29102,        016.32396
       295.17570,       -021.95322,       -016.27333,        021.95322,        016.27333
       295.23320,       -024.14803,       -029.14167,        024.14803,        029.14167
       295.29320,       -021.37556,       -041.67083,        021.37556,        041.67083
       295.34540,       -023.67085,        041.38838,        023.67085,        041.38838
       295.40100,       -019.83034,       -058.30520,        019.83034,        058.30520
       295.46370,       -015.74121,       -061.45162,        015.74121,        061.45162
       295.52450,       -017.79425,       -068.73423,        017.79425,        068.73423
       295.57930,       -017.13844,       -074.94118,        017.13844,        074.94118
       295.63990,       -012.09892,       -084.94589,        012.09892,        084.94589
       295.69890,       -022.89300,       -098.23861,        022.89300,        098.23861
       295.75790,       -030.30099,       -096.19287,        030.30099,        096.19287
       295.81370,       -027.43267,        099.15710,        027.43267,        099.15710
       295.87870,       -029.25798,       -106.96920,        029.25798,        106.96920
       295.93440,       -017.75000,       -105.66330,        017.75000,        105.66330
       295.99290,       -023.95181,       -108.40040,        023.95181,        108.40040
       296.06530,       -028.57617,       -114.05360,        028.57617,        114.05360
       296.12280,       -025.66601,       -113.64880,        025.66601,        113.64880
       296.18080,       -025.69945,       -108.03850,        025.69945,        108.03850
       296.24470,       -026.05757,        104.98410,        026.05757,        104.98410
       296.30080,       -016.68961,       -115.84330,        016.68961,        115.84330
       296.36010,       -024.32199,        114.76970,        024.32199,        114.76970
       296.41360,       -028.79788,       -116.27240,        028.79788,        116.27240
       296.46930,       -026.65722,       -115.93720,        026.65722,        115.93720
       296.52710,       -023.58956,       -116.49410,        023.58956,        116.49410
       296.58190,       -031.74126,       -117.19380,        031.74126,        117.19380
       296.63720,       -031.51332,        104.39380,        031.51332,        104.39380
       296.69310,       -030.17777,       -115.61630,        030.17777,        115.61630
       296.75070,       -023.20542,        106.56430,        023.20542,        106.56430
       296.80850,       -034.07269,        108.03640,        034.07269,        108.03640
       296.86820,       -027.95434,       -108.65400,        027.95434,        108.65400
       296.93100,       -033.30182,       -117.04320,        033.30182,        117.04320
       296.99580,       -023.26064,        116.15940,        023.26064,        116.15940
       297.05120,       -028.72981,        113.67970,        028.72981,        113.67970
       297.11220,       -026.58398,       -116.93090,        026.58398,        116.93090
       297.17110,       -024.26873,        114.50900,        024.26873,        114.50900
       297.23080,       -021.38944,       -113.81110,        021.38944,        113.81110
       297.29340,       -025.24126,       -116.35450,        025.24126,        116.35450
       297.35050,       -023.75254,       -117.10970,        023.75254,        117.10970
       297.40660,       -016.41857,       -117.21100,        016.41857,        117.21100
       297.47150,       -025.33319,       -117.33630,        025.33319,        117.33630
       297.53090,       -021.53701,       -116.93500,        021.53701,        116.93500
       297.59240,       -027.20246,        115.98660,        027.20246,        115.98660
       297.64890,       -026.67619,       -116.82630,        026.67619,        116.82630
       297.71780,       -022.40784,       -109.30770,        022.40784,        109.30770
       297.77180,       -026.47282,       -117.03740,        026.47282,        117.03740
       297.82910,       -018.24672,       -115.95000,        018.24672,        115.95000
       297.88470,       -024.88387,       -117.42770,        024.88387,        117.42770
       297.93920,       -021.47236,       -114.51700,        021.47236,        114.51700
       297.99860,       -016.28758,       -116.51150,        016.28758,        116.51150
       298.06040,       -033.47585,       -116.44400,        033.47585,        116.44400
       298.11560,       -026.67607,       -111.07560,        026.67607,        111.07560
       298.18110,       -027.30019,       -114.07240,        027.30019,        114.07240
       298.23380,       -023.49911,       -116.06330,        023.49911,        116.06330
       298.29890,       -023.81168,        115.55730,        023.81168,        115.55730
       298.35870,       -023.04821,       -114.55530,        023.04821,        114.55530
       298.41310,       -022.28852,       -116.69080,        022.28852,        116.69080
       298.46840,       -029.72702,       -116.20880,        029.72702,        116.20880
       298.52770,       -025.57187,       -116.12360,        025.57187,        116.12360
       298.58520,       -016.99247,        110.22750,        016.99247,        110.22750
       298.64150,       -013.02801,       -116.38620,        013.02801,        116.38620
       298.69870,       -023.93282,       -116.41090,        023.93282,        116.41090
       298.75650,       -022.63614,       -113.01920,        022.63614,        113.01920
       298.81280,       -025.39061,       -116.90910,        025.39061,        116.90910
       298.86980,       -031.86514,       -111.79070,        031.86514,        111.79070
       298.92890,       -030.79117,       -111.39380,        030.79117,        111.39380
       298.98620,       -019.03668,       -119.74320,        019.03668,        119.74320
       299.04430,       -020.56063,       -111.49130,        020.56063,        111.49130
       299.10060,       -015.56312,       -111.81750,        015.56312,        111.81750
       299.16480,       -013.72683,       -108.57080,        013.72683,        108.57080
