       TimeStamp,           Nose.X,           Nose.Y,           Nose.Z,          Spine.X,          Spine.Y,          Spine.Z, Shoulder_Right.X, Shoulder_Right.Y, Shoulder_Right.Z,    Elbow_Right.X,    Elbow_Right.Y,    Elbow_Right.Z,    Wrist_Right.X,    Wrist_Right.Y,    Wrist_Right.Z,  Shoulder_Left.X,  Shoulder_Left.Y,  Shoulder_Left.Z,     Elbow_left.X,     Elbow_left.Y,     Elbow_left.Z,     Wrist_left.X,     Wrist_left.Y,     Wrist_left.Z,      Hip_Right.X,      Hip_Right.Y,      Hip_Right.Z,     Knee_Right.X,     Knee_Right.Y,     Knee_Right.Z,    Ankle_Right.X,    Ankle_Right.Y,    Ankle_Right.Z,       Hip_Left.X,       Hip_Left.Y,       Hip_Left.Z,      Knee_Left.X,      Knee_Left.Y,      Knee_Left.Z,     Ankle_Left.X,     Ankle_Left.Y,     Ankle_Left.Z,      Eye_Right.X,      Eye_Right.Y,      Eye_Right.Z,       Eye_Left.X,       Eye_Left.Y,       Eye_Left.Z,      Ear_Right.X,      Ear_Right.Y,      Ear_Right.Z,       Ear_Left.X,       Ear_Left.Y,       Ear_Left.Z
     383.8373000,       00.0749025,       00.3234870,       02.8603990,       00.0750963,       00.0614193,       02.8678000,      -00.1198312,       00.0904394,       02.9894400,      -00.1673222,      -00.2531754,       02.9534800,      -00.1634131,      -00.4639052,       02.8844800,       00.2476521,       00.0626015,       02.9230000,       00.3010712,      -00.2318064,       02.9722800,       00.3225123,      -00.4757551,       02.9581600,      -00.0410305,      -00.4247870,       02.7948000,      -00.0677566,      -00.8452452,       02.8811600,      -00.0707602,      -01.2316660,       03.0088800,       00.1683781,      -00.4314138,       02.8384000,       00.2236181,      -00.8384183,       02.9466400,       00.2040911,      -01.2257390,       02.9944000,       00.0532447,       00.3740929,       02.8852000,       00.1242527,       00.3511411,       02.9062400,      -00.0207477,       00.3376386,       02.9855330,       00.1997188,       00.3807476,       03.3667200
     383.9039000,       00.0750335,       00.3240525,       02.8654000,       00.0760390,       00.0621903,       02.9038000,      -00.1166965,       00.0880737,       02.9112400,      -00.1871570,      -00.2491808,       02.9068800,      -00.1636737,      -00.4646450,       02.8890800,       00.2448223,       00.0618862,       02.8896000,       00.2999287,      -00.2309268,       02.9610000,       00.3223814,      -00.4755620,       02.9569590,      -00.0418996,      -00.4337850,       02.8540000,      -00.0675562,      -00.8427458,       02.8726400,      -00.0699766,      -01.2180270,       02.9755600,       00.1688764,      -00.4326906,       02.8468000,       00.2214324,      -00.8302234,       02.9178390,       00.2086386,      -01.2530500,       03.0611200,       00.0277300,       00.3738129,       02.8830400,       00.1012084,       00.3491596,       02.8898400,      -00.0205734,       00.3348024,       02.9604550,       00.2043981,       00.3896683,       03.4456000
     383.9656000,       00.0749706,       00.3237811,       02.8630000,       00.0757405,       00.0619461,       02.8924010,      -00.1162861,       00.0877639,       02.9010000,      -00.1668259,      -00.2296571,       02.9447200,      -00.1867011,      -00.4407462,       02.8998000,       00.2472759,       00.0625064,       02.9185600,       00.3013427,      -00.2320155,       02.9749600,       00.3191369,      -00.4707758,       02.9272000,      -00.0415472,      -00.4082568,       02.8300010,      -00.0677443,      -00.8450927,       02.8806400,      -00.0697819,      -01.2146380,       02.9672810,       00.1704543,      -00.4367336,       02.8734000,       00.2203245,      -00.8260695,       02.9032400,       00.2054788,      -01.2340740,       03.0147600,       00.0530809,       00.3475261,       02.8763200,       00.1008960,       00.3480819,       02.8809200,      -00.0206328,       00.3357688,       02.9690000,       00.1959768,       00.3736138,       03.3036400
     384.0285000,       00.0751592,       00.3245955,       02.8702010,       00.0747350,       00.0611237,       02.8540010,      -00.1203459,       00.0908279,       03.0022800,      -00.1892456,      -00.2519616,       02.9393200,      -00.1628217,      -00.4622262,       02.8740400,       00.2452290,       00.0619890,       02.8944010,       00.2997383,      -00.2307802,       02.9591200,       00.3228393,      -00.4762375,       02.9611600,      -00.0414797,      -00.4294380,       02.8254000,      -00.0670285,      -00.8361626,       02.8502000,      -00.0704733,      -01.2266720,       02.9966800,       00.1678205,      -00.4299852,       02.8290000,       00.2220154,      -00.8324089,       02.9255200,       00.2040420,      -01.2254450,       02.9936800,       00.0530307,       00.3471975,       02.8736010,       00.1239722,       00.3503485,       02.8996800,      -00.0206461,       00.3359863,       02.9709230,       00.1988313,       00.3790558,       03.3517600
     384.0959000,       00.0742332,       00.3205965,       02.8348400,       00.0760066,       00.0621637,       02.9025600,      -00.1177147,       00.0888421,       02.9366400,      -00.1672043,      -00.2529971,       02.9514000,      -00.1614597,      -00.4583599,       02.8500000,       00.2455848,       00.0620789,       02.8986000,       00.3004392,      -00.2313198,       02.9660400,       00.3230182,      -00.4765013,       02.9628000,      -00.0417275,      -00.4320036,       02.8422800,      -00.0679551,      -00.8477214,       02.8896000,      -00.0698675,      -01.2161280,       02.9709200,       00.1678561,      -00.4300764,       02.8296000,       00.2214720,      -00.8561586,       02.9183600,       00.2059586,      -01.2369550,       03.0218000,       00.0528387,       00.3712404,       02.8632000,       00.1245485,       00.3519772,       02.9131600,      -00.0207819,       00.3381965,       02.9904670,       00.1969679,       00.3755033,       03.3203480
     384.1504000,       00.0528092,       00.3236228,       02.8616000,       00.0757384,       00.0619444,       02.8923200,      -00.1175335,       00.0887054,       02.9321200,      -00.1663001,      -00.2516290,       02.9354400,      -00.1648295,      -00.4679260,       02.9094800,       00.2468286,       00.0623933,       02.9132800,       00.2953097,      -00.2273704,       02.9154000,       00.3213217,      -00.4739988,       02.9472400,      -00.0414251,      -00.4288726,       02.8216800,      -00.0674725,      -00.8417015,       02.8690810,      -00.0709577,      -01.2351050,       03.0172800,       00.1704425,      -00.4367032,       02.8732000,       00.2216025,      -00.8308610,       02.9200800,       00.2071391,      -01.2440450,       03.0391200,       00.0277466,       00.3740359,       02.8847600,       00.1003875,       00.3716554,       02.8664000,      -00.0207972,       00.3384454,       02.9926670,       00.1977707,       00.3770337,       03.3338800
     384.2171000,       00.0530986,       00.3253961,       02.8772800,       00.0753289,       00.0616094,       02.8766800,      -00.1160151,       00.0619855,       02.8942400,      -00.1875897,      -00.2755018,       02.9136000,      -00.1623209,      -00.5304269,       02.8652000,       00.2466692,       00.0623530,       02.9114000,       00.3013630,      -00.2320311,       02.9751600,       00.3202708,      -00.4724485,       02.9376000,      -00.0418203,      -00.4329642,       02.8486000,      -00.0676437,      -00.8438371,       02.8763600,      -00.0708336,      -01.2329440,       03.0120000,       00.1665700,      -00.4267812,       02.8079200,       00.2215570,      -00.8306903,       02.9194800,       00.2051952,      -01.2323700,       03.0106000,       00.0277643,       00.3742745,       02.8866000,       00.1004225,       00.3464483,       02.8674000,      -00.0210970,       00.3433233,       03.0358000,       00.1957134,       00.3731117,       03.2992010
     384.2846000,       00.0532042,       00.3005684,       02.8830000,       00.0531576,       00.0616908,       02.8804800,      -00.1182807,       00.0631960,       02.9507600,      -00.1897143,      -00.2298037,       02.9466000,      -00.1860522,      -00.4168720,       02.8897200,       00.2460931,       00.0622074,       02.9046000,       00.2983648,      -00.2036953,       02.9455610,       00.3221678,      -00.4491362,       02.9550000,      -00.0412213,      -00.4267629,       02.8078000,      -00.0683868,      -00.8531077,       02.9079600,      -00.0698374,      -01.2156040,       02.9696400,       00.1656920,      -00.4245317,       02.7931200,       00.2187885,      -00.8203106,       02.8830000,       00.2059641,      -01.2369880,       03.0218800,       00.0278643,       00.3500247,       02.8970000,       00.1008512,       00.3479272,       02.8796400,      -00.0207435,       00.3375708,       02.9849340,       00.1998778,       00.3810507,       03.3694000
     384.3400000,       00.0750754,       00.3242335,       02.8670000,       00.0749989,       00.0613396,       02.8640800,      -00.1176554,       00.0628619,       02.9351600,      -00.2165855,      -00.2306928,       02.9580000,      -00.2799584,      -00.5168177,       04.3482500,       00.2471200,       00.0624670,       02.9167200,       00.2955731,      -00.2017894,       02.9180000,       00.3190497,      -00.4447891,       02.9264000,      -00.0417357,      -00.4320887,       02.8428400,      -00.0668008,      -00.8333226,       02.8405200,      -00.0702917,      -01.2235120,       02.9889600,       00.1679984,      -00.4304412,       02.8320000,       00.2211016,      -00.8289831,       02.9134800,       00.2065148,      -01.2402950,       03.0299600,       00.0279197,       00.3763697,       02.9027600,       00.1010880,       00.3487440,       02.8864000,      -00.0205955,       00.3351623,       02.9636370,       00.1986558,       00.3787211,       03.3488000
     384.3980000,       00.0741065,       00.3200492,       02.8300000,       00.0750283,       00.0613636,       02.8652000,      -00.1168569,       00.0624353,       02.9152400,      -00.2397212,      -00.1818870,       02.9612810,      -00.3083209,      -00.2965310,       02.8989600,       00.2466150,       00.0623393,       02.9107600,       00.3016790,      -00.2059580,       02.9782800,       00.3198914,      -00.4718888,       02.9341200,      -00.0419113,      -00.4339065,       02.8548000,      -00.0675985,      -00.8432739,       02.8744400,      -00.0709925,      -01.2357110,       03.0187600,       00.1680103,      -00.4304715,       02.8322000,       00.2200847,      -00.8251704,       02.9000800,       00.2086141,      -01.2529030,       03.0607600,       00.0528579,       00.3460664,       02.8642390,       00.1004646,       00.3465933,       02.8686000,      -00.0203798,       00.3316523,       02.9326000,       00.1794902,       00.3421834,       03.0257210
