       TimeStamp,     Flexion_Left,    Flexion_Right,   Abduction_Left,  Abduction_Right
      6421.11600,       -021.96016,       -014.19024,        021.96016,        014.19024
      6421.18300,       -024.92916,       -009.06506,        024.92916,        009.06506
      6421.25400,       -021.82691,       -012.14363,        021.82691,        012.14363
      6421.32000,       -024.40721,       -009.37652,        024.40721,        009.37652
      6421.37600,       -020.28806,       -013.70024,        020.28806,        013.70024
      6421.43700,       -027.65734,       -013.50812,        027.65734,        013.50812
      6421.49400,       -023.88412,       -008.72587,        023.88412,        008.72587
      6421.55000,       -024.10429,       -012.39629,        024.10429,        012.39629
      6421.60900,       -025.48526,       -021.03783,        025.48526,        021.03783
      6421.67000,       -020.08121,       -012.34368,        020.08121,        012.34368
      6421.73300,       -024.01179,       -008.78107,        024.01179,        008.78107
      6421.79200,       -024.37061,       -010.91387,        024.37061,        010.91387
      6421.84700,       -026.60856,       -012.52750,        026.60856,        012.52750
      6421.90400,       -025.41646,       -021.19238,        025.41646,        021.19238
      6421.97000,       -029.96776,       -012.17264,        029.96776,        012.17264
      6422.02500,       -018.20991,       -016.92616,        018.20991,        016.92616
      6422.08200,       -023.94732,       -013.94172,        023.94732,        013.94172
      6422.14000,       -024.59430,       -023.37538,        024.59430,        023.37538
      6422.19600,       -030.23855,       -017.06380,        030.23855,        017.06380
      6422.26200,       -030.60695,       -028.13278,        030.60695,        028.13278
      6422.32000,       -014.81834,       -044.16048,        014.81834,        044.16048
      6422.38100,       -021.05761,       -051.75350,        021.05761,        051.75350
      6422.44000,       -030.52945,       -056.58553,        030.52945,        056.58553
      6422.50900,       -028.98735,       -050.75938,        028.98735,        050.75938
      6422.56300,       -024.47161,       -059.32506,        024.47161,        059.32506
      6422.62300,       -019.73513,       -049.86888,        019.73513,        049.86888
      6422.67900,       -028.06452,        047.49690,        028.06452,        047.49690
      6422.73500,       -020.70941,       -051.20533,        020.70941,        051.20533
      6422.79800,       -033.83170,       -046.88916,        033.83170,        046.88916
      6422.85700,       -028.06840,       -031.58049,        028.06840,        031.58049
      6422.91200,       -030.56526,       -026.72593,        030.56526,        026.72593
      6422.96700,       -032.28210,       -015.02046,        032.28210,        015.02046
      6423.02600,       -026.69388,       -017.09863,        026.69388,        017.09863
      6423.08200,       -020.14597,       -017.79443,        020.14597,        017.79443
      6423.14000,       -013.86779,       -010.96792,        013.86779,        010.96792
      6423.19600,       -015.02020,       -020.97153,        015.02020,        020.97153
      6423.25700,       -025.91136,        014.27695,        025.91136,        014.27695
      6423.32400,       -015.97393,       -023.07790,        015.97393,        023.07790
      6423.38300,       -025.46639,       -016.14919,        025.46639,        016.14919
      6423.43800,       -024.32769,        011.66365,        024.32769,        011.66365
      6423.49300,       -020.33427,        025.09870,        020.33427,        025.09870
      6423.55100,       -016.14187,       -043.58625,        016.14187,        043.58625
