       TimeStamp,           Nose.X,           Nose.Y,           Nose.Z,          Spine.X,          Spine.Y,          Spine.Z, Shoulder_Right.X, Shoulder_Right.Y, Shoulder_Right.Z,    Elbow_Right.X,    Elbow_Right.Y,    Elbow_Right.Z,    Wrist_Right.X,    Wrist_Right.Y,    Wrist_Right.Z,  Shoulder_Left.X,  Shoulder_Left.Y,  Shoulder_Left.Z,     Elbow_left.X,     Elbow_left.Y,     Elbow_left.Z,     Wrist_left.X,     Wrist_left.Y,     Wrist_left.Z,      Hip_Right.X,      Hip_Right.Y,      Hip_Right.Z,     Knee_Right.X,     Knee_Right.Y,     Knee_Right.Z,    Ankle_Right.X,    Ankle_Right.Y,    Ankle_Right.Z,       Hip_Left.X,       Hip_Left.Y,       Hip_Left.Z,      Knee_Left.X,      Knee_Left.Y,      Knee_Left.Z,     Ankle_Left.X,     Ankle_Left.Y,     Ankle_Left.Z,      Eye_Right.X,      Eye_Right.Y,      Eye_Right.Z,       Eye_Left.X,       Eye_Left.Y,       Eye_Left.Z,      Ear_Right.X,      Ear_Right.Y,      Ear_Right.Z,       Ear_Left.X,       Ear_Left.Y,       Ear_Left.Z
    6421.1160000,       00.0053662,       00.3216550,       02.8442000,       00.0525841,       00.0862028,       02.8494000,      -00.1373958,       00.0869289,       02.8734010,      -00.1868016,      -00.2262754,       02.9013600,      -00.1874274,      -00.4199533,       02.9110800,       00.2192135,       00.0618647,       02.8886000,       00.2718566,      -00.2033357,       02.9403600,       00.3191980,      -00.4449959,       02.9277600,      -00.0655657,      -00.4237534,       02.7880000,      -00.0671790,      -00.8380402,       02.8566000,      -00.0431839,      -01.2040770,       02.9414800,       00.1437810,      -00.4020535,       02.7870000,       00.1697069,      -00.8139938,       02.8608000,       00.1785624,      -01.2321580,       03.0100800,      -00.0198347,       00.3700683,       02.8541600,       00.0274834,       00.3704884,       02.8574000,      -00.0427011,       00.3514262,       02.9086000,       00.1228384,       00.3249302,       02.8731600
    6421.1830000,       00.0053426,       00.3202391,       02.8316800,       00.0529281,       00.0867667,       02.8680400,      -00.1397311,       00.0884064,       02.9222400,      -00.1875742,      -00.2272113,       02.9133600,      -00.1873218,      -00.4197168,       02.9094400,       00.2185791,       00.0616857,       02.8802400,       00.2726111,      -00.2039000,       02.9485200,       00.3205193,      -00.4468380,       02.9398800,      -00.0656974,      -00.4246046,       02.7936000,      -00.0683341,      -00.8524504,       02.9057200,      -00.0437230,      -01.2191080,       02.9782000,       00.1451099,      -00.4275168,       02.8127600,       00.1717855,      -00.8239640,       02.8958400,       00.1777485,      -01.2265410,       02.9963600,      -00.0197646,       00.3687613,       02.8440800,       00.0270698,       00.3649131,       02.8144010,      -01.0000000,       01.0000000,      -01.0000000,       00.1231240,       00.3256856,       02.8798400
    6421.2540000,       00.0053477,       00.3424611,       02.8344000,       00.0534212,       00.0875751,       02.8947600,      -00.1402743,       00.0887501,       02.9336000,      -00.1885529,      -00.2283968,       02.9285600,      -00.1852203,      -00.4372504,       02.8768000,       00.2422805,       00.0612436,       02.8596000,       00.2685873,      -00.2008904,       02.9050000,       00.3209598,      -00.4474521,       02.9439200,      -00.0657633,      -00.4250303,       02.7964010,      -00.0680143,      -00.8484606,       02.8921200,      -00.0435621,      -01.2146220,       02.9672410,       00.1443175,      -00.4251823,       02.7974000,       00.1700035,      -00.8154166,       02.8658000,       00.1783417,      -01.2306350,       03.0063600,      -00.0197849,       00.3691400,       02.8470000,       00.0273426,       00.3685902,       02.8427600,      -00.0735145,       00.3776932,       03.1260000,       00.1239346,       00.3278298,       02.8988000
    6421.3200000,       00.0053458,       00.3204337,       02.8334000,       00.0531636,       00.0871528,       02.8808000,      -00.1401347,       00.0886618,       02.9306800,      -00.1877983,      -00.2274828,       02.9168400,      -00.1851585,      -00.4148696,       02.8758400,       00.2186854,       00.0617157,       02.8816400,       00.2718013,      -00.2032943,       02.9397610,       00.3227216,      -00.4499083,       02.9600800,      -00.0656504,      -00.4243006,       02.7916000,      -00.0679880,      -00.8481320,       02.8910000,      -00.0438880,      -01.2237090,       02.9894400,       00.1451430,      -00.4276141,       02.8134000,       00.1734845,      -00.8579540,       02.9244800,       00.1550007,      -01.2298650,       03.0044800,      -00.0196548,       00.3667127,       02.8282800,       00.0525287,       00.3690622,       02.8464000,      -00.0423324,       00.3483911,       02.8834800,       00.1239414,       00.3278479,       02.8989600
    6421.3760000,       00.0053338,       00.3415671,       02.8270000,       00.0274892,       00.0864630,       02.8580000,      -00.1400620,       00.0886158,       02.9291600,      -00.1897349,      -00.2298286,       02.9469190,      -00.1874042,      -00.4199014,       02.9107200,       00.2203185,       00.0621766,       02.9031600,       00.2736687,      -00.2046911,       02.9599600,       00.3204190,      -00.4466982,       02.9389600,      -00.0659852,      -00.4047713,       02.8058400,      -00.0682119,      -00.8252956,       02.9005200,      -00.0438844,      -01.2236110,       02.9892000,       00.1448561,      -00.4050599,       02.8078400,       00.1686391,      -00.7868928,       02.8428000,       00.1811346,      -01.1723380,       03.0534410,      -00.0196965,       00.3674907,       02.8342800,       00.0270390,       00.3644982,       02.8112000,      -00.0692540,       00.3818250,       02.9448340,       00.1244186,       00.3516099,       02.9101200
    6421.4370000,       00.0053668,       00.3436839,       02.8445200,       00.0533629,       00.0874795,       02.8916000,      -00.1389048,       00.0878837,       02.9049600,      -00.1877699,      -00.2274484,       02.9163990,      -00.1857045,      -00.4160930,       02.8843200,       00.2190466,       00.0618176,       02.8864000,       00.2736392,      -00.2046690,       02.9596400,       00.3211647,      -00.4477378,       02.9458000,      -00.0658874,      -00.4258327,       02.8016800,      -00.0678290,      -00.8461488,       02.8842400,      -00.0436789,      -01.2178800,       02.9752000,       00.1450831,      -00.4274378,       02.8122400,       00.1707058,      -00.8187854,       02.8776400,       00.1558984,      -01.2369880,       03.0218800,      -00.0199017,       00.3713183,       02.8638000,       00.0276108,       00.3722051,       02.8706400,      -00.0419348,       00.3451192,       02.8564000,       00.1236935,       00.3271920,       02.8931600
    6421.4940000,       00.0053696,       00.3218586,       02.8460000,       00.0529975,       00.0868805,       02.8718000,      -00.1382756,       00.0874856,       02.8918010,      -00.1850401,      -00.1987467,       02.8740000,      -00.1862376,      -00.4172874,       02.8926000,       00.2191801,       00.0618553,       02.8881600,       00.2725815,      -00.2038779,       02.9482000,       00.3182560,      -00.4436826,       02.9191200,      -00.0660972,      -00.4271885,       02.8106000,      -00.0675750,      -00.8429805,       02.8734400,      -00.0435303,      -01.2137370,       02.9650800,       00.1442040,      -00.4248478,       02.7952000,       00.1941701,      -00.8105909,       02.8488400,       00.1798532,      -01.2410650,       03.0318410,      -00.0201268,       00.3755192,       02.8962000,       00.0526985,       00.3702550,       02.8556000,      -00.0428603,       00.3527360,       02.9194400,       00.1242458,       00.3286531,       02.9060800
    6421.5500000,       00.0053304,       00.3195063,       02.8252000,       00.0529273,       00.0867655,       02.8680000,      -00.1396354,       00.0883459,       02.9202400,      -00.1883931,      -00.2023482,       02.9260800,      -00.1879090,      -00.4210324,       02.9185600,       00.2445952,       00.0618288,       02.8869200,       00.2733470,      -00.2044504,       02.9564800,       00.2980851,      -00.4472818,       02.9428000,      -00.0652572,      -00.4003051,       02.7748800,      -00.0673220,      -00.8398239,       02.8626800,      -00.0439032,      -01.2241350,       02.9904810,       00.1452028,      -00.4277904,       02.8145600,       00.1693984,      -00.8125142,       02.8556000,       00.1785410,      -01.2320100,       03.0097200,      -00.0196518,       00.3666557,       02.8278400,       00.0524844,       00.3687510,       02.8440000,      -00.0422496,       00.3477097,       02.8778400,       00.1235772,       00.3268844,       02.8904400
    6421.6090000,       00.0054009,       00.3458684,       02.8626000,       00.0532241,       00.0872520,       02.8840800,      -00.1374283,       00.0869495,       02.8740800,      -00.1880249,      -00.2277572,       02.9203600,      -00.1855989,      -00.4381440,       02.8826800,       00.2189251,       00.0617833,       02.8848000,       00.2714461,      -00.2030287,       02.9359200,       00.3199960,      -00.4461085,       02.9350800,      -00.0650728,      -00.4205677,       02.7670400,      -00.0678403,      -00.8207999,       02.8847200,      -00.0437482,      -01.2198120,       02.9799200,       00.1444516,      -00.4039289,       02.8000000,       00.1683140,      -00.7853759,       02.8373200,       00.1778055,      -01.1507910,       02.9973200,      -00.0200782,       00.3746116,       02.8892000,       00.0275969,       00.3720184,       02.8692000,      -00.0684505,       00.3773949,       02.9106670,       00.1239962,       00.3279926,       02.9002400
    6421.6700000,       00.0053578,       00.3211529,       02.8397600,       00.0528867,       00.0866990,       02.8658000,      -00.1385261,       00.0876441,       02.8970400,      -00.1869767,      -00.2264876,       02.9040800,      -00.1866239,      -00.4181529,       02.8986000,       00.2202122,       00.0621466,       02.9017600,       00.2714129,      -00.2030038,       02.9355610,       00.3210164,      -00.4475310,       02.9444390,      -00.0651048,      -00.4207745,       02.7684000,      -00.0671461,      -00.8376293,       02.8552000,      -00.0436008,      -01.2157020,       02.9698800,       00.1448107,      -00.4266353,       02.8069600,       00.1684113,      -00.8077796,       02.8389600,       00.1759689,      -01.2142610,       02.9663610,      -00.0199100,       00.3714738,       02.8650000,       00.0273603,       00.3688288,       02.8446000,      -00.0426970,       00.3513924,       02.9083200,       00.1236832,       00.3271649,       02.8929200
