       TimeStamp,     Flexion_Left,    Flexion_Right,   Abduction_Left,  Abduction_Right
      6040.21300,       -024.90175,       -012.39212,        024.90175,        012.39212
      6040.28100,       -025.47187,       -019.81382,        025.47187,        019.81382
      6040.34400,       -019.81307,       -020.80097,        019.81307,        020.80097
      6040.40200,       -029.59590,       -012.25116,        029.59590,        012.25116
      6040.45800,       -012.25725,       -021.67499,        012.25725,        021.67499
      6040.51400,       -023.29917,       -019.71146,        023.29917,        019.71146
      6040.57500,       -017.38539,       -015.77667,        017.38539,        015.77667
      6040.63900,       -022.39073,       -011.85376,        022.39073,        011.85376
      6040.69300,       -019.92563,       -010.36348,        019.92563,        010.36348
      6040.75100,       -027.13288,       -012.87806,        027.13288,        012.87806
      6040.80900,       -036.58718,       -014.09196,        036.58718,        014.09196
      6040.86700,       -017.34675,       -007.79284,        017.34675,        007.79284
      6040.92200,       -027.74617,       -018.10506,        027.74617,        018.10506
      6040.97800,       -020.64520,       -019.58403,        020.64520,        019.58403
      6041.03900,       -027.10785,       -014.72351,        027.10785,        014.72351
      6041.09500,       -016.20200,       -024.39477,        016.20200,        024.39477
      6041.15000,       -022.10975,       -016.21485,        022.10975,        016.21485
      6041.21000,       -014.33482,       -014.75241,        014.33482,        014.75241
      6041.27200,       -019.84942,       -011.55655,        019.84942,        011.55655
      6041.32600,       -015.09461,       -013.05437,        015.09461,        013.05437
      6041.38400,       -021.35027,       -012.78417,        021.35027,        012.78417
      6041.44100,       -033.38733,       -017.21152,        033.38733,        017.21152
      6041.50100,       -021.73625,       -013.33829,        021.73625,        013.33829
      6041.56200,       -019.21224,        014.14136,        019.21224,        014.14136
      6041.61500,       -027.34033,       -030.44309,        027.34033,        030.44309
      6041.67500,       -021.12452,       -036.41502,        021.12452,        036.41502
      6041.73400,       -020.65228,       -045.13661,        020.65228,        045.13661
      6041.79200,       -030.76999,       -049.00919,        030.76999,        049.00919
      6041.85000,       -022.48768,       -046.10597,        022.48768,        046.10597
      6041.90900,       -019.81289,       -041.57722,        019.81289,        041.57722
      6041.96800,       -028.35049,       -029.30128,        028.35049,        029.30128
      6042.02300,       -030.68718,       -033.38927,        030.68718,        033.38927
      6042.08000,       -021.60967,       -010.08182,        021.60967,        010.08182
      6042.13700,       -018.30820,       -006.63250,        018.30820,        006.63250
      6042.19400,       -033.91012,       -020.83594,        033.91012,        020.83594
      6042.25100,       -028.54598,       -012.40923,        028.54598,        012.40923
      6042.31000,       -031.78110,       -013.16846,        031.78110,        013.16846
      6042.37400,       -020.54134,        008.86297,        020.54134,        008.86297
      6042.43400,       -025.78413,       -012.94392,        025.78413,        012.94392
      6042.48900,       -038.29558,       -018.34063,        038.29558,        018.34063
      6042.54600,       -022.69871,       -012.92574,        022.69871,        012.92574
      6042.60800,       -029.70241,       -012.44160,        029.70241,        012.44160
      6042.66700,       -012.55300,       -018.31841,        012.55300,        018.31841
      6042.72400,       -025.27317,       -017.02704,        025.27317,        017.02704
      6042.77800,       -028.75124,       -024.36272,        028.75124,        024.36272
      6042.83600,       -026.11037,       -025.55756,        026.11037,        025.55756
      6042.89000,       -026.80823,       -029.36489,        026.80823,        029.36489
      6042.94400,       -035.08065,       -039.07978,        035.08065,        039.07978
      6043.00300,       -021.89813,        045.19712,        021.89813,        045.19712
      6043.06100,       -022.20398,       -059.76569,        022.20398,        059.76569
      6043.11600,       -025.55201,        054.78971,        025.55201,        054.78971
      6043.17400,       -017.07609,       -068.43548,        017.07609,        068.43548
