       TimeStamp,           Nose.X,           Nose.Y,           Nose.Z,          Spine.X,          Spine.Y,          Spine.Z, Shoulder_Right.X, Shoulder_Right.Y, Shoulder_Right.Z,    Elbow_Right.X,    Elbow_Right.Y,    Elbow_Right.Z,    Wrist_Right.X,    Wrist_Right.Y,    Wrist_Right.Z,  Shoulder_Left.X,  Shoulder_Left.Y,  Shoulder_Left.Z,     Elbow_left.X,     Elbow_left.Y,     Elbow_left.Z,     Wrist_left.X,     Wrist_left.Y,     Wrist_left.Z,      Hip_Right.X,      Hip_Right.Y,      Hip_Right.Z,     Knee_Right.X,     Knee_Right.Y,     Knee_Right.Z,    Ankle_Right.X,    Ankle_Right.Y,    Ankle_Right.Z,       Hip_Left.X,       Hip_Left.Y,       Hip_Left.Z,      Knee_Left.X,      Knee_Left.Y,      Knee_Left.Z,     Ankle_Left.X,     Ankle_Left.Y,     Ankle_Left.Z,      Eye_Right.X,      Eye_Right.Y,      Eye_Right.Z,       Eye_Left.X,       Eye_Left.Y,       Eye_Left.Z,      Ear_Right.X,      Ear_Right.Y,      Ear_Right.Z,       Ear_Left.X,       Ear_Left.Y,       Ear_Left.Z
    6189.1440000,       00.0053945,       00.3233514,       02.8592000,       00.0276142,       00.0868563,       02.8710000,      -00.1657404,       00.0885069,       02.9255600,      -00.2150889,      -00.2290987,       02.9375600,      -00.1898044,      -00.1550224,       02.9479990,       00.2208072,       00.0623145,       02.9096000,       00.2520680,      -00.1827370,       02.9751200,       00.3242697,      -00.4290706,       02.9742800,      -00.0881339,      -00.4068719,       02.8204000,      -00.0669532,      -00.8100674,       02.8470000,      -00.0442033,      -01.2325010,       03.0109200,       00.1197020,      -00.4255471,       02.7998010,       00.1490803,      -00.8222227,       02.8897200,       00.1278389,      -01.2239870,       02.9901200,      -00.0200212,       00.3735484,       02.8810000,       00.0277454,       00.3740203,       02.8846400,      -00.0775183,       00.3727781,       03.2962500,       00.1014466,       00.3275855,       02.8966400
    6189.2050000,       00.0054066,       00.3240752,       02.8656000,       00.0278924,       00.0877312,       02.8999200,      -00.1664565,       00.0888893,       02.9382000,      -00.2152090,      -00.2292266,       02.9392000,      -00.1865106,      -00.3699051,       02.8968400,       00.2214204,       00.0624875,       02.9176800,       00.2481130,      -00.1798698,       02.9284400,       00.3217796,      -00.4257756,       02.9514400,      -00.0885588,      -00.4088337,       02.8339990,      -00.0682053,      -00.8252158,       02.9002390,      -00.0698647,      -01.2160790,       02.9708010,       00.1197618,      -00.4257598,       02.8012000,       00.1500770,      -00.8277198,       02.9090400,       00.1293712,      -01.2386580,       03.0259600,      -00.0428168,       00.3523783,       02.9164800,       00.0275584,       00.3461826,       02.8652000,      -00.0938254,       00.4511976,       03.9896670,       00.1016287,       00.3281735,       02.9018390
    6189.2650000,       00.0053904,       00.3231025,       02.8569990,       00.0278785,       00.0876876,       02.8984800,      -00.1694795,       00.0905036,       02.9915600,      -00.2143948,      -00.2283593,       02.9280800,      -00.2143333,      -00.3964191,       02.9272400,       00.2206615,       00.0622734,       02.9076800,       00.2524272,      -00.1829975,       02.9793600,       00.3286133,      -00.4348179,       03.0141200,      -00.0886914,      -00.4094454,       02.8382400,      -00.0674424,      -00.8159856,       02.8678000,      -00.0695505,      -01.2106100,       02.9574400,       00.1197003,      -00.4255410,       02.7997600,       00.1520787,      -00.8387597,       02.9478400,       00.1287162,      -01.2323870,       03.0106400,      -00.0199865,       00.3729001,       02.8760000,       00.0277219,       00.3482365,       02.8822000,      -00.0856587,       00.4119247,       03.6424000,       00.1016119,       00.3281193,       02.9013600
    6189.3270000,       00.0053779,       00.3223562,       02.8504000,       00.0278831,       00.0877022,       02.8989600,      -00.1690104,       00.0902531,       02.9832800,      -00.2131442,      -00.2270273,       02.9110000,      -00.1892096,      -00.1318152,       02.9387600,       00.2218727,       00.0626152,       02.9236400,       00.2521594,      -00.1828033,       02.9762000,       00.3265157,      -00.4320424,       02.9948800,      -00.0887839,      -00.4098725,       02.8412000,      -00.0679127,      -00.8216764,       02.8878000,      -00.0692739,      -01.2057960,       02.9456800,       00.1201774,      -00.4055043,       02.8109210,       00.1487068,      -00.8201626,       02.8824800,       00.1286067,      -01.2313390,       03.0080800,      -00.0424897,       00.3496864,       02.8942000,       00.0276892,       00.3478257,       02.8788000,      -00.0695558,       00.3344872,       02.9576670,       00.1020994,       00.3296935,       02.9152800
    6189.3830000,       00.0054006,       00.3237132,       02.8624000,       00.0277800,       00.0873778,       02.8882400,      -00.1670525,       00.0892075,       02.9487200,      -00.2141927,      -00.2281441,       02.9253200,      -00.1646418,      -00.3710960,       02.9061670,       00.2206706,       00.0622759,       02.9078000,       00.2502040,      -00.1813858,       02.9531200,       00.2990210,      -00.4258622,       02.9520400,      -00.0883714,      -00.4079682,       02.8280000,      -00.0656739,      -00.7945887,       02.7926000,      -00.0450724,      -01.2567350,       03.0701210,       00.1197174,      -00.4039520,       02.8001600,       00.1496767,      -00.8255118,       02.9012800,       00.1288513,      -01.2336800,       03.0138000,      -00.0425514,       00.3501939,       02.8984000,       00.0276585,       00.3474391,       02.8756000,      -00.0772049,       00.3712709,       03.2829230,       00.1022394,       00.3301458,       02.9192790
    6189.4390000,       00.0053577,       00.3211439,       02.8396800,       00.0278339,       00.0875473,       02.8938400,      -00.1674853,       00.0894387,       02.9563600,      -00.2173763,      -00.2053024,       02.9688000,      -00.1888979,      -00.3973238,       02.9339200,       00.2191710,       00.0618527,       02.8880400,       00.2492517,      -00.1806954,       02.9418800,       00.3242872,      -00.4290936,       02.9744400,      -00.0886689,      -00.4093415,       02.8375200,      -00.0679005,      -00.8215283,       02.8872800,      -00.0695467,      -01.2105440,       02.9572800,       00.1201347,      -00.4053600,       02.8099200,       00.1474232,      -00.8130833,       02.8576000,       00.1295080,      -01.2399680,       03.0291600,      -00.0198864,       00.3710330,       02.8616000,       00.0277062,       00.3734913,       02.8805600,      -00.0894927,       00.4303619,       03.8054290,       00.1017996,       00.3287255,       02.9067200
    6189.5000000,       00.0054032,       00.3238716,       02.8638000,       00.0277950,       00.0874250,       02.8898000,      -00.1672020,       00.0892874,       02.9513600,      -00.2140023,      -00.2279413,       02.9227200,      -00.1864307,      -00.4177202,       02.8956000,       00.2199936,       00.0620849,       02.8988790,       00.2528305,      -00.1832898,       02.9841200,       00.3228394,      -00.4271779,       02.9611600,      -00.0879076,      -00.4058273,       02.8131600,      -00.0671508,      -00.8124575,       02.8554000,      -00.0444858,      -01.2403770,       03.0301600,       00.1214617,      -00.4098378,       02.8409600,       00.1483663,      -00.8182845,       02.8758800,       00.1282664,      -01.2280800,       03.0001200,      -00.0427029,       00.3514407,       02.9087200,       00.0275834,       00.3464967,       02.8678000,      -00.0689522,       00.3315845,       02.9320000,       00.1019285,       00.3291417,       02.9104000
    6189.5560000,       00.0053983,       00.3235776,       02.8612000,       00.0279155,       00.0878038,       02.9023200,      -00.1616524,       00.0863238,       02.8534000,      -00.2159940,      -00.2300627,       02.9499200,      -00.1882155,      -00.3958883,       02.9233200,       00.2195627,       00.0619633,       02.8932010,       00.2542301,      -00.1843045,       03.0006400,       00.3224731,      -00.4266932,       02.9578000,      -00.0877226,      -00.4049733,       02.8072400,      -00.0684094,      -00.8533893,       02.9089200,      -00.0445838,      -01.2431120,       03.0368400,       00.1186160,      -00.4216864,       02.7744000,       00.1511811,      -00.8338089,       02.9304400,       00.1292275,      -01.2372830,       03.0226010,      -00.0426043,       00.3762712,       02.9020000,       00.0276958,       00.3733512,       02.8794800,      -00.0749443,       00.3850392,       03.1868000,       00.1017534,       00.3285762,       02.9054000
    6189.6250000,       00.0054006,       00.3237132,       02.8624000,       00.0277189,       00.0871854,       02.8818800,      -00.1664815,       00.0889026,       02.9386400,      -00.1884189,      -00.2282346,       02.9264800,      -00.1870746,      -00.3710236,       02.9056000,       00.2190769,       00.0618262,       02.8868000,       00.2514884,      -00.1823169,       02.9682800,       00.3212520,      -00.4250774,       02.9466000,      -00.0884726,      -00.4084356,       02.8312400,      -00.0677999,      -00.8203108,       02.8830010,      -00.0693971,      -01.2079410,       02.9509200,       00.1199328,      -00.4046791,       02.8052000,       00.1515731,      -00.8359714,       02.9380400,       00.1298603,      -01.2433410,       03.0374000,      -00.0423811,       00.3487923,       02.8868000,       00.0279816,       00.3514987,       02.9092000,       00.0000000,       00.0000000,       00.0000000,       00.1026009,       00.3313131,       02.9296000
    6189.6830000,       00.0053817,       00.3225825,       02.8524010,       00.0278374,       00.0875581,       02.8942000,      -00.1636919,       00.0874130,       02.8894000,      -00.2155370,      -00.2295760,       02.9436800,      -00.1875845,      -00.3720350,       02.9135210,       00.2193046,       00.0618904,       02.8898000,       00.2504277,      -00.1815479,       02.9557600,       00.3223640,      -00.4265489,       02.9568000,      -00.0871652,      -00.4023997,       02.7894000,      -00.0688798,      -00.8333764,       02.9289200,      -00.0445234,      -01.2414250,       03.0327200,       00.1196216,      -00.4252613,       02.7979200,       00.1488987,      -00.8212209,       02.8862000,       00.1281416,      -01.2268850,       02.9972000,      -00.0199031,       00.3713441,       02.8640000,       00.0275161,       00.3456509,       02.8608000,      -00.0867311,       00.4170817,       03.6880000,       00.1016791,       00.3283364,       02.9032800
