       TimeStamp,     Flexion_Left,    Flexion_Right,   Abduction_Left,  Abduction_Right
      7020.00400,       -017.88813,       -006.81449,        017.88813,        006.81449
      7020.07200,       -025.33081,       -005.83791,        025.33081,        005.83791
      7020.13100,       -024.99491,       -008.25005,        024.99491,        008.25005
      7020.19400,       -018.70296,       -026.32638,        018.70296,        026.32638
      7020.24900,       -030.10854,       -020.20494,        030.10854,        020.20494
      7020.30600,       -016.07278,       -013.57157,        016.07278,        013.57157
      7020.36200,       -021.53192,       -025.34181,        021.53192,        025.34181
      7020.42100,       -019.90163,       -035.01782,        019.90163,        035.01782
      7020.47500,       -013.18167,       -037.80589,        013.18167,        037.80589
      7020.54300,       -017.31082,        029.73039,        017.31082,        029.73039
      7020.59800,       -021.68570,       -044.75858,        021.68570,        044.75858
      7020.65500,       -008.04816,        029.94451,        008.04816,        029.94451
      7020.71000,       -021.30087,        029.54522,        021.30087,        029.54522
      7020.77000,       -019.65243,       -027.19258,        019.65243,        027.19258
      7020.83000,       -020.94191,       -021.22812,        020.94191,        021.22812
      7020.88800,       -012.02203,       -008.36987,        012.02203,        008.36987
      7020.95900,       -023.30618,       -015.53934,        023.30618,        015.53934
      7021.01200,       -020.02918,       -021.29890,        020.02918,        021.29890
      7021.06600,       -026.63017,       -012.11845,        026.63017,        012.11845
      7021.12600,       -023.27246,       -013.19877,        023.27246,        013.19877
      7021.18100,       -022.17645,       -019.03160,        022.17645,        019.03160
      7021.23600,       -021.85644,       -010.91998,        021.85644,        010.91998
      7021.29600,       -021.85076,       -009.38747,        021.85076,        009.38747
      7021.35400,       -025.69350,       -017.63659,        025.69350,        017.63659
      7021.41200,       -019.77104,       -012.61180,        019.77104,        012.61180
      7021.46700,       -017.56217,       -010.99272,        017.56217,        010.99272
      7021.52700,       -026.39896,       -027.85276,        026.39896,        027.85276
      7021.58200,       -023.63166,       -018.18707,        023.63166,        018.18707
      7021.63900,       -019.18914,       -014.71638,        019.18914,        014.71638
      7021.69600,       -026.44083,        005.50157,        026.44083,        005.50157
      7021.75000,       -019.87490,       -014.69005,        019.87490,        014.69005
      7021.80400,       -020.02716,       -014.99781,        020.02716,        014.99781
      7021.86400,       -019.99457,       -016.65578,        019.99457,        016.65578
      7021.91800,       -023.70811,        018.00667,        023.70811,        018.00667
      7021.97500,       -020.18424,       -027.34579,        020.18424,        027.34579
      7022.03000,       -022.46995,       -042.11136,        022.46995,        042.11136
      7022.08700,       -028.47310,        037.92833,        028.47310,        037.92833
      7022.15000,       -020.30672,        051.32036,        020.30672,        051.32036
      7022.20600,       -021.04549,        066.16645,        021.04549,        066.16645
      7022.26200,       -023.74999,        065.33579,        023.74999,        065.33579
      7022.31800,       -020.29698,        063.09495,        020.29698,        063.09495
      7022.37300,       -020.29254,        072.98463,        020.29254,        072.98463
      7022.43800,       -019.61933,        077.07629,        019.61933,        077.07629
      7022.50100,       -020.89056,        093.38786,        020.89056,        093.38786
      7022.55800,       -020.12614,        094.26666,        020.12614,        094.26666
      7022.62000,       -018.18160,        093.85470,        018.18160,        093.85470
      7022.67700,       -018.04750,        095.47469,        018.04750,        095.47469
      7022.73800,       -020.32071,       -085.85713,        020.32071,        085.85713
      7022.79700,        000.00000,        000.00000,        000.00000,        000.00000
      7022.86200,       -024.73869,       -078.27787,        024.73869,       -078.27787
      7022.92200,        030.75743,       -053.23520,       -030.75743,       -053.23520
      7022.98000,       -019.53250,       -090.36091,        019.53250,       -090.36091
      7023.03300,       -025.98833,       -091.16672,        025.98833,       -091.16672
      7023.09000,       -022.14394,       -094.31338,        022.14394,       -094.31338
      7023.14600,       -026.18886,       -081.06512,        026.18886,       -081.06512
      7023.20200,       -026.83457,       -072.70884,        026.83457,        072.70884
      7023.26100,       -024.78725,        076.08311,        024.78725,        076.08311
      7023.32300,       -029.70227,        088.17631,        029.70227,        088.17631
      7023.38100,       -032.60933,        090.04198,        032.60933,        090.04198
      7023.43500,       -025.86427,        091.67506,        025.86427,        091.67506
      7023.49200,       -025.17012,        095.50873,        025.17012,        095.50873
      7023.54700,       -027.02502,        099.61866,        027.02502,        099.61866
      7023.60600,       -032.53724,        105.54380,        032.53724,        105.54380
      7023.66300,       -017.23281,        102.76460,        017.23281,        102.76460
      7023.72300,       -019.51338,        107.45470,        019.51338,        107.45470
      7023.78000,        000.00000,        000.00000,        000.00000,        000.00000
      7023.83500,        000.00000,        000.00000,        000.00000,        000.00000
      7023.89400,       -014.66761,       -100.77890,        014.66761,       -100.77890
      7023.94800,        013.62400,       -058.07108,        013.62400,       -058.07108
      7024.00100,       -015.97030,       -092.33039,        015.97030,       -092.33039
      7024.05700,       -030.60806,       -052.66279,        030.60806,        052.66279
      7024.11500,       -019.93157,       -051.11322,        019.93157,       -051.11322
      7024.18100,       -031.05334,       -095.70110,        031.05334,       -095.70110
      7024.24100,       -037.19944,       -090.01677,        037.19944,       -090.01677
      7024.30200,        000.00000,        000.00000,        000.00000,        000.00000
      7024.36200,       -025.05573,       -092.40460,        025.05573,       -092.40460
      7024.41700,       -025.36798,       -089.38411,        025.36798,       -089.38411
      7024.47800,        000.00000,        000.00000,        000.00000,        000.00000
      7024.53500,       -022.02819,       -072.71117,        022.02819,        072.71117
      7024.59300,       -037.03057,        076.76900,        037.03057,        076.76900
      7024.65300,       -028.97514,        086.63573,        028.97514,        086.63573
      7024.72600,       -020.13474,        100.77080,        020.13474,        100.77080
      7024.79200,       -024.32925,        110.96240,        024.32925,        110.96240
      7024.84800,       -017.49621,        108.58010,        017.49621,        108.58010
      7024.90700,       -029.05623,        104.08260,        029.05623,        104.08260
      7024.97000,       -013.44940,        105.30980,        013.44940,        105.30980
      7025.02700,        000.00000,        000.00000,        000.00000,        000.00000
      7025.08200,        000.00000,        000.00000,        000.00000,        000.00000
      7025.13800,       -021.34570,       -100.23200,        021.34570,       -100.23200
      7025.20100,       -028.92544,       -103.03880,        028.92544,       -103.03880
      7025.26500,       -027.51279,       -103.87630,        027.51279,       -103.87630
      7025.32700,       -027.01789,       -108.82510,        027.01789,       -108.82510
      7025.38200,       -020.05106,       -101.87050,        020.05106,       -101.87050
      7025.43700,       -016.29006,       -092.24898,        016.29006,       -092.24898
      7025.49600,        020.15686,       -057.98924,       -020.15686,       -057.98924
      7025.54900,        014.72820,       -058.81428,       -014.72820,       -058.81428
      7025.61500,       -024.09993,       -053.27106,        024.09993,        053.27106
      7025.67200,       -016.82314,        058.06713,        016.82314,        058.06713
      7025.73800,       -022.14929,        058.49281,        022.14929,        058.49281
      7025.79900,       -022.00016,       -064.59034,        022.00016,        064.59034
      7025.85900,       -024.20522,       -072.14383,        024.20522,        072.14383
      7025.91400,       -026.70575,        070.79981,        026.70575,        070.79981
      7025.96900,       -017.88108,        082.43780,        017.88108,        082.43780
      7026.03000,       -022.85867,        079.07124,        022.85867,        079.07124
      7026.08600,       -020.73550,        094.41949,        020.73550,        094.41949
      7026.15100,       -028.26224,        094.27068,        028.26224,        094.27068
      7026.20600,       -030.84707,        097.58594,        030.84707,        097.58594
      7026.26700,       -032.40973,        104.19060,        032.40973,        104.19060
      7026.32100,       -036.78652,        101.57500,        036.78652,        101.57500
