       TimeStamp,           Nose.X,           Nose.Y,           Nose.Z,          Spine.X,          Spine.Y,          Spine.Z, Shoulder_Right.X, Shoulder_Right.Y, Shoulder_Right.Z,    Elbow_Right.X,    Elbow_Right.Y,    Elbow_Right.Z,    Wrist_Right.X,    Wrist_Right.Y,    Wrist_Right.Z,  Shoulder_Left.X,  Shoulder_Left.Y,  Shoulder_Left.Z,     Elbow_left.X,     Elbow_left.Y,     Elbow_left.Z,     Wrist_left.X,     Wrist_left.Y,     Wrist_left.Z,      Hip_Right.X,      Hip_Right.Y,      Hip_Right.Z,     Knee_Right.X,     Knee_Right.Y,     Knee_Right.Z,    Ankle_Right.X,    Ankle_Right.Y,    Ankle_Right.Z,       Hip_Left.X,       Hip_Left.Y,       Hip_Left.Z,      Knee_Left.X,      Knee_Left.Y,      Knee_Left.Z,     Ankle_Left.X,     Ankle_Left.Y,     Ankle_Left.Z,      Eye_Right.X,      Eye_Right.Y,      Eye_Right.Z,       Eye_Left.X,       Eye_Left.Y,       Eye_Left.Z,      Ear_Right.X,      Ear_Right.Y,      Ear_Right.Z,       Ear_Left.X,       Ear_Left.Y,       Ear_Left.Z
    7143.4550000,       00.0275161,       00.3456509,       02.8608000,       00.0275084,       00.0865235,       02.8600000,      -00.1640613,       00.0876102,       02.8959210,      -00.1876206,      -00.2272675,       02.9140800,      -00.1848752,      -00.4142349,       02.8714400,       00.2213081,       00.0882237,       02.9162000,       00.2497736,      -00.1810737,       02.9480400,       00.2986888,      -00.4253891,       02.9487600,      -00.0661593,      -00.4275897,       02.8132400,      -00.0675703,      -00.8429220,       02.8732410,      -00.0697903,      -01.2147850,       02.9676400,       00.1455557,      -00.4288300,       02.8214000,       00.1970218,      -00.8224957,       02.8906800,       00.2078779,      -01.2484820,       03.0499600,       00.0054187,       00.3723815,       02.8720010,       00.0755216,       00.3739425,       02.8840400,      -00.0711415,       00.3421128,       03.0250960,       00.1346555,       00.3805398,       03.1495600
    7143.5230000,       00.0273295,       00.3433069,       02.8414000,       00.0277546,       00.0872980,       02.8856000,      -00.1624229,       00.0867353,       02.8670000,      -00.1861501,      -00.2254863,       02.8912410,      -00.1864307,      -00.4177201,       02.8956000,       00.2208436,       00.0880386,       02.9100800,       00.2487434,      -00.1803269,       02.9358810,       00.2947992,      -00.4423512,       02.9103600,      -00.0660031,      -00.4265805,       02.8066000,      -00.0680792,      -00.8492703,       02.8948800,      -00.0702184,      -01.2222350,       02.9858410,       00.1455866,      -00.4289211,       02.8220000,       00.1930959,      -00.8061066,       02.8330800,       00.2050263,      -01.2313550,       03.0081210,       00.0054342,       00.3734499,       02.8802400,       00.0757143,       00.3748969,       02.8914000,      -00.0429730,       00.3536639,       02.9271200,       00.1248136,       00.3301549,       02.9193600
    7143.5900000,       00.0525346,       00.3439497,       02.8467200,       00.0274757,       00.0864206,       02.8566000,      -00.1657087,       00.0884900,       02.9250000,      -00.1864050,      -00.2257951,       02.8952000,      -00.1854547,      -00.4155332,       02.8804400,       00.2221368,       00.0885541,       02.9271200,       00.2491602,      -00.1806290,       02.9408000,       00.2974450,      -00.4236176,       02.9364810,      -00.0661029,      -00.4272250,       02.8108400,      -00.0661348,      -00.8250145,       02.8122000,      -00.0442562,      -01.2339750,       03.0145200,       00.1466576,      -00.4320765,       02.8427600,       00.1956777,      -00.8168847,       02.8709600,       00.2068338,      -01.2422110,       03.0346410,       00.0054009,       00.3711627,       02.8626000,       00.0753331,       00.3730091,       02.8768410,      -00.0427634,       00.3519385,       02.9128400,       00.1248803,       00.3303314,       02.9209200
    7143.6480000,       00.0525361,       00.3439594,       02.8468000,       00.0275026,       00.0865053,       02.8594000,      -00.1624682,       00.0867595,       02.8678000,      -00.1895572,      -00.2296134,       02.9441600,      -00.1863045,      -00.4398099,       02.8936400,       00.2214234,       00.0882697,       02.9177200,       00.2479537,      -00.1797544,       02.9265600,       00.2939644,      -00.4186607,       02.9021190,      -00.0657256,      -00.4247870,       02.7948000,      -00.0681752,      -00.8504671,       02.8989600,      -00.0443454,      -01.2364640,       03.0206000,       00.1454525,      -00.4285260,       02.8194000,       00.1966783,      -00.8210617,       02.8856400,       00.2112449,      -01.2687040,       03.0993600,       00.0053866,       00.3701773,       02.8550000,       00.0755373,       00.3740204,       02.8846400,      -00.0427569,       00.3518854,       02.9124000,       00.1245810,       00.3295397,       02.9139200
    7143.7100000,       00.0524246,       00.3432296,       02.8407600,       00.0274565,       00.0863601,       02.8546000,      -00.1618563,       00.0864327,       02.8570000,      -00.2127341,      -00.2265905,       02.9054000,      -00.1866728,      -00.4406793,       02.8993600,       00.2194867,       00.0874977,       02.8922000,       00.2520849,      -00.2057533,       02.9753200,       00.2917441,      -00.4377671,       02.8802000,      -00.0659862,      -00.4264712,       02.8058810,      -00.0680190,      -00.8485193,       02.8923200,      -00.0442321,      -01.2333040,       03.0128800,       00.1429535,      -00.4211635,       02.7709600,       00.1725543,      -00.8276516,       02.9088000,       00.2068447,      -01.2422770,       03.0348000,       00.0273307,       00.3684294,       02.8415200,       00.1014312,       00.3755192,       02.8962000,      -00.0715170,       00.3439185,       03.0410630,       00.1243074,       00.3288160,       02.9075200
    7143.7650000,       00.0272649,       00.3424950,       02.8346800,       00.0273930,       00.0861605,       02.8480010,      -00.1643581,       00.0877687,       02.9011600,      -00.2135601,      -00.2016982,       02.9166800,      -00.1850246,      -00.3891767,       02.8737600,       00.2201576,       00.0877651,       02.9010400,       00.2514681,      -00.1823022,       02.9680400,       00.2949450,      -00.4425701,       02.9118000,      -00.0655281,      -00.4235103,       02.7864000,      -00.0673474,      -00.8401406,       02.8637600,      -00.0693661,      -01.2074010,       02.9496000,       00.1443526,      -00.4252856,       02.7980800,       00.1699086,      -00.8149613,       02.8642000,       00.2049662,      -01.2309950,       03.0072400,       00.0053953,       00.3707736,       02.8596000,       00.0753257,       00.3729727,       02.8765600,      -00.0708349,       00.3406384,       03.0120590,       00.1302228,       00.3680129,       03.0458800
    7143.8250000,       00.0525236,       00.3438772,       02.8461200,       00.0276504,       00.0869701,       02.8747600,      -00.1633225,       00.0872157,       02.8828800,      -00.2369234,      -00.2023924,       02.9267200,      -00.2137358,      -00.2985891,       02.9190800,       00.2204126,       00.0878667,       02.9044000,       00.2496448,      -00.1809804,       02.9465200,       00.3000300,      -00.4272991,       02.9620000,      -00.0653494,      -00.4223551,       02.7788000,      -00.0691356,      -00.8624486,       02.9398010,      -00.0700895,      -01.2199920,       02.9803600,       00.1446044,      -00.4260273,       02.8029600,       00.1984259,      -00.8283573,       02.9112810,       00.2091266,      -01.2559810,       03.0682800,       00.0276008,       00.3720703,       02.8696010,       00.0755530,       00.3740981,       02.8852400,      -00.0429308,       00.3533159,       02.9242400,       00.1243194,       00.3288476,       02.9078000
    7143.8800000,       00.0275392,       00.3459408,       02.8632000,       00.0275834,       00.0867595,       02.8678000,      -00.1630166,       00.0870523,       02.8774800,      -00.2614985,      -00.2014022,       02.9124000,      -00.2606940,      -00.2745411,       02.9034400,       00.2186368,       00.0871588,       02.8810000,       00.2516105,      -00.1824054,       02.9697200,       00.2988873,      -00.4256718,       02.9507200,      -00.0665440,      -00.4300764,       02.8296010,      -00.0673718,      -00.8404458,       02.8648000,      -00.0443390,      -01.2362840,       03.0201600,       00.1443588,      -00.4253038,       02.7982000,       00.1987530,      -00.8554899,       02.9160810,       00.2066320,      -01.2409990,       03.0316800,       00.0054228,       00.3726667,       02.8742000,       00.0744522,       00.3686473,       02.8432000,      -00.0429566,       00.3535286,       02.9260010,       00.1299270,       00.3671767,       03.0389600
    7143.9460000,       00.0522460,       00.3420601,       02.8310800,       00.0275873,       00.0867716,       02.8682000,      -00.1617430,       00.0863722,       02.8550000,      -00.2830174,      -00.1782557,       02.9021600,      -00.3505777,      -00.3389788,       02.8520010,       00.2226468,       00.0887574,       02.9338410,       00.2523289,      -00.1829262,       02.9782000,       00.2941387,      -00.4189088,       02.9038390,      -00.0660709,      -00.4270183,       02.8094800,      -00.0677265,      -00.8448699,       02.8798800,      -00.0443384,      -01.2362670,       03.0201200,       00.1452812,      -00.4280214,       02.8160800,       00.1999199,      -00.8345942,       02.9332000,       00.2086331,      -01.2530180,       03.0610400,       00.0054013,       00.3711886,       02.8628000,       00.0752220,       00.3724593,       02.8726010,      -00.0429261,       00.3532772,       02.9239200,       00.1252206,       00.3312316,       02.9288800
    7144.0120000,       00.0271506,       00.3410596,       02.8228000,       00.0275680,       00.0867111,       02.8662000,      -00.1614031,       00.0861907,       02.8490000,      -00.2859977,      -00.1315443,       02.9327210,      -00.4080004,      -00.3476457,       02.9249200,       00.2212413,       00.0881971,       02.9153200,       00.2520849,      -00.1827493,       02.9753200,       00.2975990,      -00.4238369,       02.9380010,      -00.0661960,      -00.4278270,       02.8148010,      -00.0680510,      -00.8489182,       02.8936800,      -00.0440876,      -01.2292760,       03.0030400,       00.1440080,      -00.4242702,       02.7914000,       00.1976079,      -00.8249427,       02.8992800,       00.2086822,      -01.2533120,       03.0617600,       00.0054326,       00.3733409,       02.8794000,       00.0753540,       00.3731127,       02.8776400,      -00.0429830,       00.3537460,       02.9278000,       00.1245554,       00.3294719,       02.9133200
