       TimeStamp,     Flexion_Left,    Flexion_Right,   Abduction_Left,  Abduction_Right
      4433.48800,       -014.28371,       -014.71568,        014.28371,        014.71568
      4433.56400,       -013.27514,       -005.74218,        013.27514,        005.74218
      4433.62300,       -015.41991,       -012.16766,        015.41991,        012.16766
      4433.68000,       -015.35665,       -020.47008,        015.35665,        020.47008
      4433.73600,       -017.79106,       -024.24204,        017.79106,        024.24204
      4433.79800,       -024.51046,       -012.02320,        024.51046,        012.02320
      4433.85400,       -025.84764,       -019.91501,        025.84764,        019.91501
      4433.91200,       -020.47658,       -029.13016,        020.47658,        029.13016
      4433.97100,       -029.71583,        027.84132,        029.71583,        027.84132
      4434.02900,       -030.67247,       -032.13987,        030.67247,        032.13987
      4434.08500,       -029.89786,       -037.27626,        029.89786,        037.27626
      4434.14800,       -027.57204,       -045.52354,        027.57204,        045.52354
      4434.21200,       -024.96307,       -031.02504,        024.96307,        031.02504
      4434.27000,       -025.43729,       -028.75315,        025.43729,        028.75315
      4434.32500,       -019.51410,       -023.94248,        019.51410,        023.94248
      4434.38400,       -016.33287,       -017.21253,        016.33287,        017.21253
      4434.44200,       -022.89630,       -011.00511,        022.89630,        011.00511
      4434.50000,       -028.13176,       -016.31473,        028.13176,        016.31473
      4434.56700,       -019.80597,       -014.33507,        019.80597,        014.33507
      4434.62600,       -013.85123,       -008.23902,        013.85123,        008.23902
      4434.68300,       -011.30429,       -016.32681,        011.30429,        016.32681
      4434.74200,       -020.23808,       -016.48997,        020.23808,        016.48997
      4434.80300,       -014.87281,       -008.92031,        014.87281,        008.92031
      4434.86900,       -007.64747,       -013.69581,        007.64747,        013.69581
      4434.92600,       -014.80445,       -012.76305,        014.80445,        012.76305
      4434.98100,       -024.39666,       -025.15816,        024.39666,        025.15816
      4435.04100,       -019.01336,       -025.78844,        019.01336,        025.78844
      4435.10500,       -029.33562,       -019.71182,        029.33562,        019.71182
      4435.16400,       -022.28766,       -015.18152,        022.28766,        015.18152
