       TimeStamp,           Nose.X,           Nose.Y,           Nose.Z,          Spine.X,          Spine.Y,          Spine.Z, Shoulder_Right.X, Shoulder_Right.Y, Shoulder_Right.Z,    Elbow_Right.X,    Elbow_Right.Y,    Elbow_Right.Z,    Wrist_Right.X,    Wrist_Right.Y,    Wrist_Right.Z,  Shoulder_Left.X,  Shoulder_Left.Y,  Shoulder_Left.Z,     Elbow_left.X,     Elbow_left.Y,     Elbow_left.Z,     Wrist_left.X,     Wrist_left.Y,     Wrist_left.Z,      Hip_Right.X,      Hip_Right.Y,      Hip_Right.Z,     Knee_Right.X,     Knee_Right.Y,     Knee_Right.Z,    Ankle_Right.X,    Ankle_Right.Y,    Ankle_Right.Z,       Hip_Left.X,       Hip_Left.Y,       Hip_Left.Z,      Knee_Left.X,      Knee_Left.Y,      Knee_Left.Z,     Ankle_Left.X,     Ankle_Left.Y,     Ankle_Left.Z,      Eye_Right.X,      Eye_Right.Y,      Eye_Right.Z,       Eye_Left.X,       Eye_Left.Y,       Eye_Left.Z,      Ear_Right.X,      Ear_Right.Y,      Ear_Right.Z,       Ear_Left.X,       Ear_Left.Y,       Ear_Left.Z
    4471.2970000,       00.0528240,       00.3458442,       02.8624000,       00.0278074,       00.0874638,       02.8910800,      -00.1649609,       00.0880906,       02.9118000,      -00.1898379,      -00.2299534,       02.9485200,      -00.1843318,      -00.4351529,       02.8630000,       00.2212352,       00.0881947,       02.9152400,       00.2532779,      -00.1836141,       02.9894000,       00.2996775,      -00.4267971,       02.9585200,      -00.0668112,      -00.4318030,       02.8409600,      -00.0683323,      -00.8524269,       02.9056400,      -00.0434798,      -01.2123290,       02.9616400,       00.1476502,      -00.4128730,       02.8620000,       00.1949852,      -00.8139938,       02.8608000,       00.1819319,      -01.2554080,       03.0668800,       00.0054526,       00.3747154,       02.8900010,       00.0757405,       00.3750265,       02.8924000,      -00.0434904,       00.3579217,       02.9623600,       00.1258346,       00.3328556,       02.9432400
    4471.3550000,       00.0276558,       00.3474053,       02.8753200,       00.0277743,       00.0873597,       02.8876400,      -00.1653415,       00.0882939,       02.9185190,      -00.1913497,      -00.2317846,       02.9720000,      -00.1844709,      -00.4354812,       02.8651600,       00.2218332,       00.0884331,       02.9231200,       00.2581479,      -00.2107019,       03.0468800,       00.3001150,      -00.4274203,       02.9628400,      -00.0659373,      -00.4261549,       02.8038000,      -00.0680284,      -00.8486366,       02.8927200,      -00.0443953,      -01.2378560,       03.0240000,       00.1481249,      -00.4363993,       02.8712000,       00.1967274,      -00.8212666,       02.8863600,       00.1788875,      -01.2344010,       03.0155600,       00.0054501,       00.3745442,       02.8886800,       00.0754640,       00.3736573,       02.8818400,      -00.0433700,       00.3569310,       02.9541600,       00.1258722,       00.3329551,       02.9441200
    4471.4170000,       00.0276146,       00.3468882,       02.8710400,       00.0275569,       00.0866760,       02.8650400,      -00.1658334,       00.0885565,       02.9272000,      -00.1882592,      -00.2280411,       02.9240000,      -00.1859285,      -00.4389223,       02.8878000,       00.2224039,       00.0886606,       02.9306400,       00.2540607,      -00.2073659,       02.9986400,       00.3012617,      -00.4290532,       02.9741600,      -00.0676822,      -00.4374327,       02.8780000,      -00.0682137,      -00.8509483,       02.9006000,      -00.0436125,      -01.2160300,       02.9706800,       00.1450976,      -00.4274803,       02.8125200,       00.1997099,      -00.8337178,       02.9301200,       00.2056233,      -01.2349410,       03.0168800,       00.0054233,       00.3726978,       02.8744400,       00.0754179,       00.3734291,       02.8800800,      -00.0434816,       00.3578492,       02.9617600,       00.1258876,       00.3329959,       02.9444800
    4471.4930000,       00.0272983,       00.3209719,       02.8381600,       00.0277681,       00.0873403,       02.8870000,      -00.1644555,       00.0878208,       02.9028800,      -00.1888619,      -00.2287712,       02.9333600,      -00.1865827,      -00.4180606,       02.8979600,       00.2225010,       00.0886993,       02.9319200,       00.2521968,      -00.1828304,       02.9766400,       00.3007634,      -00.4283436,       02.9692410,      -00.0667773,      -00.4315841,       02.8395200,      -00.0676183,      -00.8435202,       02.8752800,      -00.0434975,      -01.2128210,       02.9628410,       00.1445548,      -00.4042174,       02.8020000,       00.1959122,      -00.7956399,       02.8744000,       00.2086276,      -01.2529850,       03.0609600,       00.0054319,       00.3732943,       02.8790400,       00.0763606,       00.3780968,       02.9160800,      -00.0740554,       00.3561254,       03.1490000,       00.1262775,       00.3340273,       02.9536000
    4471.5510000,       00.0274930,       00.3232609,       02.8584000,       00.0279316,       00.0878546,       02.9039990,      -00.1640000,       00.0875775,       02.8948400,      -00.1908423,      -00.2311701,       02.9641200,      -00.1857895,      -00.4162834,       02.8856400,       00.2203974,       00.0878607,       02.9042000,       00.2507428,      -00.1817764,       02.9594800,       00.3002123,      -00.4275588,       02.9638000,      -00.0667538,      -00.4314322,       02.8385210,      -00.0693369,      -00.8649597,       02.9483600,      -00.0424064,      -01.1823980,       02.8885200,       00.1473964,      -00.4342531,       02.8570800,       00.1983577,      -00.8055714,       02.9102800,       00.1786549,      -01.1562890,       03.0116400,       00.0054359,       00.3735692,       02.8811600,       00.0760359,       00.3764891,       02.9036800,      -00.0710922,       00.3418758,       03.0230000,       00.1262382,       00.3339232,       02.9526800
    4471.6110000,       00.0275988,       00.3245049,       02.8694000,       00.0277643,       00.0873282,       02.8866000,      -00.1647116,       00.0879575,       02.9074000,      -00.1864204,      -00.2258138,       02.8954400,      -00.1878394,      -00.4208766,       02.9174800,       00.2206524,       00.0879623,       02.9075600,       00.2522171,      -00.1828451,       02.9768800,       00.3025704,      -00.4309171,       02.9870800,      -00.0658743,      -00.4257476,       02.8011200,      -00.0673126,      -00.8397065,       02.8622800,      -00.0208132,      -01.2259680,       02.9949600,       00.1476193,      -00.4349097,       02.8614000,       00.1988457,      -00.8301099,       02.9174400,       00.1792624,      -01.1368570,       03.0218800,       00.0054483,       00.3744197,       02.8877210,       00.0756033,       00.3743471,       02.8871600,      -00.0729898,       00.3510008,       03.1036880,       00.1256174,       00.3322812,       02.9381610
    4471.6700000,       00.0275142,       00.3235097,       02.8606000,       00.0277885,       00.0618759,       02.8891200,      -00.1641904,       00.0620703,       02.8982000,      -00.1876927,      -00.2273549,       02.9152000,      -00.1856246,      -00.4382048,       02.8830800,       00.2206432,       00.0879587,       02.9074390,       00.2521832,      -00.1828206,       02.9764800,       00.3018046,      -00.4298265,       02.9795200,      -00.0674527,      -00.4359493,       02.8682400,      -00.0675694,      -00.8429102,       02.8732010,      -00.0437582,      -01.2200900,       02.9806000,       00.1469527,      -00.4329459,       02.8484800,       00.1983277,      -00.8054497,       02.9098400,       00.2080851,      -01.2497270,       03.0530000,       00.0054609,       00.3752858,       02.8944000,       00.0754933,       00.3738025,       02.8829600,      -00.0720146,       00.3463115,       03.0622220,       00.1254276,       00.3317790,       02.9337200
    4471.7270000,       00.0277169,       00.3258936,       02.8816800,       00.0277662,       00.0873343,       02.8868000,      -00.1656022,       00.0626040,       02.9231200,      -00.1902809,      -00.2304900,       02.9554000,      -00.1856684,      -00.4637894,       02.8837600,       00.2213233,       00.0882298,       02.9164000,       00.2588121,      -00.1876262,       03.0547200,       00.2973032,      -00.4234156,       02.9350800,      -00.0668074,      -00.4317786,       02.8408000,      -00.0689691,      -00.8603716,       02.9327210,      -00.0434105,      -01.2103970,       02.9569200,       00.1476812,      -00.4129596,       02.8626000,       00.1982132,      -00.8274693,       02.9081600,       00.1781756,      -01.2294890,       03.0035600,       00.0054229,       00.3726719,       02.8742400,       00.0755572,       00.3741189,       02.8854000,      -00.0750359,       00.3608404,       03.1906920,       00.1256516,       00.3323716,       02.9389600
    4471.7920000,       00.0272960,       00.3209448,       02.8379200,       00.0277327,       00.0872290,       02.8833200,      -00.1651218,       00.0624224,       02.9146400,      -00.2121572,      -00.2259760,       02.8975210,      -00.1871956,      -00.3937432,       02.9074800,       00.2202790,       00.0878135,       02.9026400,       00.2542844,      -00.1843438,       03.0012800,       00.3003582,      -00.4277665,       02.9652400,      -00.0665205,      -00.4299244,       02.8286000,      -00.0676672,      -00.8441306,       02.8773600,      -00.0431739,      -01.2037980,       02.9408000,       00.1472684,      -00.4338761,       02.8546000,       00.2009231,      -00.8387824,       02.9479200,       00.1773831,      -01.1480570,       02.9902000,       00.0054017,       00.3712145,       02.8630000,       00.0756169,       00.3744145,       02.8876800,      -00.0737694,       00.3547501,       03.1368400,       00.1257114,       00.3325299,       02.9403600
    4471.8500000,       00.0275892,       00.3243919,       02.8684000,       00.0276927,       00.0871031,       02.8791590,      -00.1396163,       00.0883338,       02.9198400,      -00.2146438,      -00.1800566,       02.9314800,      -00.2142600,      -00.3251781,       02.9262400,       00.2214750,       00.0625030,       02.9184000,       00.2552808,      -00.2083618,       03.0130410,       00.2974369,      -00.4236061,       02.9364000,      -00.0667115,      -00.4311585,       02.8367200,      -00.0682363,      -00.8512300,       02.9015600,      -00.0436443,      -01.2169140,       02.9728400,       00.1474232,      -00.4343321,       02.8576000,       00.2010785,      -00.8394312,       02.9502000,       00.2094537,      -01.2579460,       03.0730800,       00.0053968,       00.3708774,       02.8604000,       00.0757091,       00.3748710,       02.8912010,      -00.0431527,       00.3324168,       02.9393600,       00.1258431,       00.3328782,       02.9434400
    4471.9070000,       00.0273687,       00.3217998,       02.8454800,       00.0274565,       00.0611366,       02.8546000,      -00.1645870,       00.0622203,       02.9052000,      -00.2412204,      -00.1830245,       02.9798000,      -00.2613190,      -00.2977013,       02.9104000,       00.2209438,       00.0623530,       02.9114000,       00.2505564,      -00.2045058,       02.9572800,       00.3003419,      -00.4277434,       02.9650800,      -00.0659062,      -00.4259543,       02.8024800,      -00.0689004,      -00.8595148,       02.9298000,      -00.0208343,      -01.2272130,       02.9980000,       00.1469177,      -00.4328426,       02.8478000,       00.2001407,      -00.8355162,       02.9364400,       00.1783607,      -01.1311380,       03.0066800,       00.0054051,       00.3714479,       02.8648000,       00.0754305,       00.3734913,       02.8805600,      -00.0706501,       00.3397497,       03.0042000,       00.1264006,       00.3343529,       02.9564800
    4471.9640000,       00.0271698,       00.3194610,       02.8248000,       00.0275026,       00.0612394,       02.8594000,      -00.1637463,       00.0619024,       02.8903600,      -00.2612184,      -00.1786930,       02.9092800,      -00.3334772,      -00.3474175,       02.9230000,       00.2171827,       00.0612916,       02.8618400,       00.2763908,      -00.2067270,       02.9894010,       00.2964401,      -00.4221865,       02.9265600,      -00.0665487,      -00.4301068,       02.8298000,      -00.0680792,      -00.8492703,       02.8948800,      -00.0437094,      -01.2187310,       02.9772800,       00.1455660,      -00.4288604,       02.8216000,       00.1986221,      -00.8291767,       02.9141600,       00.1782563,      -01.2300450,       03.0049200,       00.0053896,       00.3703847,       02.8566000,       00.0745778,       00.3692696,       02.8480000,      -00.0430018,       00.3312542,       02.9290800,       00.1254634,       00.3318739,       02.9345600
    4472.0210000,       00.0274084,       00.3442977,       02.8496000,       00.0276958,       00.0616694,       02.8794800,      -00.1398822,       00.0885020,       02.9254000,      -00.2894265,      -00.1331214,       02.9678800,      -00.3888920,      -00.3307610,       02.9764800,       00.2199208,       00.0620643,       02.8979200,       00.2770045,      -00.2071861,       02.9960390,       00.2983728,      -00.4477136,       02.9456410,      -00.0673624,      -00.4353657,       02.8644000,      -00.0683219,      -00.8522978,       02.9052000,      -00.0438950,      -01.2239060,       02.9899210,       00.1453803,      -00.4065256,       02.8180000,       00.1981614,      -00.8272531,       02.9074000,       00.1811393,      -01.2499400,       03.0535200,       00.0054395,       00.3738129,       02.8830400,       00.0754923,       00.3737973,       02.8829200,      -00.0431040,       00.3320413,       02.9360400,       00.1258807,       00.3329777,       02.9443200
    4472.0830000,       00.0273945,       00.3441237,       02.8481600,       00.0535105,       00.0877215,       02.8996000,      -00.1377936,       00.0871806,       02.8817200,      -00.2615057,      -00.0823833,       02.9124800,      -00.3804935,      -00.2753694,       02.9122000,       00.2200969,       00.0621140,       02.9002400,       00.2735060,      -00.2045694,       02.9582000,       00.3002326,      -00.4505041,       02.9640000,      -00.0662054,      -00.4061218,       02.8152010,      -00.0689522,      -00.8601603,       02.9320000,      -00.0434094,      -01.2103640,       02.9568410,       00.1477183,      -00.4130635,       02.8633200,       00.1985921,      -00.8290514,       02.9137200,       00.1776584,      -01.1498390,       02.9948410,       00.0054402,       00.3738596,       02.8834000,       00.0753645,       00.3731646,       02.8780400,      -00.0434123,       00.3344163,       02.9570400,       00.1249522,       00.3305214,       02.9226010
    4472.1500000,       00.0273914,       00.3220667,       02.8478400,       00.0534256,       00.0875824,       02.8950000,      -00.1401557,       00.0886751,       02.9311210,      -00.2631075,      -00.0828879,       02.9303200,      -00.3827409,      -00.2769958,       02.9294010,       00.2204702,       00.0622194,       02.9051600,       00.2777405,      -00.2077366,       03.0040000,       00.2967278,      -00.4452452,       02.9294000,      -00.0671931,      -00.4342712,       02.8571990,      -00.0695636,      -00.8677879,       02.9580000,      -00.0440307,      -01.2276880,       02.9991600,       00.1452978,      -00.4062949,       02.8164010,       00.1981832,      -00.8273442,       02.9077200,       00.1802353,      -01.1430260,       03.0382800,       00.0054371,       00.3736469,       02.8817600,       00.0757258,       00.3749539,       02.8918400,      -00.0433641,       00.3340453,       02.9537600,       00.1246819,       00.3298066,       02.9162800
    4472.2060000,       00.0274680,       00.3229669,       02.8558000,       00.0533703,       00.0874916,       02.8920010,      -00.1389909,       00.0879381,       02.9067600,      -00.2630321,      -00.0828642,       02.9294800,      -00.3878312,      -00.2806798,       02.9683610,       00.2221884,       00.0627043,       02.9278000,       00.2742716,      -00.2051420,       02.9664800,       00.3032632,      -00.4550517,       02.9939200,      -00.0672119,      -00.4122960,       02.8580000,      -00.0660078,      -00.8234302,       02.8068000,      -00.0430459,      -01.2002290,       02.9320800,       00.1453060,      -00.4063179,       02.8165610,       00.1982132,      -00.8274695,       02.9081600,       00.1780997,      -01.1526950,       03.0022800,       00.0054561,       00.3749539,       02.8918400,       00.0754619,       00.3736469,       02.8817600,      -00.0438392,       00.3607925,       02.9861200,       00.1246734,       00.3297840,       02.9160800
    4472.2630000,       00.0275738,       00.3463759,       02.8668000,       00.0275757,       00.0867353,       02.8670000,      -00.1385013,       00.0876284,       02.8965200,      -00.2901637,      -00.1564653,       02.9754400,      -00.3621130,      -00.3539026,       02.7715200,       00.2194716,       00.0619376,       02.8920000,       00.2776148,      -00.2076426,       03.0026400,       00.2962456,      -00.4445216,       02.9246400,      -00.0667275,      -00.4312619,       02.8374000,      -00.0689268,      -00.8598434,       02.9309200,      -00.0702334,      -01.2224970,       02.9864810,       00.1476089,      -00.4348792,       02.8612000,       00.2028833,      -00.8469657,       02.9766800,       00.1790441,      -01.1588080,       03.0182000,       00.0054141,       00.3720650,       02.8695600,       00.0530093,       00.3724385,       02.8724400,      -00.0432667,       00.3332945,       02.9471200,       00.1245982,       00.3295850,       02.9143200
    4472.3290000,       00.0274603,       00.3228764,       02.8550000,       00.0277258,       00.0617362,       02.8826000,      -00.1653711,       00.0625167,       02.9190400,      -00.2892120,      -00.2050867,       02.9656810,      -00.3166890,      -00.3802226,       02.9776400,       00.2192287,       00.0618690,       02.8888000,       00.2761133,      -00.2065195,       02.9864000,       00.2992926,      -00.4262489,       02.9547200,      -00.0665299,      -00.4299852,       02.8290000,      -00.0687132,      -00.8571796,       02.9218400,      -00.0431762,      -01.2038640,       02.9409600,       00.1459787,      -00.4300763,       02.8296000,       00.1999089,      -00.8345487,       02.9330400,       00.1784912,      -01.1552290,       03.0088800,       00.0054289,       00.3730816,       02.8774000,       00.0749706,       00.3712145,       02.8630000,      -00.0433548,       00.3339730,       02.9531200,       00.1254293,       00.3317835,       02.9337600
    4472.3910000,       00.0276169,       00.3469172,       02.8712800,       00.0276619,       00.0615940,       02.8759600,      -00.1386409,       00.0877167,       02.8994400,      -00.2162956,      -00.2042817,       02.9540400,      -00.2532027,      -00.3842805,       03.4580960,       00.2213657,       00.0624721,       02.9169600,       00.2512038,      -00.2050342,       02.9649210,       00.2980285,      -00.4244486,       02.9422410,      -00.0663888,      -00.4290732,       02.8230000,      -00.0672636,      -00.8390962,       02.8602000,      -00.0439737,      -01.2260990,       02.9952800,       00.1478153,      -00.4354873,       02.8652000,       00.1965447,      -00.8205040,       02.8836800,       00.1764505,      -01.2175850,       02.9744800,       00.0053861,       00.3701462,       02.8547600,       00.0752377,       00.3725371,       02.8732000,      -00.0430899,       00.3319328,       02.9350800,       00.1250582,       00.3308019,       02.9250800
