       TimeStamp,     Flexion_Left,    Flexion_Right,   Abduction_Left,  Abduction_Right
      3518.16600,       -013.95197,        007.05369,        013.95197,        007.05369
      3518.22300,       -012.95805,       -007.67279,        012.95805,        007.67279
      3518.28000,       -020.89381,       -009.98426,        020.89381,        009.98426
      3518.34400,       -026.60393,        007.85411,        026.60393,        007.85411
      3518.41500,       -022.52121,       -012.68461,        022.52121,        012.68461
      3518.47200,       -016.16165,       -008.17534,        016.16165,        008.17534
      3518.52900,       -012.86497,       -017.12261,        012.86497,        017.12261
      3518.58800,       -020.02738,       -026.58109,        020.02738,        026.58109
      3518.64500,       -019.36571,       -030.41576,        019.36571,        030.41576
      3518.70300,       -016.16088,       -039.55447,        016.16088,        039.55447
      3518.75700,       -020.32333,       -046.13892,        020.32333,        046.13892
      3518.81500,       -015.56844,       -048.14925,        015.56844,        048.14925
      3518.87100,       -025.96919,       -048.80779,        025.96919,        048.80779
      3518.92900,       -022.12436,       -048.23312,        022.12436,        048.23312
      3518.98500,       -012.94383,       -048.67135,        012.94383,        048.67135
      3519.04400,       -012.67101,       -034.67616,        012.67101,        034.67616
      3519.10000,       -014.76256,       -017.81199,        014.76256,        017.81199
      3519.15600,       -021.77927,       -026.28880,        021.77927,        026.28880
      3519.21400,       -016.75719,       -008.75944,        016.75719,        008.75944
      3519.27100,       -020.15769,       -006.56937,        020.15769,        006.56937
      3519.32700,       -025.76459,       -009.82723,        025.76459,        009.82723
      3519.38200,       -014.37793,       -018.31238,        014.37793,        018.31238
      3519.43800,       -021.51367,       -015.69932,        021.51367,        015.69932
      3519.49400,       -025.14324,       -012.97432,        025.14324,        012.97432
      3519.55000,       -028.39734,       -015.79288,        028.39734,        015.79288
      3519.60700,       -018.51542,       -009.80059,        018.51542,        009.80059
      3519.66700,       -017.36664,       -023.30175,        017.36664,        023.30175
      3519.72400,       -013.65088,       -008.36793,        013.65088,        008.36793
      3519.78200,       -008.42268,       -018.57541,        008.42268,        018.57541
      3519.84000,       -024.25215,       -030.59028,        024.25215,        030.59028
      3519.89700,       -018.98708,       -013.31803,        018.98708,        013.31803
      3519.95600,       -016.91558,       -018.50903,        016.91558,        018.50903
      3520.01000,       -014.24286,       -022.62986,        014.24286,        022.62986
      3520.06800,       -018.34190,       -021.32528,        018.34190,        021.32528
      3520.12700,       -025.27958,       -024.28265,        025.27958,        024.28265
      3520.18200,       -017.05410,       -026.46329,        017.05410,        026.46329
      3520.24100,       -023.62117,       -033.31369,        023.62117,        033.31369
      3520.29500,       -028.76012,       -050.41536,        028.76012,        050.41536
      3520.35200,       -026.77222,        048.54161,        026.77222,        048.54161
      3520.41000,       -007.19915,        056.27627,        007.19915,        056.27627
      3520.46700,       -022.71188,        057.21212,        022.71188,        057.21212
      3520.52700,       -024.08259,        054.92950,        024.08259,        054.92950
      3520.58300,       -023.09365,        060.81578,        023.09365,        060.81578
      3520.64300,        011.78795,       -055.82590,       -011.78795,        055.82590
      3520.70100,        016.37868,       -076.52112,       -016.37868,       -076.52112
      3520.77200,       -020.29204,        088.45428,        020.29204,        088.45428
      3520.82900,       -023.62697,        095.44852,        023.62697,        095.44852
      3520.89500,       -030.30904,        106.32460,        030.30904,        106.32460
      3520.95000,       -027.03775,        117.01850,        027.03775,        117.01850
      3521.01000,       -024.03556,        115.99980,        024.03556,        115.99980
      3521.06700,       -029.82754,        115.63380,        029.82754,        115.63380
      3521.12400,       -025.23091,        125.98040,        025.23091,        125.98040
      3521.17900,       -019.24499,        132.80620,        019.24499,        132.80620
      3521.23900,       -016.36191,        131.30850,        016.36191,        131.30850
      3521.29600,       -024.65981,        129.91190,        024.65981,        129.91190
      3521.35000,       -033.04269,        134.01070,        033.04269,        134.01070
      3521.40800,       -017.25340,        140.43390,        017.25340,        140.43390
      3521.46400,       -024.26398,        146.11130,        024.26398,        146.11130
      3521.51900,       -030.20678,        150.41400,        030.20678,        150.41400
      3521.57800,       -020.74701,        151.29450,        020.74701,        151.29450
      3521.64200,       -017.73937,        146.45280,        017.73937,        146.45280
      3521.70000,       -024.91907,       -150.71320,        024.91907,        150.71320
      3521.76700,       -022.85982,       -153.19320,        022.85982,        153.19320
      3521.82700,       -028.80930,        148.40700,        028.80930,        148.40700
      3521.88500,       -029.62861,        148.02280,        029.62861,        148.02280
      3521.94300,       -026.19149,        148.59520,        026.19149,        148.59520
      3522.00200,       -023.38755,       -145.64310,        023.38755,        145.64310
      3522.05900,       -020.10289,        147.35400,        020.10289,        147.35400
      3522.11600,       -029.97293,        151.12760,        029.97293,        151.12760
      3522.17400,       -028.75180,       -148.98830,        028.75180,        148.98830
      3522.24100,       -015.03852,        152.10690,        015.03852,        152.10690
      3522.29700,       -025.85580,        151.88510,        025.85580,        151.88510
      3522.36600,       -013.74843,        152.14790,        013.74843,        152.14790
      3522.43500,       -029.33607,        151.27570,        029.33607,        151.27570
      3522.50500,       -022.99132,        150.24220,        022.99132,        150.24220
      3522.56000,       -022.48500,        137.38850,        022.48500,        137.38850
      3522.61800,       -015.94060,        132.50840,        015.94060,        132.50840
      3522.67900,       -019.65689,        134.52770,        019.65689,        134.52770
      3522.74100,       -016.35318,        126.21960,        016.35318,        126.21960
      3522.79700,       -011.91721,        119.23180,        011.91721,        119.23180
      3522.85400,       -029.97606,        116.82650,        029.97606,        116.82650
      3522.91100,       -019.86825,        111.19300,        019.86825,        111.19300
      3522.97100,       -026.49817,        112.06410,        026.49817,        112.06410
      3523.02900,       -027.62157,        092.37200,        027.62157,        092.37200
      3523.09300,       -022.40204,       -087.31203,        022.40204,        087.31203
      3523.15900,        007.84861,       -082.98325,        007.84861,       -082.98325
      3523.21500,        007.65814,       -069.66654,        007.65814,       -069.66654
      3523.27300,       -007.81944,       -068.21950,        007.81944,       -068.21950
      3523.32900,       -032.07790,        053.68848,        032.07790,        053.68848
      3523.38400,       -025.17579,       -057.33048,        025.17579,        057.33048
      3523.44600,       -016.63019,        052.07823,        016.63019,        052.07823
      3523.50200,       -022.71896,        052.60011,        022.71896,        052.60011
      3523.56200,       -027.38283,        050.34871,        027.38283,        050.34871
      3523.62400,       -021.84135,        035.53444,        021.84135,        035.53444
      3523.68000,       -013.85123,       -030.47112,        013.85123,        030.47112
      3523.73800,       -024.58867,       -032.51817,        024.58867,        032.51817
      3523.80100,       -020.11569,        024.67500,        020.11569,        024.67500
      3523.85900,       -022.77507,        019.20609,        022.77507,        019.20609
      3523.91600,       -029.62242,        015.55878,        029.62242,        015.55878
      3523.97100,       -030.32852,        017.46720,        030.32852,        017.46720
      3524.02900,       -032.14924,        015.45220,        032.14924,        015.45220
      3524.08500,       -022.03144,       -018.45123,        022.03144,        018.45123
      3524.13900,       -017.55326,        013.18242,        017.55326,        013.18242
      3524.19800,       -019.73402,       -014.56651,        019.73402,        014.56651
      3524.25700,       -016.56425,       -017.91749,        016.56425,        017.91749
      3524.31700,       -021.76879,       -018.25109,        021.76879,        018.25109
      3524.37900,       -021.48188,       -014.65679,        021.48188,        014.65679
      3524.43700,       -026.29876,       -015.59986,        026.29876,        015.59986
      3524.49600,       -015.43425,        014.63183,        015.43425,        014.63183
      3524.55200,       -025.55907,       -029.13591,        025.55907,        029.13591
      3524.62600,       -019.62539,       -017.27001,        019.62539,        017.27001
      3524.68400,       -015.22594,        019.84171,        015.22594,        019.84171
      3524.74200,       -021.78034,        016.38836,        021.78034,        016.38836
      3524.79900,       -013.74898,        030.36808,        013.74898,        030.36808
      3524.85900,       -018.34897,        032.56795,        018.34897,        032.56795
      3524.91300,       -020.80860,        043.73901,        020.80860,        043.73901
      3524.96900,       -011.23132,        056.06718,        011.23132,        056.06718
      3525.02500,       -020.25145,        044.96748,        020.25145,        044.96748
      3525.08500,       -019.60460,        044.60784,        019.60460,        044.60784
      3525.14700,       -025.27490,        049.75757,        025.27490,        049.75757
      3525.20800,        025.50122,       -051.61673,       -025.50122,        051.61673
      3525.26500,        005.00778,       -062.03383,        005.00778,       -062.03383
      3525.32800,       -021.92288,        087.74091,        021.92288,        087.74091
      3525.38300,       -025.53848,        096.54082,        025.53848,        096.54082
      3525.44300,       -026.09399,        098.77886,        026.09399,        098.77886
      3525.50300,       -015.86558,        116.21550,        015.86558,        116.21550
      3525.55900,       -032.57232,        112.46160,        032.57232,        112.46160
      3525.62700,       -020.29418,        125.60320,        020.29418,        125.60320
      3525.68200,       -011.73813,        128.80060,        011.73813,        128.80060
      3525.74500,       -021.14035,        136.15060,        021.14035,        136.15060
      3525.80300,       -020.16324,       -150.17430,        020.16324,        150.17430
      3525.85900,       -018.71822,        143.86470,        018.71822,        143.86470
      3525.91500,       -035.35698,        138.58440,        035.35698,        138.58440
      3525.97800,       -019.44763,        150.86910,        019.44763,        150.86910
      3526.03400,       -026.80089,       -153.74940,        026.80089,        153.74940
      3526.09100,       -026.69308,        152.33080,        026.69308,        152.33080
      3526.14600,       -023.42023,       -145.70740,        023.42023,        145.70740
      3526.20600,       -019.93540,       -153.41920,        019.93540,        153.41920
      3526.26100,       -019.33792,       -154.00570,        019.33792,        154.00570
      3526.32700,       -025.29010,       -154.19320,        025.29010,        154.19320
      3526.38500,       -027.97382,       -150.32010,        027.97382,        150.32010
      3526.44500,       -024.43804,       -150.92390,        024.43804,        150.92390
      3526.50300,       -021.21942,       -146.07010,        021.21942,        146.07010
      3526.56200,       -014.08859,       -151.08400,        014.08859,        151.08400
      3526.62000,       -024.33359,       -154.14730,        024.33359,        154.14730
      3526.68000,       -018.98627,        151.84930,        018.98627,        151.84930
      3526.74100,       -015.56970,       -154.04390,        015.56970,        154.04390
      3526.79800,       -024.60545,        153.83700,        024.60545,        153.83700
      3526.85500,       -012.02049,       -145.48690,        012.02049,        145.48690
      3526.91400,       -023.58908,       -151.45200,        023.58908,        151.45200
      3526.97400,       -015.92633,       -154.03060,        015.92633,        154.03060
      3527.03000,       -020.90708,       -153.58420,        020.90708,        153.58420
      3527.08600,       -014.14390,        157.40820,        014.14390,        157.40820
      3527.15000,       -007.90639,        150.48770,        007.90639,        150.48770
      3527.20700,       -025.40264,        148.03080,        025.40264,        148.03080
      3527.26300,       -017.58492,        146.88570,        017.58492,        146.88570
      3527.33000,       -021.57066,        139.22020,        021.57066,        139.22020
      3527.38500,       -025.77727,        133.29900,        025.77727,        133.29900
      3527.45000,       -016.78291,        124.70800,        016.78291,        124.70800
      3527.51200,       -023.20479,        123.11960,        023.20479,        123.11960
      3527.56600,       -028.48291,        117.26690,        028.48291,        117.26690
      3527.63500,       -017.26845,        106.57840,        017.26845,        106.57840
      3527.69400,       -021.76528,        099.31564,        021.76528,        099.31564
      3527.75100,       -028.55308,        094.52074,        028.55308,        094.52074
      3527.80700,       -021.97658,        090.99545,        021.97658,        090.99545
      3527.87300,        000.00000,        000.00000,        000.00000,        000.00000
      3527.92800,       -013.40041,       -077.08098,        013.40041,       -077.08098
      3527.99200,        018.01871,       -054.40198,       -018.01871,       -054.40198
      3528.05000,       -010.66930,        061.33087,        010.66930,        061.33087
      3528.10400,       -019.79809,        055.23673,        019.79809,        055.23673
      3528.16200,       -017.68234,        051.96692,        017.68234,        051.96692
      3528.21900,       -013.57840,        044.05753,        013.57840,        044.05753
      3528.27400,       -026.02481,        041.94662,        026.02481,        041.94662
      3528.32800,       -033.49440,        049.34425,        033.49440,        049.34425
      3528.38400,       -029.90090,        033.95830,        029.90090,        033.95830
      3528.43900,       -021.42728,        033.79922,        021.42728,        033.79922
      3528.49400,       -026.27873,        034.61382,        026.27873,        034.61382
      3528.54800,       -028.92188,        034.97352,        028.92188,        034.97352
      3528.61000,       -021.85871,       -029.88427,        021.85871,        029.88427
      3528.67600,       -021.69515,        017.29882,        021.69515,        017.29882
      3528.73200,       -018.78476,        015.53868,        018.78476,        015.53868
      3528.79600,       -021.60662,        014.77447,        021.60662,        014.77447
      3528.85200,       -031.37522,        014.59927,        031.37522,        014.59927
      3528.91100,       -020.39121,        017.96897,        020.39121,        017.96897
      3528.97300,       -026.00037,        016.89476,        026.00037,        016.89476
      3529.03000,       -020.49984,       -018.12389,        020.49984,        018.12389
      3529.09100,       -025.90991,        014.04414,        025.90991,        014.04414
      3529.14700,       -015.21586,       -014.96362,        015.21586,        014.96362
      3529.21300,       -030.61547,       -015.07594,        030.61547,        015.07594
      3529.27400,       -023.40149,        015.12529,        023.40149,        015.12529
      3529.33200,       -026.99189,        015.27438,        026.99189,        015.27438
      3529.39100,       -034.32070,       -013.28852,        034.32070,        013.28852
      3529.44700,       -020.70357,        014.84982,        020.70357,        014.84982
      3529.50400,       -026.16805,       -021.69992,        026.16805,        021.69992
      3529.55900,       -028.25512,        029.26098,        028.25512,        029.26098
      3529.61700,        000.00000,        000.00000,        000.00000,        000.00000
      3529.68200,       -024.59298,        040.15698,        024.59298,        040.15698
      3529.74200,       -017.27870,       -036.82651,        017.27870,        036.82651
      3529.79800,       -020.42167,        043.22803,        020.42167,        043.22803
      3529.85600,       -020.87774,        049.18450,        020.87774,        049.18450
      3529.91400,       -022.75658,        044.77662,        022.75658,        044.77662
      3529.97300,        005.91208,        047.19530,        005.91208,        047.19530
      3530.03100,        016.09969,       -047.58856,       -016.09969,       -047.58856
      3530.08900,        007.41270,       -062.00860,       -007.41270,       -062.00860
      3530.14500,       -021.84813,       -086.51817,        021.84813,        086.51817
      3530.19900,       -028.93774,        089.99308,        028.93774,        089.99308
      3530.25600,       -035.81580,        094.45104,        035.81580,        094.45104
      3530.31300,       -025.23708,        101.26640,        025.23708,        101.26640
      3530.37300,       -018.87320,        107.08420,        018.87320,        107.08420
      3530.43100,       -011.44962,        111.45730,        011.44962,        111.45730
      3530.48800,       -018.15869,        114.08380,        018.15869,        114.08380
      3530.54600,       -025.88597,        126.66640,        025.88597,        126.66640
      3530.60400,       -018.64887,        135.25370,        018.64887,        135.25370
      3530.66000,       -027.84614,        125.17910,        027.84614,        125.17910
      3530.71500,       -025.48024,        133.65900,        025.48024,        133.65900
      3530.77600,       -019.31511,        137.30040,        019.31511,        137.30040
      3530.84000,       -017.60939,        148.10320,        017.60939,        148.10320
      3530.89800,       -029.34674,        146.99860,        029.34674,        146.99860
      3530.95600,       -027.32831,        150.93180,        027.32831,        150.93180
      3531.01800,       -036.49596,        151.40850,        036.49596,        151.40850
      3531.08000,       -027.76247,       -154.00560,        027.76247,        154.00560
      3531.13800,       -022.36598,       -153.67250,        022.36598,        153.67250
      3531.19300,       -029.55638,       -150.69600,        029.55638,        150.69600
      3531.25600,       -011.80926,       -153.17540,        011.80926,        153.17540
      3531.31300,       -019.45620,       -160.19130,        019.45620,        160.19130
      3531.38200,       -027.99765,        156.11250,        027.99765,        156.11250
      3531.44400,       -023.56166,       -150.48390,        023.56166,        150.48390
      3531.50100,       -027.29255,       -152.19710,        027.29255,        152.19710
      3531.55900,       -027.55198,       -151.75820,        027.55198,        151.75820
      3531.61600,       -021.35749,       -153.94080,        021.35749,        153.94080
      3531.68000,       -017.42779,       -151.98870,        017.42779,        151.98870
      3531.73200,       -025.75775,       -150.43200,        025.75775,        150.43200
      3531.79200,       -018.70171,       -150.75580,        018.70171,        150.75580
      3531.84900,       -024.05407,       -148.10190,        024.05407,        148.10190
      3531.90900,       -020.33983,       -152.08310,        020.33983,        152.08310
      3531.96500,       -026.94286,       -154.21660,        026.94286,        154.21660
      3532.02100,       -033.45925,       -152.30680,        033.45925,        152.30680
      3532.08100,       -024.60288,        153.40170,        024.60288,        153.40170
      3532.13700,       -027.97549,       -150.48020,        027.97549,        150.48020
      3532.19600,       -022.64263,        145.28140,        022.64263,        145.28140
      3532.25500,       -023.16900,        144.21490,        023.16900,        144.21490
      3532.31400,       -030.38771,        141.45800,        030.38771,        141.45800
      3532.37100,       -015.94931,        136.54010,        015.94931,        136.54010
      3532.43000,       -029.20301,        136.02830,        029.20301,        136.02830
      3532.48600,       -020.99650,        128.21290,        020.99650,        128.21290
      3532.54500,       -022.09330,        119.56060,        022.09330,        119.56060
      3532.60500,       -022.13502,        124.40300,        022.13502,        124.40300
      3532.67100,       -014.19864,        109.48070,        014.19864,        109.48070
      3532.73500,       -018.38280,        107.37570,        018.38280,        107.37570
      3532.79200,        000.00000,        000.00000,        000.00000,        000.00000
      3532.85900,       -024.51860,        090.27132,        024.51860,        090.27132
      3532.91300,        000.00000,        000.00000,        000.00000,        000.00000
      3532.97600,        000.00000,        000.00000,        000.00000,        000.00000
      3533.03900,        000.00000,        000.00000,        000.00000,        000.00000
      3533.09500,        020.27835,       -046.18527,       -020.27835,       -046.18527
      3533.16100,       -019.11073,       -090.77542,        019.11073,       -090.77542
      3533.22000,       -022.56115,       -096.78416,        022.56115,       -096.78416
      3533.27500,       -017.24966,       -086.57461,        017.24966,       -086.57461
      3533.32900,       -026.90130,        039.66181,        026.90130,        039.66181
      3533.38300,       -018.16430,        038.75932,        018.16430,        038.75932
      3533.44300,       -025.56918,        044.09933,        025.56918,        044.09933
      3533.50100,       -010.12290,        041.86196,        010.12290,        041.86196
      3533.56900,       -026.75575,        039.21814,        026.75575,        039.21814
      3533.63300,       -034.52285,       -034.13781,        034.52285,        034.13781
      3533.69800,       -027.83707,        020.86514,        027.83707,        020.86514
      3533.76000,       -024.46509,        023.53405,        024.46509,        023.53405
      3533.81700,       -035.77525,        018.13322,        035.77525,        018.13322
      3533.88000,       -027.15147,       -028.63607,        027.15147,        028.63607
      3533.93500,       -029.60666,        025.27729,        029.60666,        025.27729
      3533.99300,       -019.78184,       -024.90270,        019.78184,        024.90270
      3534.05000,       -021.04255,       -025.16484,        021.04255,        025.16484
      3534.11100,       -022.74797,        022.70552,        022.74797,        022.70552
      3534.16500,       -028.32831,       -027.13494,        028.32831,        027.13494
      3534.22000,       -017.74639,        024.81276,        017.74639,        024.81276
      3534.28100,       -026.70283,        019.04874,        026.70283,        019.04874
      3534.34000,       -031.15414,       -029.90972,        031.15414,        029.90972
      3534.40700,       -017.49560,        024.76343,        017.49560,        024.76343
      3534.46300,       -022.81364,        025.85047,        022.81364,        025.85047
      3534.52000,       -021.22117,        018.56415,        021.22117,        018.56415
      3534.57800,       -022.71191,        021.68872,        022.71191,        021.68872
      3534.63600,       -017.58922,        040.22695,        017.58922,        040.22695
      3534.69300,       -028.76821,        045.32268,        028.76821,        045.32268
      3534.75400,       -007.51233,        042.69472,        007.51233,        042.69472
      3534.80900,       -023.05295,        040.06561,        023.05295,        040.06561
      3534.86500,       -026.90175,        044.71997,        026.90175,        044.71997
      3534.92200,        013.77483,       -063.68454,       -013.77483,       -063.68454
      3534.98300,        000.00000,        000.00000,        000.00000,        000.00000
      3535.04000,        000.00000,        000.00000,        000.00000,        000.00000
      3535.09500,        000.00000,        000.00000,        000.00000,        000.00000
      3535.15300,        000.00000,        000.00000,        000.00000,        000.00000
      3535.21400,        000.00000,        000.00000,        000.00000,        000.00000
      3535.27500,       -026.78366,        110.07400,        026.78366,        110.07400
      3535.32800,       -022.12383,        121.53710,        022.12383,        121.53710
      3535.38600,       -018.63067,        117.14450,        018.63067,        117.14450
      3535.44700,       -026.36042,        128.13290,        026.36042,        128.13290
      3535.51300,       -022.13924,        131.36490,        022.13924,        131.36490
      3535.57900,       -023.87125,        149.64020,        023.87125,        149.64020
      3535.63700,       -023.68077,        148.98280,        023.68077,        148.98280
      3535.69600,       -014.21283,        149.81110,        014.21283,        149.81110
      3535.76000,       -030.51849,        155.32380,        030.51849,        155.32380
      3535.81900,       -014.14045,        151.53080,        014.14045,        151.53080
      3535.88000,       -025.27881,       -156.65990,        025.27881,        156.65990
      3535.94400,       -023.26614,        157.77310,        023.26614,        157.77310
      3536.00000,       -011.71670,        150.86830,        011.71670,        150.86830
      3536.06700,       -021.05589,        153.75840,        021.05589,        153.75840
      3536.12800,       -018.52034,        152.73830,        018.52034,        152.73830
      3536.18400,       -023.89790,       -154.04120,        023.89790,        154.04120
      3536.24500,       -019.45900,       -153.57890,        019.45900,        153.57890
      3536.30200,       -026.83994,       -153.77260,        026.83994,        153.77260
      3536.35900,       -031.11910,       -153.61460,        031.11910,        153.61460
      3536.41700,       -024.42734,       -149.05440,        024.42734,        149.05440
      3536.47300,       -029.32706,       -147.11030,        029.32706,        147.11030
      3536.52900,       -033.43410,       -148.86570,        033.43410,        148.86570
      3536.58300,       -026.37243,       -151.23690,        026.37243,        151.23690
      3536.64000,       -018.96419,       -147.66770,        018.96419,        147.66770
      3536.69600,       -031.70934,        151.85900,        031.70934,        151.85900
      3536.75500,       -025.30083,        151.39960,        025.30083,        151.39960
      3536.81000,       -019.17651,       -142.39070,        019.17651,        142.39070
      3536.87300,       -024.61973,       -141.95720,        024.61973,        141.95720
      3536.92700,       -027.97704,        130.03640,        027.97704,        130.03640
      3536.98800,       -024.68516,        117.33870,        024.68516,        117.33870
      3537.04700,       -029.83488,        119.54030,        029.83488,        119.54030
      3537.10400,       -026.39905,        106.47300,        026.39905,        106.47300
      3537.16900,       -018.95291,        096.87309,        018.95291,        096.87309
      3537.22700,       -028.69730,        079.47026,        028.69730,        079.47026
      3537.28100,       -024.61804,        070.17871,        024.61804,        070.17871
      3537.33900,       -028.57863,       -096.44948,        028.57863,       -096.44948
      3537.39800,       -031.28343,        053.15922,        031.28343,        053.15922
      3537.45700,       -021.92644,        050.19649,        021.92644,        050.19649
      3537.51200,       -032.29837,        039.71693,        032.29837,        039.71693
      3537.57400,       -032.88077,        035.90285,        032.88077,        035.90285
      3537.63500,       -023.71735,        022.86258,        023.71735,        022.86258
      3537.69300,       -018.32362,        027.91621,        018.32362,        027.91621
