       TimeStamp,           Nose.X,           Nose.Y,           Nose.Z,          Spine.X,          Spine.Y,          Spine.Z, Shoulder_Right.X, Shoulder_Right.Y, Shoulder_Right.Z,    Elbow_Right.X,    Elbow_Right.Y,    Elbow_Right.Z,    Wrist_Right.X,    Wrist_Right.Y,    Wrist_Right.Z,  Shoulder_Left.X,  Shoulder_Left.Y,  Shoulder_Left.Z,     Elbow_left.X,     Elbow_left.Y,     Elbow_left.Z,     Wrist_left.X,     Wrist_left.Y,     Wrist_left.Z,      Hip_Right.X,      Hip_Right.Y,      Hip_Right.Z,     Knee_Right.X,     Knee_Right.Y,     Knee_Right.Z,    Ankle_Right.X,    Ankle_Right.Y,    Ankle_Right.Z,       Hip_Left.X,       Hip_Left.Y,       Hip_Left.Z,      Knee_Left.X,      Knee_Left.Y,      Knee_Left.Z,     Ankle_Left.X,     Ankle_Left.Y,     Ankle_Left.Z,      Eye_Right.X,      Eye_Right.Y,      Eye_Right.Z,       Eye_Left.X,       Eye_Left.Y,       Eye_Left.Z,      Ear_Right.X,      Ear_Right.Y,      Ear_Right.Z,       Ear_Left.X,       Ear_Left.Y,       Ear_Left.Z
    3457.9200000,       00.0276804,       00.3477146,       02.8778800,       00.0277335,       00.0872314,       02.8834000,      -00.1393161,       00.0881439,       02.9135600,      -00.1875665,      -00.2497260,       02.9132400,      -00.1866239,      -00.4661762,       02.8986000,       00.2225284,       00.0887102,       02.9322810,       00.2739499,      -00.1819926,       02.9630000,       00.3022422,      -00.4304497,       02.9838400,      -00.0418966,      -00.4337545,       02.8538000,      -00.0672966,      -00.8395069,       02.8616000,      -00.0439314,      -01.2249200,       02.9924000,       00.1467237,      -00.4102821,       02.8440400,       00.1920245,      -00.7798512,       02.8173610,       00.1775183,      -01.1489330,       02.9924800,       00.0054827,       00.3767846,       02.9059590,       00.0752535,       00.3726149,       02.8738010,      -00.0439396,       00.3616189,       02.9929600,       00.1249282,       00.3304580,       02.9220400
    3457.9820000,       00.0528461,       00.3459892,       02.8636000,       00.0528794,       00.0866869,       02.8654000,      -00.1395150,       00.0624884,       02.9177200,      -00.1880558,      -00.2503774,       02.9208400,      -00.1632477,      -00.4857147,       02.8815600,       00.2219152,       00.0884657,       02.9242000,       00.2765683,      -00.2068598,       02.9913210,       00.3011604,      -00.4289091,       02.9731610,      -00.0415472,      -00.4301371,       02.8300000,      -00.0667387,      -00.8074723,       02.8378800,      -00.0442109,      -01.2327140,       03.0114400,       00.1476709,      -00.4129308,       02.8624000,       00.1962693,      -00.8193545,       02.8796400,       00.1756533,      -01.2120830,       02.9610400,       00.0276973,       00.3733720,       02.8796400,       00.0760118,       00.3763698,       02.9027600,      -00.0438275,       00.3606958,       02.9853200,       00.1249607,       00.3305440,       02.9228000
    3458.0400000,       00.0277477,       00.3485603,       02.8848800,       00.0533813,       00.0619504,       02.8926000,      -00.1394308,       00.0624507,       02.9159600,      -00.1889417,      -00.2515570,       02.9346000,      -00.1902397,      -00.4752083,       02.9547600,       00.2484451,       00.0887126,       02.9323600,       00.2750075,      -00.2056925,       02.9744400,       00.3029958,      -00.4315231,       02.9912800,      -00.0419436,      -00.4342409,       02.8570000,      -00.0683294,      -00.8267182,       02.9055200,      -00.0436460,      -01.2169630,       02.9729600,       00.1440183,      -00.4027171,       02.7916000,       00.1977742,      -00.8032021,       02.9017200,       00.1777011,      -01.1501150,       02.9955600,       00.0054674,       00.3757319,       02.8978400,       00.0755729,       00.3741967,       02.8860000,      -00.0440982,       00.3629238,       03.0037600,       00.1244220,       00.3291190,       02.9102000
    3458.1030000,       00.0272814,       00.3427028,       02.8364000,       00.0533296,       00.0874251,       02.8898000,      -00.1382622,       00.0874771,       02.8915210,      -00.1878678,      -00.2275669,       02.9179200,      -00.1871853,      -00.4418891,       02.9073200,       00.2220578,       00.0885226,       02.9260800,       00.2710726,      -00.2027493,       02.9318800,       00.3016871,      -00.4296592,       02.9783600,      -00.0415707,      -00.4084875,       02.8316000,      -00.0678657,      -00.8211073,       02.8858000,      -00.0207712,      -01.2234960,       02.9889200,       00.1472891,      -00.4118632,       02.8550000,       00.1974580,      -00.8019177,       02.8970800,       00.1782563,      -01.1537090,       03.0049200,       00.0054375,       00.3736781,       02.8820000,       00.0529643,       00.3721222,       02.8700000,      -00.0435709,       00.3585838,       02.9678400,       00.1250359,       00.3533546,       02.9245600
    3458.1610000,       00.0274334,       00.3225597,       02.8522000,       00.0532854,       00.0873524,       02.8874000,      -00.1387786,       00.0878038,       02.9023200,      -00.1887022,      -00.2285777,       02.9308800,      -00.1711202,      -00.3356549,       03.0205200,       00.2200179,       00.0877094,       02.8992000,       00.2742679,      -00.1822039,       02.9664400,       00.3020397,      -00.4301613,       02.9818410,      -00.0662524,      -00.4064102,       02.8172000,      -00.0428392,      -00.8560531,       02.9180000,      -00.0207673,      -01.2232670,       02.9883600,       00.1472787,      -00.4118343,       02.8548000,       00.1983604,      -00.8055826,       02.9103200,       00.1785007,      -01.1552910,       03.0090400,       00.0054455,       00.3742278,       02.8862400,       00.0747193,       00.3699698,       02.8534000,      -00.0440424,       00.3624647,       02.9999600,       00.1244818,       00.3292774,       02.9116000
    3458.2250000,       00.0275007,       00.3454576,       02.8592000,       00.0532042,       00.0872193,       02.8830000,      -00.1398860,       00.0885045,       02.9254800,      -00.2152881,      -00.2033302,       02.9402800,      -00.2160027,      -00.3278228,       02.9500400,       00.2501701,       00.0893286,       02.9527200,       00.2765793,      -00.1837394,       02.9914400,       00.3330528,      -00.4406922,       03.0548400,      -00.0415619,      -00.4084010,       02.8310000,      -00.0682965,      -00.8519811,       02.9041200,      -00.0208952,      -01.2307980,       03.0067600,       00.1463151,      -00.4091395,       02.8361200,       00.1979324,      -00.8262972,       02.9040400,       00.2102471,      -01.2627110,       03.0847200,       00.0054258,       00.3728742,       02.8758000,       00.0752356,       00.3725267,       02.8731200,      -00.0436161,       00.3589560,       02.9709200,       00.1242339,       00.3286214,       02.9058000
    3458.2890000,       00.0527465,       00.3453367,       02.8582000,       00.0534950,       00.0876961,       02.8987600,      -00.1380499,       00.0873428,       02.8870800,      -00.2633877,      -00.2028572,       02.9334400,      -00.3379631,      -00.3291875,       02.9623200,       00.2451679,       00.0619735,       02.8936800,       00.2757620,      -00.2062567,       02.9826000,       00.3283124,      -00.4344198,       03.0113600,      -00.0416177,      -00.4308667,       02.8348000,      -00.0430470,      -00.8602072,       02.9321600,      -00.0211148,      -01.2437340,       03.0383600,       00.1676425,      -00.4076796,       02.8260000,       00.2011058,      -00.8395451,       02.9506000,       00.1780831,      -01.2288500,       03.0020000,       00.0278516,       00.3754518,       02.8956800,       00.1010011,       00.3739270,       02.8839200,      -00.0438797,       00.3611253,       02.9888750,       00.1660699,       00.3640463,       03.2190400
    3458.3490000,       00.0526431,       00.3226050,       02.8526000,       00.0538250,       00.0882370,       02.9166400,      -00.1166869,       00.0880664,       02.9110000,      -00.2926601,      -00.0848883,       03.0010400,      -00.3812566,      -00.2984827,       02.9180400,       00.2461948,       00.0622331,       02.9058000,       00.2747080,      -00.2054684,       02.9712000,       00.3274053,      -00.4332195,       03.0030400,      -00.0414885,      -00.4076796,       02.8260000,      -00.0665261,      -00.8298962,       02.8288400,      -00.0209085,      -01.2315850,       03.0086800,       00.1673696,      -00.4070161,       02.8214000,       00.2018010,      -00.8424473,       02.9608000,       00.1787593,      -01.2335170,       03.0134000,       00.0276450,       00.3726667,       02.8742000,       00.1014438,       00.3755659,       02.8965600,      -00.0444577,       00.3658828,       03.0282500,       00.1584201,       00.3472770,       03.0707600
    3458.4090000,       00.0750649,       00.3463517,       02.8666000,       00.0533990,       00.0875388,       02.8935600,      -00.1166869,       00.0880664,       02.9110000,      -00.2866062,      -00.0831323,       02.9389600,      -00.4601988,      -00.2788377,       02.9488800,       00.2464727,       00.0880083,       02.9090800,       00.2729920,      -00.2041849,       02.9526400,       00.3312823,      -00.4383494,       03.0386000,      -00.0414885,      -00.4076797,       02.8260000,      -00.0682664,      -00.8516054,       02.9028400,      -00.0439179,      -01.2245440,       02.9914800,       00.1677967,      -00.4080548,       02.8286000,       00.1969346,      -00.8221316,       02.8894000,       00.2084041,      -01.2516420,       03.0576800,       00.0277015,       00.3734291,       02.8800800,       00.1012000,       00.3746634,       02.8896000,      -00.0203473,       00.3537606,       02.9279200,       00.2548047,       00.5189741,       04.2953200
    3458.4630000,       00.0523567,       00.3427849,       02.8370800,       00.0536478,       00.0879466,       02.9070400,      -00.1157570,       00.0873645,       02.8878000,      -00.2888725,      -00.0576153,       02.9622000,      -00.4611665,      -00.2533126,       02.9550810,       00.2489433,       00.0888905,       02.9382400,       00.2720490,      -00.2034796,       02.9424410,       00.3257700,      -00.4310556,       02.9880400,      -00.0420493,      -00.4131904,       02.8642000,      -00.0676766,      -00.8442478,       02.8777600,      -00.0207501,      -01.2222520,       02.9858800,       00.1696831,      -00.4126422,       02.8604000,       00.1958958,      -00.8177953,       02.8741600,       00.1763817,      -01.2171100,       02.9733200,       00.0277446,       00.3740099,       02.8845600,       00.1010599,       00.3741449,       02.8856000,      -00.0446457,       00.3674293,       03.0410500,       00.2573081,       00.5240729,       04.3375210
